
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.122693,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.3438,29.3625,-33.6375,
0.155709,0.0000,0.0000,0.0000,0.0017,0.0059,-0.0020,11.3438,29.3625,-33.6375,
0.181955,0.0000,0.0000,0.0000,0.0017,0.0059,-0.0020,8.4563,25.5000,-38.3625,
0.213346,0.0000,0.0000,0.0000,0.0003,0.0020,-0.0020,8.4563,25.5000,-38.3625,
0.234530,0.0000,0.0000,0.0000,0.0003,0.0020,-0.0020,8.4563,25.5000,-38.3625,
0.242263,0.0000,0.0000,0.0000,0.0003,0.0020,-0.0020,7.1250,23.8125,-39.8625,
0.253422,0.0000,0.0000,0.0000,0.0003,0.0020,-0.0020,7.1250,23.8125,-39.8625,
0.273236,0.0000,0.0000,0.0000,-0.0000,0.0013,0.0001,7.1250,23.8125,-39.8625,
0.293694,0.0000,0.0000,0.0000,-0.0000,0.0013,0.0001,7.1250,23.8125,-39.8625,
0.300632,0.0000,0.0000,0.0000,-0.0000,0.0013,0.0001,6.5625,23.3250,-40.8750,
0.314396,0.0200,-0.0218,-0.0087,-0.0000,0.0013,0.0001,6.5625,23.3250,-40.8750,
0.334420,0.0200,-0.0218,-0.0087,0.0138,-0.0016,0.0125,6.5625,23.3250,-40.8750,
0.354390,0.0200,-0.0218,-0.0087,0.0138,-0.0016,0.0125,6.5625,23.3250,-40.8750,
0.362737,0.0200,-0.0218,-0.0087,0.0138,-0.0016,0.0125,6.3938,23.1000,-41.6250,
0.395964,0.0200,-0.0218,-0.0087,0.0166,0.0048,0.0157,6.3938,23.1000,-41.6250,
0.397455,0.0078,-0.0043,0.0023,0.0166,0.0048,0.0157,6.3938,23.1000,-41.6250,
0.417236,0.0078,-0.0043,0.0023,0.0166,0.0048,0.0157,6.3938,23.1000,-41.6250,
0.423195,0.0078,-0.0043,0.0023,0.0166,0.0048,0.0157,6.3000,22.9500,-41.9625,
0.457420,-0.0310,0.0137,0.0186,0.0166,0.0048,0.0157,6.3000,22.9500,-41.9625,
0.458690,-0.0310,0.0137,0.0186,0.0075,-0.0023,0.0087,6.3000,22.9500,-41.9625,
0.476385,-0.0310,0.0137,0.0186,0.0075,-0.0023,0.0087,6.3000,22.9500,-41.9625,
0.480721,-0.0310,0.0137,0.0186,0.0075,-0.0023,0.0087,6.1875,22.7438,-42.1125,
0.518349,-0.0310,0.0137,0.0186,-0.0107,-0.0133,0.0015,6.1875,22.7438,-42.1125,
0.520110,-0.0190,0.0138,0.0173,-0.0107,-0.0133,0.0015,6.1875,22.7438,-42.1125,
0.537381,-0.0190,0.0138,0.0173,-0.0107,-0.0133,0.0015,6.1875,22.7438,-42.1125,
0.542003,-0.0190,0.0138,0.0173,-0.0107,-0.0133,0.0015,6.0000,22.5750,-42.4875,
0.578777,-0.0190,0.0138,0.0173,-0.0083,-0.0097,-0.0028,6.0000,22.5750,-42.4875,
0.580815,-0.0017,0.0050,-0.0024,-0.0083,-0.0097,-0.0028,6.0000,22.5750,-42.4875,
0.598760,-0.0017,0.0050,-0.0024,-0.0083,-0.0097,-0.0028,6.0000,22.5750,-42.4875,
0.600560,-0.0017,0.0050,-0.0024,-0.0083,-0.0097,-0.0028,5.3063,21.6188,-44.0625,
0.639069,-0.0017,0.0050,-0.0024,-0.0260,-0.0370,0.0100,5.3063,21.6188,-44.0625,
0.659399,0.0326,-0.0124,0.0507,-0.0260,-0.0370,0.0100,5.3063,21.6188,-44.0625,
0.660403,0.0326,-0.0124,0.0507,-0.0260,-0.0370,0.0100,5.3063,21.6188,-44.0625,
0.660706,0.0326,-0.0124,0.0507,-0.0260,-0.0370,0.0100,5.1938,21.6750,-44.2500,
0.699586,0.0326,-0.0124,0.0507,-0.0411,-0.0232,0.0168,5.1938,21.6750,-44.2500,
0.720004,0.0326,-0.0124,0.0507,-0.0411,-0.0232,0.0168,5.1938,21.6750,-44.2500,
0.722198,-0.0086,-0.0059,-0.0427,-0.0411,-0.0232,0.0168,5.1938,21.6750,-44.2500,
0.724193,-0.0086,-0.0059,-0.0427,-0.0411,-0.0232,0.0168,5.2500,21.7500,-44.3250,
0.762402,-0.0086,-0.0059,-0.0427,0.0045,0.0229,0.0083,5.2500,21.7500,-44.3250,
0.782374,-0.0086,-0.0059,-0.0427,0.0045,0.0229,0.0083,5.2500,21.5813,-44.1750,
0.783419,-0.0086,-0.0059,-0.0427,0.0045,0.0229,0.0083,5.2500,21.5813,-44.1750,
0.783888,0.0247,-0.0232,-0.0673,0.0045,0.0229,0.0083,5.2500,21.5813,-44.1750,
0.822619,0.0247,-0.0232,-0.0673,0.0312,0.0310,0.0025,5.2500,21.5813,-44.1750,
0.844573,0.0247,-0.0232,-0.0673,0.0312,0.0310,0.0025,5.2500,21.5813,-44.1750,
0.845312,0.0247,-0.0232,-0.0673,0.0312,0.0310,0.0025,5.2500,21.3750,-44.0250,
0.863553,-0.0517,0.0324,0.0603,0.0312,0.0310,0.0025,5.2500,21.3750,-44.0250,
0.883900,-0.0517,0.0324,0.0603,-0.0121,0.0067,-0.0045,5.2500,21.3750,-44.0250,
0.901333,-0.0517,0.0324,0.0603,-0.0121,0.0067,-0.0045,5.1375,21.2250,-43.9500,
0.903146,-0.0517,0.0324,0.0603,-0.0121,0.0067,-0.0045,5.1375,21.2250,-43.9500,
0.925861,-0.0087,0.0043,0.0321,-0.0121,0.0067,-0.0045,5.1375,21.2250,-43.9500,
0.945068,-0.0087,0.0043,0.0321,-0.0380,-0.0027,-0.0031,5.1375,21.2250,-43.9500,
0.962518,-0.0087,0.0043,0.0321,-0.0380,-0.0027,-0.0031,5.1375,21.1313,-43.9125,
0.963827,-0.0087,0.0043,0.0321,-0.0380,-0.0027,-0.0031,5.1375,21.1313,-43.9125,
0.986142,0.0194,-0.0073,-0.0117,-0.0380,-0.0027,-0.0031,5.1375,21.1313,-43.9125,
1.004453,0.0194,-0.0073,-0.0117,-0.0302,-0.0040,0.0025,5.1375,21.1313,-43.9125,
1.022712,0.0194,-0.0073,-0.0117,-0.0302,-0.0040,0.0025,5.3625,21.1688,-43.6688,
1.027485,0.0194,-0.0073,-0.0117,-0.0302,-0.0040,0.0025,5.3625,21.1688,-43.6688,
1.046286,0.0162,-0.0133,-0.0332,-0.0302,-0.0040,0.0025,5.3625,21.1688,-43.6688,
1.065509,0.0162,-0.0133,-0.0332,-0.0047,0.0112,0.0040,5.3625,21.1688,-43.6688,
1.083054,0.0162,-0.0133,-0.0332,-0.0047,0.0112,0.0040,5.2875,21.3188,-43.1813,
1.086194,0.0162,-0.0133,-0.0332,-0.0047,0.0112,0.0040,5.2875,21.3188,-43.1813,
1.126646,0.0162,-0.0133,-0.0332,-0.0085,0.0031,0.0068,5.2875,21.3188,-43.1813,
1.127966,-0.0051,0.0133,0.0132,-0.0085,0.0031,0.0068,5.2875,21.3188,-43.1813,
1.143103,-0.0051,0.0133,0.0132,-0.0085,0.0031,0.0068,5.3813,21.3563,-42.9750,
1.146757,-0.0051,0.0133,0.0132,-0.0085,0.0031,0.0068,5.3813,21.3563,-42.9750,
1.187581,-0.0051,0.0133,0.0132,-0.0107,0.0016,0.0061,5.3813,21.3563,-42.9750,
1.188712,-0.0194,0.0015,0.0035,-0.0107,0.0016,0.0061,5.3813,21.3563,-42.9750,
1.201169,-0.0194,0.0015,0.0035,-0.0107,0.0016,0.0061,5.5125,21.5250,-43.0875,
1.209955,-0.0194,0.0015,0.0035,-0.0107,0.0016,0.0061,5.5125,21.5250,-43.0875,
1.254441,-0.0194,0.0015,0.0035,-0.0068,0.0041,0.0036,5.5125,21.5250,-43.0875,
1.255833,-0.0021,-0.0063,-0.0095,-0.0068,0.0041,0.0036,5.5125,21.5250,-43.0875,
1.262017,-0.0021,-0.0063,-0.0095,-0.0068,0.0041,0.0036,5.5312,21.7313,-43.2938,
1.268354,-0.0021,-0.0063,-0.0095,-0.0068,0.0041,0.0036,5.5312,21.7313,-43.2938,
1.309605,-0.0021,-0.0063,-0.0095,-0.0015,0.0127,0.0015,5.5312,21.7313,-43.2938,
1.321429,-0.0021,-0.0063,-0.0095,-0.0015,0.0127,0.0015,5.6438,21.8625,-43.4062,
1.329482,-0.0104,-0.0087,-0.0082,-0.0015,0.0127,0.0015,5.6438,21.8625,-43.4062,
1.330607,-0.0104,-0.0087,-0.0082,-0.0015,0.0127,0.0015,5.6438,21.8625,-43.4062,
1.370737,-0.0104,-0.0087,-0.0082,0.0077,0.0084,-0.0063,5.6438,21.8625,-43.4062,
1.382173,-0.0104,-0.0087,-0.0082,0.0077,0.0084,-0.0063,5.7938,21.8813,-43.3875,
1.392724,-0.0104,-0.0087,-0.0082,0.0077,0.0084,-0.0063,5.7938,21.8813,-43.3875,
1.393777,0.0037,0.0020,-0.0200,0.0077,0.0084,-0.0063,5.7938,21.8813,-43.3875,
1.431623,0.0037,0.0020,-0.0200,0.0141,0.0003,-0.0105,5.7938,21.8813,-43.3875,
1.443015,0.0037,0.0020,-0.0200,0.0141,0.0003,-0.0105,5.9250,21.9750,-43.4062,
1.452589,0.0037,0.0020,-0.0200,0.0141,0.0003,-0.0105,5.9250,21.9750,-43.4062,
1.453130,-0.0144,-0.0064,-0.0008,0.0141,0.0003,-0.0105,5.9250,21.9750,-43.4062,
1.493019,-0.0144,-0.0064,-0.0008,0.0075,-0.0008,-0.0162,5.9250,21.9750,-43.4062,
1.502009,-0.0144,-0.0064,-0.0008,0.0075,-0.0008,-0.0162,5.8125,21.8250,-43.3688,
1.514557,-0.0144,-0.0064,-0.0008,0.0075,-0.0008,-0.0162,5.8125,21.8250,-43.3688,
1.515934,-0.0160,0.0124,0.0051,0.0075,-0.0008,-0.0162,5.8125,21.8250,-43.3688,
1.552686,-0.0160,0.0124,0.0051,0.0011,0.0041,-0.0205,5.8125,21.8250,-43.3688,
1.561297,-0.0160,0.0124,0.0051,0.0011,0.0041,-0.0205,5.8125,21.6750,-43.5188,
1.573103,-0.0160,0.0124,0.0051,0.0011,0.0041,-0.0205,5.8125,21.6750,-43.5188,
1.594070,0.0082,-0.0144,-0.0094,0.0011,0.0041,-0.0205,5.8125,21.6750,-43.5188,
1.615438,0.0082,-0.0144,-0.0094,0.0096,0.0088,-0.0237,5.8125,21.6750,-43.5188,
1.624325,0.0082,-0.0144,-0.0094,0.0096,0.0088,-0.0237,5.8875,21.5625,-43.4625,
1.634578,0.0082,-0.0144,-0.0094,0.0096,0.0088,-0.0237,5.8875,21.5625,-43.4625,
1.656577,-0.0180,0.0055,0.0041,0.0096,0.0088,-0.0237,5.8875,21.5625,-43.4625,
1.675362,-0.0180,0.0055,0.0041,0.0107,-0.0005,-0.0290,5.8875,21.5625,-43.4625,
1.683841,-0.0180,0.0055,0.0041,0.0107,-0.0005,-0.0290,5.7938,21.4500,-43.1625,
1.695650,-0.0180,0.0055,0.0041,0.0107,-0.0005,-0.0290,5.7938,21.4500,-43.1625,
1.716734,0.0270,-0.0079,-0.0048,0.0107,-0.0005,-0.0290,5.7938,21.4500,-43.1625,
1.737011,0.0270,-0.0079,-0.0048,0.0081,0.0084,-0.0269,5.7938,21.4500,-43.1625,
1.742220,0.0270,-0.0079,-0.0048,0.0081,0.0084,-0.0269,5.8313,21.2625,-42.9000,
1.756765,0.0270,-0.0079,-0.0048,0.0081,0.0084,-0.0269,5.8313,21.2625,-42.9000,
1.798207,0.0270,-0.0079,-0.0048,0.0103,0.0190,-0.0297,5.8313,21.2625,-42.9000,
1.799514,-0.0128,0.0027,-0.0105,0.0103,0.0190,-0.0297,5.8313,21.2625,-42.9000,
1.802068,-0.0128,0.0027,-0.0105,0.0103,0.0190,-0.0297,5.8875,21.2063,-42.6938,
1.817751,-0.0128,0.0027,-0.0105,0.0103,0.0190,-0.0297,5.8875,21.2063,-42.6938,
1.857403,-0.0128,0.0027,-0.0105,0.0138,0.0144,-0.0305,5.8875,21.2063,-42.6938,
1.858523,0.0100,-0.0051,-0.0068,0.0138,0.0144,-0.0305,5.8875,21.2063,-42.6938,
1.861443,0.0100,-0.0051,-0.0068,0.0138,0.0144,-0.0305,5.7938,21.2250,-42.7125,
1.878174,0.0100,-0.0051,-0.0068,0.0138,0.0144,-0.0305,5.7938,21.2250,-42.7125,
1.919636,0.0100,-0.0051,-0.0068,0.0162,0.0137,-0.0297,5.7938,21.2250,-42.7125,
1.920966,0.0064,0.0063,-0.0003,0.0162,0.0137,-0.0297,5.7938,21.2250,-42.7125,
1.922723,0.0064,0.0063,-0.0003,0.0162,0.0137,-0.0297,5.7375,21.2812,-42.6188,
1.940528,0.0064,0.0063,-0.0003,0.0162,0.0137,-0.0297,5.7375,21.2812,-42.6188,
1.979897,0.0064,0.0063,-0.0003,0.0192,0.0190,-0.0305,5.7375,21.2812,-42.6188,
1.981072,0.0007,-0.0150,-0.0154,0.0192,0.0190,-0.0305,5.7375,21.2812,-42.6188,
1.981868,0.0007,-0.0150,-0.0154,0.0192,0.0190,-0.0305,5.8313,21.2438,-42.6000,
2.000036,0.0007,-0.0150,-0.0154,0.0192,0.0190,-0.0305,5.8313,21.2438,-42.6000,
2.041925,0.0007,-0.0150,-0.0154,0.0369,0.0222,-0.0344,5.8313,21.2438,-42.6000,
2.044493,0.0007,-0.0150,-0.0154,0.0369,0.0222,-0.0344,5.9438,21.2438,-42.5813,
2.062999,0.0007,-0.0150,-0.0154,0.0369,0.0222,-0.0344,5.9438,21.2438,-42.5813,
2.064106,0.0244,-0.0078,-0.0174,0.0369,0.0222,-0.0344,5.9438,21.2438,-42.5813,
2.102989,0.0244,-0.0078,-0.0174,0.0369,0.0222,-0.0344,6.0375,21.3750,-42.6562,
2.104118,0.0244,-0.0078,-0.0174,0.0514,0.0364,-0.0361,6.0375,21.3750,-42.6562,
2.122988,0.0244,-0.0078,-0.0174,0.0514,0.0364,-0.0361,6.0375,21.3750,-42.6562,
2.123594,-0.0129,-0.0042,-0.0138,0.0514,0.0364,-0.0361,6.0375,21.3750,-42.6562,
2.164838,-0.0129,-0.0042,-0.0138,0.0597,0.0523,-0.0446,6.0375,21.3750,-42.6562,
2.166075,-0.0129,-0.0042,-0.0138,0.0597,0.0523,-0.0446,6.2438,21.3938,-42.6938,
2.182950,0.0189,-0.0202,-0.0377,0.0597,0.0523,-0.0446,6.2438,21.3938,-42.6938,
2.184013,0.0189,-0.0202,-0.0377,0.0597,0.0523,-0.0446,6.2438,21.3938,-42.6938,
2.223022,0.0189,-0.0202,-0.0377,0.0710,0.0826,-0.0574,6.2438,21.3938,-42.6938,
2.224103,0.0189,-0.0202,-0.0377,0.0710,0.0826,-0.0574,6.2813,21.3563,-42.6750,
2.244180,0.0189,-0.0202,-0.0377,0.0710,0.0826,-0.0574,6.2813,21.3563,-42.6750,
2.264265,-0.0270,0.0286,0.0317,0.0710,0.0826,-0.0574,6.2813,21.3563,-42.6750,
2.282420,-0.0270,0.0286,0.0317,0.0710,0.0826,-0.0574,6.2625,21.2063,-42.7125,
2.284793,-0.0270,0.0286,0.0317,0.0490,0.0794,-0.0578,6.2625,21.2063,-42.7125,
2.304600,-0.0270,0.0286,0.0317,0.0490,0.0794,-0.0578,6.2625,21.2063,-42.7125,
2.324917,-0.0515,0.0402,0.0938,0.0490,0.0794,-0.0578,6.2625,21.2063,-42.7125,
2.344987,-0.0515,0.0402,0.0938,0.0490,0.0794,-0.0578,6.3938,21.1125,-42.6938,
