
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.125214,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-23.6438,-40.9313,-27.7875,
0.173996,0.0000,0.0000,0.0000,-0.0012,-0.0019,0.0016,-23.6438,-40.9313,-27.7875,
0.182471,0.0000,0.0000,0.0000,-0.0012,-0.0019,0.0016,-23.3625,-40.8563,-27.1500,
0.213568,0.0000,0.0000,0.0000,-0.0012,-0.0019,0.0016,-23.3625,-40.8563,-27.1500,
0.232921,0.0000,0.0000,0.0000,0.0009,-0.0016,-0.0001,-23.3625,-40.8563,-27.1500,
0.243947,0.0000,0.0000,0.0000,0.0009,-0.0016,-0.0001,-23.2500,-40.8563,-27.1313,
0.274272,0.0000,0.0000,0.0000,0.0009,-0.0016,-0.0001,-23.2500,-40.8563,-27.1313,
0.294320,0.0000,0.0000,0.0000,0.0003,-0.0023,0.0003,-23.2500,-40.8563,-27.1313,
0.304528,0.0000,0.0000,0.0000,0.0003,-0.0023,0.0003,-23.2500,-40.8938,-27.1875,
0.314489,0.0000,0.0000,0.0000,0.0003,-0.0023,0.0003,-23.2500,-40.8938,-27.1875,
0.334324,0.0000,0.0000,0.0000,0.0003,-0.0023,0.0003,-23.2500,-40.8938,-27.1875,
0.357162,0.0000,0.0000,0.0000,0.0003,-0.0008,0.0005,-23.2500,-40.8938,-27.1875,
0.365531,0.0000,0.0000,0.0000,0.0003,-0.0008,0.0005,-23.3250,-40.7812,-27.2250,
0.375854,-0.0028,0.0000,0.0037,0.0003,-0.0008,0.0005,-23.3250,-40.7812,-27.2250,
0.395734,-0.0028,0.0000,0.0037,0.0003,-0.0008,0.0005,-23.3250,-40.7812,-27.2250,
0.415582,-0.0028,0.0000,0.0037,0.0016,-0.0023,0.0009,-23.3250,-40.7812,-27.2250,
0.423346,-0.0028,0.0000,0.0037,0.0016,-0.0023,0.0009,-23.3438,-40.8750,-27.1875,
0.456964,-0.0028,0.0000,0.0037,0.0016,-0.0023,0.0009,-23.3438,-40.8750,-27.1875,
0.458517,0.0074,-0.0014,-0.0061,0.0016,-0.0023,0.0009,-23.3438,-40.8750,-27.1875,
0.478234,0.0074,-0.0014,-0.0061,-0.0005,0.0013,0.0003,-23.3438,-40.8750,-27.1875,
0.482382,0.0074,-0.0014,-0.0061,-0.0005,0.0013,0.0003,-23.3625,-40.8750,-27.2063,
0.516797,0.0074,-0.0014,-0.0061,-0.0005,0.0013,0.0003,-23.3625,-40.8750,-27.2063,
0.518292,0.0029,-0.0015,0.0033,-0.0005,0.0013,0.0003,-23.3625,-40.8750,-27.2063,
0.539872,0.0029,-0.0015,0.0033,0.0020,-0.0048,-0.0001,-23.3625,-40.8750,-27.2063,
0.543223,0.0029,-0.0015,0.0033,0.0020,-0.0048,-0.0001,-23.2875,-40.8563,-27.3000,
0.579375,-0.0094,-0.0021,0.0053,0.0020,-0.0048,-0.0001,-23.2875,-40.8563,-27.3000,
0.581782,-0.0094,-0.0021,0.0053,0.0020,-0.0048,-0.0001,-23.2875,-40.8563,-27.3000,
0.598242,-0.0094,-0.0021,0.0053,-0.0033,0.0041,0.0013,-23.2875,-40.8563,-27.3000,
