time,ax,ay,az,wx,wy,wz,Bx,By,Bz,Unnamed: 10,time_diff,acc_mag,acc_mag_filtered,label
0.078939,0.0,0.0,0.0,0.0056,0.0305,-0.0112,0.0,0.0,0.0,,0.0,0.0,0.0006868577414387921,non_fall
0.106761,0.0,0.0,0.0,0.0056,0.0305,-0.0112,0.0,0.0,0.0,,0.027822,0.0,-0.004259270597683717,non_fall
0.124691,0.0,0.0,0.0,0.0056,0.0305,-0.0112,50.25,24.3,18.8813,,0.01793,0.0,-0.008893562740391471,non_fall
0.149057,0.0,0.0,0.0,0.0056,0.0305,-0.0112,50.25,24.3,18.8813,,0.024366,0.0,-0.012514601525860503,non_fall
0.167344,0.0,0.0,0.0,0.0241,-0.1278,-0.0318,50.25,24.3,18.8813,,0.018286999999999998,0.0,-0.014186696333701692,non_fall
0.185347,0.0,0.0,0.0,0.0241,-0.1278,-0.0318,50.9813,24.4688,19.2563,,0.01800300000000002,0.0,-0.012783657258652319,non_fall
0.208943,0.0,0.0,0.0,0.0241,-0.1278,-0.0318,50.9813,24.4688,19.2563,,0.023595999999999978,0.0,-0.007160220314115797,non_fall
0.210756,0.0,0.0,0.0,0.0241,-0.1278,-0.0318,50.9813,24.4688,19.2563,,0.001813000000000009,0.0,0.0035703131711951777,non_fall
0.228288,0.0,0.0,0.0,-0.0051,0.1374,0.0446,50.9813,24.4688,19.2563,,0.017531999999999992,0.0,0.019715214378793148,non_fall
0.244758,0.0,0.0,0.0,-0.0051,0.1374,0.0446,51.2625,24.45,19.6125,,0.016470000000000012,0.0,0.0407336322175951,non_fall
0.271296,0.0,0.0,0.0,-0.0051,0.1374,0.0446,51.2625,24.45,19.6125,,0.02653799999999998,0.0,0.06512393508701883,non_fall
0.273458,0.139,0.0292,-0.0288,-0.0051,0.1374,0.0446,51.2625,24.45,19.6125,,0.0021619999999999973,0.14492439408187985,0.09054062644678412,non_fall
0.290356,0.139,0.0292,-0.0288,-0.0108,-0.0919,-0.0144,51.2625,24.45,19.6125,,0.016898000000000024,0.14492439408187985,0.11414276000098614,non_fall
0.304201,0.139,0.0292,-0.0288,-0.0108,-0.0919,-0.0144,51.3,24.5625,19.6125,,0.013844999999999996,0.14492439408187985,0.13309029502809694,non_fall
0.32933,0.139,0.0292,-0.0288,-0.0108,-0.0919,-0.0144,51.3,24.5625,19.6125,,0.025129000000000012,0.14492439408187985,0.14505499605160393,non_fall
0.349843,0.139,0.0292,-0.0288,-0.0441,0.0369,0.0214,51.3,24.5625,19.6125,,0.020513000000000003,0.14492439408187985,0.14862575317868218,non_fall
0.351451,-0.133,-0.0022,0.0384,-0.0441,0.0369,0.0214,51.3,24.5625,19.6125,,0.0016079999999999983,0.13844999097146957,0.1435416038499728,non_fall
0.365683,-0.133,-0.0022,0.0384,-0.0441,0.0369,0.0214,51.1313,24.2813,19.6688,,0.014231999999999967,0.13844999097146957,0.13073495862634038,non_fall
0.391657,-0.133,-0.0022,0.0384,-0.0441,0.0369,0.0214,51.1313,24.2813,19.6688,,0.025973999999999997,0.13844999097146957,0.11219125242477562,non_fall
0.4115,-0.133,-0.0022,0.0384,-0.0494,0.0004,0.0091,51.1313,24.2813,19.6688,,0.019843,0.13844999097146957,0.09063934135380852,non_fall
0.413054,0.0107,-0.0067,-0.009,-0.0494,0.0004,0.0091,51.1313,24.2813,19.6688,,0.0015539999999999998,0.015504192981255101,0.06910236765162409,non_fall
0.425581,0.0107,-0.0067,-0.009,-0.0494,0.0004,0.0091,51.3188,24.225,19.6688,,0.01252700000000001,0.015504192981255101,0.050375449640865294,non_fall
0.451543,0.0107,-0.0067,-0.009,-0.0494,0.0004,0.0091,51.3188,24.225,19.6688,,0.02596200000000004,0.015504192981255101,0.036540008892733,non_fall
