filename,fall_peak_time,peak_acceleration,total_samples,fall_samples,non_fall_samples
p10_ankle_bf_1.csv,3.188889,18.570069979168768,548,129,419
p10_ankle_bf_2.csv,2.53662,16.695298476269272,463,129,334
p10_ankle_bf_3.csv,2.794525,27.982401641991828,397,127,270
p1_ankle_bf_1.csv,2.581051,19.96669961102456,567,127,440
p1_ankle_bf_2.csv,3.127192,11.30631513348736,771,129,642
p1_ankle_bf_3.csv,2.463886,13.503488599657336,712,127,585
p2_ankle_bf_1.csv,4.320917,17.252690428236598,604,129,475
p2_ankle_bf_2.csv,3.222718,11.696123963346766,555,129,426
p2_ankle_bf_3.csv,3.478494,27.29351211548594,431,129,302
p3_ankle_bf_1.csv,4.550145,10.06327812801709,607,129,478
p3_ankle_bf_2.csv,3.496446,11.454028535918194,646,129,517
p3_ankle_bf_3.csv,2.400472,12.689623950177625,468,129,339
p4 _ankle_bf_3.csv,4.360652,27.44908252339869,553,129,424
p4_ankle_bf_1.csv,2.938643,16.24695055109782,529,129,400
p4_ankle_bf_2.csv,3.515159,16.60410156225152,854,129,725
p5_ankle_bf_1.csv,3.166175,22.303573979582726,600,129,471
p5_ankle_bf_2.csv,2.874434,18.736561274728864,697,129,568
p5_ankle_bf_3.csv,2.118716,21.515108731648784,572,129,443
p6_ankle_bf_1.csv,2.685431,12.503981630240764,546,129,417
p6_ankle_bf_2.csv,7.4445,10.936947743964026,692,129,563
p6_ankle_bf_3.csv,3.306385,8.89582333572652,713,129,584
p7_ankle_bf_1.csv,3.373962,18.833707829390413,605,127,478
p7_ankle_bf_2.csv,3.98427,19.665574698284487,599,129,470
p7_ankle_bf_3.csv,4.408942,15.921486738505502,872,129,743
p8_ankle_bf_1.csv,7.271932,8.082298986943945,971,129,842
p8_ankle_bf_2.csv,5.655582,10.488402033062243,873,129,744
p8_ankle_bf_3.csv,7.175109,7.76453393753688,1026,129,897
p9_ankle_bf_1.csv,3.947177,15.857523898709102,676,129,547
p9_ankle_bf_2.csv,3.453162,12.517535805891173,533,129,404
p9_ankle_bf_3.csv,4.117796,10.368956967490915,552,129,423
