
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.088097,0.0000,0.0000,0.0000,-0.0229,0.0216,0.0189,0.0000,0.0000,0.0000,
0.142265,0.0000,0.0000,0.0000,-0.0229,0.0216,0.0189,44.9438,17.6625,-4.6125,
0.167675,0.0000,0.0000,0.0000,-0.0120,-0.0678,0.0019,44.9438,17.6625,-4.6125,
0.202304,0.0000,0.0000,0.0000,-0.0120,-0.0678,0.0019,45.6938,17.9813,-4.6875,
0.207333,0.0000,0.0000,0.0000,-0.0141,-0.0213,0.0012,45.6938,17.9813,-4.6875,
0.265664,0.0000,0.0000,0.0000,-0.0141,-0.0213,0.0012,45.7313,18.1125,-4.8938,
0.270987,0.0000,0.0000,0.0000,-0.0154,0.0901,0.0037,45.7313,18.1125,-4.8938,
0.273312,0.0000,0.0000,0.0000,-0.0154,0.0901,0.0037,45.7313,18.1125,-4.8938,
0.289512,0.0000,0.0000,0.0000,-0.0154,0.0901,0.0037,45.7313,18.1125,-4.8938,
0.323443,0.0000,0.0000,0.0000,-0.0154,0.0901,0.0037,45.7125,18.2625,-4.5375,
0.332237,0.0000,0.0000,0.0000,-0.0201,0.1835,-0.0344,45.7125,18.2625,-4.5375,
0.333610,0.0000,0.0000,0.0000,-0.0201,0.1835,-0.0344,45.7125,18.2625,-4.5375,
0.372237,-0.1879,-0.0574,0.0412,-0.0201,0.1835,-0.0344,45.7125,18.2625,-4.5375,
0.381485,-0.1879,-0.0574,0.0412,-0.0201,0.1835,-0.0344,45.6375,18.3188,-4.2375,
0.390023,-0.1879,-0.0574,0.0412,0.0048,-0.1626,-0.0638,45.6375,18.3188,-4.2375,
0.391372,-0.1879,-0.0574,0.0412,0.0048,-0.1626,-0.0638,45.6375,18.3188,-4.2375,
0.430449,0.2169,0.0781,-0.0325,0.0048,-0.1626,-0.0638,45.6375,18.3188,-4.2375,
0.441760,0.2169,0.0781,-0.0325,0.0048,-0.1626,-0.0638,45.4313,18.3375,-4.5188,
0.450583,0.2169,0.0781,-0.0325,-0.0091,0.0621,-0.0116,45.4313,18.3375,-4.5188,
0.451509,0.2169,0.0781,-0.0325,-0.0091,0.0621,-0.0116,45.4313,18.3375,-4.5188,
0.491919,0.0739,0.0116,-0.0224,-0.0091,0.0621,-0.0116,45.4313,18.3375,-4.5188,
0.501698,0.0739,0.0116,-0.0224,-0.0091,0.0621,-0.0116,45.4500,18.4125,-4.7063,
0.512081,0.0739,0.0116,-0.0224,-0.0091,0.0621,-0.0116,45.4500,18.4125,-4.7063,
0.513025,0.0739,0.0116,-0.0224,0.0040,0.0277,-0.0176,45.4500,18.4125,-4.7063,
0.562065,0.0739,0.0116,-0.0224,0.0040,0.0277,-0.0176,45.4313,18.4313,-4.6313,
0.574117,0.0739,0.0116,-0.0224,0.0069,0.0003,-0.0144,45.4313,18.4313,-4.6313,
0.575319,0.0739,0.0116,-0.0224,0.0069,0.0003,-0.0144,45.4313,18.4313,-4.6313,
0.576108,-0.0020,0.0063,0.0082,0.0069,0.0003,-0.0144,45.4313,18.4313,-4.6313,
0.622937,-0.0020,0.0063,0.0082,0.0069,0.0003,-0.0144,45.4688,18.6000,-4.6125,
0.633378,-0.0020,0.0063,0.0082,0.0019,0.0075,-0.0095,45.4688,18.6000,-4.6125,
0.634295,-0.0020,0.0063,0.0082,0.0019,0.0075,-0.0095,45.4688,18.6000,-4.6125,
0.634818,0.0027,0.0051,0.0111,0.0019,0.0075,-0.0095,45.4688,18.6000,-4.6125,
0.681638,0.0027,0.0051,0.0111,0.0019,0.0075,-0.0095,45.3750,18.7500,-4.5563,
0.694635,0.0027,0.0051,0.0111,0.0019,0.0075,-0.0095,45.3750,18.7500,-4.5563,
0.695611,0.0027,0.0051,0.0111,0.0027,0.0099,-0.0063,45.3750,18.7500,-4.5563,
