
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.103382,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.135652,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.156641,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,43.1625,6.7500,18.2438,
0.198495,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,43.1625,6.7500,18.2438,
0.199158,0.0000,0.0000,0.0000,0.0033,-0.0601,0.0060,43.1625,6.7500,18.2438,
0.216272,0.0000,0.0000,0.0000,0.0033,-0.0601,0.0060,43.2563,7.0875,18.4875,
0.217328,-0.0144,0.0207,0.0011,0.0033,-0.0601,0.0060,43.2563,7.0875,18.4875,
0.258937,-0.0144,0.0207,0.0011,0.0140,-0.0722,-0.0075,43.2563,7.0875,18.4875,
0.260949,-0.0144,0.0207,0.0011,0.0140,-0.0722,-0.0075,43.2563,7.0875,18.4875,
0.275787,-0.0144,0.0207,0.0011,0.0140,-0.0722,-0.0075,43.0312,6.9000,18.2063,
0.298392,0.0301,-0.0540,-0.0022,0.0140,-0.0722,-0.0075,43.0312,6.9000,18.2063,
0.318854,0.0301,-0.0540,-0.0022,0.0140,-0.0722,-0.0075,43.0312,6.9000,18.2063,
0.319935,0.0301,-0.0540,-0.0022,0.0261,-0.0349,-0.0277,43.0312,6.9000,18.2063,
0.335425,0.0301,-0.0540,-0.0022,0.0261,-0.0349,-0.0277,42.9750,7.0125,18.2063,
0.360824,-0.0127,0.0034,0.0281,0.0261,-0.0349,-0.0277,42.9750,7.0125,18.2063,
0.379304,-0.0127,0.0034,0.0281,0.0438,-0.0117,-0.0330,42.9750,7.0125,18.2063,
0.380529,-0.0127,0.0034,0.0281,0.0438,-0.0117,-0.0330,42.9750,7.0125,18.2063,
0.395697,-0.0127,0.0034,0.0281,0.0438,-0.0117,-0.0330,42.8625,6.8813,18.3188,
0.420621,0.0334,-0.0502,0.0298,0.0438,-0.0117,-0.0330,42.8625,6.8813,18.3188,
0.441159,0.0334,-0.0502,0.0298,0.0537,0.0467,-0.0132,42.8625,6.8813,18.3188,
0.443551,0.0334,-0.0502,0.0298,0.0537,0.0467,-0.0132,42.8625,6.8813,18.3188,
0.456001,0.0334,-0.0502,0.0298,0.0537,0.0467,-0.0132,42.6000,6.7500,18.2812,
0.481185,0.0329,0.0630,-0.0620,0.0537,0.0467,-0.0132,42.6000,6.7500,18.2812,
0.501095,0.0329,0.0630,-0.0620,0.0537,0.0467,-0.0132,42.6000,6.7500,18.2812,
0.502073,0.0329,0.0630,-0.0620,0.0289,0.1270,0.0096,42.6000,6.7500,18.2812,
0.516188,0.0329,0.0630,-0.0620,0.0289,0.1270,0.0096,42.6375,6.8063,18.4688,
0.563214,0.0329,0.0630,-0.0620,-0.0184,-0.0040,0.0156,42.6375,6.8063,18.4688,
0.564446,0.0329,0.0630,-0.0620,-0.0184,-0.0040,0.0156,42.6375,6.8063,18.4688,
0.565149,-0.0705,0.0135,-0.0323,-0.0184,-0.0040,0.0156,42.6375,6.8063,18.4688,
0.575514,-0.0705,0.0135,-0.0323,-0.0184,-0.0040,0.0156,42.7500,6.8625,18.6375,
0.624202,-0.0705,0.0135,-0.0323,-0.0308,-0.1065,-0.0455,42.7500,6.8625,18.6375,
0.626906,-0.0705,0.0135,-0.0323,-0.0308,-0.1065,-0.0455,42.7500,6.8625,18.6375,
0.628243,-0.0288,0.0241,-0.0402,-0.0308,-0.1065,-0.0455,42.7500,6.8625,18.6375,
0.635768,-0.0288,0.0241,-0.0402,-0.0308,-0.1065,-0.0455,42.7500,7.0500,18.7125,
0.684445,0.0218,0.0250,-0.0048,-0.0308,-0.1065,-0.0455,42.7500,7.0500,18.7125,
0.686846,0.0218,0.0250,-0.0048,-0.0450,-0.0309,-0.0296,42.7500,7.0500,18.7125,
0.688650,0.0218,0.0250,-0.0048,-0.0450,-0.0309,-0.0296,42.7500,7.0500,18.7125,
0.695578,0.0218,0.0250,-0.0048,-0.0450,-0.0309,-0.0296,42.6188,7.0313,18.6938,
0.745034,0.0218,0.0250,-0.0048,-0.0450,-0.0309,-0.0296,42.6188,7.0313,18.6938,
0.746300,0.0218,0.0250,-0.0048,-0.0357,-0.0083,-0.0352,42.6188,7.0313,18.6938,
0.757872,0.0218,0.0250,-0.0048,-0.0357,-0.0083,-0.0352,42.6938,7.1063,18.8250,
