time,ax,ay,az,wx,wy,wz,Bx,By,Bz,Unnamed: 10,time_diff,acc_mag,acc_mag_filtered,label
0.088357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,-0.0003120378336075923,non_fall
0.111022,0.0,0.0,0.0,0.0,0.0,0.0,41.3813,23.5875,2.7563,,0.02266499999999999,0.0,9.512553981005457e-05,non_fall
0.128675,0.0,0.0,0.0,0.0075,-0.0024,0.0079,41.3813,23.5875,2.7563,,0.017653000000000016,0.0,0.0005092307954638812,non_fall
0.149254,0.0,0.0,0.0,0.0075,-0.0024,0.0079,41.3813,23.5875,2.7563,,0.020578999999999986,0.0,0.0007252962481764562,non_fall
0.171432,0.0,0.0,0.0,0.0075,-0.0024,0.0079,41.25,23.5875,2.6813,,0.022178000000000003,0.0,0.0005945279600902006,non_fall
0.192075,0.0,0.0,0.0,-0.0071,-0.0276,-0.0071,41.25,23.5875,2.6813,,0.020642999999999995,0.0,7.994475711021689e-05,non_fall
0.194983,0.0,0.0,0.0,-0.0071,-0.0276,-0.0071,41.25,23.5875,2.6813,,0.002907999999999994,0.0,-0.0006967651476500045,non_fall
0.210554,0.0,0.0,0.0,-0.0071,-0.0276,-0.0071,41.25,23.5875,2.6813,,0.015571000000000002,0.0,-0.0014251940862880245,non_fall
0.233347,0.0,0.0,0.0,-0.0071,-0.0276,-0.0071,41.2313,23.475,3.15,,0.022793000000000008,0.0,-0.0016019984505496437,non_fall
0.251102,-0.0069,-0.0018,0.0017,-0.0071,-0.0276,-0.0071,41.2313,23.475,3.15,,0.017754999999999993,0.007330757123244502,-0.0005610223694955326,non_fall
0.252111,-0.0069,-0.0018,0.0017,-0.0138,-0.0241,-0.0117,41.2313,23.475,3.15,,0.0010089999999999821,0.007330757123244502,0.0024568032008952874,non_fall
0.271475,-0.0069,-0.0018,0.0017,-0.0138,-0.0241,-0.0117,41.2313,23.475,3.15,,0.019364000000000048,0.007330757123244502,0.008195237423670666,non_fall
0.294966,-0.0069,-0.0018,0.0017,-0.0138,-0.0241,-0.0117,41.1,23.2125,3.0,,0.023490999999999984,0.007330757123244502,0.017248710250331787,non_fall
0.312928,-0.0069,-0.0018,0.0017,-0.0192,0.0196,0.0104,41.1,23.2125,3.0,,0.017961999999999978,0.007330757123244502,0.02992700811138861,non_fall
0.314534,-0.0495,-0.0506,0.0159,-0.0192,0.0196,0.0104,41.1,23.2125,3.0,,0.0016059999999999963,0.07254943142437438,0.046148326422923464,non_fall
0.332408,-0.0495,-0.0506,0.0159,-0.0192,0.0196,0.0104,41.1,23.2125,3.0,,0.017874,0.07254943142437438,0.0653828581773009,non_fall
0.351336,-0.0495,-0.0506,0.0159,-0.0192,0.0196,0.0104,40.875,22.9688,3.1313,,0.018928,0.07254943142437438,0.08665438670105788,non_fall
0.373687,-0.0495,-0.0506,0.0159,-0.0132,0.0246,0.0192,40.875,22.9688,3.1313,,0.02235100000000001,0.07254943142437438,0.10859896632770145,non_fall
0.375578,0.1387,0.0787,-0.0141,-0.0132,0.0246,0.0192,40.875,22.9688,3.1313,,0.0018910000000000315,0.1600943159515665,0.12958051309299373,non_fall
0.39323,0.1387,0.0787,-0.0141,-0.0132,0.0246,0.0192,40.875,22.9688,3.1313,,0.017652,0.1600943159515665,0.14785917095329698,non_fall
0.412486,0.1387,0.0787,-0.0141,-0.0132,0.0246,0.0192,40.8188,22.9313,3.1688,,0.019255999999999995,0.1600943159515665,0.16179245126660355,non_fall
0.434343,0.1387,0.0787,-0.0141,0.0132,0.0068,-0.0028,40.8188,22.9313,3.1688,,0.02185699999999996,0.1600943159515665,0.1700362812430508,non_fall
0.453874,0.1387,0.0787,-0.0141,0.0132,0.0068,-0.0028,40.8188,22.9313,3.1688,,0.01953100000000002,0.1600943159515665,0.17171815509822458,non_fall
0.455597,-0.1559,-0.056,-0.0164,0.0132,0.0068,-0.0028,40.8188,22.9313,3.1688,,0.0017229999999999746,0.166462518303671,0.1665686974939914,non_fall
0.471754,-0.1559,-0.056,-0.0164,0.0132,0.0068,-0.0028,40.8563,23.0063,3.0188,,0.016157000000000032,0.166462518303671,0.1550014875236713,non_fall
0.495154,-0.1559,-0.056,-0.0164,0.0039,-0.012,-0.0071,40.8563,23.0063,3.0188,,0.023399999999999976,0.166462518303671,0.13811987991595126,non_fall
0.514232,-0.1559,-0.056,-0.0164,0.0039,-0.012,-0.0071,40.8563,23.0063,3.0188,,0.01907800000000004,0.166462518303671,0.11761952833755229,non_fall
0.515168,0.0221,-0.0196,-0.0355,0.0039,-0.012,-0.0071,40.8563,23.0063,3.0188,,0.0009359999999999369,0.04618246420450082,0.09556735165361166,non_fall
0.530347,0.0221,-0.0196,-0.0355,0.0039,-0.012,-0.0071,40.9313,22.8938,3.1313,,0.015179000000000054,0.04618246420450082,0.0740796099701083,non_fall
0.555538,0.0221,-0.0196,-0.0355,-0.0068,-0.0009,0.0021,40.9313,22.8938,3.1313,,0.025190999999999963,0.04618246420450082,0.054974000542563864,non_fall
0.574969,0.0128,-0.0091,0.0233,-0.0068,-0.0009,0.0021,40.9313,22.8938,3.1313,,0.019430999999999976,0.028098754420792394,0.03949488294765354,non_fall
0.576183,0.0128,-0.0091,0.0233,-0.0068,-0.0009,0.0021,40.9313,22.8938,3.1313,,0.0012140000000000484,0.028098754420792394,0.028185826223651008,non_fall
0.591045,0.0128,-0.0091,0.0233,-0.0068,-0.0009,0.0021,40.9875,22.8188,3.15,,0.014862000000000042,0.028098754420792394,0.020927450263379815,non_fall
0.61578,0.0128,-0.0091,0.0233,-0.0039,0.0065,-0.0007,40.9875,22.8188,3.15,,0.02473499999999995,0.028098754420792394,0.017105239454679764,non_fall
0.63611,0.0128,-0.0091,0.0233,-0.0039,0.0065,-0.0007,40.9875,22.8188,3.15,,0.02032999999999996,0.028098754420792394,0.015841563720401193,non_fall
0.650477,0.0128,-0.0091,0.0233,-0.0039,0.0065,-0.0007,41.025,22.8563,3.1688,,0.014367000000000019,0.028098754420792394,0.016221210246880002,non_fall
0.655796,-0.014,0.0024,0.0039,-0.0039,0.0065,-0.0007,41.025,22.8563,3.1688,,0.005319000000000074,0.014729901561110313,0.017455959266168133,non_fall
0.676353,-0.014,0.0024,0.0039,-0.0057,0.0072,0.0051,41.025,22.8563,3.1688,,0.020556999999999936,0.014729901561110313,0.018963324588091343,non_fall
0.698003,-0.014,0.0024,0.0039,-0.0057,0.0072,0.0051,41.025,22.8563,3.1688,,0.021650000000000058,0.014729901561110313,0.02036631929895495,non_fall
0.71052,-0.014,0.0024,0.0039,-0.0057,0.0072,0.0051,41.1188,22.7812,3.0375,,0.012517,0.014729901561110313,0.021443493838566287,non_fall
0.717452,0.0159,0.014,-0.0017,-0.0057,0.0072,0.0051,41.1188,22.7812,3.0375,,0.006931999999999938,0.021253235047869773,0.022065141500582124,non_fall
0.737214,0.0159,0.014,-0.0017,0.0081,0.0025,-0.0032,41.1188,22.7812,3.0375,,0.019762000000000057,0.021253235047869773,0.022144127023812497,non_fall
0.757664,0.0159,0.014,-0.0017,0.0081,0.0025,-0.0032,41.1188,22.7812,3.0375,,0.020449999999999968,0.021253235047869773,0.021615344409239786,non_fall
0.771262,0.0159,0.014,-0.0017,0.0081,0.0025,-0.0032,41.2688,22.9125,3.1125,,0.013597999999999999,0.021253235047869773,0.02044365189477274,non_fall
0.777816,-0.0131,-0.0029,-0.0139,0.0081,0.0025,-0.0032,41.2688,22.9125,3.1125,,0.006553999999999949,0.019319161472486326,0.018650371940802945,non_fall
0.799037,-0.0131,-0.0029,-0.0139,0.0043,-0.0017,-0.0013,41.2688,22.9125,3.1125,,0.021221000000000045,0.019319161472486326,0.016343644796066793,non_fall
0.818434,-0.0131,-0.0029,-0.0139,0.0043,-0.0017,-0.0013,41.2688,22.9125,3.1125,,0.019396999999999998,0.019319161472486326,0.013737007648371397,non_fall
0.830285,-0.0131,-0.0029,-0.0139,0.0043,-0.0017,-0.0013,41.6063,23.0625,3.0938,,0.011851000000000056,0.019319161472486326,0.011143037447333437,non_fall
0.838483,0.0022,0.002,0.0003,0.0043,-0.0017,-0.0013,41.6063,23.0625,3.0938,,0.008197999999999928,0.002988310559496787,0.008935446273687194,non_fall
0.859373,0.0022,0.002,0.0003,0.0039,0.0025,-0.0013,41.6063,23.0625,3.0938,,0.020890000000000075,0.002988310559496787,0.0074838400071453445,non_fall
0.880046,0.0022,0.002,0.0003,0.0039,0.0025,-0.0013,41.6063,23.0625,3.0938,,0.02067299999999994,0.002988310559496787,0.007077312859146005,non_fall
0.89077,0.0022,0.002,0.0003,0.0039,0.0025,-0.0013,41.6813,23.1,2.8688,,0.010723999999999956,0.002988310559496787,0.007859908822562373,non_fall
0.921069,0.0022,0.002,0.0003,0.0071,-0.0024,-0.0138,41.6813,23.1,2.8688,,0.030299000000000076,0.002988310559496787,0.009798258856551086,non_fall
0.921984,-0.0208,-0.004,0.0056,0.0071,-0.0024,-0.0138,41.6813,23.1,2.8688,,0.0009149999999999991,0.021908902300206645,0.01269048273198286,non_fall
0.940484,-0.0208,-0.004,0.0056,0.0071,-0.0024,-0.0138,41.6813,23.1,2.8688,,0.01849999999999996,0.021908902300206645,0.01621084145465679,non_fall
0.951564,-0.0208,-0.004,0.0056,0.0071,-0.0024,-0.0138,41.775,23.1,3.0188,,0.011079999999999979,0.021908902300206645,0.019972987521055443,non_fall
0.981522,-0.0208,-0.004,0.0056,0.0047,-0.002,-0.0194,41.775,23.1,3.0188,,0.02995800000000004,0.021908902300206645,0.023591555717948683,non_fall
