filename,fall_peak_time,peak_acceleration,total_samples,fall_samples,non_fall_samples
p10_ankle_ff_1.csv,3.661639,25.703301602600458,818,129,689
p10_ankle_ff_2.csv,2.187773,21.52158884914285,546,129,417
p10_ankle_ff_3.csv,1.931348,26.73102787365385,572,129,443
p1_ankle_ff_1.csv,3.515816,25.939533816895825,796,129,667
p1_ankle_ff_2.csv,3.003407,27.154731096013762,623,129,494
p1_ankle_ff_3.csv,3.142812,28.2707149015156,595,129,466
p2_ankle_ff_1.csv,3.275202,21.73029901575457,606,129,477
p2_ankle_ff_2.csv,3.32937,39.96218217208873,391,87,304
p2_ankle_ff_3.csv,3.115764,21.483798428863285,571,129,442
p3_ankle_ff_1.csv,3.258507,18.278442447501,505,129,376
p3_ankle_ff_2.csv,2.451578,18.543854481700365,391,97,294
p3_ankle_ff_3.csv,3.419329,32.057078744754804,579,127,452
p4_ankle_ff_1.csv,4.768905,9.751548040405053,622,129,493
p4_ankle_ff_2.csv,3.540408,13.973648891950647,606,129,477
p4_ankle_ff_3.csv,3.844188,17.499335677734123,529,129,400
p5_ankle_ff_1.csv,2.995895,13.478587669333068,517,129,388
p5_ankle_ff_2.csv,1.98906,13.665345950664658,412,129,283
p5_ankle_ff_3.csv,2.548126,28.827867607424423,485,129,356
p6_ankle_ff_1.csv,2.232264,7.2276043628106175,491,129,362
p6_ankle_ff_2.csv,2.76899,17.46916431802014,515,129,386
p6_ankle_ff_3.csv,2.76899,17.46916431802014,515,129,386
p7_ankle_ff_1.csv,3.630628,13.507793094834952,578,129,449
p7_ankle_ff_2.csv,2.827542,18.58659931925632,855,129,726
p7_ankle_ff_3.csv,5.392362,7.024263947511598,936,129,807
p8_ankle_ff_1.csv,4.368237,10.251006430847582,911,129,782
p8_ankle_ff_2.csv,6.184269,12.53981481768881,1032,129,903
p8_ankle_ff_3.csv,7.31483,7.312159214342863,1008,129,879
p9_ankle_ff_1.csv,4.632184,17.133483759242747,679,129,550
p9_ankle_ff_2.csv,3.812717,33.253620850348625,627,129,498
p9_ankle_ff_3.csv,3.059415,23.00117573581769,570,129,441
