
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.090596,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.109658,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,39.6188,21.7875,5.3063,
0.129565,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,39.6188,21.7875,5.3063,
0.150447,0.0000,0.0000,0.0000,-0.0039,0.0012,-0.0085,39.6188,21.7875,5.3063,
0.169180,0.0274,0.0241,0.0017,-0.0039,0.0012,-0.0085,39.6188,21.7875,5.3063,
0.169782,0.0274,0.0241,0.0017,-0.0039,0.0012,-0.0085,39.3375,22.3125,5.2688,
0.191108,0.0274,0.0241,0.0017,-0.0039,0.0012,-0.0085,39.3375,22.3125,5.2688,
0.210234,0.0274,0.0241,0.0017,-0.0117,-0.0041,0.0029,39.3375,22.3125,5.2688,
0.227564,0.0274,0.0241,0.0017,-0.0117,-0.0041,0.0029,39.3188,22.4250,5.1938,
0.251107,0.0274,0.0241,0.0017,-0.0117,-0.0041,0.0029,39.3188,22.4250,5.1938,
0.253396,0.0161,0.0084,0.0025,-0.0117,-0.0041,0.0029,39.3188,22.4250,5.1938,
0.270501,0.0161,0.0084,0.0025,-0.0164,0.0087,0.0206,39.3188,22.4250,5.1938,
0.287383,0.0161,0.0084,0.0025,-0.0164,0.0087,0.0206,39.6188,22.4250,4.9875,
0.311474,0.0161,0.0084,0.0025,-0.0164,0.0087,0.0206,39.6188,22.4250,4.9875,
0.312349,0.0059,-0.0008,-0.0121,-0.0164,0.0087,0.0206,39.6188,22.4250,4.9875,
0.332428,0.0059,-0.0008,-0.0121,-0.0053,0.0204,0.0302,39.6188,22.4250,4.9875,
0.349420,0.0059,-0.0008,-0.0121,-0.0053,0.0204,0.0302,39.8250,22.5000,5.0813,
0.375356,0.0156,0.0256,-0.0111,-0.0053,0.0204,0.0302,39.8250,22.5000,5.0813,
0.376565,0.0156,0.0256,-0.0111,-0.0053,0.0204,0.0302,39.8250,22.5000,5.0813,
0.392880,0.0156,0.0256,-0.0111,0.0064,0.0228,0.0422,39.8250,22.5000,5.0813,
0.408063,0.0156,0.0256,-0.0111,0.0064,0.0228,0.0422,39.9000,22.3688,5.0813,
0.434003,0.0156,0.0256,-0.0111,0.0064,0.0228,0.0422,39.9000,22.3688,5.0813,
0.435019,-0.0182,-0.0206,0.0001,0.0064,0.0228,0.0422,39.9000,22.3688,5.0813,
0.453966,-0.0182,-0.0206,0.0001,0.0103,0.0072,0.0366,39.9000,22.3688,5.0813,
0.468072,-0.0182,-0.0206,0.0001,0.0103,0.0072,0.0366,40.0312,22.3500,5.2125,
0.494681,-0.0182,-0.0206,0.0001,0.0103,0.0072,0.0366,40.0312,22.3500,5.2125,
0.516200,-0.0323,0.0049,0.0185,0.0103,0.0072,0.0366,40.0312,22.3500,5.2125,
0.518638,-0.0323,0.0049,0.0185,0.0017,-0.0393,-0.0085,40.0312,22.3500,5.2125,
0.528335,-0.0323,0.0049,0.0185,0.0017,-0.0393,-0.0085,40.0875,22.1813,5.2500,
0.555349,-0.0323,0.0049,0.0185,0.0017,-0.0393,-0.0085,40.0875,22.1813,5.2500,
0.575363,-0.0323,0.0049,0.0185,0.0092,0.0321,0.0373,40.0875,22.1813,5.2500,
0.575917,0.1123,0.0101,-0.0145,0.0092,0.0321,0.0373,40.0875,22.1813,5.2500,
