
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.067074,0.0000,0.0000,0.0000,-0.0101,0.1846,0.0594,0.0000,0.0000,0.0000,
0.108285,0.0000,0.0000,0.0000,-0.0101,0.1846,0.0594,-5.9625,-1.2375,22.4813,
0.160440,0.0000,0.0000,0.0000,0.0019,0.0245,0.0097,-5.9625,-1.2375,22.4813,
0.168931,0.0000,0.0000,0.0000,0.0019,0.0245,0.0097,-1.2938,7.3125,35.0813,
0.201000,0.0000,0.0000,0.0000,0.0044,0.0160,0.0061,-1.2938,7.3125,35.0813,
0.228853,0.0000,0.0000,0.0000,0.0044,0.0160,0.0061,0.2063,9.9750,39.0000,
0.261252,0.0000,0.0000,0.0000,0.0044,0.0160,0.0061,0.2063,9.9750,39.0000,
0.262656,0.0000,0.0000,0.0000,0.0048,-0.0015,0.0016,0.2063,9.9750,39.0000,
0.281536,0.0000,0.0000,0.0000,0.0048,-0.0015,0.0016,0.2063,9.9750,39.0000,
0.287833,0.0000,0.0000,0.0000,0.0048,-0.0015,0.0016,0.9188,11.4563,40.9688,
0.322473,0.0000,0.0000,0.0000,-0.0016,-0.0085,-0.0005,0.9188,11.4563,40.9688,
0.323637,0.0000,0.0000,0.0000,-0.0016,-0.0085,-0.0005,0.9188,11.4563,40.9688,
0.347802,0.0000,0.0000,0.0000,-0.0016,-0.0085,-0.0005,1.4250,12.4313,42.1875,
0.364140,0.0129,-0.0033,-0.0081,-0.0016,-0.0085,-0.0005,1.4250,12.4313,42.1875,
0.383529,0.0129,-0.0033,-0.0081,-0.0027,-0.0029,-0.0013,1.4250,12.4313,42.1875,
0.384915,0.0129,-0.0033,-0.0081,-0.0027,-0.0029,-0.0013,1.4250,12.4313,42.1875,
0.408331,0.0129,-0.0033,-0.0081,-0.0027,-0.0029,-0.0013,1.6500,12.8250,42.8438,
0.423368,0.0084,-0.0039,-0.0227,-0.0027,-0.0029,-0.0013,1.6500,12.8250,42.8438,
0.443899,0.0084,-0.0039,-0.0227,0.0027,0.0024,-0.0027,1.6500,12.8250,42.8438,
0.447085,0.0084,-0.0039,-0.0227,0.0027,0.0024,-0.0027,1.6500,12.8250,42.8438,
0.470880,0.0084,-0.0039,-0.0227,0.0027,0.0024,-0.0027,1.9125,13.1813,43.4062,
0.484116,-0.0007,-0.0004,0.0074,0.0027,0.0024,-0.0027,1.9125,13.1813,43.4062,
0.507292,-0.0007,-0.0004,0.0074,0.0027,0.0024,-0.0027,1.9125,13.1813,43.4062,
0.510095,-0.0007,-0.0004,0.0074,-0.0016,0.0043,-0.0037,1.9125,13.1813,43.4062,
0.529676,-0.0007,-0.0004,0.0074,-0.0016,0.0043,-0.0037,2.0625,13.5563,43.6688,
0.567555,-0.0007,-0.0004,0.0074,-0.0067,0.0013,-0.0059,2.0625,13.5563,43.6688,
0.569462,0.0047,-0.0001,-0.0009,-0.0067,0.0013,-0.0059,2.0625,13.5563,43.6688,
0.570587,0.0047,-0.0001,-0.0009,-0.0067,0.0013,-0.0059,2.0625,13.5563,43.6688,
0.587990,0.0047,-0.0001,-0.0009,-0.0067,0.0013,-0.0059,3.2438,15.6750,46.6500,
0.626876,0.0047,-0.0001,-0.0009,-0.0067,0.0013,-0.0059,3.2438,15.6750,46.6500,
0.628722,0.0048,-0.0065,-0.0130,-0.0067,0.0013,-0.0059,3.2438,15.6750,46.6500,
0.629544,0.0048,-0.0065,-0.0130,-0.0009,0.0075,-0.0091,3.2438,15.6750,46.6500,
0.648655,0.0048,-0.0065,-0.0130,-0.0009,0.0075,-0.0091,3.3000,15.6938,46.4438,
0.687568,0.0048,-0.0065,-0.0130,0.0012,0.0145,-0.0123,3.3000,15.6938,46.4438,
0.689524,-0.0113,-0.0012,0.0095,0.0012,0.0145,-0.0123,3.3000,15.6938,46.4438,
0.690647,-0.0113,-0.0012,0.0095,0.0012,0.0145,-0.0123,3.3000,15.6938,46.4438,
0.709727,-0.0113,-0.0012,0.0095,0.0012,0.0145,-0.0123,3.3375,15.8438,46.3500,
0.751433,-0.0113,-0.0012,0.0095,0.0012,0.0145,-0.0123,3.3375,15.8438,46.3500,
0.755387,-0.0113,-0.0012,0.0095,-0.0020,0.0177,-0.0127,3.3375,15.8438,46.3500,
0.756787,-0.0012,-0.0018,-0.0002,-0.0020,0.0177,-0.0127,3.3375,15.8438,46.3500,
0.768458,-0.0012,-0.0018,-0.0002,-0.0020,0.0177,-0.0127,3.4313,15.8438,46.2938,
0.809731,-0.0012,-0.0018,-0.0002,-0.0027,0.0060,-0.0148,3.4313,15.8438,46.2938,
0.811486,-0.0012,-0.0018,-0.0002,-0.0027,0.0060,-0.0148,3.4313,15.8438,46.2938,
0.831093,-0.0012,-0.0018,-0.0002,-0.0027,0.0060,-0.0148,3.3563,15.8250,46.0500,
0.833440,-0.0013,-0.0033,0.0067,-0.0027,0.0060,-0.0148,3.3563,15.8250,46.0500,
0.871949,-0.0013,-0.0033,0.0067,-0.0067,0.0141,-0.0137,3.3563,15.8250,46.0500,
0.873926,-0.0013,-0.0033,0.0067,-0.0067,0.0141,-0.0137,3.3563,15.8250,46.0500,
0.888091,-0.0013,-0.0033,0.0067,-0.0067,0.0141,-0.0137,3.4125,15.8813,46.0312,
0.889473,0.0058,0.0041,0.0020,-0.0067,0.0141,-0.0137,3.4125,15.8813,46.0312,
0.930507,0.0058,0.0041,0.0020,-0.0120,0.0045,-0.0101,3.4125,15.8813,46.0312,
0.931791,0.0058,0.0041,0.0020,-0.0120,0.0045,-0.0101,3.4125,15.8813,46.0312,
0.948258,0.0058,0.0041,0.0020,-0.0120,0.0045,-0.0101,3.2438,15.8813,46.0125,
0.950294,0.0125,-0.0039,0.0046,-0.0120,0.0045,-0.0101,3.2438,15.8813,46.0125,
0.991235,0.0125,-0.0039,0.0046,-0.0169,0.0007,-0.0069,3.2438,15.8813,46.0125,
0.992526,0.0125,-0.0039,0.0046,-0.0169,0.0007,-0.0069,3.2438,15.8813,46.0125,
1.008133,0.0125,-0.0039,0.0046,-0.0169,0.0007,-0.0069,3.1688,15.8063,46.0125,
1.035038,0.0043,-0.0037,-0.0036,-0.0169,0.0007,-0.0069,3.1688,15.8063,46.0125,
1.053705,0.0043,-0.0037,-0.0036,-0.0141,-0.0029,-0.0069,3.1688,15.8063,46.0125,
1.054957,0.0043,-0.0037,-0.0036,-0.0141,-0.0029,-0.0069,3.1688,15.8063,46.0125,
1.069258,0.0043,-0.0037,-0.0036,-0.0141,-0.0029,-0.0069,3.0938,15.7125,45.9563,
1.093342,-0.0042,-0.0027,0.0093,-0.0141,-0.0029,-0.0069,3.0938,15.7125,45.9563,
1.113698,-0.0042,-0.0027,0.0093,-0.0141,0.0067,-0.0077,3.0938,15.7125,45.9563,
1.116294,-0.0042,-0.0027,0.0093,-0.0141,0.0067,-0.0077,3.0938,15.7125,45.9563,
1.129294,-0.0042,-0.0027,0.0093,-0.0141,0.0067,-0.0077,3.0750,15.7500,46.1250,
1.154059,0.0088,-0.0065,-0.0077,-0.0141,0.0067,-0.0077,3.0750,15.7500,46.1250,
1.175087,0.0088,-0.0065,-0.0077,-0.0109,0.0113,-0.0080,3.0750,15.7500,46.1250,
1.176297,0.0088,-0.0065,-0.0077,-0.0109,0.0113,-0.0080,3.0750,15.7500,46.1250,
1.187637,0.0088,-0.0065,-0.0077,-0.0109,0.0113,-0.0080,3.0750,15.6750,46.1625,
1.216012,-0.0118,-0.0057,0.0131,-0.0109,0.0113,-0.0080,3.0750,15.6750,46.1625,
1.237303,-0.0118,-0.0057,0.0131,-0.0109,0.0113,-0.0080,3.0750,15.6750,46.1625,
1.239730,-0.0118,-0.0057,0.0131,-0.0105,-0.0019,-0.0084,3.0750,15.6750,46.1625,
1.248846,-0.0118,-0.0057,0.0131,-0.0105,-0.0019,-0.0084,3.0000,15.5250,46.2000,
1.296590,0.0274,0.0097,0.0063,-0.0105,-0.0019,-0.0084,3.0000,15.5250,46.2000,
1.298424,0.0274,0.0097,0.0063,-0.0226,-0.0153,0.0019,3.0000,15.5250,46.2000,
1.299563,0.0274,0.0097,0.0063,-0.0226,-0.0153,0.0019,3.0000,15.5250,46.2000,
1.308491,0.0274,0.0097,0.0063,-0.0226,-0.0153,0.0019,2.9625,15.3938,46.2938,
1.355805,0.0274,0.0097,0.0063,-0.0269,-0.0051,0.0097,2.9625,15.3938,46.2938,
1.357464,0.0009,0.0049,0.0065,-0.0269,-0.0051,0.0097,2.9625,15.3938,46.2938,
1.359157,0.0009,0.0049,0.0065,-0.0269,-0.0051,0.0097,2.9625,15.3938,46.2938,
1.367908,0.0009,0.0049,0.0065,-0.0269,-0.0051,0.0097,2.7938,15.3000,46.3875,
1.420247,0.0009,0.0049,0.0065,-0.0269,-0.0051,0.0097,2.7938,15.3000,46.3875,
1.422185,0.0009,0.0049,0.0065,-0.0201,-0.0079,0.0140,2.7938,15.3000,46.3875,
1.423431,0.0179,-0.0136,-0.0256,-0.0201,-0.0079,0.0140,2.7938,15.3000,46.3875,
1.428748,0.0179,-0.0136,-0.0256,-0.0201,-0.0079,0.0140,2.8875,15.2813,46.5000,
1.479848,0.0179,-0.0136,-0.0256,-0.0201,-0.0079,0.0140,2.8875,15.2813,46.5000,
1.481646,0.0179,-0.0136,-0.0256,-0.0244,-0.0125,0.0186,2.8875,15.2813,46.5000,
1.488088,0.0179,-0.0136,-0.0256,-0.0244,-0.0125,0.0186,2.9250,15.2063,46.6500,
1.499227,-0.0121,0.0016,0.0469,-0.0244,-0.0125,0.0186,2.9250,15.2063,46.6500,
1.540606,-0.0121,0.0016,0.0469,-0.0648,-0.0316,0.0300,2.9250,15.2063,46.6500,
1.542918,-0.0121,0.0016,0.0469,-0.0648,-0.0316,0.0300,2.9250,15.2063,46.6500,
1.547785,-0.0121,0.0016,0.0469,-0.0648,-0.0316,0.0300,2.9625,15.2813,46.6688,
1.561983,-0.0681,0.0505,0.1316,-0.0648,-0.0316,0.0300,2.9625,15.2813,46.6688,
1.603095,-0.0681,0.0505,0.1316,-0.1514,-0.1559,0.0643,2.9625,15.2813,46.6688,
1.606319,-0.0681,0.0505,0.1316,-0.1514,-0.1559,0.0643,2.9625,15.2813,46.6688,
1.607872,-0.0681,0.0505,0.1316,-0.1514,-0.1559,0.0643,2.8313,15.0188,46.6500,
1.621205,-0.1413,0.1003,0.2596,-0.1514,-0.1559,0.0643,2.8313,15.0188,46.6500,
1.663398,-0.1413,0.1003,0.2596,-0.2605,-0.2904,0.0931,2.8313,15.0188,46.6500,
1.666807,-0.1413,0.1003,0.2596,-0.2605,-0.2904,0.0931,2.8313,15.0188,46.6500,
1.668235,-0.1413,0.1003,0.2596,-0.2605,-0.2904,0.0931,3.0000,14.6813,46.8000,
1.681522,0.0044,0.1180,0.1457,-0.2605,-0.2904,0.0931,3.0000,14.6813,46.8000,
1.723463,0.0044,0.1180,0.1457,-0.3989,-0.3430,0.1553,3.0000,14.6813,46.8000,
1.725353,0.0044,0.1180,0.1457,-0.3989,-0.3430,0.1553,3.0000,14.6813,46.8000,
1.728829,0.0044,0.1180,0.1457,-0.3989,-0.3430,0.1553,3.2813,14.4750,46.8000,
1.765060,0.1829,0.0073,0.0438,-0.3989,-0.3430,0.1553,3.2813,14.4750,46.8000,
1.784242,0.1829,0.0073,0.0438,-0.3989,-0.3430,0.1553,3.2813,14.4750,46.8000,
1.785018,0.1829,0.0073,0.0438,-0.5210,-0.3166,0.2209,3.2813,14.4750,46.8000,
1.787357,0.1829,0.0073,0.0438,-0.5210,-0.3166,0.2209,3.6750,13.9125,46.9500,
1.826022,0.3569,-0.1347,-0.0735,-0.5210,-0.3166,0.2209,3.6750,13.9125,46.9500,
1.844259,0.3569,-0.1347,-0.0735,-0.5707,-0.2088,0.2810,3.6750,13.9125,46.9500,
1.846231,0.3569,-0.1347,-0.0735,-0.5707,-0.2088,0.2810,3.6750,13.9125,46.9500,
1.847881,0.3569,-0.1347,-0.0735,-0.5707,-0.2088,0.2810,4.2750,13.2938,47.0625,
1.885618,0.1494,-0.0775,-0.1704,-0.5707,-0.2088,0.2810,4.2750,13.2938,47.0625,
1.906903,0.1494,-0.0775,-0.1704,-0.5707,-0.2088,0.2810,4.2750,13.2938,47.0625,
1.908633,0.1494,-0.0775,-0.1704,-0.5181,-0.1679,0.3292,4.2750,13.2938,47.0625,
1.910505,0.1494,-0.0775,-0.1704,-0.5181,-0.1679,0.3292,4.8375,12.4125,47.1000,
1.969556,0.1494,-0.0775,-0.1704,-0.4390,-0.1459,0.3920,4.8375,12.4125,47.1000,
1.972639,-0.0762,0.0744,-0.1705,-0.4390,-0.1459,0.3920,4.8375,12.4125,47.1000,
1.975560,-0.0762,0.0744,-0.1705,-0.4390,-0.1459,0.3920,5.4938,11.3438,47.2500,
1.976820,-0.0762,0.0744,-0.1705,-0.4390,-0.1459,0.3920,5.4938,11.3438,47.2500,
2.027705,-0.0762,0.0744,-0.1705,-0.4390,-0.1459,0.3920,5.4938,11.3438,47.2500,
2.030039,-0.0762,0.0744,-0.1705,-0.4390,-0.1459,0.3920,6.2063,10.1063,47.4188,
2.031899,-0.0762,0.0744,-0.1705,-0.3779,-0.1868,0.4673,6.2063,10.1063,47.4188,
2.032970,0.1114,-0.0143,-0.1110,-0.3779,-0.1868,0.4673,6.2063,10.1063,47.4188,
2.088774,0.1114,-0.0143,-0.1110,-0.3691,-0.1931,0.5582,6.2063,10.1063,47.4188,
2.090582,0.4968,-0.1899,-0.1795,-0.3691,-0.1931,0.5582,6.2063,10.1063,47.4188,
2.091630,0.4968,-0.1899,-0.1795,-0.3691,-0.1931,0.5582,6.2063,10.1063,47.4188,
2.092401,0.4968,-0.1899,-0.1795,-0.3691,-0.1931,0.5582,7.0125,8.6438,47.4563,
2.151073,0.4968,-0.1899,-0.1795,-0.4252,0.1451,0.7308,7.0125,8.6438,47.4563,
2.153327,0.4968,-0.1899,-0.1795,-0.4252,0.1451,0.7308,7.0125,8.6438,47.4563,
2.155071,0.2131,-0.1183,0.1662,-0.4252,0.1451,0.7308,7.0125,8.6438,47.4563,
2.156571,0.2131,-0.1183,0.1662,-0.4252,0.1451,0.7308,7.4438,7.1250,47.5125,
2.209508,0.2131,-0.1183,0.1662,-0.4574,-0.1097,0.9139,7.4438,7.1250,47.5125,
2.211995,0.2131,-0.1183,0.1662,-0.4574,-0.1097,0.9139,7.9125,5.5500,47.7375,
2.214778,0.2131,-0.1183,0.1662,-0.4574,-0.1097,0.9139,7.9125,5.5500,47.7375,
2.230245,0.2576,-0.2099,-0.0349,-0.4574,-0.1097,0.9139,7.9125,5.5500,47.7375,
2.272569,0.2576,-0.2099,-0.0349,-0.5487,-0.1044,1.1322,7.9125,5.5500,47.7375,
2.274985,0.2576,-0.2099,-0.0349,-0.5487,-0.1044,1.1322,8.4000,4.0875,47.9625,
2.276448,0.2576,-0.2099,-0.0349,-0.5487,-0.1044,1.1322,8.4000,4.0875,47.9625,
2.290822,0.1455,-0.6424,0.0179,-0.5487,-0.1044,1.1322,8.4000,4.0875,47.9625,
2.329173,0.1455,-0.6424,0.0179,-0.5487,-0.1044,1.1322,8.6813,2.4000,48.0750,
2.332118,0.1455,-0.6424,0.0179,-0.5334,0.2186,1.5028,8.6813,2.4000,48.0750,
2.333454,0.1455,-0.6424,0.0179,-0.5334,0.2186,1.5028,8.6813,2.4000,48.0750,
2.351407,0.1902,-1.0725,0.5489,-0.5334,0.2186,1.5028,8.6813,2.4000,48.0750,
2.388404,0.1902,-1.0725,0.5489,-0.5334,0.2186,1.5028,8.3625,0.6562,48.1688,
2.392642,0.1902,-1.0725,0.5489,-0.5722,1.3444,2.7206,8.3625,0.6562,48.1688,
2.393952,0.1902,-1.0725,0.5489,-0.5722,1.3444,2.7206,8.3625,0.6562,48.1688,
2.433530,0.1048,-5.4778,1.4387,-0.5722,1.3444,2.7206,8.3625,0.6562,48.1688,
2.448161,0.1048,-5.4778,1.4387,-0.5722,1.3444,2.7206,7.2750,-1.1063,48.3938,
2.452188,0.1048,-5.4778,1.4387,-0.8345,1.8892,4.4042,7.2750,-1.1063,48.3938,
2.453535,0.1048,-5.4778,1.4387,-0.8345,1.8892,4.4042,7.2750,-1.1063,48.3938,
2.494119,10.7489,-7.0021,0.7311,-0.8345,1.8892,4.4042,7.2750,-1.1063,48.3938,
2.508007,10.7489,-7.0021,0.7311,-0.8345,1.8892,4.4042,5.2500,-2.6625,48.5625,
2.514246,10.7489,-7.0021,0.7311,-0.8345,1.8892,4.4042,5.2500,-2.6625,48.5625,
2.515161,10.7489,-7.0021,0.7311,-1.1011,1.8534,3.1536,5.2500,-2.6625,48.5625,
2.555545,-0.8275,9.6116,3.7644,-1.1011,1.8534,3.1536,5.2500,-2.6625,48.5625,
2.568388,-0.8275,9.6116,3.7644,-1.1011,1.8534,3.1536,1.2750,-3.4688,48.4125,
2.574270,-0.8275,9.6116,3.7644,-0.2494,6.8319,5.4071,1.2750,-3.4688,48.4125,
2.575048,-0.8275,9.6116,3.7644,-0.2494,6.8319,5.4071,1.2750,-3.4688,48.4125,
2.616925,0.7967,2.5187,-1.6849,-0.2494,6.8319,5.4071,1.2750,-3.4688,48.4125,
2.627725,0.7967,2.5187,-1.6849,-0.2494,6.8319,5.4071,-3.5063,-3.7313,47.5875,
2.637260,0.7967,2.5187,-1.6849,-2.4731,2.4285,1.3249,-3.5063,-3.7313,47.5875,
2.639269,0.7967,2.5187,-1.6849,-2.4731,2.4285,1.3249,-3.5063,-3.7313,47.5875,
2.689146,0.7967,2.5187,-1.6849,-2.4731,2.4285,1.3249,-9.7500,-4.4250,45.5063,
2.698566,0.7967,2.5187,-1.6849,-2.4731,2.4285,1.3249,-9.7500,-4.4250,45.5063,
2.699318,-2.7771,5.4501,-13.0768,-2.4731,2.4285,1.3249,-9.7500,-4.4250,45.5063,
2.701136,-2.7771,5.4501,-13.0768,-3.8637,3.7239,0.8983,-9.7500,-4.4250,45.5063,
2.750125,-2.7771,5.4501,-13.0768,-3.8637,3.7239,0.8983,-15.3000,-6.3188,43.7250,
2.758559,-2.7771,5.4501,-13.0768,-2.9379,-8.1984,-3.5264,-15.3000,-6.3188,43.7250,
2.760902,-2.7771,5.4501,-13.0768,-2.9379,-8.1984,-3.5264,-15.3000,-6.3188,43.7250,
2.762993,0.7263,-1.6700,8.4011,-2.9379,-8.1984,-3.5264,-15.3000,-6.3188,43.7250,
2.809228,0.7263,-1.6700,8.4011,-2.9379,-8.1984,-3.5264,-19.3500,-8.2500,42.7875,
2.821109,0.7263,-1.6700,8.4011,0.2916,0.0447,-0.5168,-19.3500,-8.2500,42.7875,
2.822266,10.2783,1.6296,-0.5335,0.2916,0.0447,-0.5168,-19.3500,-8.2500,42.7875,
2.822724,10.2783,1.6296,-0.5335,0.2916,0.0447,-0.5168,-19.3500,-8.2500,42.7875,
2.870870,10.2783,1.6296,-0.5335,0.2916,0.0447,-0.5168,-22.5000,-10.3688,41.8500,
2.880227,10.2783,1.6296,-0.5335,-0.1258,-2.1892,-2.8467,-22.5000,-10.3688,41.8500,
2.881485,10.2783,1.6296,-0.5335,-0.1258,-2.1892,-2.8467,-22.5000,-10.3688,41.8500,
2.900273,-5.4265,-1.9130,-2.8905,-0.1258,-2.1892,-2.8467,-22.5000,-10.3688,41.8500,
2.927505,-5.4265,-1.9130,-2.8905,-0.1258,-2.1892,-2.8467,-23.6063,-12.3750,41.0438,
2.940668,-5.4265,-1.9130,-2.8905,0.0378,-5.6878,1.4553,-23.6063,-12.3750,41.0438,
2.942563,-5.4265,-1.9130,-2.8905,0.0378,-5.6878,1.4553,-23.6063,-12.3750,41.0438,
2.961422,-2.3290,-0.8949,-0.9308,0.0378,-5.6878,1.4553,-23.6063,-12.3750,41.0438,
2.990068,-2.3290,-0.8949,-0.9308,0.0378,-5.6878,1.4553,-22.5563,-14.1188,40.4438,
3.001704,-2.3290,-0.8949,-0.9308,0.9256,-2.7946,1.8256,-22.5563,-14.1188,40.4438,
3.004289,-2.3290,-0.8949,-0.9308,0.9256,-2.7946,1.8256,-22.5563,-14.1188,40.4438,
3.023515,-5.2462,1.1387,-6.1229,0.9256,-2.7946,1.8256,-22.5563,-14.1188,40.4438,
3.048949,-5.2462,1.1387,-6.1229,0.9256,-2.7946,1.8256,-20.3625,-15.7688,40.8563,
3.065641,-5.2462,1.1387,-6.1229,0.9256,-2.7946,1.8256,-20.3625,-15.7688,40.8563,
3.067426,-5.2462,1.1387,-6.1229,3.5132,5.4603,4.3330,-20.3625,-15.7688,40.8563,
3.083084,2.7630,-8.3509,6.2386,3.5132,5.4603,4.3330,-20.3625,-15.7688,40.8563,
3.110874,2.7630,-8.3509,6.2386,3.5132,5.4603,4.3330,-19.4062,-15.8438,40.8563,
3.124230,2.7630,-8.3509,6.2386,2.6164,6.4215,2.2544,-19.4062,-15.8438,40.8563,
3.125977,2.7630,-8.3509,6.2386,2.6164,6.4215,2.2544,-19.4062,-15.8438,40.8563,
