
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.080747,0.0000,0.0000,0.0000,0.0051,0.0289,0.0068,0.0000,0.0000,0.0000,
0.128628,0.0000,0.0000,0.0000,0.0051,0.0289,0.0068,37.1625,6.6750,-45.2063,
0.161967,0.0000,0.0000,0.0000,0.0232,0.0297,-0.0184,37.1625,6.6750,-45.2063,
0.188515,0.0000,0.0000,0.0000,0.0232,0.0297,-0.0184,36.9938,6.2063,-45.4688,
0.202512,0.0000,0.0000,0.0000,-0.0020,-0.0545,-0.0457,36.9938,6.2063,-45.4688,
0.250800,0.0000,0.0000,0.0000,-0.0020,-0.0545,-0.0457,37.3500,5.9062,-44.8875,
0.263355,0.0000,0.0000,0.0000,-0.0280,-0.0332,-0.0485,37.3500,5.9062,-44.8875,
0.263930,0.0000,0.0000,0.0000,-0.0280,-0.0332,-0.0485,37.3500,5.9062,-44.8875,
0.303784,0.0000,0.0000,0.0000,-0.0280,-0.0332,-0.0485,37.3500,5.9062,-44.8875,
0.308907,0.0000,0.0000,0.0000,-0.0280,-0.0332,-0.0485,37.5938,5.9625,-44.4563,
0.323822,0.0000,0.0000,0.0000,-0.0606,-0.0332,-0.0642,37.5938,5.9625,-44.4563,
0.324299,0.0000,0.0000,0.0000,-0.0606,-0.0332,-0.0642,37.5938,5.9625,-44.4563,
0.365211,0.0349,0.0224,0.0268,-0.0606,-0.0332,-0.0642,37.5938,5.9625,-44.4563,
0.370582,0.0349,0.0224,0.0268,-0.0606,-0.0332,-0.0642,37.4062,6.2250,-44.7375,
0.384605,0.0349,0.0224,0.0268,-0.1092,-0.0254,-0.0623,37.4062,6.2250,-44.7375,
0.386337,0.0349,0.0224,0.0268,-0.1092,-0.0254,-0.0623,37.4062,6.2250,-44.7375,
0.425635,0.0309,-0.0196,0.0133,-0.1092,-0.0254,-0.0623,37.4062,6.2250,-44.7375,
0.428169,0.0309,-0.0196,0.0133,-0.1092,-0.0254,-0.0623,37.2750,6.3000,-44.7938,
0.445663,0.0309,-0.0196,0.0133,-0.1309,0.0140,-0.0495,37.2750,6.3000,-44.7938,
0.446116,0.0309,-0.0196,0.0133,-0.1309,0.0140,-0.0495,37.2750,6.3000,-44.7938,
0.488640,0.0309,-0.0196,0.0133,-0.1309,0.0140,-0.0495,37.1813,6.3938,-44.8125,
0.507867,0.0309,-0.0196,0.0133,-0.1217,0.0137,-0.0276,37.1813,6.3938,-44.8125,
0.511897,0.0190,-0.0181,-0.0145,-0.1217,0.0137,-0.0276,37.1813,6.3938,-44.8125,
0.512370,0.0190,-0.0181,-0.0145,-0.1217,0.0137,-0.0276,37.1813,6.3938,-44.8125,
0.549345,0.0190,-0.0181,-0.0145,-0.1217,0.0137,-0.0276,37.0875,6.5813,-44.8125,
0.567852,0.0190,-0.0181,-0.0145,-0.0908,0.0055,-0.0052,37.0875,6.5813,-44.8125,
0.568380,0.0190,-0.0181,-0.0145,-0.0908,0.0055,-0.0052,37.0875,6.5813,-44.8125,
