
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.055077,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-30.9750,-29.3250,3.6750,
0.071713,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-30.9750,-29.3250,3.6750,
0.073156,0.0018,0.0549,0.1607,0.0000,0.0000,0.0000,-30.9750,-29.3250,3.6750,
0.096467,0.0018,0.0549,0.1607,0.0000,0.0000,0.0000,-30.9750,-29.3250,3.6750,
0.098175,0.0643,-0.0176,0.3321,0.0000,0.0000,0.0000,-30.9750,-29.3250,3.6750,
0.104804,0.0643,-0.0176,0.3321,-0.0202,-0.0180,-0.0092,-30.9750,-29.3250,3.6750,
0.117632,0.0643,-0.0176,0.3321,-0.0202,-0.0180,-0.0092,-30.9750,-29.3250,3.6750,
0.119266,0.0236,0.0221,0.0350,-0.0202,-0.0180,-0.0092,-30.9750,-29.3250,3.6750,
0.126001,0.0236,0.0221,0.0350,-0.0202,-0.0180,-0.0092,-32.0250,-29.9250,2.2500,
0.135907,0.0236,0.0221,0.0350,-0.0202,-0.0180,-0.0092,-32.0250,-29.9250,2.2500,
0.137535,0.0034,0.0617,0.0779,-0.0202,-0.0180,-0.0092,-32.0250,-29.9250,2.2500,
0.155153,0.0034,0.0617,0.0779,-0.0202,-0.0180,-0.0092,-32.0250,-29.9250,2.2500,
0.157751,0.0426,0.0515,0.2384,-0.0202,-0.0180,-0.0092,-32.0250,-29.9250,2.2500,
0.168793,0.0426,0.0515,0.2384,-0.0166,-0.0136,-0.0133,-32.0250,-29.9250,2.2500,
0.173849,0.0426,0.0515,0.2384,-0.0166,-0.0136,-0.0133,-32.0250,-29.9250,2.2500,
0.176199,0.0596,0.0341,0.2161,-0.0166,-0.0136,-0.0133,-32.0250,-29.9250,2.2500,
0.192974,0.0596,0.0341,0.2161,-0.0166,-0.0136,-0.0133,-32.0250,-29.9250,2.2500,
0.195460,0.0825,0.0300,0.1867,-0.0166,-0.0136,-0.0133,-32.0250,-29.9250,2.2500,
0.197087,0.0825,0.0300,0.1867,-0.0166,-0.0136,-0.0133,-32.6250,-30.4500,1.9500,
0.211908,0.0825,0.0300,0.1867,-0.0166,-0.0136,-0.0133,-32.6250,-30.4500,1.9500,
0.214063,0.0928,0.0622,0.1694,-0.0166,-0.0136,-0.0133,-32.6250,-30.4500,1.9500,
0.232469,0.0928,0.0622,0.1694,-0.0166,-0.0136,-0.0133,-32.6250,-30.4500,1.9500,
0.235876,0.0576,0.1275,0.1421,-0.0166,-0.0136,-0.0133,-32.6250,-30.4500,1.9500,
0.238246,0.0576,0.1275,0.1421,0.0008,0.0026,0.0032,-32.6250,-30.4500,1.9500,
0.251691,0.0576,0.1275,0.1421,0.0008,0.0026,0.0032,-32.6250,-30.4500,1.9500,
0.254364,0.1045,0.1165,0.1282,0.0008,0.0026,0.0032,-32.6250,-30.4500,1.9500,
0.265591,0.1045,0.1165,0.1282,0.0008,0.0026,0.0032,-32.7750,-30.4500,2.2500,
0.272007,0.1045,0.1165,0.1282,0.0008,0.0026,0.0032,-32.7750,-30.4500,2.2500,
0.274449,0.1044,0.0413,0.1209,0.0008,0.0026,0.0032,-32.7750,-30.4500,2.2500,
0.291052,0.1044,0.0413,0.1209,0.0008,0.0026,0.0032,-32.7750,-30.4500,2.2500,
0.293734,0.0349,0.0616,0.1181,0.0008,0.0026,0.0032,-32.7750,-30.4500,2.2500,
0.306558,0.0349,0.0616,0.1181,0.0040,0.0113,0.0041,-32.7750,-30.4500,2.2500,
0.311522,0.0349,0.0616,0.1181,0.0040,0.0113,0.0041,-32.7750,-30.4500,2.2500,
0.312405,0.0897,0.0783,0.1397,0.0040,0.0113,0.0041,-32.7750,-30.4500,2.2500,
0.325855,0.0897,0.0783,0.1397,0.0040,0.0113,0.0041,-32.7750,-30.4500,2.2500,
0.327307,0.0604,0.0693,0.1501,0.0040,0.0113,0.0041,-32.7750,-30.4500,2.2500,
0.344775,0.0604,0.0693,0.1501,0.0040,0.0113,0.0041,-32.2500,-30.0750,2.0250,
0.355596,0.0604,0.0693,0.1501,0.0040,0.0113,0.0041,-32.2500,-30.0750,2.0250,
0.356738,0.0701,0.0330,0.1550,0.0040,0.0113,0.0041,-32.2500,-30.0750,2.0250,
0.374534,0.0701,0.0330,0.1550,0.0040,0.0113,0.0041,-32.2500,-30.0750,2.0250,
0.375686,0.0971,0.0227,0.1760,0.0040,0.0113,0.0041,-32.2500,-30.0750,2.0250,
0.380148,0.0971,0.0227,0.1760,0.0018,0.0005,0.0009,-32.2500,-30.0750,2.0250,
0.394679,0.0971,0.0227,0.1760,0.0018,0.0005,0.0009,-32.2500,-30.0750,2.0250,
0.398064,0.1040,0.0121,0.1945,0.0018,0.0005,0.0009,-32.2500,-30.0750,2.0250,
0.404137,0.1040,0.0121,0.1945,0.0018,0.0005,0.0009,-31.7250,-30.3750,2.0250,
0.413038,0.1040,0.0121,0.1945,0.0018,0.0005,0.0009,-31.7250,-30.3750,2.0250,
0.414700,0.0866,0.0270,0.1917,0.0018,0.0005,0.0009,-31.7250,-30.3750,2.0250,
0.432388,0.0866,0.0270,0.1917,0.0018,0.0005,0.0009,-31.7250,-30.3750,2.0250,
