
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.029040,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.054701,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-33.3750,-31.1250,2.4750,
0.075031,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-33.3750,-31.1250,2.4750,
0.076609,0.1268,-0.3001,1.0603,0.0000,0.0000,0.0000,-33.3750,-31.1250,2.4750,
0.094925,0.1268,-0.3001,1.0603,0.0000,0.0000,0.0000,-33.3750,-31.1250,2.4750,
0.096528,0.0638,-0.1760,0.0956,0.0000,0.0000,0.0000,-33.3750,-31.1250,2.4750,
0.100214,0.0638,-0.1760,0.0956,0.0741,0.0547,-0.0046,-33.3750,-31.1250,2.4750,
0.118548,0.0638,-0.1760,0.0956,0.0741,0.0547,-0.0046,-33.3750,-31.1250,2.4750,
0.120124,-0.0405,-0.0404,-0.4350,0.0741,0.0547,-0.0046,-33.3750,-31.1250,2.4750,
0.125956,-0.0405,-0.0404,-0.4350,0.0741,0.0547,-0.0046,-31.8750,-30.7500,1.8750,
0.135482,-0.0405,-0.0404,-0.4350,0.0741,0.0547,-0.0046,-31.8750,-30.7500,1.8750,
0.137366,-0.0220,-0.0418,0.0575,0.0741,0.0547,-0.0046,-31.8750,-30.7500,1.8750,
0.158678,-0.0220,-0.0418,0.0575,0.0741,0.0547,-0.0046,-31.8750,-30.7500,1.8750,
0.160666,0.1107,-0.1412,0.5554,0.0741,0.0547,-0.0046,-31.8750,-30.7500,1.8750,
0.172715,0.1107,-0.1412,0.5554,-0.0640,-0.0348,0.0023,-31.8750,-30.7500,1.8750,
0.174374,0.1107,-0.1412,0.5554,-0.0640,-0.0348,0.0023,-31.8750,-30.7500,1.8750,
0.175502,0.1522,-0.1383,0.4976,-0.0640,-0.0348,0.0023,-31.8750,-30.7500,1.8750,
0.192735,0.1522,-0.1383,0.4976,-0.0640,-0.0348,0.0023,-31.8750,-30.7500,1.8750,
0.195350,0.0677,-0.0713,0.1458,-0.0640,-0.0348,0.0023,-31.8750,-30.7500,1.8750,
0.197561,0.0677,-0.0713,0.1458,-0.0640,-0.0348,0.0023,-31.8000,-30.9750,2.5500,
0.212171,0.0677,-0.0713,0.1458,-0.0640,-0.0348,0.0023,-31.8000,-30.9750,2.5500,
0.214474,0.0295,-0.0354,-0.0374,-0.0640,-0.0348,0.0023,-31.8000,-30.9750,2.5500,
0.227721,0.0295,-0.0354,-0.0374,-0.0640,-0.0348,0.0023,-31.8000,-30.9750,2.5500,
0.229164,0.0670,-0.0706,0.1311,-0.0640,-0.0348,0.0023,-31.8000,-30.9750,2.5500,
0.240201,0.0670,-0.0706,0.1311,-0.0174,-0.0174,-0.0014,-31.8000,-30.9750,2.5500,
0.253409,0.0670,-0.0706,0.1311,-0.0174,-0.0174,-0.0014,-31.8000,-30.9750,2.5500,
0.254738,0.0477,-0.1341,0.3749,-0.0174,-0.0174,-0.0014,-31.8000,-30.9750,2.5500,
0.267762,0.0477,-0.1341,0.3749,-0.0174,-0.0174,-0.0014,-32.1750,-31.0500,1.6500,
0.272360,0.0477,-0.1341,0.3749,-0.0174,-0.0174,-0.0014,-32.1750,-31.0500,1.6500,
0.273785,0.1176,-0.1419,0.3265,-0.0174,-0.0174,-0.0014,-32.1750,-31.0500,1.6500,
0.290824,0.1176,-0.1419,0.3265,-0.0174,-0.0174,-0.0014,-32.1750,-31.0500,1.6500,
0.294875,0.1549,-0.1164,0.2436,-0.0174,-0.0174,-0.0014,-32.1750,-31.0500,1.6500,
0.305869,0.1549,-0.1164,0.2436,-0.0170,-0.0133,-0.0003,-32.1750,-31.0500,1.6500,
0.311383,0.1549,-0.1164,0.2436,-0.0170,-0.0133,-0.0003,-32.1750,-31.0500,1.6500,
0.312718,0.0768,-0.1173,-0.0151,-0.0170,-0.0133,-0.0003,-32.1750,-31.0500,1.6500,
0.336067,0.0768,-0.1173,-0.0151,-0.0170,-0.0133,-0.0003,-32.1750,-31.0500,1.6500,
0.337584,-0.0039,-0.0938,0.3341,-0.0170,-0.0133,-0.0003,-32.1750,-31.0500,1.6500,
0.339046,-0.0039,-0.0938,0.3341,-0.0170,-0.0133,-0.0003,-31.7250,-30.4500,2.4750,
0.355680,-0.0039,-0.0938,0.3341,-0.0170,-0.0133,-0.0003,-31.7250,-30.4500,2.4750,
0.357708,0.0173,-0.0814,0.2671,-0.0170,-0.0133,-0.0003,-31.7250,-30.4500,2.4750,
0.374031,0.0173,-0.0814,0.2671,-0.0170,-0.0133,-0.0003,-31.7250,-30.4500,2.4750,
0.377370,0.0870,-0.0714,0.1403,-0.0170,-0.0133,-0.0003,-31.7250,-30.4500,2.4750,
0.379424,0.0870,-0.0714,0.1403,-0.0173,0.0163,-0.0023,-31.7250,-30.4500,2.4750,
0.392838,0.0870,-0.0714,0.1403,-0.0173,0.0163,-0.0023,-31.7250,-30.4500,2.4750,
0.395356,0.0011,-0.1156,0.1915,-0.0173,0.0163,-0.0023,-31.7250,-30.4500,2.4750,
0.404236,0.0011,-0.1156,0.1915,-0.0173,0.0163,-0.0023,-31.8750,-30.4500,1.9500,
0.415284,0.0011,-0.1156,0.1915,-0.0173,0.0163,-0.0023,-31.8750,-30.4500,1.9500,
0.417560,0.0221,-0.1264,0.3121,-0.0173,0.0163,-0.0023,-31.8750,-30.4500,1.9500,
0.426722,0.0221,-0.1264,0.3121,-0.0173,0.0163,-0.0023,-31.8750,-30.4500,1.9500,
0.428451,0.0789,-0.1590,0.4327,-0.0173,0.0163,-0.0023,-31.8750,-30.4500,1.9500,
0.447245,0.0789,-0.1590,0.4327,0.0214,-0.0220,-0.0018,-31.8750,-30.4500,1.9500,
0.451362,0.0789,-0.1590,0.4327,0.0214,-0.0220,-0.0018,-31.8750,-30.4500,1.9500,
0.453183,0.0424,-0.1092,0.2706,0.0214,-0.0220,-0.0018,-31.8750,-30.4500,1.9500,
0.471366,0.0424,-0.1092,0.2706,0.0214,-0.0220,-0.0018,-31.8750,-30.4500,1.9500,
0.473814,0.0337,-0.0330,0.0644,0.0214,-0.0220,-0.0018,-31.8750,-30.4500,1.9500,
0.475666,0.0337,-0.0330,0.0644,0.0214,-0.0220,-0.0018,-31.9500,-30.4500,2.0250,
0.490777,0.0337,-0.0330,0.0644,0.0214,-0.0220,-0.0018,-31.9500,-30.4500,2.0250,
0.493649,0.0838,0.0078,0.0047,0.0214,-0.0220,-0.0018,-31.9500,-30.4500,2.0250,
0.510488,0.0838,0.0078,0.0047,0.0214,-0.0220,-0.0018,-31.9500,-30.4500,2.0250,
0.512790,0.0520,-0.0163,0.1938,0.0214,-0.0220,-0.0018,-31.9500,-30.4500,2.0250,
0.514689,0.0520,-0.0163,0.1938,0.0203,-0.0005,0.0067,-31.9500,-30.4500,2.0250,
0.527530,0.0520,-0.0163,0.1938,0.0203,-0.0005,0.0067,-31.9500,-30.4500,2.0250,
0.530347,0.0100,-0.0966,0.3166,0.0203,-0.0005,0.0067,-31.9500,-30.4500,2.0250,
0.544709,0.0100,-0.0966,0.3166,0.0203,-0.0005,0.0067,-32.2500,-30.9750,2.0250,
0.546626,0.0100,-0.0966,0.3166,0.0203,-0.0005,0.0067,-32.2500,-30.9750,2.0250,
0.547810,0.0436,-0.1434,0.2303,0.0203,-0.0005,0.0067,-32.2500,-30.9750,2.0250,
0.570860,0.0436,-0.1434,0.2303,0.0203,-0.0005,0.0067,-32.2500,-30.9750,2.0250,
0.573659,0.0661,-0.1398,0.1797,0.0203,-0.0005,0.0067,-32.2500,-30.9750,2.0250,
0.589119,0.0661,-0.1398,0.1797,0.0273,0.0081,0.0052,-32.2500,-30.9750,2.0250,
0.593545,0.0661,-0.1398,0.1797,0.0273,0.0081,0.0052,-32.2500,-30.9750,2.0250,
