
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.054860,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-33.9750,-23.9250,-7.1250,
0.069667,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-33.9750,-23.9250,-7.1250,
0.088349,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-33.9750,-23.9250,-7.1250,
0.089007,-0.0153,0.0347,0.2799,0.0000,0.0000,0.0000,-33.9750,-23.9250,-7.1250,
0.093608,-0.0153,0.0347,0.2799,-0.0319,-0.0029,-0.0200,-33.9750,-23.9250,-7.1250,
0.108059,-0.0153,0.0347,0.2799,-0.0319,-0.0029,-0.0200,-33.9750,-23.9250,-7.1250,
0.108647,-0.0035,0.0635,0.1945,-0.0319,-0.0029,-0.0200,-33.9750,-23.9250,-7.1250,
0.121717,-0.0035,0.0635,0.1945,-0.0319,-0.0029,-0.0200,-34.3500,-24.6750,-8.2500,
0.123368,-0.0035,0.0635,0.1945,-0.0319,-0.0029,-0.0200,-34.3500,-24.6750,-8.2500,
0.123830,-0.0132,0.1054,0.1625,-0.0319,-0.0029,-0.0200,-34.3500,-24.6750,-8.2500,
0.147601,-0.0132,0.1054,0.1625,-0.0319,-0.0029,-0.0200,-34.3500,-24.6750,-8.2500,
0.148204,-0.0435,0.1306,0.1013,-0.0319,-0.0029,-0.0200,-34.3500,-24.6750,-8.2500,
0.161591,-0.0435,0.1306,0.1013,0.0137,-0.0014,-0.0049,-34.3500,-24.6750,-8.2500,
0.166522,-0.0435,0.1306,0.1013,0.0137,-0.0014,-0.0049,-34.3500,-24.6750,-8.2500,
0.167062,-0.0639,0.1212,0.0190,0.0137,-0.0014,-0.0049,-34.3500,-24.6750,-8.2500,
0.186250,-0.0639,0.1212,0.0190,0.0137,-0.0014,-0.0049,-34.3500,-24.6750,-8.2500,
0.186845,-0.0410,0.0976,-0.0258,0.0137,-0.0014,-0.0049,-34.3500,-24.6750,-8.2500,
0.192103,-0.0410,0.0976,-0.0258,0.0137,-0.0014,-0.0049,-35.4000,-25.6500,-7.8750,
0.206080,-0.0410,0.0976,-0.0258,0.0137,-0.0014,-0.0049,-35.4000,-25.6500,-7.8750,
0.206833,-0.0259,0.0936,0.1266,0.0137,-0.0014,-0.0049,-35.4000,-25.6500,-7.8750,
0.223946,-0.0259,0.0936,0.1266,0.0137,-0.0014,-0.0049,-35.4000,-25.6500,-7.8750,
