
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.045659,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.070308,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.071121,0.0010,0.0582,-0.0116,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.071719,0.0010,0.0582,-0.0116,0.0000,0.0000,0.0000,29.0250,0.2250,-28.1250,
0.088160,0.0010,0.0582,-0.0116,0.0000,0.0000,0.0000,29.0250,0.2250,-28.1250,
0.088811,0.0110,0.1405,-0.1017,0.0000,0.0000,0.0000,29.0250,0.2250,-28.1250,
0.108724,0.0110,0.1405,-0.1017,0.0000,0.0000,0.0000,29.0250,0.2250,-28.1250,
0.111140,0.0261,0.2101,-0.1476,0.0000,0.0000,0.0000,29.0250,0.2250,-28.1250,
0.113058,0.0261,0.2101,-0.1476,-0.0029,-0.0069,-0.0119,29.0250,0.2250,-28.1250,
0.126979,0.0261,0.2101,-0.1476,-0.0029,-0.0069,-0.0119,29.0250,0.2250,-28.1250,
0.128601,0.0024,0.1420,-0.0560,-0.0029,-0.0069,-0.0119,29.0250,0.2250,-28.1250,
0.143031,0.0024,0.1420,-0.0560,-0.0029,-0.0069,-0.0119,29.8500,-0.9000,-27.2250,
0.146807,0.0024,0.1420,-0.0560,-0.0029,-0.0069,-0.0119,29.8500,-0.9000,-27.2250,
0.148412,-0.0704,0.0222,-0.0150,-0.0029,-0.0069,-0.0119,29.8500,-0.9000,-27.2250,
0.166773,-0.0704,0.0222,-0.0150,-0.0029,-0.0069,-0.0119,29.8500,-0.9000,-27.2250,
0.168364,-0.1206,-0.0180,-0.0208,-0.0029,-0.0069,-0.0119,29.8500,-0.9000,-27.2250,
0.180915,-0.1206,-0.0180,-0.0208,-0.0002,0.0124,0.0000,29.8500,-0.9000,-27.2250,
0.185706,-0.1206,-0.0180,-0.0208,-0.0002,0.0124,0.0000,29.8500,-0.9000,-27.2250,
0.187209,-0.1256,-0.0150,-0.0299,-0.0002,0.0124,0.0000,29.8500,-0.9000,-27.2250,
0.205389,-0.1256,-0.0150,-0.0299,-0.0002,0.0124,0.0000,29.8500,-0.9000,-27.2250,
0.208364,-0.0744,-0.0108,-0.0606,-0.0002,0.0124,0.0000,29.8500,-0.9000,-27.2250,
0.210755,-0.0744,-0.0108,-0.0606,-0.0002,0.0124,0.0000,29.4000,-0.3750,-27.5250,
0.224356,-0.0744,-0.0108,-0.0606,-0.0002,0.0124,0.0000,29.4000,-0.3750,-27.5250,
0.227325,-0.0208,0.0415,-0.0681,-0.0002,0.0124,0.0000,29.4000,-0.3750,-27.5250,
0.245019,-0.0208,0.0415,-0.0681,-0.0002,0.0124,0.0000,29.4000,-0.3750,-27.5250,
0.247636,0.0023,0.0864,-0.0606,-0.0002,0.0124,0.0000,29.4000,-0.3750,-27.5250,
0.249839,0.0023,0.0864,-0.0606,0.0095,0.0063,-0.0053,29.4000,-0.3750,-27.5250,
0.263685,0.0023,0.0864,-0.0606,0.0095,0.0063,-0.0053,29.4000,-0.3750,-27.5250,
0.266181,-0.0132,0.0932,-0.0506,0.0095,0.0063,-0.0053,29.4000,-0.3750,-27.5250,
0.280610,-0.0132,0.0932,-0.0506,0.0095,0.0063,-0.0053,29.3250,-0.3000,-27.7500,
0.283618,-0.0132,0.0932,-0.0506,0.0095,0.0063,-0.0053,29.3250,-0.3000,-27.7500,
0.285487,-0.0289,0.0476,-0.0635,0.0095,0.0063,-0.0053,29.3250,-0.3000,-27.7500,
0.303021,-0.0289,0.0476,-0.0635,0.0095,0.0063,-0.0053,29.3250,-0.3000,-27.7500,
0.305761,-0.0652,0.0230,-0.1041,0.0095,0.0063,-0.0053,29.3250,-0.3000,-27.7500,
0.317533,-0.0652,0.0230,-0.1041,0.0170,0.0043,-0.0032,29.3250,-0.3000,-27.7500,
0.322857,-0.0652,0.0230,-0.1041,0.0170,0.0043,-0.0032,29.3250,-0.3000,-27.7500,
0.324297,-0.0892,0.0497,-0.1231,0.0170,0.0043,-0.0032,29.3250,-0.3000,-27.7500,
0.341828,-0.0892,0.0497,-0.1231,0.0170,0.0043,-0.0032,29.3250,-0.3000,-27.7500,
0.343358,-0.0708,0.0681,-0.0923,0.0170,0.0043,-0.0032,29.3250,-0.3000,-27.7500,
0.351191,-0.0708,0.0681,-0.0923,0.0170,0.0043,-0.0032,29.4000,-0.9750,-27.7500,
0.362576,-0.0708,0.0681,-0.0923,0.0170,0.0043,-0.0032,29.4000,-0.9750,-27.7500,
0.364238,-0.0403,0.0157,-0.0300,0.0170,0.0043,-0.0032,29.4000,-0.9750,-27.7500,
0.381685,-0.0403,0.0157,-0.0300,0.0170,0.0043,-0.0032,29.4000,-0.9750,-27.7500,
0.383208,-0.0251,0.0182,-0.1260,0.0170,0.0043,-0.0032,29.4000,-0.9750,-27.7500,
0.386821,-0.0251,0.0182,-0.1260,0.0150,0.0119,-0.0069,29.4000,-0.9750,-27.7500,
0.408196,-0.0251,0.0182,-0.1260,0.0150,0.0119,-0.0069,29.4000,-0.9750,-27.7500,
0.412645,-0.1355,0.0618,-0.0965,0.0150,0.0119,-0.0069,29.4000,-0.9750,-27.7500,
