
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.092674,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.092949,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.093172,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.093395,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.093560,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.093780,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.093965,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.094161,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.094353,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.094529,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.094714,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.094890,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.095067,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.095254,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.095445,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.095628,0.0565,-0.0253,0.3947,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.095831,0.0565,-0.0253,0.3947,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.096011,0.0565,-0.0468,0.3660,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.096206,0.0565,-0.0468,0.3660,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.096377,0.0628,-0.0393,0.2893,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.096569,0.0628,-0.0393,0.2893,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.096750,0.0429,-0.0324,0.2153,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.105169,0.0429,-0.0324,0.2153,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.106221,0.0468,-0.0184,0.1625,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.107033,0.0468,-0.0184,0.1625,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.107765,0.0396,0.0223,0.1433,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.108446,0.0396,0.0223,0.1433,0.0000,0.0000,0.0000,-30.9750,-32.9250,3.0750,
0.111985,0.0396,0.0223,0.1433,-0.0121,-0.0003,-0.0035,-30.9750,-32.9250,3.0750,
0.112807,0.0396,0.0223,0.1433,-0.0121,-0.0003,-0.0035,-30.9750,-32.9250,3.0750,
0.113338,0.0388,0.0579,0.1530,-0.0121,-0.0003,-0.0035,-30.9750,-32.9250,3.0750,
0.118339,0.0388,0.0579,0.1530,-0.0121,-0.0003,-0.0035,-30.9750,-32.9250,3.0750,
0.119031,0.0308,0.0794,0.1748,-0.0121,-0.0003,-0.0035,-30.9750,-32.9250,3.0750,
0.121841,0.0308,0.0794,0.1748,-0.0121,-0.0003,-0.0035,-30.9750,-32.9250,3.0750,
0.122802,0.0179,0.0771,0.2011,-0.0121,-0.0003,-0.0035,-30.9750,-32.9250,3.0750,
0.127018,0.0179,0.0771,0.2011,-0.0121,-0.0003,-0.0035,-30.9750,-32.9250,3.0750,
0.127969,0.0437,0.0653,0.2011,-0.0121,-0.0003,-0.0035,-30.9750,-32.9250,3.0750,
0.132577,0.0437,0.0653,0.2011,-0.0121,-0.0003,-0.0035,-30.9750,-32.9250,3.0750,
0.133409,0.0350,0.0655,0.2035,-0.0121,-0.0003,-0.0035,-30.9750,-32.9250,3.0750,
0.136807,0.0350,0.0655,0.2035,-0.0121,-0.0003,-0.0035,-30.9750,-32.9250,3.0750,
0.137588,0.0752,0.0488,0.1771,-0.0121,-0.0003,-0.0035,-30.9750,-32.9250,3.0750,
0.141237,0.0752,0.0488,0.1771,-0.0121,-0.0003,-0.0035,-30.9750,-32.9250,3.0750,
0.142437,0.0584,0.0656,0.1577,-0.0121,-0.0003,-0.0035,-30.9750,-32.9250,3.0750,
0.147866,0.0584,0.0656,0.1577,-0.0121,-0.0003,-0.0035,-30.9750,-32.9250,3.0750,
0.148747,0.0943,0.0370,0.1651,-0.0121,-0.0003,-0.0035,-30.9750,-32.9250,3.0750,
0.152501,0.0943,0.0370,0.1651,-0.0121,-0.0003,-0.0035,-30.9750,-32.9250,3.0750,
0.153368,0.0728,0.0419,0.2201,-0.0121,-0.0003,-0.0035,-30.9750,-32.9250,3.0750,
0.157082,0.0728,0.0419,0.2201,-0.0121,-0.0003,-0.0035,-30.9750,-32.9250,3.0750,
0.158130,0.0752,0.0301,0.2009,-0.0121,-0.0003,-0.0035,-30.9750,-32.9250,3.0750,
0.163939,0.0752,0.0301,0.2009,-0.0121,-0.0003,-0.0035,-30.9750,-32.9250,3.0750,
0.165141,0.1014,0.0231,0.2080,-0.0121,-0.0003,-0.0035,-30.9750,-32.9250,3.0750,
0.166226,0.1014,0.0231,0.2080,-0.0121,-0.0003,-0.0035,-30.9750,-32.9250,3.0750,
0.167093,0.1347,0.0160,0.2008,-0.0121,-0.0003,-0.0035,-30.9750,-32.9250,3.0750,
0.171294,0.1347,0.0160,0.2008,-0.0121,-0.0003,-0.0035,-30.9750,-32.9250,3.0750,
0.172267,0.1322,0.0139,0.1745,-0.0121,-0.0003,-0.0035,-30.9750,-32.9250,3.0750,
0.176052,0.1322,0.0139,0.1745,-0.0121,-0.0003,-0.0035,-30.4500,-31.9500,2.8500,
0.177268,0.1322,0.0139,0.1745,-0.0121,-0.0003,-0.0035,-30.4500,-31.9500,2.8500,
0.178215,0.1151,0.0357,0.1573,-0.0121,-0.0003,-0.0035,-30.4500,-31.9500,2.8500,
0.179852,0.1151,0.0357,0.1573,-0.0026,-0.0021,0.0069,-30.4500,-31.9500,2.8500,
0.180867,0.1151,0.0357,0.1573,-0.0026,-0.0021,0.0069,-30.4500,-31.9500,2.8500,
0.181749,0.1125,0.0693,0.1525,-0.0026,-0.0021,0.0069,-30.4500,-31.9500,2.8500,
0.186871,0.1125,0.0693,0.1525,-0.0026,-0.0021,0.0069,-30.4500,-31.9500,2.8500,
0.187913,0.1002,0.0909,0.1597,-0.0026,-0.0021,0.0069,-30.4500,-31.9500,2.8500,
0.191407,0.1002,0.0909,0.1597,-0.0026,-0.0021,0.0069,-30.4500,-31.9500,2.8500,
0.192373,0.1141,0.1174,0.1381,-0.0026,-0.0021,0.0069,-30.4500,-31.9500,2.8500,
0.197224,0.1141,0.1174,0.1381,-0.0026,-0.0021,0.0069,-30.4500,-31.9500,2.8500,
0.198601,0.1162,0.1271,0.1596,-0.0026,-0.0021,0.0069,-30.4500,-31.9500,2.8500,
0.202009,0.1162,0.1271,0.1596,-0.0026,-0.0021,0.0069,-30.4500,-31.9500,2.8500,
0.203819,0.1017,0.1345,0.1499,-0.0026,-0.0021,0.0069,-30.4500,-31.9500,2.8500,
0.205453,0.1017,0.1345,0.1499,-0.0026,-0.0021,0.0069,-30.4500,-31.9500,2.8500,
0.206718,0.1134,0.1276,0.1765,-0.0026,-0.0021,0.0069,-30.4500,-31.9500,2.8500,
0.212551,0.1134,0.1276,0.1765,-0.0026,-0.0021,0.0069,-30.4500,-31.9500,2.8500,
0.213949,0.1036,0.1036,0.1741,-0.0026,-0.0021,0.0069,-30.4500,-31.9500,2.8500,
0.215245,0.1036,0.1036,0.1741,-0.0026,-0.0021,0.0069,-30.4500,-31.9500,2.8500,
0.216536,0.0940,0.0967,0.1764,-0.0026,-0.0021,0.0069,-30.4500,-31.9500,2.8500,
0.220495,0.0940,0.0967,0.1764,-0.0026,-0.0021,0.0069,-30.4500,-31.9500,2.8500,
0.221937,0.0988,0.0686,0.1858,-0.0026,-0.0021,0.0069,-30.4500,-31.9500,2.8500,
0.223976,0.0988,0.0686,0.1858,-0.0026,-0.0021,0.0069,-30.4500,-31.9500,2.8500,
0.225130,0.1058,0.0736,0.2049,-0.0026,-0.0021,0.0069,-30.4500,-31.9500,2.8500,
0.230132,0.1058,0.0736,0.2049,-0.0026,-0.0021,0.0069,-30.4500,-31.9500,2.8500,
0.231171,0.1128,0.0546,0.2049,-0.0026,-0.0021,0.0069,-30.4500,-31.9500,2.8500,
0.236935,0.1128,0.0546,0.2049,-0.0026,-0.0021,0.0069,-30.4500,-31.9500,2.8500,
0.237832,0.1223,0.0404,0.1881,-0.0026,-0.0021,0.0069,-30.4500,-31.9500,2.8500,
0.240850,0.1223,0.0404,0.1881,-0.0026,-0.0021,0.0069,-30.4500,-31.9500,2.8500,
0.241792,0.1078,0.0166,0.1784,-0.0026,-0.0021,0.0069,-30.4500,-31.9500,2.8500,
0.244681,0.1078,0.0166,0.1784,-0.0026,-0.0021,0.0069,-30.4500,-31.9500,2.8500,
0.245478,0.0908,0.0120,0.1952,-0.0026,-0.0021,0.0069,-30.4500,-31.9500,2.8500,
0.246243,0.0908,0.0120,0.1952,-0.0026,-0.0021,0.0069,-30.3000,-31.7250,2.3250,
0.247451,0.0908,0.0120,0.1952,-0.0055,0.0011,-0.0035,-30.3000,-31.7250,2.3250,
0.248166,0.0908,0.0120,0.1952,-0.0055,0.0011,-0.0035,-30.3000,-31.7250,2.3250,
0.248831,0.0790,0.0148,0.2237,-0.0055,0.0011,-0.0035,-30.3000,-31.7250,2.3250,
0.253516,0.0790,0.0148,0.2237,-0.0055,0.0011,-0.0035,-30.3000,-31.7250,2.3250,
0.254274,0.0765,0.0079,0.2524,-0.0055,0.0011,-0.0035,-30.3000,-31.7250,2.3250,
0.259655,0.0765,0.0079,0.2524,-0.0055,0.0011,-0.0035,-30.3000,-31.7250,2.3250,
0.260576,0.0668,0.0247,0.2835,-0.0055,0.0011,-0.0035,-30.3000,-31.7250,2.3250,
0.264790,0.0668,0.0247,0.2835,-0.0055,0.0011,-0.0035,-30.3000,-31.7250,2.3250,
0.265590,0.0734,0.0294,0.2644,-0.0055,0.0011,-0.0035,-30.3000,-31.7250,2.3250,
0.272494,0.0734,0.0294,0.2644,-0.0055,0.0011,-0.0035,-30.3000,-31.7250,2.3250,
0.273431,0.0704,0.0217,0.2358,-0.0055,0.0011,-0.0035,-30.3000,-31.7250,2.3250,
0.274403,0.0704,0.0217,0.2358,-0.0055,0.0011,-0.0035,-30.3000,-31.7250,2.3250,
0.275140,0.0701,0.0218,0.1111,-0.0055,0.0011,-0.0035,-30.3000,-31.7250,2.3250,
0.279456,0.0701,0.0218,0.1111,-0.0055,0.0011,-0.0035,-30.3000,-31.7250,2.3250,
0.280426,0.0548,0.0152,0.0446,-0.0055,0.0011,-0.0035,-30.3000,-31.7250,2.3250,
0.283279,0.0548,0.0152,0.0446,-0.0055,0.0011,-0.0035,-30.3000,-31.7250,2.3250,
0.284091,0.0618,0.0623,0.1262,-0.0055,0.0011,-0.0035,-30.3000,-31.7250,2.3250,
0.288454,0.0618,0.0623,0.1262,-0.0055,0.0011,-0.0035,-30.3000,-31.7250,2.3250,
0.289283,0.0404,0.1073,0.2702,-0.0055,0.0011,-0.0035,-30.3000,-31.7250,2.3250,
0.293376,0.0404,0.1073,0.2702,-0.0055,0.0011,-0.0035,-30.3000,-31.7250,2.3250,
