
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.075050,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-35.7750,10.8750,26.4750,
0.089799,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-35.7750,10.8750,26.4750,
0.109153,0.0000,0.0000,0.0000,-0.0145,-0.0105,-0.0099,-35.7750,10.8750,26.4750,
0.138731,0.0000,0.0000,0.0000,-0.0145,-0.0105,-0.0099,-35.7750,10.8750,26.4750,
0.142589,0.0046,0.0594,-0.0071,-0.0145,-0.0105,-0.0099,-35.7750,10.8750,26.4750,
0.160002,0.0046,0.0594,-0.0071,-0.0145,-0.0105,-0.0099,-35.6250,11.3250,26.8500,
0.176645,0.0046,0.0594,-0.0071,-0.0037,-0.0104,-0.0107,-35.6250,11.3250,26.8500,
0.186853,0.0046,0.0594,-0.0071,-0.0037,-0.0104,-0.0107,-35.6250,11.3250,26.8500,
0.190275,0.0357,0.0634,-0.0874,-0.0037,-0.0104,-0.0107,-35.6250,11.3250,26.8500,
0.213509,0.0357,0.0634,-0.0874,-0.0037,-0.0104,-0.0107,-35.7750,11.8500,27.4500,
0.236216,0.0357,0.0634,-0.0874,-0.0037,-0.0104,-0.0107,-35.7750,11.8500,27.4500,
0.239226,-0.0691,0.0158,-0.1007,-0.0037,-0.0104,-0.0107,-35.7750,11.8500,27.4500,
0.253254,-0.0691,0.0158,-0.1007,-0.0365,-0.0218,-0.0284,-35.7750,11.8500,27.4500,
0.281204,-0.0691,0.0158,-0.1007,-0.0365,-0.0218,-0.0284,-35.7000,11.6250,27.8250,
0.287002,-0.0691,0.0158,-0.1007,-0.0365,-0.0218,-0.0284,-35.7000,11.6250,27.8250,
0.290869,-0.0967,0.0881,0.0229,-0.0365,-0.0218,-0.0284,-35.7000,11.6250,27.8250,
0.313311,-0.0967,0.0881,0.0229,0.0133,-0.0220,-0.0567,-35.7000,11.6250,27.8250,
0.335756,-0.0967,0.0881,0.0229,0.0133,-0.0220,-0.0567,-35.7000,11.6250,27.8250,
0.337998,-0.0356,-0.0904,0.1048,0.0133,-0.0220,-0.0567,-35.7000,11.6250,27.8250,
0.351403,-0.0356,-0.0904,0.1048,0.0133,-0.0220,-0.0567,-35.3250,10.6500,27.7500,
0.383077,-0.0356,-0.0904,0.1048,-0.0050,-0.0397,-0.0287,-35.3250,10.6500,27.7500,
0.385301,-0.0356,-0.0904,0.1048,-0.0050,-0.0397,-0.0287,-35.3250,10.6500,27.7500,
0.386770,0.0174,0.1277,-0.0730,-0.0050,-0.0397,-0.0287,-35.3250,10.6500,27.7500,
0.420705,0.0174,0.1277,-0.0730,-0.0050,-0.0397,-0.0287,-35.7000,11.1750,27.9750,
0.432100,0.0174,0.1277,-0.0730,-0.0050,-0.0397,-0.0287,-35.7000,11.1750,27.9750,
0.434268,0.0098,0.1957,0.0191,-0.0050,-0.0397,-0.0287,-35.7000,11.1750,27.9750,
0.451530,0.0098,0.1957,0.0191,-0.0199,-0.0249,-0.0234,-35.7000,11.1750,27.9750,
0.480237,0.0098,0.1957,0.0191,-0.0199,-0.0249,-0.0234,-35.7000,11.1750,27.9750,
0.483174,-0.0373,0.0204,0.0315,-0.0199,-0.0249,-0.0234,-35.7000,11.1750,27.9750,
0.490419,-0.0373,0.0204,0.0315,-0.0199,-0.0249,-0.0234,-35.1000,11.2500,28.0500,
0.519135,-0.0373,0.0204,0.0315,-0.0182,0.0027,-0.0127,-35.1000,11.2500,28.0500,
0.532493,-0.0373,0.0204,0.0315,-0.0182,0.0027,-0.0127,-35.1000,11.2500,28.0500,
0.534651,-0.0121,0.0201,0.0100,-0.0182,0.0027,-0.0127,-35.1000,11.2500,28.0500,
0.562084,-0.0121,0.0201,0.0100,-0.0182,0.0027,-0.0127,-35.4000,11.3250,27.7500,
0.588252,-0.0121,0.0201,0.0100,-0.0182,0.0027,-0.0127,-35.4000,11.3250,27.7500,
0.593971,-0.0313,0.0777,0.0189,-0.0182,0.0027,-0.0127,-35.4000,11.3250,27.7500,
0.600378,-0.0313,0.0777,0.0189,-0.0191,0.0060,-0.0034,-35.4000,11.3250,27.7500,
0.627270,-0.0313,0.0777,0.0189,-0.0191,0.0060,-0.0034,-35.4000,11.3250,27.7500,
0.631970,-0.0115,0.0310,0.0400,-0.0191,0.0060,-0.0034,-35.4000,11.3250,27.7500,
0.633912,-0.0115,0.0310,0.0400,-0.0191,0.0060,-0.0034,-35.0250,11.3250,27.5250,
0.660709,-0.0115,0.0310,0.0400,-0.0182,0.0035,-0.0002,-35.0250,11.3250,27.5250,
0.680752,-0.0115,0.0310,0.0400,-0.0182,0.0035,-0.0002,-35.0250,11.3250,27.5250,
0.684802,-0.0149,0.0839,0.0315,-0.0182,0.0035,-0.0002,-35.0250,11.3250,27.5250,
0.703389,-0.0149,0.0839,0.0315,-0.0182,0.0035,-0.0002,-35.4750,11.2500,27.4500,
0.730350,-0.0149,0.0839,0.0315,-0.0182,0.0035,-0.0002,-35.4750,11.2500,27.4500,
0.734341,-0.0053,0.0535,0.0429,-0.0182,0.0035,-0.0002,-35.4750,11.2500,27.4500,
0.736968,-0.0053,0.0535,0.0429,-0.0249,0.0026,0.0038,-35.4750,11.2500,27.4500,
0.765390,-0.0053,0.0535,0.0429,-0.0249,0.0026,0.0038,-35.5500,10.4250,27.7500,
0.781027,-0.0053,0.0535,0.0429,-0.0249,0.0026,0.0038,-35.5500,10.4250,27.7500,
0.783672,-0.0057,0.0419,0.0856,-0.0249,0.0026,0.0038,-35.5500,10.4250,27.7500,
0.798040,-0.0057,0.0419,0.0856,-0.0223,-0.0093,0.0032,-35.5500,10.4250,27.7500,
0.827518,-0.0057,0.0419,0.0856,-0.0223,-0.0093,0.0032,-35.5500,10.4250,27.7500,
