
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.038206,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.069968,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.071532,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-35.1750,-22.7250,-8.9250,
0.085939,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-35.1750,-22.7250,-8.9250,
0.087091,0.0165,0.0367,0.1364,0.0000,0.0000,0.0000,-35.1750,-22.7250,-8.9250,
0.108255,0.0165,0.0367,0.1364,0.0000,0.0000,0.0000,-35.1750,-22.7250,-8.9250,
0.109272,-0.0095,0.0387,0.1383,0.0000,0.0000,0.0000,-35.1750,-22.7250,-8.9250,
0.113056,-0.0095,0.0387,0.1383,-0.0075,0.0032,0.0003,-35.1750,-22.7250,-8.9250,
0.126925,-0.0095,0.0387,0.1383,-0.0075,0.0032,0.0003,-35.1750,-22.7250,-8.9250,
0.128280,-0.0507,0.0562,0.0787,-0.0075,0.0032,0.0003,-35.1750,-22.7250,-8.9250,
0.140187,-0.0507,0.0562,0.0787,-0.0075,0.0032,0.0003,-36.9000,-22.6500,-8.2500,
0.146564,-0.0507,0.0562,0.0787,-0.0075,0.0032,0.0003,-36.9000,-22.6500,-8.2500,
0.147644,-0.0380,0.0507,0.2013,-0.0075,0.0032,0.0003,-36.9000,-22.6500,-8.2500,
0.167365,-0.0380,0.0507,0.2013,-0.0075,0.0032,0.0003,-36.9000,-22.6500,-8.2500,
0.169089,-0.0224,0.0536,0.2891,-0.0075,0.0032,0.0003,-36.9000,-22.6500,-8.2500,
0.180770,-0.0224,0.0536,0.2891,-0.0150,0.0111,-0.0055,-36.9000,-22.6500,-8.2500,
0.190598,-0.0224,0.0536,0.2891,-0.0150,0.0111,-0.0055,-36.9000,-22.6500,-8.2500,
0.191909,-0.0058,0.0347,0.2274,-0.0150,0.0111,-0.0055,-36.9000,-22.6500,-8.2500,
0.205877,-0.0058,0.0347,0.2274,-0.0150,0.0111,-0.0055,-36.9000,-22.6500,-8.2500,
