
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.066258,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.066643,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.094716,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,42.2250,10.7250,-1.2000,
0.112487,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,42.2250,10.7250,-1.2000,
0.114298,0.2932,-0.1641,-0.2886,0.0000,0.0000,0.0000,42.2250,10.7250,-1.2000,
0.132783,0.2932,-0.1641,-0.2886,0.0000,0.0000,0.0000,42.2250,10.7250,-1.2000,
0.136624,0.9004,0.3486,-0.7135,0.0000,0.0000,0.0000,42.2250,10.7250,-1.2000,
0.138958,0.9004,0.3486,-0.7135,0.1315,-0.0715,0.1400,42.2250,10.7250,-1.2000,
0.148067,0.9004,0.3486,-0.7135,0.1315,-0.0715,0.1400,42.2250,10.7250,-1.2000,
0.149781,2.0708,-1.6663,0.6216,0.1315,-0.0715,0.1400,42.2250,10.7250,-1.2000,
0.161792,2.0708,-1.6663,0.6216,0.1315,-0.0715,0.1400,41.7750,10.5750,-2.2500,
0.166377,2.0708,-1.6663,0.6216,0.1315,-0.0715,0.1400,41.7750,10.5750,-2.2500,
0.167240,0.1580,1.4650,-0.1158,0.1315,-0.0715,0.1400,41.7750,10.5750,-2.2500,
0.191137,0.1580,1.4650,-0.1158,0.1315,-0.0715,0.1400,41.7750,10.5750,-2.2500,
0.193754,-0.2496,0.0898,-0.0915,0.1315,-0.0715,0.1400,41.7750,10.5750,-2.2500,
0.211725,-0.2496,0.0898,-0.0915,0.1370,0.0721,-0.0232,41.7750,10.5750,-2.2500,
0.213081,-0.2496,0.0898,-0.0915,0.1370,0.0721,-0.0232,41.7750,10.5750,-2.2500,
0.214025,-0.6508,0.0604,-0.2394,0.1370,0.0721,-0.0232,41.7750,10.5750,-2.2500,
0.225152,-0.6508,0.0604,-0.2394,0.1370,0.0721,-0.0232,41.7750,10.5750,-2.2500,
0.226768,-0.5036,-0.2052,-0.3325,0.1370,0.0721,-0.0232,41.7750,10.5750,-2.2500,
0.231551,-0.5036,-0.2052,-0.3325,0.1370,0.0721,-0.0232,42.0000,10.5750,-2.3250,
0.244397,-0.5036,-0.2052,-0.3325,0.1370,0.0721,-0.0232,42.0000,10.5750,-2.3250,
0.245776,-0.1693,0.0156,-0.2009,0.1370,0.0721,-0.0232,42.0000,10.5750,-2.3250,
0.270285,-0.1693,0.0156,-0.2009,0.1370,0.0721,-0.0232,42.0000,10.5750,-2.3250,
0.271122,0.2114,0.0267,-0.1567,0.1370,0.0721,-0.0232,42.0000,10.5750,-2.3250,
0.272861,0.2114,0.0267,-0.1567,0.0881,-0.0139,0.0322,42.0000,10.5750,-2.3250,
0.289502,0.2114,0.0267,-0.1567,0.0881,-0.0139,0.0322,42.0000,10.5750,-2.3250,
0.291129,0.2728,0.1128,-0.1598,0.0881,-0.0139,0.0322,42.0000,10.5750,-2.3250,
0.304761,0.2728,0.1128,-0.1598,0.0881,-0.0139,0.0322,42.7500,10.8750,-1.6500,
0.309118,0.2728,0.1128,-0.1598,0.0881,-0.0139,0.0322,42.7500,10.8750,-1.6500,
0.310580,0.4737,0.2027,-0.1511,0.0881,-0.0139,0.0322,42.7500,10.8750,-1.6500,
0.327568,0.4737,0.2027,-0.1511,0.0881,-0.0139,0.0322,42.7500,10.8750,-1.6500,
0.328821,0.2404,0.0817,-0.2045,0.0881,-0.0139,0.0322,42.7500,10.8750,-1.6500,
0.343476,0.2404,0.0817,-0.2045,0.0389,0.0176,0.0195,42.7500,10.8750,-1.6500,
