
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.060512,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,39.7500,14.2500,5.7000,
0.077341,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,39.7500,14.2500,5.7000,
0.094593,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,39.7500,14.2500,5.7000,
0.096304,0.0079,-0.0786,0.0123,0.0000,0.0000,0.0000,39.7500,14.2500,5.7000,
0.098047,0.0079,-0.0786,0.0123,-0.0350,0.1040,-0.1596,39.7500,14.2500,5.7000,
0.113266,0.0079,-0.0786,0.0123,-0.0350,0.1040,-0.1596,39.7500,14.2500,5.7000,
0.115916,0.1084,0.1580,-0.1469,-0.0350,0.1040,-0.1596,39.7500,14.2500,5.7000,
0.128733,0.1084,0.1580,-0.1469,-0.0350,0.1040,-0.1596,39.7500,14.2500,5.7000,
0.132445,-0.0267,0.2030,0.0047,-0.0350,0.1040,-0.1596,39.7500,14.2500,5.7000,
0.134020,-0.0267,0.2030,0.0047,-0.0350,0.1040,-0.1596,40.6500,14.2500,5.1000,
0.152013,-0.0267,0.2030,0.0047,-0.0350,0.1040,-0.1596,40.6500,14.2500,5.1000,
0.154757,-0.4005,0.0369,0.3065,-0.0350,0.1040,-0.1596,40.6500,14.2500,5.1000,
0.166401,-0.4005,0.0369,0.3065,-0.1006,0.0852,-0.1735,40.6500,14.2500,5.1000,
0.176112,-0.4005,0.0369,0.3065,-0.1006,0.0852,-0.1735,40.6500,14.2500,5.1000,
0.178374,-0.5578,-0.0441,0.3519,-0.1006,0.0852,-0.1735,40.6500,14.2500,5.1000,
0.195532,-0.5578,-0.0441,0.3519,-0.1006,0.0852,-0.1735,40.6500,14.2500,5.1000,
0.197236,-0.3802,0.2094,0.2462,-0.1006,0.0852,-0.1735,40.6500,14.2500,5.1000,
0.200203,-0.3802,0.2094,0.2462,-0.1006,0.0852,-0.1735,40.4250,14.7000,5.2500,
0.214171,-0.3802,0.2094,0.2462,-0.1006,0.0852,-0.1735,40.4250,14.7000,5.2500,
0.216495,-0.1836,0.4151,0.1812,-0.1006,0.0852,-0.1735,40.4250,14.7000,5.2500,
0.235792,-0.1836,0.4151,0.1812,-0.1006,0.0852,-0.1735,40.4250,14.7000,5.2500,
0.237669,-0.1148,0.4829,0.2280,-0.1006,0.0852,-0.1735,40.4250,14.7000,5.2500,
0.244148,-0.1148,0.4829,0.2280,-0.0994,-0.0101,-0.1619,40.4250,14.7000,5.2500,
0.258009,-0.1148,0.4829,0.2280,-0.0994,-0.0101,-0.1619,40.4250,14.7000,5.2500,
0.259615,-0.1174,0.3269,0.2522,-0.0994,-0.0101,-0.1619,40.4250,14.7000,5.2500,
0.266042,-0.1174,0.3269,0.2522,-0.0994,-0.0101,-0.1619,40.2000,15.4500,5.7000,
0.275368,-0.1174,0.3269,0.2522,-0.0994,-0.0101,-0.1619,40.2000,15.4500,5.7000,
0.276917,-0.1566,0.1925,0.1349,-0.0994,-0.0101,-0.1619,40.2000,15.4500,5.7000,
0.293890,-0.1566,0.1925,0.1349,-0.0994,-0.0101,-0.1619,40.2000,15.4500,5.7000,
0.296655,-0.0638,0.2011,-0.2112,-0.0994,-0.0101,-0.1619,40.2000,15.4500,5.7000,
0.308879,-0.0638,0.2011,-0.2112,-0.0826,-0.0536,-0.1336,40.2000,15.4500,5.7000,
0.313328,-0.0638,0.2011,-0.2112,-0.0826,-0.0536,-0.1336,40.2000,15.4500,5.7000,
0.315072,0.0389,0.1794,-0.3999,-0.0826,-0.0536,-0.1336,40.2000,15.4500,5.7000,
0.328468,0.0389,0.1794,-0.3999,-0.0826,-0.0536,-0.1336,40.2000,15.4500,5.7000,
0.330737,0.0755,0.1043,-0.2793,-0.0826,-0.0536,-0.1336,40.2000,15.4500,5.7000,
0.332959,0.0755,0.1043,-0.2793,-0.0826,-0.0536,-0.1336,40.5000,15.9750,5.2500,
0.353846,0.0755,0.1043,-0.2793,-0.0826,-0.0536,-0.1336,40.5000,15.9750,5.2500,
0.356022,0.2022,-0.1526,0.0182,-0.0826,-0.0536,-0.1336,40.5000,15.9750,5.2500,
0.374459,0.2022,-0.1526,0.0182,-0.0826,-0.0536,-0.1336,40.5000,15.9750,5.2500,
0.375747,0.1024,-0.2794,0.0699,-0.0826,-0.0536,-0.1336,40.5000,15.9750,5.2500,
0.376662,0.1024,-0.2794,0.0699,-0.1730,-0.0964,-0.0464,40.5000,15.9750,5.2500,
0.393289,0.1024,-0.2794,0.0699,-0.1730,-0.0964,-0.0464,40.5000,15.9750,5.2500,
0.394509,-0.1985,-0.1201,-0.1548,-0.1730,-0.0964,-0.0464,40.5000,15.9750,5.2500,
0.402717,-0.1985,-0.1201,-0.1548,-0.1730,-0.0964,-0.0464,40.1250,16.1250,5.1750,
0.411930,-0.1985,-0.1201,-0.1548,-0.1730,-0.0964,-0.0464,40.1250,16.1250,5.1750,
0.413409,0.2745,0.0808,-0.2974,-0.1730,-0.0964,-0.0464,40.1250,16.1250,5.1750,
0.429314,0.2745,0.0808,-0.2974,-0.1730,-0.0964,-0.0464,40.1250,16.1250,5.1750,
0.431107,0.0002,0.2505,-0.1752,-0.1730,-0.0964,-0.0464,40.1250,16.1250,5.1750,
0.451095,0.0002,0.2505,-0.1752,-0.1095,-0.2036,0.0362,40.1250,16.1250,5.1750,
0.459098,0.0002,0.2505,-0.1752,-0.1095,-0.2036,0.0362,40.1250,16.1250,5.1750,
0.461199,-0.0628,0.0003,0.4631,-0.1095,-0.2036,0.0362,40.1250,16.1250,5.1750,
0.475998,-0.0628,0.0003,0.4631,-0.1095,-0.2036,0.0362,40.1250,16.1250,5.1750,
0.479197,-0.0324,-0.0559,0.5827,-0.1095,-0.2036,0.0362,40.1250,16.1250,5.1750,
0.482132,-0.0324,-0.0559,0.5827,-0.1095,-0.2036,0.0362,40.1250,16.2750,5.2500,
0.494601,-0.0324,-0.0559,0.5827,-0.1095,-0.2036,0.0362,40.1250,16.2750,5.2500,
0.496640,0.1787,0.0338,0.3143,-0.1095,-0.2036,0.0362,40.1250,16.2750,5.2500,
0.513384,0.1787,0.0338,0.3143,-0.1095,-0.2036,0.0362,40.1250,16.2750,5.2500,
0.515442,0.4493,-0.0042,0.0113,-0.1095,-0.2036,0.0362,40.1250,16.2750,5.2500,
0.518519,0.4493,-0.0042,0.0113,0.0464,-0.2266,0.1162,40.1250,16.2750,5.2500,
0.528865,0.4493,-0.0042,0.0113,0.0464,-0.2266,0.1162,40.1250,16.2750,5.2500,
0.530766,0.6456,-0.2105,-0.0643,0.0464,-0.2266,0.1162,40.1250,16.2750,5.2500,
0.543743,0.6456,-0.2105,-0.0643,0.0464,-0.2266,0.1162,40.2000,15.6000,4.3500,
0.553954,0.6456,-0.2105,-0.0643,0.0464,-0.2266,0.1162,40.2000,15.6000,4.3500,
0.555836,0.4602,-0.5496,0.0913,0.0464,-0.2266,0.1162,40.2000,15.6000,4.3500,
0.575951,0.4602,-0.5496,0.0913,0.0464,-0.2266,0.1162,40.2000,15.6000,4.3500,
0.578088,-0.1051,-0.7588,0.2175,0.0464,-0.2266,0.1162,40.2000,15.6000,4.3500,
0.588296,-0.1051,-0.7588,0.2175,0.1264,-0.2853,0.1345,40.2000,15.6000,4.3500,
0.591878,-0.1051,-0.7588,0.2175,0.1264,-0.2853,0.1345,40.2000,15.6000,4.3500,
0.593229,-0.9037,-0.7332,0.1209,0.1264,-0.2853,0.1345,40.2000,15.6000,4.3500,
0.611625,-0.9037,-0.7332,0.1209,0.1264,-0.2853,0.1345,40.2000,15.6000,4.3500,
0.613999,-2.0886,-0.0830,-0.2119,0.1264,-0.2853,0.1345,40.2000,15.6000,4.3500,
0.616089,-2.0886,-0.0830,-0.2119,0.1264,-0.2853,0.1345,40.2000,14.9250,3.3750,
0.628404,-2.0886,-0.0830,-0.2119,0.1264,-0.2853,0.1345,40.2000,14.9250,3.3750,
0.630675,-2.9665,0.6877,-0.3509,0.1264,-0.2853,0.1345,40.2000,14.9250,3.3750,
