
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.130435,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,40.7250,17.4750,8.7750,
0.137063,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,40.7250,17.4750,8.7750,
0.152193,0.0000,0.0000,0.0000,0.0026,0.0342,0.0165,40.7250,17.4750,8.7750,
0.181171,0.0000,0.0000,0.0000,0.0026,0.0342,0.0165,40.7250,17.4750,8.7750,
0.182448,-0.0030,0.0882,-0.0251,0.0026,0.0342,0.0165,40.7250,17.4750,8.7750,
0.196315,-0.0030,0.0882,-0.0251,0.0026,0.0342,0.0165,41.0250,17.5500,9.1500,
0.219277,-0.0030,0.0882,-0.0251,-0.0292,0.0629,-0.0029,41.0250,17.5500,9.1500,
0.228583,-0.0030,0.0882,-0.0251,-0.0292,0.0629,-0.0029,41.0250,17.5500,9.1500,
0.232713,-0.0905,0.0570,-0.0314,-0.0292,0.0629,-0.0029,41.0250,17.5500,9.1500,
0.266022,-0.0905,0.0570,-0.0314,-0.0292,0.0629,-0.0029,41.0250,17.2500,9.2250,
0.282813,-0.0905,0.0570,-0.0314,-0.0292,0.0629,-0.0029,41.0250,17.2500,9.2250,
0.284516,-0.1322,0.0491,0.0327,-0.0292,0.0629,-0.0029,41.0250,17.2500,9.2250,
0.288052,-0.1322,0.0491,0.0327,-0.0316,0.0987,-0.0116,41.0250,17.2500,9.2250,
0.332307,-0.1322,0.0491,0.0327,-0.0316,0.0987,-0.0116,41.0250,17.2500,9.2250,
0.336984,-0.1682,0.0600,-0.0591,-0.0316,0.0987,-0.0116,41.0250,17.2500,9.2250,
0.343210,-0.1682,0.0600,-0.0591,-0.0316,0.0987,-0.0116,41.5500,17.5500,10.0500,
0.358719,-0.1682,0.0600,-0.0591,-0.0455,0.0977,-0.0191,41.5500,17.5500,10.0500,
0.375983,-0.1682,0.0600,-0.0591,-0.0455,0.0977,-0.0191,41.5500,17.5500,10.0500,
0.377483,-0.1833,0.0365,0.0340,-0.0455,0.0977,-0.0191,41.5500,17.5500,10.0500,
0.403461,-0.1833,0.0365,0.0340,-0.0455,0.0977,-0.0191,40.6500,17.5500,10.3500,
0.428928,-0.1833,0.0365,0.0340,-0.0304,0.1155,0.0014,40.6500,17.5500,10.3500,
0.431152,-0.1833,0.0365,0.0340,-0.0304,0.1155,0.0014,40.6500,17.5500,10.3500,
0.432439,-0.1832,-0.0488,0.0197,-0.0304,0.1155,0.0014,40.6500,17.5500,10.3500,
0.474025,-0.1832,-0.0488,0.0197,-0.0304,0.1155,0.0014,39.5250,17.5500,10.2750,
0.477698,-0.1832,-0.0488,0.0197,-0.0304,0.1155,0.0014,39.5250,17.5500,10.2750,
0.479013,-0.1108,0.0749,-0.0291,-0.0304,0.1155,0.0014,39.5250,17.5500,10.2750,
0.500096,-0.1108,0.0749,-0.0291,-0.0127,0.0770,-0.0110,39.5250,17.5500,10.2750,
0.527207,-0.1108,0.0749,-0.0291,-0.0127,0.0770,-0.0110,39.5250,17.5500,10.2750,
0.529764,-0.2955,-0.0455,0.0164,-0.0127,0.0770,-0.0110,39.5250,17.5500,10.2750,
0.549209,-0.2955,-0.0455,0.0164,-0.0127,0.0770,-0.0110,40.2750,18.2250,10.6500,
0.566308,-0.2955,-0.0455,0.0164,0.0043,0.0721,0.0144,40.2750,18.2250,10.6500,
0.582290,-0.2955,-0.0455,0.0164,0.0043,0.0721,0.0144,40.2750,18.2250,10.6500,
0.584483,-0.1415,-0.0028,0.0991,0.0043,0.0721,0.0144,40.2750,18.2250,10.6500,
0.613764,-0.1415,-0.0028,0.0991,0.0043,0.0721,0.0144,40.6500,18.2250,10.9500,
0.624560,-0.1415,-0.0028,0.0991,0.0043,0.0721,0.0144,40.6500,18.2250,10.9500,
0.626347,-0.2783,0.0452,-0.0158,0.0043,0.0721,0.0144,40.6500,18.2250,10.9500,
0.635513,-0.2783,0.0452,-0.0158,0.0593,0.0023,-0.0096,40.6500,18.2250,10.9500,
0.678665,-0.2783,0.0452,-0.0158,0.0593,0.0023,-0.0096,40.6500,18.2250,10.9500,
0.681438,-0.1367,0.1077,0.0411,0.0593,0.0023,-0.0096,40.6500,18.2250,10.9500,
0.683709,-0.1367,0.1077,0.0411,0.0593,0.0023,-0.0096,40.3500,17.8500,11.3250,
0.707904,-0.1367,0.1077,0.0411,0.0640,-0.0221,-0.0041,40.3500,17.8500,11.3250,
0.728982,-0.1367,0.1077,0.0411,0.0640,-0.0221,-0.0041,40.3500,17.8500,11.3250,
0.731650,-0.1215,0.0376,-0.1120,0.0640,-0.0221,-0.0041,40.3500,17.8500,11.3250,
0.753641,-0.1215,0.0376,-0.1120,0.0640,-0.0221,-0.0041,40.0500,17.4750,10.6500,
0.777294,-0.1215,0.0376,-0.1120,0.0108,-0.0066,-0.0192,40.0500,17.4750,10.6500,
0.780219,-0.1215,0.0376,-0.1120,0.0108,-0.0066,-0.0192,40.0500,17.4750,10.6500,
0.782213,-0.1126,0.0423,-0.0590,0.0108,-0.0066,-0.0192,40.0500,17.4750,10.6500,
0.824572,-0.1126,0.0423,-0.0590,0.0108,-0.0066,-0.0192,40.8000,17.7750,10.5750,
0.827497,-0.1126,0.0423,-0.0590,0.0108,-0.0066,-0.0192,40.8000,17.7750,10.5750,
0.829057,-0.0621,0.0085,0.0233,0.0108,-0.0066,-0.0192,40.8000,17.7750,10.5750,
0.847791,-0.0621,0.0085,0.0233,0.0325,0.0159,-0.0215,40.8000,17.7750,10.5750,
0.874725,-0.0621,0.0085,0.0233,0.0325,0.0159,-0.0215,40.8000,17.7750,10.5750,
0.877531,-0.1528,0.0514,-0.0927,0.0325,0.0159,-0.0215,40.8000,17.7750,10.5750,
0.895904,-0.1528,0.0514,-0.0927,0.0325,0.0159,-0.0215,40.3500,17.6250,10.6500,
