time,ax,ay,az,wx,wy,wz,Bx,By,Bz
0.036095,0,0,0,0,0,0,0,0,0
0.056095,0.0575,0.0674,0.114,0,0,0,43.65,17.55,0.375
0.076095,0.0846,0.0745,0.1092,0,0,0,43.65,17.55,0.375
0.096095,0.0518,0.0769,0.1694,0.006,-0.0113,0.0006,43.65,17.55,0.375
0.116095,0.0101,0.0168,0.1991,0.006,-0.0113,0.0006,43.65,17.55,0.375
0.136095,-0.0049,0.0639,0.0839,0.006,-0.0113,0.0006,43.5,18.225,1.65
0.156095,0.0546,-0.0609,0.1774,0.0079,-0.0165,-0.0063,43.5,18.225,1.65
0.176095,0.088,0.20805,0.2213,0.0079,-0.0165,-0.0063,43.5,18.225,1.65
0.196095,0.1048,0.1202,0.2854,0.0079,-0.0165,-0.0063,43.65,18.75,1.65
0.216095,0.0398,0.04185,0.1729,0.0079,-0.0165,-0.0063,43.65,18.75,1.65
0.236095,0.0141,0.0091,0.1197,0.002,-0.0058,-0.0017,43.65,18.75,1.65
0.256095,0.0131,0.0992,0.1805,0.002,-0.0058,-0.0017,43.65,18.75,1.65
0.276095,0.0494,0.0721,0.2011,0.002,-0.0058,-0.0017,43.65,18.525,1.95
0.296095,0.0496,0.0446,0.1571,0.0073,0.0012,0.0014,43.65,18.525,1.95
0.316095,0.0457,0.1059,0.0882,0.0073,0.0012,0.0014,43.65,18.525,1.95
0.336095,0.0633,0.1122,0.1038,0.0073,0.0012,0.0014,43.35,18.75,1.125
0.356095,0.0513,0.0635,0.0568,0.0073,0.0012,0.0014,43.35,18.75,1.125
0.376095,0.0581,0.0268,0.0085,0.0195,0.0098,0.0011,43.35,18.75,1.125
0.396095,0.0793,0.0216,0.0011,0.0195,0.0098,0.0011,43.35,18.75,1.125
0.416095,-0.0003,0.0116,0.1228,0.0195,0.0098,0.0011,43.65,18.225,1.575
0.436095,0.05515,-0.0082,0.0009,0.0049,0.0403,0.0018,43.65,18.225,1.575
0.456095,-0.091,0.1079,-0.0361,0.0049,0.0403,0.0018,43.65,18.225,1.575
0.476095,-0.0795,0.0404,0.2085,0.0049,0.0403,0.0018,43.35,18.525,1.65
0.496095,0.0354,0.0323,-0.1018,0.0049,0.0403,0.0018,43.35,18.525,1.65
0.516095,0.0338,0.0545,0.0659,0.0431,0.0257,-0.0023,43.35,18.525,1.65
0.536095,0.0729,-0.0863,0.2489,0.0431,0.0257,-0.0023,43.35,18.525,1.65
0.556095,0.0654,0.0141,0.0189,0.0431,0.0257,-0.0023,43.05,18.525,1.575
0.576095,0.0699,0.0749,-0.0743,0.0519,0.0186,-0.0014,43.05,18.525,1.575
0.596095,0.0143,0.02585,-0.0493,0.0519,0.0186,-0.0014,43.05,18.525,1.575
0.616095,-0.019,-0.02745,0.06845,0.0519,0.0186,-0.0014,43.125,18.75,1.65
0.636095,0.02225,-0.02735,0.02225,0.0519,0.0186,-0.0014,43.125,18.75,1.65
0.656095,0.016,0.0238,-0.0522,0.073,0.0341,-0.0076,43.125,18.75,1.65
0.676095,-0.0074,0.0056,-0.1209,0.073,0.0341,-0.0076,43.125,18.75,1.65
0.696095,-0.0234,0.00865,-0.1258,0.073,0.0341,-0.0076,43.125,18.75,1.65
0.716095,-0.033,0.01075,-0.12965,0.073,0.0341,-0.0076,43.125,18.75,1.65
0.736095,-0.0021,0.0273,-0.1193,0.0877,0.0168,-0.0086,43.125,17.925,2.25
