
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.043295,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.069247,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,39.9000,20.8500,2.2500,
0.084194,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,39.9000,20.8500,2.2500,
0.085660,-0.0023,0.0154,0.0009,0.0000,0.0000,0.0000,39.9000,20.8500,2.2500,
0.102896,-0.0023,0.0154,0.0009,0.0000,0.0000,0.0000,39.9000,20.8500,2.2500,
0.104551,-0.0112,-0.0579,0.0387,0.0000,0.0000,0.0000,39.9000,20.8500,2.2500,
0.111746,-0.0112,-0.0579,0.0387,0.0328,-0.0118,0.0031,39.9000,20.8500,2.2500,
0.130029,-0.0112,-0.0579,0.0387,0.0328,-0.0118,0.0031,39.9000,20.8500,2.2500,
0.132631,-0.0635,0.0909,-0.0122,0.0328,-0.0118,0.0031,39.9000,20.8500,2.2500,
0.145113,-0.0635,0.0909,-0.0122,0.0328,-0.0118,0.0031,38.8500,19.6500,2.9250,
0.147886,-0.0635,0.0909,-0.0122,0.0328,-0.0118,0.0031,38.8500,19.6500,2.9250,
0.149291,-0.1397,0.0733,-0.1193,0.0328,-0.0118,0.0031,38.8500,19.6500,2.9250,
0.160311,-0.1397,0.0733,-0.1193,0.0328,-0.0118,0.0031,38.8500,19.6500,2.9250,
0.162432,0.0536,0.0260,0.0906,0.0328,-0.0118,0.0031,38.8500,19.6500,2.9250,
0.175129,0.0536,0.0260,0.0906,0.0273,-0.0226,0.0023,38.8500,19.6500,2.9250,
0.179714,0.0536,0.0260,0.0906,0.0273,-0.0226,0.0023,38.8500,19.6500,2.9250,
0.180970,0.0140,-0.0225,0.0234,0.0273,-0.0226,0.0023,38.8500,19.6500,2.9250,
0.205239,0.0140,-0.0225,0.0234,0.0273,-0.0226,0.0023,38.8500,19.6500,2.9250,
0.207090,0.0869,0.0704,0.1396,0.0273,-0.0226,0.0023,38.8500,19.6500,2.9250,
