
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.046679,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.066630,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.068205,-0.0518,0.1358,-0.4577,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.069861,-0.0518,0.1358,-0.4577,0.0000,0.0000,0.0000,45.0000,8.5500,7.0500,
0.085602,-0.0518,0.1358,-0.4577,0.0000,0.0000,0.0000,45.0000,8.5500,7.0500,
0.087346,-0.0910,0.1461,-0.5102,0.0000,0.0000,0.0000,45.0000,8.5500,7.0500,
0.105644,-0.0910,0.1461,-0.5102,0.0000,0.0000,0.0000,45.0000,8.5500,7.0500,
0.107204,-0.1711,0.1361,-0.5562,0.0000,0.0000,0.0000,45.0000,8.5500,7.0500,
0.110756,-0.1711,0.1361,-0.5562,-0.1872,-0.1767,0.0394,45.0000,8.5500,7.0500,
0.125252,-0.1711,0.1361,-0.5562,-0.1872,-0.1767,0.0394,45.0000,8.5500,7.0500,
0.127859,-0.2988,0.1657,-0.4889,-0.1872,-0.1767,0.0394,45.0000,8.5500,7.0500,
0.138718,-0.2988,0.1657,-0.4889,-0.1872,-0.1767,0.0394,44.5500,9.2250,7.0500,
0.144000,-0.2988,0.1657,-0.4889,-0.1872,-0.1767,0.0394,44.5500,9.2250,7.0500,
0.145797,-0.4408,0.2121,-0.3890,-0.1872,-0.1767,0.0394,44.5500,9.2250,7.0500,
0.163152,-0.4408,0.2121,-0.3890,-0.1872,-0.1767,0.0394,44.5500,9.2250,7.0500,
0.165644,-0.5466,0.1345,-0.2787,-0.1872,-0.1767,0.0394,44.5500,9.2250,7.0500,
0.177841,-0.5466,0.1345,-0.2787,-0.1891,-0.1819,0.0133,44.5500,9.2250,7.0500,
0.188815,-0.5466,0.1345,-0.2787,-0.1891,-0.1819,0.0133,44.5500,9.2250,7.0500,
0.190586,-0.6835,-0.0672,-0.2116,-0.1891,-0.1819,0.0133,44.5500,9.2250,7.0500,
0.205015,-0.6835,-0.0672,-0.2116,-0.1891,-0.1819,0.0133,44.5500,9.2250,7.0500,
0.207213,-0.7141,-0.2870,-0.2487,-0.1891,-0.1819,0.0133,44.5500,9.2250,7.0500,
0.209101,-0.7141,-0.2870,-0.2487,-0.1891,-0.1819,0.0133,43.0500,9.2250,7.3500,
0.222089,-0.7141,-0.2870,-0.2487,-0.1891,-0.1819,0.0133,43.0500,9.2250,7.3500,
0.224408,-0.7792,-0.3184,-0.3428,-0.1891,-0.1819,0.0133,43.0500,9.2250,7.3500,
0.241500,-0.7792,-0.3184,-0.3428,-0.1891,-0.1819,0.0133,43.0500,9.2250,7.3500,
