time,ax,ay,az,wx,wy,wz,Bx,By,Bz
0.033908,0,0,0,0,0,0,0,0,0
0.053908,-0.0348,0.1573,-0.0791,0,0,0,0,0,0
0.073908,-0.0302,0.0334,-0.0738,0,0,0,33.825,31.125,6.075
0.093908,-0.0058,0.029,-0.0382,0.0145,-0.0224,-0.0278,33.825,31.125,6.075
0.113908,-0.0404,0.0388,-0.0437,0.0145,-0.0224,-0.0278,33.825,31.125,6.075
0.133908,-0.15,0.0078,-0.1313,0.0145,-0.0224,-0.0278,32.925,32.025,5.925
0.153908,-0.2764,0.0726,-0.1012,-0.0038,0.0052,-0.0454,32.925,32.025,5.925
0.173908,-0.2371,0.0465,-0.0158,-0.0038,0.0052,-0.0454,32.925,32.025,5.925
0.193908,-0.1428,0.0759,-0.1959,-0.0038,0.0052,-0.0454,32.925,32.025,5.925
0.213908,-0.12825,0.0468,-0.06265,-0.0038,0.0052,-0.0454,32.25,32.4,5.55
0.233908,-0.05345,0.0443,0.01245,-0.0121,-0.0044,-0.0501,32.25,32.4,5.55
0.253908,0.00645,0.09485,-0.27025,-0.0121,-0.0044,-0.0501,32.25,32.4,5.55
0.273908,-0.11445,-0.0009,0.43425,-0.0121,-0.0044,-0.0501,32.175,32.475,6.075
0.293908,-0.0369,-0.06345,0.0371,0,0.0154,-0.0512,32.175,32.475,6.075
0.313908,-0.0798,0.0335,-0.1591,0,0.0154,-0.0512,32.175,32.475,6.075
0.333908,0.1529,0.1885,0.0291,0,0.0154,-0.0512,32.175,33,5.925
0.353908,0.0126,0.0999,0.0081,0.00555,0.0209,-0.0565,32.175,33,5.925
0.373908,-0.216,0.0666,-0.0111,0.0111,0.0264,-0.0618,32.175,33,5.925
0.393908,-0.25415,0.0861,0.00645,0.0111,0.0264,-0.0618,32.175,33,5.925
0.413908,0.1494,-0.0328,-0.0424,0.0111,0.0264,-0.0618,33.225,32.475,6.75
0.433908,-0.253,0.2499,-0.2078,-0.0195,0.0347,-0.0823,33.225,32.475,6.75
0.453908,-0.0516,0.03505,-0.07355,-0.0195,0.0347,-0.0823,33.225,32.475,6.75
0.473908,-0.157,0.0278,0.0733,-0.0195,0.0347,-0.0823,33.225,32.475,6.75
0.493908,-0.22,0.0483,0.032,-0.0195,0.0347,-0.0823,32.175,32.25,5.85
0.513908,-0.1634,0.0912,-0.0183,-0.0513,0.0189,-0.0837,32.175,32.25,5.85
0.533908,-0.16,0.0591,-0.0352,-0.0513,0.0189,-0.0837,32.175,32.25,5.85
0.553908,0.0105,0.0635,-0.0554,-0.0513,0.0189,-0.0837,31.8,32.775,6.375
0.573908,0.1508,0.0652,0.0506,-0.0638,0.0037,-0.0605,31.8,32.775,6.375
0.593908,0.0712,0.0352,0.1438,-0.0638,0.0037,-0.0605,31.8,32.775,6.375
0.613908,-0.04355,-0.0246,0.17115,-0.0638,0.0037,-0.0605,31.8,32.775,6.375
0.633908,0.5311,0.215,0.1161,-0.05825,-0.0097,-0.05545,31.425,33.525,6.45
0.653908,-0.5989,-0.2072,-0.2271,-0.0527,-0.0231,-0.0504,31.425,33.525,6.45
0.673908,0.1599,0.2006,0.0745,-0.0527,-0.0231,-0.0504,31.425,33.525,6.45
0.693908,0.1078,0.1085,-0.1375,-0.0527,-0.0231,-0.0504,32.025,33.6,6.15
0.713908,0.0795,0.0382,0.0266,-0.0502,-0.027,-0.0542,32.025,33.6,6.15
0.733908,-0.00735,-0.1497,-0.00475,-0.0502,-0.027,-0.0542,32.025,33.6,6.15
0.753908,-0.1173,0.0857,-0.1862,-0.0502,-0.027,-0.0542,31.875,33.225,6.3
0.773908,-0.2359,0.0408,0.0972,-0.0502,-0.027,-0.0542,31.725,32.85,6.45
0.793908,-0.0867,-0.0105,0.2503,-0.0629,-0.022,-0.058,31.725,32.85,6.45
0.813908,0.0459,0.0783,-0.1418,-0.0629,-0.022,-0.058,31.725,32.85,6.45
0.833908,0.1787,-0.017,0.3762,-0.0629,-0.022,-0.058,31.575,33.15,6.525
0.853908,0.1515,-0.0566,0.0972,0.0098,-0.0302,-0.0316,31.575,33.15,6.525
