
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.040111,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.066698,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,40.8750,18.4500,9.5250,
0.080578,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,40.8750,18.4500,9.5250,
0.082153,-0.0144,0.1289,-0.0096,0.0000,0.0000,0.0000,40.8750,18.4500,9.5250,
0.099254,-0.0144,0.1289,-0.0096,0.0000,0.0000,0.0000,40.8750,18.4500,9.5250,
0.101008,-0.0072,0.1506,0.0338,0.0000,0.0000,0.0000,40.8750,18.4500,9.5250,
0.103666,-0.0072,0.1506,0.0338,0.0313,-0.0162,-0.0015,40.8750,18.4500,9.5250,
0.118383,-0.0072,0.1506,0.0338,0.0313,-0.0162,-0.0015,40.8750,18.4500,9.5250,
0.120057,0.0239,0.1270,0.0051,0.0313,-0.0162,-0.0015,40.8750,18.4500,9.5250,
0.134056,0.0239,0.1270,0.0051,0.0313,-0.0162,-0.0015,40.8750,18.4500,9.5250,
0.136360,0.0285,0.1209,-0.0192,0.0313,-0.0162,-0.0015,40.8750,18.4500,9.5250,
0.138539,0.0285,0.1209,-0.0192,0.0313,-0.0162,-0.0015,39.7500,18.5250,8.7000,
0.162236,0.0285,0.1209,-0.0192,0.0313,-0.0162,-0.0015,39.7500,18.5250,8.7000,
0.164934,-0.0540,0.0590,0.0369,0.0313,-0.0162,-0.0015,39.7500,18.5250,8.7000,
0.175301,-0.0540,0.0590,0.0369,-0.0043,0.0057,0.0024,39.7500,18.5250,8.7000,
0.186396,-0.0540,0.0590,0.0369,-0.0043,0.0057,0.0024,39.7500,18.5250,8.7000,
0.189294,-0.1019,0.0191,0.1075,-0.0043,0.0057,0.0024,39.7500,18.5250,8.7000,
0.199987,-0.1019,0.0191,0.1075,-0.0043,0.0057,0.0024,39.7500,18.5250,8.7000,
0.201745,-0.0614,0.0408,0.0468,-0.0043,0.0057,0.0024,39.7500,18.5250,8.7000,
0.205257,-0.0614,0.0408,0.0468,-0.0043,0.0057,0.0024,39.8250,18.6000,9.5250,
0.219588,-0.0614,0.0408,0.0468,-0.0043,0.0057,0.0024,39.8250,18.6000,9.5250,
0.221807,-0.0179,0.0537,-0.0112,-0.0043,0.0057,0.0024,39.8250,18.6000,9.5250,
0.239277,-0.0179,0.0537,-0.0112,-0.0043,0.0057,0.0024,39.8250,18.6000,9.5250,
0.242022,-0.0245,-0.0201,-0.0127,-0.0043,0.0057,0.0024,39.8250,18.6000,9.5250,
0.250740,-0.0245,-0.0201,-0.0127,-0.0307,0.0038,-0.0093,39.8250,18.6000,9.5250,
0.259193,-0.0245,-0.0201,-0.0127,-0.0307,0.0038,-0.0093,39.8250,18.6000,9.5250,
0.261258,-0.0073,-0.0780,0.0171,-0.0307,0.0038,-0.0093,39.8250,18.6000,9.5250,
