time,ax,ay,az,wx,wy,wz,Bx,By,Bz
0.13052,0,0,0,0,0,0,0,0,0
0.15052,0.0873,0.0186,-0.1287,0.0127,-0.0224,0.0211,38.625,19.35,7.8
0.17052,0.0384,0.0039,0.012,0.02125,-0.0338,0.01575,38.625,19.35,7.8
0.19052,0.0043,0.013,0.0208,0.0298,-0.0452,0.0104,38.925,18.3,7.05
0.21052,0.0089,0.0461,0.0219,0.0298,-0.0452,0.0104,38.925,18.3,7.05
0.23052,0.02715,0.05765,-0.11395,0.0298,-0.0452,0.0104,38.925,18.3,7.05
0.25052,0.0418,0.0438,-0.0668,0.0334,-0.0365,0.0199,38.475,18.15,7.275
0.27052,0.04475,-0.0181,0.10075,0.0334,-0.0365,0.0199,38.475,18.15,7.275
0.29052,-0.0042,-0.038,0.1227,0.0334,-0.0365,0.0199,38.475,18.15,7.275
0.31052,0.00205,0.0599,-0.0587,0.0334,-0.0365,0.0199,38.475,18.15,7.275
0.33052,0.0055,0.1246,-0.0723,0.0547,-0.0576,0.0142,37.725,18.6,7.05
0.35052,0.0692,0.1024,0.00095,0.0547,-0.0576,0.0142,37.725,18.6,7.05
0.37052,0.0858,0.0315,-0.04,0.0547,-0.0576,0.0142,37.725,18.6,7.05
0.39052,0.035,0.0378,-0.0846,0.0505,-0.0339,0.0095,38.325,18.075,6.9
0.41052,-0.0166,0.0469,-0.05,0.0505,-0.0339,0.0095,38.325,18.075,6.9
0.43052,-0.0322,0.0388,0.0135,0.0505,-0.0339,0.0095,38.325,18.075,6.9
0.45052,0.0117,0.0019,0.0601,0.0505,-0.0339,0.0095,38.325,18.075,6.9
0.47052,0.0338,0.0123,0.0008,0.0405,-0.0092,-0.0021,38.475,18.675,7.35
0.49052,0.0298,0.0647,-0.15385,0.0405,-0.0092,-0.0021,38.475,18.675,7.35
0.51052,0.0216,0.077,-0.184,0.0405,-0.0092,-0.0021,38.475,18.675,7.35
0.53052,0.0001,0.038,-0.1323,0.0492,0.0057,-0.0115,37.5,18.675,6.975
0.55052,-0.0118,0.0206,-0.1279,0.0492,0.0057,-0.0115,37.5,18.675,6.975
0.57052,0.0591,0.0638,-0.2797,0.0492,0.0057,-0.0115,37.5,18.675,6.975
0.59052,0.1826,0.117,-0.4877,0.0229,-0.0055,-0.0131,38.325,19.2,6.675
0.61052,-0.2773,0.0501,-0.0012,0.0229,-0.0055,-0.0131,38.325,19.2,6.675
0.63052,0.0554,0.0476,-0.2618,0.0229,-0.0055,-0.0131,38.325,19.2,6.675
0.65052,-0.07245,0.0929,0.0405,0.0229,-0.0055,-0.0131,38.325,19.2,6.675
0.67052,0.0153,-0.035,-0.0424,0.0214,-0.0505,-0.02,37.95,18.375,6.375
0.69052,0.0612,0.0316,-0.0805,0.0214,-0.0505,-0.02,37.95,18.375,6.375
0.71052,0.0996,0.03555,-0.02745,0.0214,-0.0505,-0.02,37.95,18.375,6.375
0.73052,-0.08335,0.0681,-0.0538,0.0337,-0.0823,-0.0154,37.95,18.375,6.375
0.75052,-0.1831,0.1221,-0.1922,0.0337,-0.0823,-0.0154,38.175,18.6,6.675
0.77052,-0.0982,0.1646,-0.347,0.0337,-0.0823,-0.0154,38.175,18.6,6.675
0.79052,0.0817,0.16105,-0.251,0.0337,-0.0823,-0.0154,38.175,18.6,6.675
0.81052,0.1363,0.0572,-0.0936,0.0423,-0.0967,-0.0081,38.025,18.825,6.75
0.83052,0.0774,-0.0047,-0.1266,0.0423,-0.0967,-0.0081,38.025,18.825,6.75
0.85052,-0.0365,0.0059,-0.1341,0.0423,-0.0967,-0.0081,38.025,18.825,6.75
0.87052,-0.0621,0.0766,-0.2587,-0.0293,-0.1063,-0.0176,38.55,18.675,5.175
0.89052,0.0257,0.2143,-0.2067,-0.0293,-0.1063,-0.0176,38.55,18.675,5.175
0.91052,0.1174,0.127,-0.2044,-0.0293,-0.1063,-0.0176,38.55,18.675,5.175
0.93052,-0.0597,0.0007,-0.2069,-0.06255,-0.1101,-0.02875,38.55,18.675,5.175
0.95052,-0.1885,0.0661,-0.3245,-0.0958,-0.1139,-0.0399,38.7,18.075,4.875
0.97052,-0.1202,0.2484,-0.5275,-0.0958,-0.1139,-0.0399,38.7,18.075,4.875
0.99052,0.0846,0.3235,-0.5323,-0.0958,-0.1139,-0.0399,38.7,18.075,4.875
1.01052,0.1584,0.2624,-0.4151,-0.2234,-0.129,-0.0727,38.4,18.825,5.25
1.03052,0.0756,0.1059,-0.3074,-0.2234,-0.129,-0.0727,38.4,18.825,5.25
1.05052,-0.0462,0.1545,-0.3205,-0.2234,-0.129,-0.0727,38.4,18.825,5.25
1.07052,-0.0376,0.21785,-0.32135,-0.2234,-0.129,-0.0727,38.4,18.825,5.25
1.09052,-0.0157,0.2656,-0.2959,-0.434,-0.1674,-0.1281,38.025,18.975,5.7
1.11052,0.0568,0.2988,-0.307,-0.434,-0.1674,-0.1281,38.025,18.975,5.7
1.13052,0.07465,0.27315,-0.395,-0.434,-0.1674,-0.1281,38.025,18.975,5.7
1.15052,-0.0647,0.3092,-0.2781,-0.5582,-0.1625,-0.1626,37.875,18.675,5.25
1.17052,-0.2031,0.3371,-0.34625,-0.5582,-0.1625,-0.1626,37.875,18.675,5.25
1.19052,-0.2059,0.2469,-0.5225,-0.5582,-0.1625,-0.1626,37.875,18.675,5.25
1.21052,-0.1441,0.1869,-0.5674,-0.5582,-0.1625,-0.1626,37.875,18.675,5.25
1.23052,-0.0619,0.2978,-0.4814,-0.6365,-0.2489,-0.1852,37.35,19.35,5.4
1.25052,0.0122,0.5692,-0.3073,-0.6365,-0.2489,-0.1852,37.35,19.35,5.4
1.27052,0.0561,0.5714,-0.2373,-0.6365,-0.2489,-0.1852,37.35,19.35,5.4
1.29052,0.0764,0.3452,-0.1607,-0.6716,-0.2327,-0.1686,37.95,20.025,5.55
1.31052,0.1196,0.6682,-0.41725,-0.6716,-0.2327,-0.1686,37.95,20.025,5.55
