
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.031635,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.056990,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.5750,16.5000,-5.0250,
0.076384,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.5750,16.5000,-5.0250,
0.078089,-0.0348,-0.0371,-0.0155,0.0000,0.0000,0.0000,49.5750,16.5000,-5.0250,
0.095608,-0.0348,-0.0371,-0.0155,0.0000,0.0000,0.0000,49.5750,16.5000,-5.0250,
0.097424,0.0067,-0.0257,0.0438,0.0000,0.0000,0.0000,49.5750,16.5000,-5.0250,
0.103568,0.0067,-0.0257,0.0438,0.0067,0.0283,0.0011,49.5750,16.5000,-5.0250,
0.118223,0.0067,-0.0257,0.0438,0.0067,0.0283,0.0011,49.5750,16.5000,-5.0250,
0.119787,0.0303,0.0361,0.0364,0.0067,0.0283,0.0011,49.5750,16.5000,-5.0250,
0.127809,0.0303,0.0361,0.0364,0.0067,0.0283,0.0011,49.9500,17.1750,-4.6500,
0.139613,0.0303,0.0361,0.0364,0.0067,0.0283,0.0011,49.9500,17.1750,-4.6500,
0.140977,0.0016,0.0877,-0.0122,0.0067,0.0283,0.0011,49.9500,17.1750,-4.6500,
0.158807,0.0016,0.0877,-0.0122,0.0067,0.0283,0.0011,49.9500,17.1750,-4.6500,
0.160391,0.0214,0.1221,-0.1735,0.0067,0.0283,0.0011,49.9500,17.1750,-4.6500,
0.173586,0.0214,0.1221,-0.1735,0.0131,0.0264,-0.0079,49.9500,17.1750,-4.6500,
0.179200,0.0214,0.1221,-0.1735,0.0131,0.0264,-0.0079,49.9500,17.1750,-4.6500,
0.182905,-0.0610,0.1230,0.1520,0.0131,0.0264,-0.0079,49.9500,17.1750,-4.6500,
0.201105,-0.0610,0.1230,0.1520,0.0131,0.0264,-0.0079,49.9500,17.1750,-4.6500,
0.204324,-0.1482,-0.0419,0.1978,0.0131,0.0264,-0.0079,49.9500,17.1750,-4.6500,
0.206236,-0.1482,-0.0419,0.1978,0.0131,0.0264,-0.0079,49.9500,17.7000,-4.6500,
0.219630,-0.1482,-0.0419,0.1978,0.0131,0.0264,-0.0079,49.9500,17.7000,-4.6500,
