filename,fall_peak_time,peak_acceleration,total_samples,fall_samples,non_fall_samples
p10_chest_bf_1.csv,2.653117,31.688202153441473,1295,259,1036
p10_chest_bf_2.csv,2.384328,41.185883353687316,896,257,639
p10_chest_bf_3.csv,1.925273,41.60354811552221,830,259,571
p1_chest_bf_1_resampled.csv,3.524639,58.155159892279286,392,101,291
p1_chest_bf_2_resampled.csv,1.990569,51.422141214968704,278,101,177
p1_chest_bf_3_resampled.csv,2.316095,38.03754227726617,446,101,345
p2_chest_bf_1.csv,3.032342,49.63588813767602,1079,259,820
p2_chest_bf_2.csv,2.660114,40.54438018719123,1047,259,788
p2_chest_bf_3.csv,2.653719,38.73984878408467,1132,259,873
p3_chest_bf_1.csv,1.98781,38.60829033139506,1013,259,754
p3_chest_bf_2.csv,2.110909,40.00047210108929,1231,259,972
p3_chest_bf_3.csv,1.456567,17.70604346592942,676,259,417
p4_chest_bf_1.csv,2.443902,41.206192926082586,1101,259,842
p4_chest_bf_2.csv,2.681825,46.61595048529266,1959,257,1702
p4_chest_bf_3.csv,1.972138,44.7572546425739,857,259,598
p5_chest_bf_1.csv,2.245053,25.912507323436333,1077,259,818
p5_chest_bf_2.csv,2.251353,19.080535463969582,1059,259,800
p5_chest_bf_3.csv,1.989701,30.944706987363634,913,259,654
p6_chest_bf_1.csv,1.953261,28.707593251640667,917,259,658
p6_chest_bf_2.csv,2.518793,23.34012109059832,1430,259,1171
p6_chest_bf_3.csv,2.227008,25.80005489387115,1092,259,833
p7_chest_bf_1_resampled.csv,2.19052,39.898472687966404,460,101,359
p7_chest_bf_2_resampled.csv,3.193908,50.697766951911426,625,101,524
p7_chest_bf_3_resampled.csv,2.362164,34.21092888472432,476,101,375
p8_chest_bf_1.csv,3.784981,22.589258857081855,1336,259,1077
p8_chest_bf_2.csv,2.447613,35.74800079168261,1167,259,908
p8_chest_bf_3.csv,2.447613,35.74800079168261,1167,259,908
p9_chest_bf_1.csv,3.893924,31.20695300011223,2277,141,2136
p9_chest_bf_2.csv,5.05124,32.460002103913524,763,139,624
p9_chest_bf_3.csv,3.6572,27.71151008605443,712,139,573
