
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.050871,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.068617,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-41.8500,7.6500,-2.4000,
0.080845,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-41.8500,7.6500,-2.4000,
0.082380,-0.0004,0.0162,-0.0027,0.0000,0.0000,0.0000,-41.8500,7.6500,-2.4000,
0.103304,-0.0004,0.0162,-0.0027,0.0000,0.0000,0.0000,-41.8500,7.6500,-2.4000,
0.104856,-0.0732,-0.0021,-0.1332,0.0000,0.0000,0.0000,-41.8500,7.6500,-2.4000,
0.107784,-0.0732,-0.0021,-0.1332,-0.0038,-0.0388,0.0195,-41.8500,7.6500,-2.4000,
0.123580,-0.0732,-0.0021,-0.1332,-0.0038,-0.0388,0.0195,-41.8500,7.6500,-2.4000,
0.125420,-0.0133,-0.0036,-0.0239,-0.0038,-0.0388,0.0195,-41.8500,7.6500,-2.4000,
0.146728,-0.0133,-0.0036,-0.0239,-0.0038,-0.0388,0.0195,-42.3750,7.3500,-1.5000,
0.150638,-0.0133,-0.0036,-0.0239,-0.0038,-0.0388,0.0195,-42.3750,7.3500,-1.5000,
0.152427,-0.0087,-0.0187,0.0179,-0.0038,-0.0388,0.0195,-42.3750,7.3500,-1.5000,
0.169608,-0.0087,-0.0187,0.0179,-0.0038,-0.0388,0.0195,-42.3750,7.3500,-1.5000,
0.172121,-0.1089,0.0922,-0.0621,-0.0038,-0.0388,0.0195,-42.3750,7.3500,-1.5000,
0.179513,-0.1089,0.0922,-0.0621,-0.0125,-0.0406,0.0130,-42.3750,7.3500,-1.5000,
0.187185,-0.1089,0.0922,-0.0621,-0.0125,-0.0406,0.0130,-42.3750,7.3500,-1.5000,
0.189849,-0.0905,0.0793,-0.1156,-0.0125,-0.0406,0.0130,-42.3750,7.3500,-1.5000,
0.204640,-0.0905,0.0793,-0.1156,-0.0125,-0.0406,0.0130,-42.3750,7.3500,-1.5000,
0.206735,-0.0969,0.0330,-0.1257,-0.0125,-0.0406,0.0130,-42.3750,7.3500,-1.5000,
0.208453,-0.0969,0.0330,-0.1257,-0.0125,-0.0406,0.0130,-42.3750,7.5000,-1.6500,
0.224051,-0.0969,0.0330,-0.1257,-0.0125,-0.0406,0.0130,-42.3750,7.5000,-1.6500,
0.226204,-0.0645,0.0499,-0.1497,-0.0125,-0.0406,0.0130,-42.3750,7.5000,-1.6500,
0.238878,-0.0645,0.0499,-0.1497,-0.0125,-0.0406,0.0130,-42.3750,7.5000,-1.6500,
0.240745,-0.0529,0.0285,-0.1005,-0.0125,-0.0406,0.0130,-42.3750,7.5000,-1.6500,
0.250194,-0.0529,0.0285,-0.1005,-0.0397,-0.0499,0.0092,-42.3750,7.5000,-1.6500,
0.263389,-0.0529,0.0285,-0.1005,-0.0397,-0.0499,0.0092,-42.3750,7.5000,-1.6500,
0.266027,-0.0560,0.0308,-0.0681,-0.0397,-0.0499,0.0092,-42.3750,7.5000,-1.6500,
0.278817,-0.0560,0.0308,-0.0681,-0.0397,-0.0499,0.0092,-42.3750,7.5000,-1.6500,
0.281075,-0.0845,0.0092,-0.0449,-0.0397,-0.0499,0.0092,-42.3750,7.5000,-1.6500,
0.282875,-0.0845,0.0092,-0.0449,-0.0397,-0.0499,0.0092,-42.1500,7.4250,-0.4500,
0.302729,-0.0845,0.0092,-0.0449,-0.0397,-0.0499,0.0092,-42.1500,7.4250,-0.4500,
0.305374,-0.1186,0.0163,-0.0675,-0.0397,-0.0499,0.0092,-42.1500,7.4250,-0.4500,
0.320307,-0.1186,0.0163,-0.0675,-0.0501,-0.0707,0.0148,-42.1500,7.4250,-0.4500,
0.322227,-0.1186,0.0163,-0.0675,-0.0501,-0.0707,0.0148,-42.1500,7.4250,-0.4500,
0.323455,-0.0645,0.0096,-0.1492,-0.0501,-0.0707,0.0148,-42.1500,7.4250,-0.4500,
0.339566,-0.0645,0.0096,-0.1492,-0.0501,-0.0707,0.0148,-42.1500,7.4250,-0.4500,
0.341194,-0.0764,0.0199,-0.2148,-0.0501,-0.0707,0.0148,-42.1500,7.4250,-0.4500,
0.351541,-0.0764,0.0199,-0.2148,-0.0501,-0.0707,0.0148,-41.5500,7.1250,-1.2000,
0.361674,-0.0764,0.0199,-0.2148,-0.0501,-0.0707,0.0148,-41.5500,7.1250,-1.2000,
