
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.042545,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.068423,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-38.5500,5.1750,-16.4250,
0.069784,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-38.5500,5.1750,-16.4250,
0.070727,-0.0092,0.1881,-0.0691,0.0000,0.0000,0.0000,-38.5500,5.1750,-16.4250,
0.088126,-0.0092,0.1881,-0.0691,0.0000,0.0000,0.0000,-38.5500,5.1750,-16.4250,
0.090015,0.0361,0.1668,-0.1931,0.0000,0.0000,0.0000,-38.5500,5.1750,-16.4250,
0.104544,0.0361,0.1668,-0.1931,0.0000,0.0000,0.0000,-38.5500,5.1750,-16.4250,
0.106176,-0.2056,0.0103,-0.1363,0.0000,0.0000,0.0000,-38.5500,5.1750,-16.4250,
0.112603,-0.2056,0.0103,-0.1363,-0.0318,0.0202,-0.0589,-38.5500,5.1750,-16.4250,
0.127817,-0.2056,0.0103,-0.1363,-0.0318,0.0202,-0.0589,-38.5500,5.1750,-16.4250,
0.129787,-0.3716,-0.0811,-0.1623,-0.0318,0.0202,-0.0589,-38.5500,5.1750,-16.4250,
0.138094,-0.3716,-0.0811,-0.1623,-0.0318,0.0202,-0.0589,-40.8000,4.2750,-18.5250,
0.147267,-0.3716,-0.0811,-0.1623,-0.0318,0.0202,-0.0589,-40.8000,4.2750,-18.5250,
0.149059,-0.3537,-0.0113,-0.0990,-0.0318,0.0202,-0.0589,-40.8000,4.2750,-18.5250,
0.166633,-0.3537,-0.0113,-0.0990,-0.0318,0.0202,-0.0589,-40.8000,4.2750,-18.5250,
0.168534,-0.2995,0.0220,-0.0594,-0.0318,0.0202,-0.0589,-40.8000,4.2750,-18.5250,
0.181019,-0.2995,0.0220,-0.0594,-0.0373,0.0295,-0.0504,-40.8000,4.2750,-18.5250,
