
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.044220,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.044649,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.066086,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.066730,-0.0622,0.0320,-0.0308,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.069058,-0.0622,0.0320,-0.0308,0.0000,0.0000,0.0000,-33.8250,7.2000,-22.0500,
0.085319,-0.0622,0.0320,-0.0308,0.0000,0.0000,0.0000,-33.8250,7.2000,-22.0500,
0.086162,-0.0234,-0.0069,0.0672,0.0000,0.0000,0.0000,-33.8250,7.2000,-22.0500,
0.105785,-0.0234,-0.0069,0.0672,0.0000,0.0000,0.0000,-33.8250,7.2000,-22.0500,
0.106978,0.0100,0.0242,0.0133,0.0000,0.0000,0.0000,-33.8250,7.2000,-22.0500,
0.110208,0.0100,0.0242,0.0133,-0.0035,-0.0038,-0.0058,-33.8250,7.2000,-22.0500,
0.125311,0.0100,0.0242,0.0133,-0.0035,-0.0038,-0.0058,-33.8250,7.2000,-22.0500,
0.126446,-0.0058,0.0382,-0.0327,-0.0035,-0.0038,-0.0058,-33.8250,7.2000,-22.0500,
0.139895,-0.0058,0.0382,-0.0327,-0.0035,-0.0038,-0.0058,-34.6500,8.4000,-21.2250,
0.144988,-0.0058,0.0382,-0.0327,-0.0035,-0.0038,-0.0058,-34.6500,8.4000,-21.2250,
0.146248,0.0146,0.0377,-0.0104,-0.0035,-0.0038,-0.0058,-34.6500,8.4000,-21.2250,
0.167324,0.0146,0.0377,-0.0104,-0.0035,-0.0038,-0.0058,-34.6500,8.4000,-21.2250,
0.168643,0.0009,-0.0027,0.0236,-0.0035,-0.0038,-0.0058,-34.6500,8.4000,-21.2250,
0.179321,0.0009,-0.0027,0.0236,-0.0302,-0.0107,0.0009,-34.6500,8.4000,-21.2250,
0.185360,0.0009,-0.0027,0.0236,-0.0302,-0.0107,0.0009,-34.6500,8.4000,-21.2250,
0.186705,-0.0121,-0.0317,0.0108,-0.0302,-0.0107,0.0009,-34.6500,8.4000,-21.2250,
0.203735,-0.0121,-0.0317,0.0108,-0.0302,-0.0107,0.0009,-34.6500,8.4000,-21.2250,
0.204891,-0.0155,0.0288,-0.0500,-0.0302,-0.0107,0.0009,-34.6500,8.4000,-21.2250,
0.209416,-0.0155,0.0288,-0.0500,-0.0302,-0.0107,0.0009,-35.6250,7.9500,-21.5250,
0.223567,-0.0155,0.0288,-0.0500,-0.0302,-0.0107,0.0009,-35.6250,7.9500,-21.5250,
0.224784,0.0238,0.0597,-0.0242,-0.0302,-0.0107,0.0009,-35.6250,7.9500,-21.5250,
0.242730,0.0238,0.0597,-0.0242,-0.0302,-0.0107,0.0009,-35.6250,7.9500,-21.5250,
0.244073,0.0127,0.0432,0.0095,-0.0302,-0.0107,0.0009,-35.6250,7.9500,-21.5250,
0.250834,0.0127,0.0432,0.0095,-0.0318,0.0018,-0.0018,-35.6250,7.9500,-21.5250,
0.261796,0.0127,0.0432,0.0095,-0.0318,0.0018,-0.0018,-35.6250,7.9500,-21.5250,
0.262698,0.0001,0.0345,0.0386,-0.0318,0.0018,-0.0018,-35.6250,7.9500,-21.5250,
0.279326,0.0001,0.0345,0.0386,-0.0318,0.0018,-0.0018,-35.2500,8.2500,-21.1500,
0.280642,0.0001,0.0345,0.0386,-0.0318,0.0018,-0.0018,-35.2500,8.2500,-21.1500,
0.281378,0.0114,0.0065,0.0257,-0.0318,0.0018,-0.0018,-35.2500,8.2500,-21.1500,
0.301970,0.0114,0.0065,0.0257,-0.0318,0.0018,-0.0018,-35.2500,8.2500,-21.1500,
0.303023,-0.0101,0.0116,-0.0176,-0.0318,0.0018,-0.0018,-35.2500,8.2500,-21.1500,
0.316832,-0.0101,0.0116,-0.0176,-0.0180,0.0098,-0.0037,-35.2500,8.2500,-21.1500,
0.320648,-0.0101,0.0116,-0.0176,-0.0180,0.0098,-0.0037,-35.2500,8.2500,-21.1500,
0.321555,-0.0046,0.0273,-0.0544,-0.0180,0.0098,-0.0037,-35.2500,8.2500,-21.1500,
0.336851,-0.0046,0.0273,-0.0544,-0.0180,0.0098,-0.0037,-35.2500,8.2500,-21.1500,
0.338102,0.0167,0.0173,-0.0188,-0.0180,0.0098,-0.0037,-35.2500,8.2500,-21.1500,
0.350324,0.0167,0.0173,-0.0188,-0.0180,0.0098,-0.0037,-35.7750,8.2500,-20.8500,
0.365634,0.0167,0.0173,-0.0188,-0.0180,0.0098,-0.0037,-35.7750,8.2500,-20.8500,
0.369022,0.0068,-0.0286,0.0604,-0.0180,0.0098,-0.0037,-35.7750,8.2500,-20.8500,
0.386454,0.0068,-0.0286,0.0604,-0.0180,0.0098,-0.0037,-35.7750,8.2500,-20.8500,
0.388253,0.0064,-0.0535,0.0944,-0.0180,0.0098,-0.0037,-35.7750,8.2500,-20.8500,
0.389913,0.0064,-0.0535,0.0944,-0.0362,0.0183,-0.0082,-35.7750,8.2500,-20.8500,
0.404709,0.0064,-0.0535,0.0944,-0.0362,0.0183,-0.0082,-35.7750,8.2500,-20.8500,
0.406434,0.0105,-0.0548,0.1072,-0.0362,0.0183,-0.0082,-35.7750,8.2500,-20.8500,
0.415314,0.0105,-0.0548,0.1072,-0.0362,0.0183,-0.0082,-35.6250,8.2500,-21.7500,
0.424995,0.0105,-0.0548,0.1072,-0.0362,0.0183,-0.0082,-35.6250,8.2500,-21.7500,
0.429008,0.0063,-0.0344,0.0689,-0.0362,0.0183,-0.0082,-35.6250,8.2500,-21.7500,
0.442873,0.0063,-0.0344,0.0689,-0.0362,0.0183,-0.0082,-35.6250,8.2500,-21.7500,
0.445291,0.0040,0.0203,0.0164,-0.0362,0.0183,-0.0082,-35.6250,8.2500,-21.7500,
0.457156,0.0040,0.0203,0.0164,0.0037,0.0327,-0.0092,-35.6250,8.2500,-21.7500,
0.468507,0.0040,0.0203,0.0164,0.0037,0.0327,-0.0092,-35.6250,8.2500,-21.7500,
0.470386,-0.0090,0.0570,-0.0153,0.0037,0.0327,-0.0092,-35.6250,8.2500,-21.7500,
0.486357,-0.0090,0.0570,-0.0153,0.0037,0.0327,-0.0092,-35.6250,8.2500,-21.7500,
0.488942,-0.0176,0.0193,-0.0398,0.0037,0.0327,-0.0092,-35.6250,8.2500,-21.7500,
0.490467,-0.0176,0.0193,-0.0398,0.0037,0.0327,-0.0092,-35.9250,8.7750,-21.0000,
0.501337,-0.0176,0.0193,-0.0398,0.0037,0.0327,-0.0092,-35.9250,8.7750,-21.0000,
0.503417,-0.0210,-0.0031,-0.0590,0.0037,0.0327,-0.0092,-35.9250,8.7750,-21.0000,
0.521160,-0.0210,-0.0031,-0.0590,0.0037,0.0327,-0.0092,-35.9250,8.7750,-21.0000,
0.523795,-0.0659,0.0016,-0.0028,0.0037,0.0327,-0.0092,-35.9250,8.7750,-21.0000,
0.526686,-0.0659,0.0016,-0.0028,0.0133,0.0217,-0.0102,-35.9250,8.7750,-21.0000,
0.536698,-0.0659,0.0016,-0.0028,0.0133,0.0217,-0.0102,-35.9250,8.7750,-21.0000,
0.537652,-0.0258,-0.0078,0.0242,0.0133,0.0217,-0.0102,-35.9250,8.7750,-21.0000,
0.550829,-0.0258,-0.0078,0.0242,0.0133,0.0217,-0.0102,-36.4500,8.5500,-21.4500,
0.561530,-0.0258,-0.0078,0.0242,0.0133,0.0217,-0.0102,-36.4500,8.5500,-21.4500,
0.563054,0.0201,0.0041,-0.0356,0.0133,0.0217,-0.0102,-36.4500,8.5500,-21.4500,
0.580665,0.0201,0.0041,-0.0356,0.0133,0.0217,-0.0102,-36.4500,8.5500,-21.4500,
0.582092,-0.0426,0.0504,-0.1139,0.0133,0.0217,-0.0102,-36.4500,8.5500,-21.4500,
0.599920,-0.0426,0.0504,-0.1139,0.0289,0.0008,-0.0108,-36.4500,8.5500,-21.4500,
0.604543,-0.0426,0.0504,-0.1139,0.0289,0.0008,-0.0108,-36.4500,8.5500,-21.4500,
0.606242,-0.0555,0.0626,-0.0537,0.0289,0.0008,-0.0108,-36.4500,8.5500,-21.4500,
0.623932,-0.0555,0.0626,-0.0537,0.0289,0.0008,-0.0108,-36.4500,8.5500,-21.4500,
0.625609,-0.0511,0.0609,-0.0133,0.0289,0.0008,-0.0108,-36.4500,8.5500,-21.4500,
