
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.065972,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.067317,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-38.0250,6.8250,-19.5000,
0.085858,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-38.0250,6.8250,-19.5000,
0.087503,-0.0002,-0.0042,0.0014,0.0000,0.0000,0.0000,-38.0250,6.8250,-19.5000,
0.106218,-0.0002,-0.0042,0.0014,0.0000,0.0000,0.0000,-38.0250,6.8250,-19.5000,
0.107898,-0.0186,-0.0564,0.0408,0.0000,0.0000,0.0000,-38.0250,6.8250,-19.5000,
0.111003,-0.0186,-0.0564,0.0408,-0.0064,-0.0260,0.0069,-38.0250,6.8250,-19.5000,
0.125801,-0.0186,-0.0564,0.0408,-0.0064,-0.0260,0.0069,-38.0250,6.8250,-19.5000,
0.127512,-0.0001,-0.0403,0.0260,-0.0064,-0.0260,0.0069,-38.0250,6.8250,-19.5000,
0.138444,-0.0001,-0.0403,0.0260,-0.0064,-0.0260,0.0069,-38.9250,6.6000,-16.8000,
0.141371,-0.0001,-0.0403,0.0260,-0.0064,-0.0260,0.0069,-38.9250,6.6000,-16.8000,
0.142968,0.0435,0.0133,0.0609,-0.0064,-0.0260,0.0069,-38.9250,6.6000,-16.8000,
0.164125,0.0435,0.0133,0.0609,-0.0064,-0.0260,0.0069,-38.9250,6.6000,-16.8000,
0.166547,0.0722,0.0383,0.0275,-0.0064,-0.0260,0.0069,-38.9250,6.6000,-16.8000,
0.182830,0.0722,0.0383,0.0275,0.0064,-0.0066,0.0095,-38.9250,6.6000,-16.8000,
0.186416,0.0722,0.0383,0.0275,0.0064,-0.0066,0.0095,-38.9250,6.6000,-16.8000,
0.188590,0.0332,0.0832,-0.0199,0.0064,-0.0066,0.0095,-38.9250,6.6000,-16.8000,
0.203569,0.0332,0.0832,-0.0199,0.0064,-0.0066,0.0095,-38.9250,6.6000,-16.8000,
0.207716,0.0292,0.1032,-0.0887,0.0064,-0.0066,0.0095,-38.9250,6.6000,-16.8000,
0.213981,0.0292,0.1032,-0.0887,0.0064,-0.0066,0.0095,-40.2750,6.4500,-17.3250,
0.222162,0.0292,0.1032,-0.0887,0.0064,-0.0066,0.0095,-40.2750,6.4500,-17.3250,
0.224190,0.0657,0.0743,-0.0551,0.0064,-0.0066,0.0095,-40.2750,6.4500,-17.3250,
0.242356,0.0657,0.0743,-0.0551,0.0064,-0.0066,0.0095,-40.2750,6.4500,-17.3250,
0.246808,0.0683,0.0470,0.0345,0.0064,-0.0066,0.0095,-40.2750,6.4500,-17.3250,
0.249482,0.0683,0.0470,0.0345,-0.0002,-0.0139,-0.0031,-40.2750,6.4500,-17.3250,
0.268162,0.0683,0.0470,0.0345,-0.0002,-0.0139,-0.0031,-40.2750,6.4500,-17.3250,
0.270376,0.0335,0.0337,0.0115,-0.0002,-0.0139,-0.0031,-40.2750,6.4500,-17.3250,
0.275538,0.0335,0.0337,0.0115,-0.0002,-0.0139,-0.0031,-39.1500,6.6750,-17.1000,
0.281071,0.0335,0.0337,0.0115,-0.0002,-0.0139,-0.0031,-39.1500,6.6750,-17.1000,
0.283023,-0.0334,0.0232,-0.0049,-0.0002,-0.0139,-0.0031,-39.1500,6.6750,-17.1000,
0.305252,-0.0334,0.0232,-0.0049,-0.0002,-0.0139,-0.0031,-39.1500,6.6750,-17.1000,
0.307541,-0.0519,0.0088,-0.0123,-0.0002,-0.0139,-0.0031,-39.1500,6.6750,-17.1000,
0.320279,-0.0519,0.0088,-0.0123,0.0014,-0.0067,-0.0034,-39.1500,6.6750,-17.1000,
0.325859,-0.0519,0.0088,-0.0123,0.0014,-0.0067,-0.0034,-39.1500,6.6750,-17.1000,
