time,ax,ay,az,wx,wy,wz,Bx,By,Bz
0.051197,0,0,0,0,0,0,0,0,0
0.071197,-0.1196,0.1174,0.0495,0,0,0,-20.1,5.6625,-2.775
0.091197,-0.0654,0.0317,0.2217,0.0003,-0.0078,-0.0034,-40.2,11.325,-5.55
0.111197,-0.07625,0.08045,0.28255,0.0003,-0.0078,-0.0034,-40.2,11.325,-5.55
0.131197,-0.1088,0.0984,0.1252,0.0003,-0.0078,-0.0034,-40.2,11.325,-5.55
0.151197,-0.11855,0.12145,0.03365,0.0003,-0.0078,-0.0034,-41.625,10.575,-5.85
0.171197,-0.1109,0.1032,0.0848,0.0108,0.0107,0.0023,-41.625,10.575,-5.85
0.191197,-0.089,0.0841,0.1139,0.0108,0.0107,0.0023,-41.625,10.575,-5.85
0.211197,-0.0843,0.1103,0.1278,0.0108,0.0107,0.0023,-43.05,9.825,-5.175
0.231197,-0.1269,0.1292,0.1099,0.0008,0.0093,-0.0004,-43.05,9.825,-5.175
0.251197,-0.1385,0.122,0.1049,-0.0092,0.0079,-0.0031,-43.05,9.825,-5.175
0.271197,-0.1325,0.0884,0.1211,-0.0092,0.0079,-0.0031,-43.05,9.825,-5.175
0.291197,-0.11535,0.1013,0.12365,-0.0092,0.0079,-0.0031,-42.75,10.05,-5.1
0.311197,-0.0388,0.1166,0.1313,-0.0104,-0.0027,0.0005,-42.75,10.05,-5.1
0.331197,-0.028,0.143,0.0715,-0.0104,-0.0027,0.0005,-42.75,10.05,-5.1
0.351197,-0.10185,0.13385,0.0698,-0.0104,-0.0027,0.0005,-43.05,10.425,-5.55
0.371197,-0.127,0.1062,0.1721,-0.0298,0.0191,0.0052,-43.05,10.425,-5.55
0.391197,-0.0782,0.1055,-0.067,-0.0298,0.0191,0.0052,-43.05,10.425,-5.55
0.411197,-0.2385,0.1833,0.0848,-0.0298,0.0191,0.0052,-43.05,10.425,-5.55
0.431197,-0.0466,0.0403,0.0972,-0.0298,0.0191,0.0052,-42.75,9.675,-5.25
0.451197,0.0043,0.0891,0.3923,-0.0394,0.027,0.0072,-42.75,9.675,-5.25
0.471197,-0.0469,0.07015,0.42005,-0.0394,0.027,0.0072,-42.75,9.675,-5.25
0.491197,-0.017,0.0687,0.1725,-0.0394,0.027,0.0072,-42.75,10.35,-5.475
0.511197,-0.0478,0.1962,-0.0338,0.0176,-0.0124,0.0066,-42.75,10.35,-5.475
0.531197,-0.0906,0.1912,-0.0853,0.0176,-0.0124,0.0066,-42.75,10.35,-5.475
0.551197,-0.0959,0.1221,0.0668,0.0176,-0.0124,0.0066,-42.75,10.35,-5.475
0.571197,-0.0553,0.0716,0.2169,-0.00075,-0.0098,0.0032,-42,9.975,-6
0.591197,-0.003,0.1259,0.1421,-0.0191,-0.0072,-0.0002,-42,9.975,-6
0.611197,-0.0307,0.1058,0.0775,-0.0191,-0.0072,-0.0002,-42,9.975,-6
0.631197,-0.087,0.1469,0.0149,-0.0191,-0.0072,-0.0002,-43.425,9.6,-5.775
0.651197,-0.0783,0.1785,0.1417,-0.0284,-0.0118,0.0041,-43.425,9.6,-5.775
0.671197,-0.00595,0.1321,0.2711,-0.0284,-0.0118,0.0041,-43.425,9.6,-5.775
0.691197,-0.0377,0.08795,0.3449,-0.0284,-0.0118,0.0041,-43.425,9.6,-5.775
0.711197,-0.0809,0.1042,0.3645,-0.0284,-0.0118,0.0041,-42.6,10.05,-5.55
0.731197,-0.1325,0.0295,0.2732,-0.0434,0.0008,0.0125,-42.6,10.05,-5.55
0.751197,-0.22335,-0.0428,0.29645,-0.0434,0.0008,0.0125,-42.6,10.05,-5.55
0.771197,-0.17545,-0.09025,0.3497,-0.0434,0.0008,0.0125,-42.9,9.525,-5.25
0.791197,-0.2205,-0.0175,0.0998,-0.0098,-0.0044,0.0394,-42.9,9.525,-5.25
0.811197,-0.17975,0.08085,-0.1904,-0.0098,-0.0044,0.0394,-42.9,9.525,-5.25
0.831197,-0.188,0.1831,-0.5134,-0.0098,-0.0044,0.0394,-42.9,9.525,-5.25
0.851197,-0.1423,0.2904,-0.6536,-0.03055,-0.0277,0.05215,-42.75,10.125,-5.1
0.871197,-0.1062,0.2494,-0.5895,-0.0513,-0.051,0.0649,-42.75,10.125,-5.1
0.891197,-0.0095,-0.0181,-0.1738,-0.0513,-0.051,0.0649,-42.75,10.125,-5.1
0.911197,0.0957,-0.1156,0.2855,-0.0513,-0.051,0.0649,-42.6,10.275,-4.5
0.931197,0.1532,-0.0806,0.3187,-0.1787,-0.0757,0.0788,-42.6,10.275,-4.5
0.951197,0.0882,0.0313,0.0594,-0.1787,-0.0757,0.0788,-42.6,10.275,-4.5
0.971197,0.16325,0.14555,-0.3311,-0.1787,-0.0757,0.0788,-42.6,10.275,-4.5
0.991197,0.0102,0.2024,-0.4537,-0.12445,-0.06245,0.061,-43.2,10.05,-5.175
1.011197,0.0942,0.0074,-0.3215,-0.0702,-0.0492,0.0432,-43.2,10.05,-5.175
1.031197,0.1848,-0.0558,-0.27,-0.0702,-0.0492,0.0432,-43.2,10.05,-5.175
1.051197,0.1937,-0.0406,-0.0492,-0.0702,-0.0492,0.0432,-42.525,11.175,-3.75
1.071197,0.1208,-0.0225,-0.1515,-0.0893,-0.0299,0.0034,-42.525,11.175,-3.75
1.091197,0.066,0.0098,-0.3634,-0.0893,-0.0299,0.0034,-42.525,11.175,-3.75
1.111197,0.0016,0.0893,-0.2761,-0.0893,-0.0299,0.0034,-42.15,11.175,-4.65
1.131197,-0.0341,0.1157,-0.2175,-0.0893,-0.0299,0.0034,-42.15,11.175,-4.65
1.151197,-0.0141,0.0459,-0.029,-0.0809,0.016,-0.0258,-42.15,11.175,-4.65
1.171197,0.0349,-0.0424,-0.025,-0.0809,0.016,-0.0258,-42.15,11.175,-4.65
1.191197,-0.0456,-0.0735,0.0765,-0.0809,0.016,-0.0258,-42.9,10.95,-3.975
1.211197,-0.0635,-0.0364,-0.0941,-0.0541,0.0484,-0.0218,-42.9,10.95,-3.975
1.231197,-0.0893,0.1344,-0.16995,-0.0541,0.0484,-0.0218,-42.9,10.95,-3.975
1.251197,-0.0594,0.1836,-0.2482,-0.0541,0.0484,-0.0218,-42.9,10.6125,-4.3125
1.271197,-0.1441,0.1501,-0.1558,-0.04765,0.0594,-0.02265,-42.9,10.275,-4.65
1.291197,-0.2202,0.179,-0.0135,-0.0412,0.0704,-0.0235,-42.9,10.275,-4.65
1.311197,-0.1665,0.1652,0.0017,-0.0412,0.0704,-0.0235,-42.9,10.275,-4.65
1.331197,-0.1129,0.1212,0.0493,-0.0412,0.0704,-0.0235,-42.75,10.425,-4.875
