
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.030938,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.057693,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-42.3750,10.2750,9.1500,
0.079911,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-42.3750,10.2750,9.1500,
0.081590,-0.0027,0.0671,0.0010,0.0000,0.0000,0.0000,-42.3750,10.2750,9.1500,
0.100969,-0.0027,0.0671,0.0010,0.0000,0.0000,0.0000,-42.3750,10.2750,9.1500,
0.102704,-0.0355,0.0486,0.3163,0.0000,0.0000,0.0000,-42.3750,10.2750,9.1500,
0.104383,-0.0355,0.0486,0.3163,-0.0408,0.0012,-0.0124,-42.3750,10.2750,9.1500,
0.117296,-0.0355,0.0486,0.3163,-0.0408,0.0012,-0.0124,-42.3750,10.2750,9.1500,
0.119494,-0.0232,-0.0429,0.1188,-0.0408,0.0012,-0.0124,-42.3750,10.2750,9.1500,
0.127713,-0.0232,-0.0429,0.1188,-0.0408,0.0012,-0.0124,-40.5750,9.1500,10.1250,
0.135725,-0.0232,-0.0429,0.1188,-0.0408,0.0012,-0.0124,-40.5750,9.1500,10.1250,
0.137238,0.0747,0.0438,-0.0752,-0.0408,0.0012,-0.0124,-40.5750,9.1500,10.1250,
0.155626,0.0747,0.0438,-0.0752,-0.0408,0.0012,-0.0124,-40.5750,9.1500,10.1250,
0.157537,-0.0262,0.1264,-0.1165,-0.0408,0.0012,-0.0124,-40.5750,9.1500,10.1250,
0.170601,-0.0262,0.1264,-0.1165,-0.0246,0.0067,-0.0111,-40.5750,9.1500,10.1250,
0.175135,-0.0262,0.1264,-0.1165,-0.0246,0.0067,-0.0111,-40.5750,9.1500,10.1250,
0.177762,-0.0393,0.0534,0.2175,-0.0246,0.0067,-0.0111,-40.5750,9.1500,10.1250,
0.195483,-0.0393,0.0534,0.2175,-0.0246,0.0067,-0.0111,-40.5750,9.1500,10.1250,
0.197130,-0.0298,-0.1064,0.2271,-0.0246,0.0067,-0.0111,-40.5750,9.1500,10.1250,
0.198516,-0.0298,-0.1064,0.2271,-0.0246,0.0067,-0.0111,-41.4000,9.0750,10.3500,
0.217097,-0.0298,-0.1064,0.2271,-0.0246,0.0067,-0.0111,-41.4000,9.0750,10.3500,
0.219685,-0.0081,-0.0336,0.1755,-0.0246,0.0067,-0.0111,-41.4000,9.0750,10.3500,
0.234589,-0.0081,-0.0336,0.1755,-0.0246,0.0067,-0.0111,-41.4000,9.0750,10.3500,
0.236976,-0.0350,0.1229,0.0100,-0.0246,0.0067,-0.0111,-41.4000,9.0750,10.3500,
0.239430,-0.0350,0.1229,0.0100,-0.0220,-0.0029,-0.0354,-41.4000,9.0750,10.3500,
0.253269,-0.0350,0.1229,0.0100,-0.0220,-0.0029,-0.0354,-41.4000,9.0750,10.3500,
0.255120,-0.0435,0.4138,0.0991,-0.0220,-0.0029,-0.0354,-41.4000,9.0750,10.3500,
