
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.069010,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.069310,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.094723,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-42.7500,7.3500,3.4500,
0.113055,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-42.7500,7.3500,3.4500,
0.114800,0.0436,0.0388,-0.0245,0.0000,0.0000,0.0000,-42.7500,7.3500,3.4500,
0.136252,0.0436,0.0388,-0.0245,0.0000,0.0000,0.0000,-42.7500,7.3500,3.4500,
0.139122,0.0347,0.0500,-0.0123,0.0000,0.0000,0.0000,-42.7500,7.3500,3.4500,
0.140718,0.0347,0.0500,-0.0123,-0.0185,0.0174,-0.0231,-42.7500,7.3500,3.4500,
0.153622,0.0347,0.0500,-0.0123,-0.0185,0.0174,-0.0231,-42.7500,7.3500,3.4500,
0.154860,0.0267,0.0419,0.0099,-0.0185,0.0174,-0.0231,-42.7500,7.3500,3.4500,
0.166668,0.0267,0.0419,0.0099,-0.0185,0.0174,-0.0231,-42.1500,8.8500,4.7250,
0.172768,0.0267,0.0419,0.0099,-0.0185,0.0174,-0.0231,-42.1500,8.8500,4.7250,
0.173620,0.0282,-0.0035,0.0022,-0.0185,0.0174,-0.0231,-42.1500,8.8500,4.7250,
0.192207,0.0282,-0.0035,0.0022,-0.0185,0.0174,-0.0231,-42.1500,8.8500,4.7250,
0.193304,0.0090,-0.0100,-0.0121,-0.0185,0.0174,-0.0231,-42.1500,8.8500,4.7250,
0.207768,0.0090,-0.0100,-0.0121,-0.0099,0.0206,-0.0229,-42.1500,8.8500,4.7250,
0.213800,0.0090,-0.0100,-0.0121,-0.0099,0.0206,-0.0229,-42.1500,8.8500,4.7250,
0.215656,-0.0045,0.0288,-0.0126,-0.0099,0.0206,-0.0229,-42.1500,8.8500,4.7250,
0.232547,-0.0045,0.0288,-0.0126,-0.0099,0.0206,-0.0229,-42.1500,8.8500,4.7250,
0.234032,0.0231,0.0155,-0.0286,-0.0099,0.0206,-0.0229,-42.1500,8.8500,4.7250,
0.235633,0.0231,0.0155,-0.0286,-0.0099,0.0206,-0.0229,-41.8500,9.0000,4.7250,
0.251493,0.0231,0.0155,-0.0286,-0.0099,0.0206,-0.0229,-41.8500,9.0000,4.7250,
0.252877,0.0208,0.0237,-0.0180,-0.0099,0.0206,-0.0229,-41.8500,9.0000,4.7250,
0.269988,0.0208,0.0237,-0.0180,-0.0099,0.0206,-0.0229,-41.8500,9.0000,4.7250,
0.272494,-0.0330,0.0599,0.0134,-0.0099,0.0206,-0.0229,-41.8500,9.0000,4.7250,
0.275158,-0.0330,0.0599,0.0134,0.0046,0.0315,-0.0226,-41.8500,9.0000,4.7250,
0.291397,-0.0330,0.0599,0.0134,0.0046,0.0315,-0.0226,-41.8500,9.0000,4.7250,
0.293580,0.0848,0.0785,-0.1958,0.0046,0.0315,-0.0226,-41.8500,9.0000,4.7250,
0.303427,0.0848,0.0785,-0.1958,0.0046,0.0315,-0.0226,-42.4500,8.6250,5.5500,
0.311972,0.0848,0.0785,-0.1958,0.0046,0.0315,-0.0226,-42.4500,8.6250,5.5500,
0.313524,0.0207,0.0571,0.0267,0.0046,0.0315,-0.0226,-42.4500,8.6250,5.5500,
0.329752,0.0207,0.0571,0.0267,0.0046,0.0315,-0.0226,-42.4500,8.6250,5.5500,
0.331206,-0.0665,-0.0001,0.1518,0.0046,0.0315,-0.0226,-42.4500,8.6250,5.5500,
0.348916,-0.0665,-0.0001,0.1518,-0.0021,0.0119,-0.0154,-42.4500,8.6250,5.5500,
0.354288,-0.0665,-0.0001,0.1518,-0.0021,0.0119,-0.0154,-42.4500,8.6250,5.5500,
0.355721,0.0298,0.0489,-0.1253,-0.0021,0.0119,-0.0154,-42.4500,8.6250,5.5500,
0.374224,0.0298,0.0489,-0.1253,-0.0021,0.0119,-0.0154,-42.4500,8.6250,5.5500,
0.375679,0.0254,0.0190,0.0203,-0.0021,0.0119,-0.0154,-42.4500,8.6250,5.5500,
0.376985,0.0254,0.0190,0.0203,-0.0021,0.0119,-0.0154,-42.3750,8.2500,5.2500,
0.392607,0.0254,0.0190,0.0203,-0.0021,0.0119,-0.0154,-42.3750,8.2500,5.2500,
0.393967,0.0131,-0.0159,0.0506,-0.0021,0.0119,-0.0154,-42.3750,8.2500,5.2500,
0.414736,0.0131,-0.0159,0.0506,-0.0021,0.0119,-0.0154,-42.3750,8.2500,5.2500,
0.417409,-0.0305,-0.0546,0.0700,-0.0021,0.0119,-0.0154,-42.3750,8.2500,5.2500,
