time,ax,ay,az,wx,wy,wz,Bx,By,Bz
0.040602,0,0,0,0,0,0,0,0,0
0.060602,-0.1131,-0.0549,-0.3776,0,0,0,0,0,0
0.080602,-0.0997,-0.011,-0.2356,-0.0087,-0.0058,0.0009,-42.75,14.85,-1.35
0.100602,-0.0897,-0.0119,-0.0107,-0.0174,-0.0116,0.0018,-42.75,14.85,-1.35
0.120602,-0.0953,-0.0232,-0.0344,-0.0174,-0.0116,0.0018,-42.75,14.85,-1.35
0.140602,-0.0897,-0.0345,-0.1519,-0.0174,-0.0116,0.0018,-44.4,14.4,-0.675
0.160602,-0.0873,-0.0427,-0.2734,-0.0113,-0.0084,0.0023,-44.4,14.4,-0.675
0.180602,-0.1205,-0.0263,-0.1075,-0.0113,-0.0084,0.0023,-44.4,14.4,-0.675
0.200602,-0.0607,0.0274,-0.0818,-0.0113,-0.0084,0.0023,-44.4,14.4,-0.675
0.220602,-0.0782,0.0592,-0.0429,-0.0199,-0.0047,0.0075,-44.4,14.25,0.15
0.240602,-0.1356,-0.0041,0.03945,-0.0199,-0.0047,0.0075,-44.4,14.25,0.15
0.260602,-0.0936,-0.0305,0.0537,-0.0199,-0.0047,0.0075,-44.4,14.25,0.15
0.280602,-0.1158,0.029,-0.0517,-0.0199,-0.0047,0.0075,-44.475,14.025,-0.6
0.300602,-0.1429,0.0336,-0.053,-0.0006,0.0183,0.0078,-44.475,14.025,-0.6
0.320602,-0.12465,-0.02345,-0.05625,-0.0006,0.0183,0.0078,-44.475,14.025,-0.6
0.340602,-0.0512,0.0174,-0.0333,-0.0006,0.0183,0.0078,-44.85,14.4,-1.05
0.360602,-0.0739,0.0561,-0.0805,0.0052,0.015,0.0124,-44.85,14.4,-1.05
0.380602,-0.1008,0.0694,-0.0667,0.0052,0.015,0.0124,-44.85,14.4,-1.05
0.400602,-0.1675,0.073,-0.0601,0.0052,0.015,0.0124,-44.85,14.4,-1.05
0.420602,-0.1379,0.0223,-0.0464,0.0052,0.015,0.0124,-45,14.85,-0.75
0.440602,-0.0596,0.0341,-0.0698,-0.0232,0.0111,0.0217,-45,14.85,-0.75
0.460602,-0.0498,0.1123,-0.0303,-0.0232,0.0111,0.0217,-45,14.85,-0.75
0.480602,-0.0563,0.0968,-0.0397,-0.0232,0.0111,0.0217,-44.85,15,-0.9
0.500602,-0.1221,0.0491,0.0753,-0.036,0.0302,0.0128,-44.85,15,-0.9
0.520602,-0.0607,0.0217,0.0845,-0.036,0.0302,0.0128,-44.85,15,-0.9
0.540602,-0.0926,0.0517,-0.0641,-0.036,0.0302,0.0128,-44.85,15,-0.9
0.560602,-0.1138,0.1324,0.1412,-0.036,0.0302,0.0128,-45.15,14.85,-0.15
0.580602,0.0593,0.111,0.0394,-0.0425,0.0478,0.0021,-45.15,14.85,-0.15
0.600602,0.0827,0.0873,0.0174,-0.0425,0.0478,0.0021,-45.15,14.85,-0.15
0.620602,0.03665,0.02995,0.1654,-0.0425,0.0478,0.0021,-44.7,14.325,-0.375
0.640602,0.05705,0.07955,0.1235,-0.0308,0.0139,-0.0229,-44.7,14.325,-0.375
0.660602,-0.0246,0.149,0.1008,-0.0308,0.0139,-0.0229,-44.7,14.325,-0.375
0.680602,-0.0921,0.1422,0.0627,-0.0308,0.0139,-0.0229,-44.7,14.325,-0.375
0.700602,-0.1697,0.10085,0.10585,-0.0308,0.0139,-0.0229,-44.85,15.15,-0.45
0.720602,-0.1177,-0.0042,0.0523,-0.0386,0.0353,-0.0388,-44.85,15.15,-0.45
0.740602,-0.138,0.0117,0.133,-0.0386,0.0353,-0.0388,-44.85,15.15,-0.45
0.760602,-0.1141,0.1272,0.1743,-0.0386,0.0353,-0.0388,-44.55,14.25,-0.675
0.780602,-0.1022,0.1838,0.187,-0.0594,0.0131,-0.0293,-44.55,14.25,-0.675
0.800602,-0.0825,0.1914,0.1536,-0.0594,0.0131,-0.0293,-44.55,14.25,-0.675
0.820602,-0.029,0.1931,0.1622,-0.0594,0.0131,-0.0293,-44.55,14.25,-0.675
0.840602,-0.15305,0.06435,-0.0842,-0.0594,0.0131,-0.0293,-44.55,14.4,-0.675
0.860602,-0.1034,0.0697,0.0923,-0.068,-0.0376,-0.0168,-44.55,14.4,-0.675
0.880602,-0.072,0.16605,0.05555,-0.068,-0.0376,-0.0168,-44.55,14.4,-0.675
0.900602,-0.083,0.2298,0.0811,-0.068,-0.0376,-0.0168,-44.7,13.65,-0.45
0.920602,-0.0124,0.2265,0.226,-0.113,-0.0739,0.0031,-44.7,13.65,-0.45
0.940602,0.01825,0.18125,0.2959,-0.113,-0.0739,0.0031,-44.7,13.65,-0.45
0.960602,-0.0228,0.2084,0.1819,-0.113,-0.0739,0.0031,-44.7,13.65,-0.45
0.980602,-0.0007,0.2314,0.0992,-0.11665,-0.07725,0.00735,-44.55,13.65,-0.9
1.000602,0.0161,0.2572,0.1843,-0.1203,-0.0806,0.0116,-44.55,13.65,-0.9
1.020602,-0.0541,0.2113,0.1199,-0.1203,-0.0806,0.0116,-44.55,13.65,-0.9
1.040602,0.1195,0.2903,0.2664,-0.1203,-0.0806,0.0116,-43.95,15,-0.3
1.060602,-0.0372,0.2187,0.1147,-0.1558,-0.0501,0.014,-43.95,15,-0.3
1.080602,-0.0345,0.2619,0.0653,-0.1558,-0.0501,0.014,-43.95,15,-0.3
1.100602,0.0229,0.2162,0.1827,-0.1558,-0.0501,0.014,-43.95,15,-0.3
1.120602,0.0783,0.1916,0.2973,-0.1558,-0.0501,0.014,-44.85,14.1,-0.675
1.140602,0.0853,0.2605,0.233,-0.2135,-0.0099,0.009,-44.85,14.1,-0.675
1.160602,-0.0144,0.4778,0.343,-0.2135,-0.0099,0.009,-44.85,14.1,-0.675
1.180602,0.03405,0.58355,0.08335,-0.2135,-0.0099,0.009,-44.4,13.95,-0.75
1.200602,-0.0786,0.4242,0.2215,-0.2449,0.014,0.0029,-44.4,13.95,-0.75
1.220602,-0.1253,0.2886,0.2999,-0.2449,0.014,0.0029,-44.4,13.95,-0.75
1.240602,-0.1178,0.3662,0.2519,-0.2449,0.014,0.0029,-44.4,13.95,-0.75
1.260602,-0.12415,0.42845,0.3534,-0.2995,-0.0249,0.0041,-44.4,13.95,-0.75
1.280602,-0.10495,0.3602,0.4027,-0.2995,-0.0249,0.0041,-44.4,13.95,-0.75
1.300602,-0.0612,0.3679,0.51425,-0.2995,-0.0249,0.0041,-44.4,13.95,-0.75
1.320602,-0.0387,0.5278,0.4273,-0.2995,-0.0249,0.0041,-44.175,13.5,0.15
1.340602,-0.0189,0.5581,0.4272,-0.3415,-0.047,0.0139,-44.175,13.5,0.15
1.360602,-0.0987,0.3935,0.4575,-0.3415,-0.047,0.0139,-44.175,13.5,0.15
1.380602,-0.1715,0.4903,0.5267,-0.3415,-0.047,0.0139,-44.5125,13.7625,0.075
1.400602,-0.11595,0.63555,0.51,-0.3415,-0.047,0.0139,-44.85,14.025,0
1.420602,0.023,0.7332,0.5309,-0.3906,-0.0901,0.0313,-44.85,14.025,0
1.440602,0.08445,0.65925,0.4294,-0.3906,-0.0901,0.0313,-44.85,14.025,0
1.460602,0.0473,0.6783,0.5154,-0.3906,-0.0901,0.0313,-44.475,13.65,0.825
1.480602,-0.022,0.5905,0.631,-0.4723,-0.084,0.0287,-44.475,13.65,0.825
1.500602,-0.1847,0.636,0.7979,-0.4723,-0.084,0.0287,-44.475,13.65,0.825
1.520602,-0.3582,0.8367,0.8249,-0.4723,-0.084,0.0287,-44.5875,13.875,1.0875
1.540602,-0.1855,1.097,0.8297,-0.5437,-0.1284,0.0234,-44.7,14.1,1.35
1.560602,-0.12955,1.1903,1.0161,-0.5437,-0.1284,0.0234,-44.7,14.1,1.35
1.580602,-0.2748,1.0803,1.2158,-0.5437,-0.1284,0.0234,-44.7,14.1,1.35
1.600602,-0.1888,0.9719,1.18155,-0.5437,-0.1284,0.0234,-44.475,14.4,1.95
