
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.063450,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.064202,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.087257,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-41.9250,19.1250,-6.5250,
0.100111,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-41.9250,19.1250,-6.5250,
0.101061,0.0008,0.0342,0.0017,0.0000,0.0000,0.0000,-41.9250,19.1250,-6.5250,
0.118606,0.0008,0.0342,0.0017,0.0000,0.0000,0.0000,-41.9250,19.1250,-6.5250,
0.119818,0.0301,0.2153,-0.0396,0.0000,0.0000,0.0000,-41.9250,19.1250,-6.5250,
0.124662,0.0301,0.2153,-0.0396,-0.0203,-0.0208,0.0023,-41.9250,19.1250,-6.5250,
0.144043,0.0301,0.2153,-0.0396,-0.0203,-0.0208,0.0023,-41.9250,19.1250,-6.5250,
0.145599,-0.0162,0.1509,0.2385,-0.0203,-0.0208,0.0023,-41.9250,19.1250,-6.5250,
0.157329,-0.0162,0.1509,0.2385,-0.0203,-0.0208,0.0023,-41.7750,18.0000,-6.7500,
0.163485,-0.0162,0.1509,0.2385,-0.0203,-0.0208,0.0023,-41.7750,18.0000,-6.7500,
0.164983,0.0075,-0.0005,0.3169,-0.0203,-0.0208,0.0023,-41.7750,18.0000,-6.7500,
0.183830,0.0075,-0.0005,0.3169,-0.0203,-0.0208,0.0023,-41.7750,18.0000,-6.7500,
0.185629,0.0492,-0.0284,0.2030,-0.0203,-0.0208,0.0023,-41.7750,18.0000,-6.7500,
0.197528,0.0492,-0.0284,0.2030,-0.0170,-0.0063,-0.0305,-41.7750,18.0000,-6.7500,
0.203648,0.0492,-0.0284,0.2030,-0.0170,-0.0063,-0.0305,-41.7750,18.0000,-6.7500,
0.205366,0.0090,0.0137,0.1349,-0.0170,-0.0063,-0.0305,-41.7750,18.0000,-6.7500,
0.225652,0.0090,0.0137,0.1349,-0.0170,-0.0063,-0.0305,-41.6250,17.8500,-5.8500,
0.227814,0.0090,0.0137,0.1349,-0.0170,-0.0063,-0.0305,-41.6250,17.8500,-5.8500,
0.229156,-0.1206,0.0326,0.2071,-0.0170,-0.0063,-0.0305,-41.6250,17.8500,-5.8500,
0.240273,-0.1206,0.0326,0.2071,-0.0170,-0.0063,-0.0305,-41.6250,17.8500,-5.8500,
0.243130,-0.1594,0.0169,0.2234,-0.0170,-0.0063,-0.0305,-41.6250,17.8500,-5.8500,
0.255736,-0.1594,0.0169,0.2234,-0.0170,-0.0063,-0.0305,-41.6250,17.8500,-5.8500,
0.257060,-0.1343,-0.0025,0.2686,-0.0170,-0.0063,-0.0305,-41.6250,17.8500,-5.8500,
0.264713,-0.1343,-0.0025,0.2686,0.0275,0.0160,-0.0509,-41.6250,17.8500,-5.8500,
0.279690,-0.1343,-0.0025,0.2686,0.0275,0.0160,-0.0509,-41.6250,17.8500,-5.8500,
0.283224,-0.0916,-0.0739,0.3170,0.0275,0.0160,-0.0509,-41.6250,17.8500,-5.8500,
0.289588,-0.0916,-0.0739,0.3170,0.0275,0.0160,-0.0509,-41.5500,17.8500,-6.5250,
0.298967,-0.0916,-0.0739,0.3170,0.0275,0.0160,-0.0509,-41.5500,17.8500,-6.5250,
0.300614,-0.0433,-0.0987,0.2935,0.0275,0.0160,-0.0509,-41.5500,17.8500,-6.5250,
0.319013,-0.0433,-0.0987,0.2935,0.0275,0.0160,-0.0509,-41.5500,17.8500,-6.5250,
0.320799,-0.0373,0.0469,0.2119,0.0275,0.0160,-0.0509,-41.5500,17.8500,-6.5250,
0.334423,-0.0373,0.0469,0.2119,0.0110,0.0342,-0.0490,-41.5500,17.8500,-6.5250,
0.340085,-0.0373,0.0469,0.2119,0.0110,0.0342,-0.0490,-41.5500,17.8500,-6.5250,
0.341404,-0.0871,0.1690,0.1268,0.0110,0.0342,-0.0490,-41.5500,17.8500,-6.5250,
0.356321,-0.0871,0.1690,0.1268,0.0110,0.0342,-0.0490,-41.5500,17.8500,-6.5250,
0.358071,-0.1837,0.3174,0.1630,0.0110,0.0342,-0.0490,-41.5500,17.8500,-6.5250,
0.359854,-0.1837,0.3174,0.1630,0.0110,0.0342,-0.0490,-42.4500,17.1750,-6.2250,
0.378542,-0.1837,0.3174,0.1630,0.0110,0.0342,-0.0490,-42.4500,17.1750,-6.2250,
0.379993,-0.2706,0.3114,0.3610,0.0110,0.0342,-0.0490,-42.4500,17.1750,-6.2250,
0.403055,-0.2706,0.3114,0.3610,0.0110,0.0342,-0.0490,-42.4500,17.1750,-6.2250,
0.407057,-0.2468,0.1649,0.4724,0.0110,0.0342,-0.0490,-42.4500,17.1750,-6.2250,
0.411751,-0.2468,0.1649,0.4724,-0.0107,0.0258,-0.0356,-42.4500,17.1750,-6.2250,
0.427453,-0.2468,0.1649,0.4724,-0.0107,0.0258,-0.0356,-42.4500,17.1750,-6.2250,
0.429786,-0.1897,-0.0084,0.3955,-0.0107,0.0258,-0.0356,-42.4500,17.1750,-6.2250,
0.432072,-0.1897,-0.0084,0.3955,-0.0107,0.0258,-0.0356,-41.5500,17.7000,-6.5250,
0.441149,-0.1897,-0.0084,0.3955,-0.0107,0.0258,-0.0356,-41.5500,17.7000,-6.5250,
0.443477,-0.1847,-0.0585,0.3563,-0.0107,0.0258,-0.0356,-41.5500,17.7000,-6.5250,
0.460956,-0.1847,-0.0585,0.3563,-0.0107,0.0258,-0.0356,-41.5500,17.7000,-6.5250,
0.464753,-0.1775,-0.0433,0.3573,-0.0107,0.0258,-0.0356,-41.5500,17.7000,-6.5250,
0.475420,-0.1775,-0.0433,0.3573,0.0037,0.0154,-0.0046,-41.5500,17.7000,-6.5250,
0.481308,-0.1775,-0.0433,0.3573,0.0037,0.0154,-0.0046,-41.5500,17.7000,-6.5250,
0.483472,-0.1836,-0.0163,0.3160,0.0037,0.0154,-0.0046,-41.5500,17.7000,-6.5250,
0.500087,-0.1836,-0.0163,0.3160,0.0037,0.0154,-0.0046,-41.5500,17.7000,-6.5250,
0.503492,-0.1718,0.0351,0.3337,0.0037,0.0154,-0.0046,-41.5500,17.7000,-6.5250,
0.505186,-0.1718,0.0351,0.3337,0.0037,0.0154,-0.0046,-42.1500,17.1000,-6.4500,
0.520234,-0.1718,0.0351,0.3337,0.0037,0.0154,-0.0046,-42.1500,17.1000,-6.4500,
0.521560,-0.1424,0.0786,0.3725,0.0037,0.0154,-0.0046,-42.1500,17.1000,-6.4500,
0.539825,-0.1424,0.0786,0.3725,0.0037,0.0154,-0.0046,-42.1500,17.1000,-6.4500,
0.541174,-0.1347,0.1309,0.4221,0.0037,0.0154,-0.0046,-42.1500,17.1000,-6.4500,
0.544574,-0.1347,0.1309,0.4221,-0.0444,0.0021,0.0151,-42.1500,17.1000,-6.4500,
0.556507,-0.1347,0.1309,0.4221,-0.0444,0.0021,0.0151,-42.1500,17.1000,-6.4500,
0.558012,-0.0791,0.1576,0.3930,-0.0444,0.0021,0.0151,-42.1500,17.1000,-6.4500,
0.570105,-0.0791,0.1576,0.3930,-0.0444,0.0021,0.0151,-41.3250,17.7000,-7.0500,
0.579294,-0.0791,0.1576,0.3930,-0.0444,0.0021,0.0151,-41.3250,17.7000,-7.0500,
0.582868,-0.0227,0.1602,0.3618,-0.0444,0.0021,0.0151,-41.3250,17.7000,-7.0500,
0.598569,-0.0227,0.1602,0.3618,-0.0444,0.0021,0.0151,-41.3250,17.7000,-7.0500,
0.601774,-0.0364,0.0873,0.3747,-0.0444,0.0021,0.0151,-41.3250,17.7000,-7.0500,
0.612033,-0.0364,0.0873,0.3747,-0.0646,-0.0160,0.0293,-41.3250,17.7000,-7.0500,
0.622921,-0.0364,0.0873,0.3747,-0.0646,-0.0160,0.0293,-41.3250,17.7000,-7.0500,
0.625033,-0.0166,-0.0571,0.5041,-0.0646,-0.0160,0.0293,-41.3250,17.7000,-7.0500,
0.642602,-0.0166,-0.0571,0.5041,-0.0646,-0.0160,0.0293,-41.3250,17.7000,-7.0500,
0.645305,-0.0130,-0.0661,0.4873,-0.0646,-0.0160,0.0293,-41.3250,17.7000,-7.0500,
0.647407,-0.0130,-0.0661,0.4873,-0.0646,-0.0160,0.0293,-42.4500,16.9500,-6.6750,
0.661875,-0.0130,-0.0661,0.4873,-0.0646,-0.0160,0.0293,-42.4500,16.9500,-6.6750,
0.663287,-0.0933,0.1485,0.4470,-0.0646,-0.0160,0.0293,-42.4500,16.9500,-6.6750,
0.681565,-0.0933,0.1485,0.4470,-0.0646,-0.0160,0.0293,-42.4500,16.9500,-6.6750,
0.683500,-0.1020,0.1683,0.5360,-0.0646,-0.0160,0.0293,-42.4500,16.9500,-6.6750,
0.688364,-0.1020,0.1683,0.5360,-0.0304,0.0093,0.0203,-42.4500,16.9500,-6.6750,
0.701333,-0.1020,0.1683,0.5360,-0.0304,0.0093,0.0203,-42.4500,16.9500,-6.6750,
0.703346,-0.1413,0.1610,0.5276,-0.0304,0.0093,0.0203,-42.4500,16.9500,-6.6750,
0.710653,-0.1413,0.1610,0.5276,-0.0304,0.0093,0.0203,-42.4500,16.5750,-6.6750,
0.720333,-0.1413,0.1610,0.5276,-0.0304,0.0093,0.0203,-42.4500,16.5750,-6.6750,
0.723275,-0.2127,0.1398,0.5668,-0.0304,0.0093,0.0203,-42.4500,16.5750,-6.6750,
0.740485,-0.2127,0.1398,0.5668,-0.0304,0.0093,0.0203,-42.4500,16.5750,-6.6750,
0.742743,-0.1618,0.0490,0.5553,-0.0304,0.0093,0.0203,-42.4500,16.5750,-6.6750,
0.755287,-0.1618,0.0490,0.5553,-0.0609,-0.0096,0.0264,-42.4500,16.5750,-6.6750,
0.757898,-0.1618,0.0490,0.5553,-0.0609,-0.0096,0.0264,-42.4500,16.5750,-6.6750,
0.759627,-0.0511,0.0979,0.4435,-0.0609,-0.0096,0.0264,-42.4500,16.5750,-6.6750,
0.779022,-0.0511,0.0979,0.4435,-0.0609,-0.0096,0.0264,-42.4500,16.5750,-6.6750,
0.781624,0.0007,0.1897,0.3431,-0.0609,-0.0096,0.0264,-42.4500,16.5750,-6.6750,
0.784050,0.0007,0.1897,0.3431,-0.0609,-0.0096,0.0264,-42.1500,17.2500,-6.4500,
0.798324,0.0007,0.1897,0.3431,-0.0609,-0.0096,0.0264,-42.1500,17.2500,-6.4500,
0.800383,-0.0487,0.2818,0.3622,-0.0609,-0.0096,0.0264,-42.1500,17.2500,-6.4500,
0.818314,-0.0487,0.2818,0.3622,-0.0609,-0.0096,0.0264,-42.1500,17.2500,-6.4500,
0.821730,-0.0866,0.3500,0.4146,-0.0609,-0.0096,0.0264,-42.1500,17.2500,-6.4500,
