time,ax,ay,az,wx,wy,wz,Bx,By,Bz
0.046616,0,0,0,0,0,0,0,0,0
0.066616,0.0359,0.0494,-0.3574,0,0,0,0,0,0
0.086616,0.0594,0.1086,-0.3554,0.0107,0.0114,0.00555,-42,9.75,-5.1
0.106616,0.0294,0.0895,-0.2919,0.0214,0.0228,0.0111,-42,9.75,-5.1
0.126616,-0.0887,0.1162,-0.3333,0.0214,0.0228,0.0111,-42,9.75,-5.1
0.146616,-0.0739,0.0618,-0.2127,0.0214,0.0228,0.0111,-43.425,8.325,-5.55
0.166616,-0.0238,-0.0597,-0.1506,-0.0133,0.0367,0.0159,-43.425,8.325,-5.55
0.186616,-0.0733,-0.0663,-0.3809,-0.0133,0.0367,0.0159,-43.425,8.325,-5.55
0.206616,-0.0141,0.097,-0.3035,-0.0133,0.0367,0.0159,-43.95,8.175,-5.325
0.226616,-0.0231,0.0166,-0.1265,-0.0113,0.006,0.0241,-43.95,8.175,-5.325
0.246616,0.0074,0.0533,-0.1823,-0.0113,0.006,0.0241,-43.95,8.175,-5.325
0.266616,0.0096,0.1064,-0.1975,-0.0113,0.006,0.0241,-43.95,8.175,-5.325
0.286616,0.17935,0.1093,-0.1589,-0.0113,0.006,0.0241,-43.725,8.775,-5.4
0.306616,-0.1182,0.1361,-0.1836,-0.0226,0.0195,0.0231,-43.725,8.775,-5.4
0.326616,0.054,0.0865,-0.2803,-0.0226,0.0195,0.0231,-43.725,8.775,-5.4
0.346616,0.06495,0.0271,-0.15185,-0.0226,0.0195,0.0231,-43.725,8.775,-5.4
0.366616,0.0322,0.0562,-0.1922,-0.0199,0.0243,-0.0069,-44.25,9.3,-4.95
0.386616,0.001,0.0352,-0.0687,-0.0199,0.0243,-0.0069,-44.25,9.3,-4.95
0.406616,0.0119,-0.0269,-0.0266,-0.0199,0.0243,-0.0069,-44.25,9.3,-4.95
0.426616,0.0187,-0.0033,-0.0497,-0.0199,0.0243,-0.0069,-43.65,9.75,-5.85
0.446616,0.0586,0.013,-0.0622,-0.0131,0.0029,-0.0237,-43.65,9.75,-5.85
0.466616,0.0965,0.0146,-0.1223,-0.0131,0.0029,-0.0237,-43.65,9.75,-5.85
0.486616,0.0917,0.0259,-0.1045,-0.0131,0.0029,-0.0237,-43.65,9.75,-5.85
0.506616,0.0902,0.0537,-0.0344,0.0263,-0.0397,-0.0368,-43.725,9.225,-5.55
0.526616,0.1203,0.017,0.0146,0.0263,-0.0397,-0.0368,-43.725,9.225,-5.55
