time,ax,ay,az,wx,wy,wz,Bx,By,Bz,Unnamed: 10,time_diff,acc_mag,acc_mag_filtered,label
0.06901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0013218486994938988,non_fall
0.06931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0002999999999999947,0.0,0.008123513848360757,non_fall
0.094723,0.0,0.0,0.0,0.0,0.0,0.0,-42.75,7.35,3.45,,0.025413000000000005,0.0,0.014500967994762906,non_fall
0.113055,0.0,0.0,0.0,0.0,0.0,0.0,-42.75,7.35,3.45,,0.018332,0.0,0.02025376854598524,non_fall
0.1148,0.0436,0.0388,-0.0245,0.0,0.0,0.0,-42.75,7.35,3.45,,0.0017449999999999966,0.06329810423701487,0.025220722089733066,non_fall
0.136252,0.0436,0.0388,-0.0245,0.0,0.0,0.0,-42.75,7.35,3.45,,0.021452000000000013,0.06329810423701487,0.029290783671521967,non_fall
0.139122,0.0347,0.05,-0.0123,0.0,0.0,0.0,-42.75,7.35,3.45,,0.0028699999999999837,0.062091706370496866,0.03241133637677234,non_fall
0.140718,0.0347,0.05,-0.0123,-0.0185,0.0174,-0.0231,-42.75,7.35,3.45,,0.001596000000000014,0.062091706370496866,0.03459305421912465,non_fall
0.153622,0.0347,0.05,-0.0123,-0.0185,0.0174,-0.0231,-42.75,7.35,3.45,,0.012903999999999999,0.062091706370496866,0.03591075081234816,non_fall
0.15486,0.0267,0.0419,0.0099,-0.0185,0.0174,-0.0231,-42.75,7.35,3.45,,0.0012379999999999891,0.05066073430182393,0.036499936080805546,non_fall
0.166668,0.0267,0.0419,0.0099,-0.0185,0.0174,-0.0231,-42.15,8.85,4.725,,0.011808000000000013,0.05066073430182393,0.036549162278617556,non_fall
0.172768,0.0267,0.0419,0.0099,-0.0185,0.0174,-0.0231,-42.15,8.85,4.725,,0.006099999999999994,0.05066073430182393,0.036288576962996644,non_fall
0.17362,0.0282,-0.0035,0.0022,-0.0185,0.0174,-0.0231,-42.15,8.85,4.725,,0.0008519999999999917,0.02850140347421509,0.03597538737262031,non_fall
0.192207,0.0282,-0.0035,0.0022,-0.0185,0.0174,-0.0231,-42.15,8.85,4.725,,0.018586999999999992,0.02850140347421509,0.03587716895963689,non_fall
0.193304,0.009,-0.01,-0.0121,-0.0185,0.0174,-0.0231,-42.15,8.85,4.725,,0.0010970000000000146,0.01809447429465692,0.03625411285108236,non_fall
0.207768,0.009,-0.01,-0.0121,-0.0099,0.0206,-0.0229,-42.15,8.85,4.725,,0.014464000000000005,0.01809447429465692,0.03734138798868749,non_fall
0.2138,0.009,-0.01,-0.0121,-0.0099,0.0206,-0.0229,-42.15,8.85,4.725,,0.006031999999999982,0.01809447429465692,0.03933277984934864,non_fall
0.215656,-0.0045,0.0288,-0.0126,-0.0099,0.0206,-0.0229,-42.15,8.85,4.725,,0.0018559999999999965,0.03175610177587923,0.042366661912571636,non_fall
0.232547,-0.0045,0.0288,-0.0126,-0.0099,0.0206,-0.0229,-42.15,8.85,4.725,,0.016891000000000017,0.03175610177587923,0.04651518144518077,non_fall
0.234032,0.0231,0.0155,-0.0286,-0.0099,0.0206,-0.0229,-42.15,8.85,4.725,,0.0014849999999999863,0.03989761897657553,0.05177733221595183,non_fall
0.235633,0.0231,0.0155,-0.0286,-0.0099,0.0206,-0.0229,-41.85,9.0,4.725,,0.001601000000000019,0.03989761897657553,0.05807637643445423,non_fall
0.251493,0.0231,0.0155,-0.0286,-0.0099,0.0206,-0.0229,-41.85,9.0,4.725,,0.015860000000000013,0.03989761897657553,0.06526188302337826,non_fall
0.252877,0.0208,0.0237,-0.018,-0.0099,0.0206,-0.0229,-41.85,9.0,4.725,,0.0013839999999999963,0.03630881435684729,0.0731164613298535,non_fall
0.269988,0.0208,0.0237,-0.018,-0.0099,0.0206,-0.0229,-41.85,9.0,4.725,,0.017110999999999987,0.03630881435684729,0.08136706143527121,non_fall
0.272494,-0.033,0.0599,0.0134,-0.0099,0.0206,-0.0229,-41.85,9.0,4.725,,0.0025060000000000082,0.06968909527322048,0.08970045112745187,non_fall
0.275158,-0.033,0.0599,0.0134,0.0046,0.0315,-0.0226,-41.85,9.0,4.725,,0.0026639999999999997,0.06968909527322048,0.09778214557414355,non_fall
0.291397,-0.033,0.0599,0.0134,0.0046,0.0315,-0.0226,-41.85,9.0,4.725,,0.016239000000000003,0.06968909527322048,0.10527767277603671,non_fall
0.29358,0.0848,0.0785,-0.1958,0.0046,0.0315,-0.0226,-41.85,9.0,4.725,,0.0021829999999999905,0.22735639423600998,0.11187465506092399,non_fall
0.303427,0.0848,0.0785,-0.1958,0.0046,0.0315,-0.0226,-42.45,8.625,5.55,,0.009846999999999995,0.22735639423600998,0.117303855537452,non_fall
0.311972,0.0848,0.0785,-0.1958,0.0046,0.0315,-0.0226,-42.45,8.625,5.55,,0.008545000000000025,0.22735639423600998,0.12135721788442483,non_fall
0.313524,0.0207,0.0571,0.0267,0.0046,0.0315,-0.0226,-42.45,8.625,5.55,,0.0015519999999999978,0.06634598706779483,0.12390119034145679,non_fall
0.329752,0.0207,0.0571,0.0267,0.0046,0.0315,-0.0226,-42.45,8.625,5.55,,0.016227999999999965,0.06634598706779483,0.12488430166401208,non_fall
0.331206,-0.0665,-0.0001,0.1518,0.0046,0.0315,-0.0226,-42.45,8.625,5.55,,0.0014540000000000108,0.1657271854585119,0.12433878753544565,non_fall
0.348916,-0.0665,-0.0001,0.1518,-0.0021,0.0119,-0.0154,-42.45,8.625,5.55,,0.017710000000000004,0.1657271854585119,0.1223766591412546,non_fall
