time,ax,ay,az,wx,wy,wz,Bx,By,Bz,time_diff,acc_mag,acc_mag_filtered,label
0.095038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0009169973153456589,non_fall
0.115038,0.0211,0.0183,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.020000000000000004,0.027930986377140355,0.020242453885450165,non_fall
0.135038,-0.0048,-0.0157,0.0003,0.011,-0.0261,-0.0017,-43.275,6.75,-4.05,0.01999999999999999,0.016420109622045768,0.0422173099480111,non_fall
0.155038,-0.0182,-0.0114,-0.0414,0.011,-0.0261,-0.0017,-43.275,6.75,-4.05,0.020000000000000018,0.04663861061395376,0.06479416519854746,non_fall
0.175038,-0.0508,0.0134,-0.07315,0.011,-0.0261,-0.0017,-43.125,7.95,-3.75,0.01999999999999999,0.09006177046893983,0.08668240815293178,non_fall
0.195038,-0.063,0.0054,-0.1016,0.0113,-0.0015,0.0081,-43.125,7.95,-3.75,0.01999999999999999,0.11966921074361608,0.10573277996826372,non_fall
0.215038,-0.061,0.0156,-0.0873,0.0113,-0.0015,0.0081,-43.125,7.95,-3.75,0.020000000000000018,0.10763665732453791,0.11967057370277659,non_fall
0.235038,-0.0734,0.0356,-0.1473,0.0113,-0.0015,0.0081,-43.125,7.95,-3.75,0.01999999999999999,0.16838114502520762,0.1270520950161729,non_fall
0.255038,-0.0673,0.0268,-0.0432,-0.0101,0.0029,0.0102,-42.45,7.725,-4.65,0.01999999999999999,0.08434316806950044,0.12806640658991758,non_fall
0.275038,-0.0635,0.0166,-0.12515,-0.0101,0.0029,0.0102,-42.45,7.725,-4.65,0.020000000000000018,0.14131642685830972,0.12487853766365324,non_fall
0.295038,-0.0972,0.0141,-0.157,-0.0101,0.0029,0.0102,-42.45,7.725,-4.65,0.020000000000000018,0.18519084750602552,0.12135032791973091,non_fall
0.315038,-0.0068,-0.0064,-0.0987,-0.0101,0.0029,0.0102,-43.05,7.425,-4.65,0.019999999999999962,0.09914075852039866,0.12211147272366195,non_fall
0.335038,-0.0085,0.057,-0.0421,-0.0139,-0.0182,0.0128,-43.05,7.425,-4.65,0.020000000000000018,0.07136988160281618,0.13113592248624922,non_fall
0.355038,-0.021,0.0946,-0.1015,-0.0139,-0.0182,0.0128,-43.05,7.425,-4.65,0.020000000000000018,0.1403296476158905,0.15024980001426322,non_fall
0.375038,-0.0062,0.1244,0.1812,-0.0139,-0.0182,0.0128,-43.05,7.425,-4.65,0.019999999999999962,0.21988005821356332,0.1781783641402198,non_fall
0.395038,-0.1663,-0.0659,0.03055,-0.0327,-0.0095,0.0009,-42.75,7.95,-3.75,0.020000000000000018,0.18147121672595903,0.21059296057744298,non_fall
0.415038,0.1198,0.0474,-0.0805,-0.0327,-0.0095,0.0009,-42.75,7.95,-3.75,0.020000000000000018,0.1519179054621278,0.24121561609486478,non_fall
