filename,fall_peak_time,peak_acceleration,total_samples,fall_samples,non_fall_samples
p10_chest_ff_1.csv,3.052533,28.00059527950634,1623,259,1364
p10_chest_ff_2.csv,2.179305,32.77314900452205,945,259,686
p10_chest_ff_3.csv,2.016642,31.136356924996324,821,259,562
p1_chest_ff_1_resampled.csv,2.991197,29.779748592662905,622,101,521
p1_chest_ff_2_resampled.csv,2.180602,37.96595357787983,406,101,305
p1_chest_ff_3_resampled.csv,2.342703,45.57176244855796,417,101,316
p2_chest_ff_1.csv,2.923557,28.64922271721808,639,139,500
p2_chest_ff_2.csv,3.321324,18.517970397233764,1074,257,817
p2_chest_ff_3.csv,3.024738,20.63708827219356,1055,259,796
p3_chest_ff_1.csv,1.940395,23.767977389197537,1146,259,887
p3_chest_ff_2.csv,2.068483,21.755038280275745,1156,257,899
p3_chest_ff_3.csv,2.767394,25.683979693054184,1041,259,782
p4_chest_ff_1.csv,1.72438,13.568143523999032,767,259,508
p4_chest_ff_2.csv,2.93,23.28201882616987,981,259,722
p4_chest_ff_3.csv,3.001055,36.52895469853007,877,259,618
p5_chest_ff_1.csv,2.85345,28.9749870047237,901,259,642
p5_chest_ff_2.csv,2.760501,23.675367366864272,807,259,548
p5_chest_ff_3.csv,2.499583,21.859743224849442,1017,257,760
p6_chest_ff_1.csv,2.214766,22.110625627731828,926,259,667
p6_chest_ff_2.csv,1.904679,27.702186045888414,838,259,579
p6_chest_ff_3.csv,2.835929,22.896853877470107,1020,257,763
p7_chest_ff_1_resampled.csv,4.495038,22.890132244116362,480,101,379
p7_chest_ff_2_resampled.csv,3.904127,19.843106614741963,580,101,479
p7_chest_ff_3_resampled.csv,2.906616,18.59710726196604,419,101,318
p8_chest_ff_1.csv,6.570883,16.71310692646403,1792,259,1533
p8_chest_ff_2.csv,6.076787,19.641570787079146,1799,259,1540
p8_chest_ff_3.csv,4.026752,14.813692058581506,1375,259,1116
p9_chest_ff_1.csv,5.174726,25.552474550014587,1644,259,1385
p9_chest_ff_2.csv,2.883869,29.20640386376564,1237,257,980
p9_chest_ff_3.csv,3.093845,27.29146352075356,1333,259,1074
