
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.040727,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.040953,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.064900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-9.4500,14.6250,43.0500,
0.080928,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-9.4500,14.6250,43.0500,
0.082216,0.0415,0.0767,-0.0454,0.0000,0.0000,0.0000,-9.4500,14.6250,43.0500,
0.106100,0.0415,0.0767,-0.0454,0.0000,0.0000,0.0000,-9.4500,14.6250,43.0500,
0.108268,0.0473,0.0532,-0.1327,0.0000,0.0000,0.0000,-9.4500,14.6250,43.0500,
0.110409,0.0473,0.0532,-0.1327,0.0183,-0.0254,-0.0159,-9.4500,14.6250,43.0500,
0.125102,0.0473,0.0532,-0.1327,0.0183,-0.0254,-0.0159,-9.4500,14.6250,43.0500,
0.127294,0.0324,0.0281,-0.1320,0.0183,-0.0254,-0.0159,-9.4500,14.6250,43.0500,
0.144170,0.0324,0.0281,-0.1320,0.0183,-0.0254,-0.0159,-9.4500,14.6250,43.0500,
0.146054,0.0462,0.0462,-0.0858,0.0183,-0.0254,-0.0159,-9.4500,14.6250,43.0500,
0.147745,0.0462,0.0462,-0.0858,0.0183,-0.0254,-0.0159,-9.7500,14.5500,43.2000,
0.167115,0.0462,0.0462,-0.0858,0.0183,-0.0254,-0.0159,-9.7500,14.5500,43.2000,
0.170910,0.0923,0.0494,-0.0631,0.0183,-0.0254,-0.0159,-9.7500,14.5500,43.2000,
0.180312,0.0923,0.0494,-0.0631,-0.0058,-0.0183,-0.0067,-9.7500,14.5500,43.2000,
0.183783,0.0923,0.0494,-0.0631,-0.0058,-0.0183,-0.0067,-9.7500,14.5500,43.2000,
0.185442,0.1010,0.0596,-0.0658,-0.0058,-0.0183,-0.0067,-9.7500,14.5500,43.2000,
0.203675,0.1010,0.0596,-0.0658,-0.0058,-0.0183,-0.0067,-9.7500,14.5500,43.2000,
0.205893,0.0442,0.0561,0.0489,-0.0058,-0.0183,-0.0067,-9.7500,14.5500,43.2000,
0.207417,0.0442,0.0561,0.0489,-0.0058,-0.0183,-0.0067,-9.9750,14.5500,42.9750,
0.222276,0.0442,0.0561,0.0489,-0.0058,-0.0183,-0.0067,-9.9750,14.5500,42.9750,
0.224322,0.0488,0.0488,-0.1407,-0.0058,-0.0183,-0.0067,-9.9750,14.5500,42.9750,
0.241826,0.0488,0.0488,-0.1407,-0.0058,-0.0183,-0.0067,-9.9750,14.5500,42.9750,
0.244087,-0.0403,0.0645,-0.1385,-0.0058,-0.0183,-0.0067,-9.9750,14.5500,42.9750,
0.251815,-0.0403,0.0645,-0.1385,-0.0006,-0.0047,0.0037,-9.9750,14.5500,42.9750,
0.263972,-0.0403,0.0645,-0.1385,-0.0006,-0.0047,0.0037,-9.9750,14.5500,42.9750,
0.266355,-0.0021,0.0269,-0.0172,-0.0006,-0.0047,0.0037,-9.9750,14.5500,42.9750,
0.273712,-0.0021,0.0269,-0.0172,-0.0006,-0.0047,0.0037,-10.1250,14.5500,42.2250,
0.281923,-0.0021,0.0269,-0.0172,-0.0006,-0.0047,0.0037,-10.1250,14.5500,42.2250,
0.284182,0.0227,-0.0094,-0.0161,-0.0006,-0.0047,0.0037,-10.1250,14.5500,42.2250,
0.300917,0.0227,-0.0094,-0.0161,-0.0006,-0.0047,0.0037,-10.1250,14.5500,42.2250,
0.303124,0.0365,0.0145,-0.0408,-0.0006,-0.0047,0.0037,-10.1250,14.5500,42.2250,
0.317229,0.0365,0.0145,-0.0408,-0.0057,-0.0134,0.0170,-10.1250,14.5500,42.2250,
0.320817,0.0365,0.0145,-0.0408,-0.0057,-0.0134,0.0170,-10.1250,14.5500,42.2250,
0.322078,-0.0035,0.0493,-0.1225,-0.0057,-0.0134,0.0170,-10.1250,14.5500,42.2250,
0.340426,-0.0035,0.0493,-0.1225,-0.0057,-0.0134,0.0170,-10.1250,14.5500,42.2250,
0.341886,0.0149,0.0333,-0.0443,-0.0057,-0.0134,0.0170,-10.1250,14.5500,42.2250,
0.344021,0.0149,0.0333,-0.0443,-0.0057,-0.0134,0.0170,-9.9000,14.5500,43.4250,
0.360174,0.0149,0.0333,-0.0443,-0.0057,-0.0134,0.0170,-9.9000,14.5500,43.4250,
0.361586,0.0506,0.0280,-0.0842,-0.0057,-0.0134,0.0170,-9.9000,14.5500,43.4250,
0.384265,0.0506,0.0280,-0.0842,-0.0057,-0.0134,0.0170,-9.9000,14.5500,43.4250,
0.385439,0.0697,0.0035,-0.0178,-0.0057,-0.0134,0.0170,-9.9000,14.5500,43.4250,
0.390300,0.0697,0.0035,-0.0178,-0.0064,-0.0118,0.0209,-9.9000,14.5500,43.4250,
0.404043,0.0697,0.0035,-0.0178,-0.0064,-0.0118,0.0209,-9.9000,14.5500,43.4250,
0.406878,0.0654,0.0388,-0.0915,-0.0064,-0.0118,0.0209,-9.9000,14.5500,43.4250,
0.414476,0.0654,0.0388,-0.0915,-0.0064,-0.0118,0.0209,-9.8250,14.2500,43.2000,
0.423088,0.0654,0.0388,-0.0915,-0.0064,-0.0118,0.0209,-9.8250,14.2500,43.2000,
0.424989,0.0721,0.0474,-0.1009,-0.0064,-0.0118,0.0209,-9.8250,14.2500,43.2000,
0.443154,0.0721,0.0474,-0.1009,-0.0064,-0.0118,0.0209,-9.8250,14.2500,43.2000,
0.446296,0.0527,0.1044,-0.0859,-0.0064,-0.0118,0.0209,-9.8250,14.2500,43.2000,
0.456891,0.0527,0.1044,-0.0859,-0.0130,-0.0264,0.0166,-9.8250,14.2500,43.2000,
0.466279,0.0527,0.1044,-0.0859,-0.0130,-0.0264,0.0166,-9.8250,14.2500,43.2000,
0.468209,-0.0045,0.0042,-0.0522,-0.0130,-0.0264,0.0166,-9.8250,14.2500,43.2000,
0.483651,-0.0045,0.0042,-0.0522,-0.0130,-0.0264,0.0166,-9.8250,14.2500,43.2000,
0.485818,-0.0085,0.0456,-0.0356,-0.0130,-0.0264,0.0166,-9.8250,14.2500,43.2000,
0.487637,-0.0085,0.0456,-0.0356,-0.0130,-0.0264,0.0166,-9.3000,14.5500,43.7250,
0.501330,-0.0085,0.0456,-0.0356,-0.0130,-0.0264,0.0166,-9.3000,14.5500,43.7250,
0.503680,-0.0638,0.1012,-0.0160,-0.0130,-0.0264,0.0166,-9.3000,14.5500,43.7250,
0.521077,-0.0638,0.1012,-0.0160,-0.0130,-0.0264,0.0166,-9.3000,14.5500,43.7250,
0.523816,0.0633,0.0792,-0.0808,-0.0130,-0.0264,0.0166,-9.3000,14.5500,43.7250,
0.525389,0.0633,0.0792,-0.0808,0.0041,-0.0082,0.0237,-9.3000,14.5500,43.7250,
0.540118,0.0633,0.0792,-0.0808,0.0041,-0.0082,0.0237,-9.3000,14.5500,43.7250,
0.542076,-0.1138,0.0486,0.0365,0.0041,-0.0082,0.0237,-9.3000,14.5500,43.7250,
