
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.035816,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.061825,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.062833,-0.0016,-0.1445,0.0452,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.063650,-0.0016,-0.1445,0.0452,0.0000,0.0000,0.0000,3.7500,0.3000,-42.4500,
0.082011,-0.0016,-0.1445,0.0452,0.0000,0.0000,0.0000,3.7500,0.3000,-42.4500,
0.083327,0.1145,-0.1748,0.0030,0.0000,0.0000,0.0000,3.7500,0.3000,-42.4500,
0.100250,0.1145,-0.1748,0.0030,0.0000,0.0000,0.0000,3.7500,0.3000,-42.4500,
0.102122,0.2509,-0.1242,-0.1197,0.0000,0.0000,0.0000,3.7500,0.3000,-42.4500,
0.105150,0.2509,-0.1242,-0.1197,0.0208,-0.0299,-0.0096,3.7500,0.3000,-42.4500,
0.120359,0.2509,-0.1242,-0.1197,0.0208,-0.0299,-0.0096,3.7500,0.3000,-42.4500,
0.121902,0.2510,0.0169,-0.1372,0.0208,-0.0299,-0.0096,3.7500,0.3000,-42.4500,
0.132278,0.2510,0.0169,-0.1372,0.0208,-0.0299,-0.0096,4.9500,1.2000,-42.1500,
0.140082,0.2510,0.0169,-0.1372,0.0208,-0.0299,-0.0096,4.9500,1.2000,-42.1500,
0.141526,0.2723,0.0891,-0.2424,0.0208,-0.0299,-0.0096,4.9500,1.2000,-42.1500,
0.159967,0.2723,0.0891,-0.2424,0.0208,-0.0299,-0.0096,4.9500,1.2000,-42.1500,
0.161619,0.2298,0.0914,-0.2996,0.0208,-0.0299,-0.0096,4.9500,1.2000,-42.1500,
0.173821,0.2298,0.0914,-0.2996,0.0538,0.0113,-0.0098,4.9500,1.2000,-42.1500,
0.185867,0.2298,0.0914,-0.2996,0.0538,0.0113,-0.0098,4.9500,1.2000,-42.1500,
0.188326,0.0826,0.0067,-0.2665,0.0538,0.0113,-0.0098,4.9500,1.2000,-42.1500,
0.197438,0.0826,0.0067,-0.2665,0.0538,0.0113,-0.0098,4.9500,1.2000,-42.1500,
0.200068,0.0202,-0.0937,-0.2295,0.0538,0.0113,-0.0098,4.9500,1.2000,-42.1500,
0.202541,0.0202,-0.0937,-0.2295,0.0538,0.0113,-0.0098,4.9500,0.6750,-42.4500,
0.216471,0.0202,-0.0937,-0.2295,0.0538,0.0113,-0.0098,4.9500,0.6750,-42.4500,
0.219023,-0.0236,-0.1179,-0.1346,0.0538,0.0113,-0.0098,4.9500,0.6750,-42.4500,
0.236453,-0.0236,-0.1179,-0.1346,0.0538,0.0113,-0.0098,4.9500,0.6750,-42.4500,
0.238624,0.0391,-0.0648,-0.1673,0.0538,0.0113,-0.0098,4.9500,0.6750,-42.4500,
0.241017,0.0391,-0.0648,-0.1673,0.0336,0.0171,-0.0153,4.9500,0.6750,-42.4500,
0.256017,0.0391,-0.0648,-0.1673,0.0336,0.0171,-0.0153,4.9500,0.6750,-42.4500,
0.258953,0.0702,0.0000,-0.1963,0.0336,0.0171,-0.0153,4.9500,0.6750,-42.4500,
0.271399,0.0702,0.0000,-0.1963,0.0336,0.0171,-0.0153,4.9500,0.6750,-42.4500,
0.273378,-0.0361,0.0257,-0.1678,0.0336,0.0171,-0.0153,4.9500,0.6750,-42.4500,
0.275513,-0.0361,0.0257,-0.1678,0.0336,0.0171,-0.0153,4.6500,-0.1500,-42.6000,
0.296841,-0.0361,0.0257,-0.1678,0.0336,0.0171,-0.0153,4.6500,-0.1500,-42.6000,
0.298663,-0.1395,-0.0392,-0.1646,0.0336,0.0171,-0.0153,4.6500,-0.1500,-42.6000,
0.310468,-0.1395,-0.0392,-0.1646,0.0455,0.0087,-0.0299,4.6500,-0.1500,-42.6000,
0.317572,-0.1395,-0.0392,-0.1646,0.0455,0.0087,-0.0299,4.6500,-0.1500,-42.6000,
0.319481,-0.0873,-0.1254,-0.1967,0.0455,0.0087,-0.0299,4.6500,-0.1500,-42.6000,
0.331717,-0.0873,-0.1254,-0.1967,0.0455,0.0087,-0.0299,4.6500,-0.1500,-42.6000,
0.333341,0.1249,-0.1465,-0.0958,0.0455,0.0087,-0.0299,4.6500,-0.1500,-42.6000,
0.342298,0.1249,-0.1465,-0.0958,0.0455,0.0087,-0.0299,4.3500,0.3750,-42.6000,
0.355290,0.1249,-0.1465,-0.0958,0.0455,0.0087,-0.0299,4.3500,0.3750,-42.6000,
0.357074,0.2296,-0.0145,-0.2727,0.0455,0.0087,-0.0299,4.3500,0.3750,-42.6000,
0.374029,0.2296,-0.0145,-0.2727,0.0455,0.0087,-0.0299,4.3500,0.3750,-42.6000,
0.375804,0.0344,0.1417,-0.1892,0.0455,0.0087,-0.0299,4.3500,0.3750,-42.6000,
0.381549,0.0344,0.1417,-0.1892,0.0383,0.0115,-0.0568,4.3500,0.3750,-42.6000,
0.393143,0.0344,0.1417,-0.1892,0.0383,0.0115,-0.0568,4.3500,0.3750,-42.6000,
0.394715,0.0517,0.1677,-0.2395,0.0383,0.0115,-0.0568,4.3500,0.3750,-42.6000,
0.413000,0.0517,0.1677,-0.2395,0.0383,0.0115,-0.0568,4.9500,0.3750,-42.9750,
0.414893,0.0517,0.1677,-0.2395,0.0383,0.0115,-0.0568,4.9500,0.3750,-42.9750,
0.416104,0.1779,0.1439,-0.3018,0.0383,0.0115,-0.0568,4.9500,0.3750,-42.9750,
0.437455,0.1779,0.1439,-0.3018,0.0383,0.0115,-0.0568,4.9500,0.3750,-42.9750,
0.440762,0.0469,-0.0263,-0.0082,0.0383,0.0115,-0.0568,4.9500,0.3750,-42.9750,
0.451967,0.0469,-0.0263,-0.0082,0.0183,-0.0428,-0.0704,4.9500,0.3750,-42.9750,
0.456282,0.0469,-0.0263,-0.0082,0.0183,-0.0428,-0.0704,4.9500,0.3750,-42.9750,
0.458134,-0.1051,-0.0453,-0.0005,0.0183,-0.0428,-0.0704,4.9500,0.3750,-42.9750,
0.475948,-0.1051,-0.0453,-0.0005,0.0183,-0.0428,-0.0704,4.9500,0.3750,-42.9750,
0.478338,-0.1496,0.0016,0.1366,0.0183,-0.0428,-0.0704,4.9500,0.3750,-42.9750,
0.484786,-0.1496,0.0016,0.1366,0.0183,-0.0428,-0.0704,5.1000,0.4500,-42.3000,
0.498559,-0.1496,0.0016,0.1366,0.0183,-0.0428,-0.0704,5.1000,0.4500,-42.3000,
0.501156,-0.2518,0.0437,0.0132,0.0183,-0.0428,-0.0704,5.1000,0.4500,-42.3000,
0.515324,-0.2518,0.0437,0.0132,0.0183,-0.0428,-0.0704,5.1000,0.4500,-42.3000,
0.517873,-0.3950,0.1366,0.0459,0.0183,-0.0428,-0.0704,5.1000,0.4500,-42.3000,
0.520462,-0.3950,0.1366,0.0459,0.0377,-0.0927,-0.0209,5.1000,0.4500,-42.3000,
0.530230,-0.3950,0.1366,0.0459,0.0377,-0.0927,-0.0209,5.1000,0.4500,-42.3000,
0.532448,-0.2906,-0.0126,0.0583,0.0377,-0.0927,-0.0209,5.1000,0.4500,-42.3000,
0.548255,-0.2906,-0.0126,0.0583,0.0377,-0.0927,-0.0209,4.3500,0.3000,-42.0750,
0.554293,-0.2906,-0.0126,0.0583,0.0377,-0.0927,-0.0209,4.3500,0.3000,-42.0750,
0.555898,-0.0249,-0.0387,0.0639,0.0377,-0.0927,-0.0209,4.3500,0.3000,-42.0750,
0.573810,-0.0249,-0.0387,0.0639,0.0377,-0.0927,-0.0209,4.3500,0.3000,-42.0750,
0.576544,-0.1709,0.1418,0.0031,0.0377,-0.0927,-0.0209,4.3500,0.3000,-42.0750,
0.588616,-0.1709,0.1418,0.0031,0.0541,-0.1023,0.0254,4.3500,0.3000,-42.0750,
0.594772,-0.1709,0.1418,0.0031,0.0541,-0.1023,0.0254,4.3500,0.3000,-42.0750,
0.596371,-0.3480,0.2622,0.0389,0.0541,-0.1023,0.0254,4.3500,0.3000,-42.0750,
0.613430,-0.3480,0.2622,0.0389,0.0541,-0.1023,0.0254,4.3500,0.3000,-42.0750,
