
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.084211,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.084676,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.085087,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.109268,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.5000,9.2250,-39.1500,
0.122054,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.5000,9.2250,-39.1500,
0.123453,0.0258,-0.0008,-0.0609,0.0000,0.0000,0.0000,16.5000,9.2250,-39.1500,
0.141674,0.0258,-0.0008,-0.0609,0.0000,0.0000,0.0000,16.5000,9.2250,-39.1500,
0.143253,-0.0023,-0.0012,-0.0070,0.0000,0.0000,0.0000,16.5000,9.2250,-39.1500,
0.145679,-0.0023,-0.0012,-0.0070,-0.0418,-0.1410,0.0234,16.5000,9.2250,-39.1500,
0.161590,-0.0023,-0.0012,-0.0070,-0.0418,-0.1410,0.0234,16.5000,9.2250,-39.1500,
0.163813,-0.0206,0.0435,-0.0284,-0.0418,-0.1410,0.0234,16.5000,9.2250,-39.1500,
0.180564,-0.0206,0.0435,-0.0284,-0.0418,-0.1410,0.0234,15.9750,9.3000,-40.3500,
0.188978,-0.0206,0.0435,-0.0284,-0.0418,-0.1410,0.0234,15.9750,9.3000,-40.3500,
0.191188,0.0160,0.0518,-0.0289,-0.0418,-0.1410,0.0234,15.9750,9.3000,-40.3500,
0.205491,0.0160,0.0518,-0.0289,-0.0418,-0.1410,0.0234,15.9750,9.3000,-40.3500,
0.207417,0.0240,0.0660,-0.0218,-0.0418,-0.1410,0.0234,15.9750,9.3000,-40.3500,
0.223851,0.0240,0.0660,-0.0218,-0.0405,-0.1765,0.0232,15.9750,9.3000,-40.3500,
0.227337,0.0240,0.0660,-0.0218,-0.0405,-0.1765,0.0232,15.9750,9.3000,-40.3500,
0.228785,0.0267,0.0510,0.0195,-0.0405,-0.1765,0.0232,15.9750,9.3000,-40.3500,
0.243875,0.0267,0.0510,0.0195,-0.0405,-0.1765,0.0232,15.9750,9.3000,-40.3500,
0.246268,0.0438,0.0011,0.0443,-0.0405,-0.1765,0.0232,15.9750,9.3000,-40.3500,
0.248170,0.0438,0.0011,0.0443,-0.0405,-0.1765,0.0232,15.3750,10.0500,-40.2000,
0.262706,0.0438,0.0011,0.0443,-0.0405,-0.1765,0.0232,15.3750,10.0500,-40.2000,
0.264683,0.0938,0.0116,0.0139,-0.0405,-0.1765,0.0232,15.3750,10.0500,-40.2000,
0.282757,0.0938,0.0116,0.0139,-0.0405,-0.1765,0.0232,15.3750,10.0500,-40.2000,
0.285688,0.1323,0.0470,-0.0032,-0.0405,-0.1765,0.0232,15.3750,10.0500,-40.2000,
0.288506,0.1323,0.0470,-0.0032,-0.0185,-0.2285,0.0133,15.3750,10.0500,-40.2000,
0.302712,0.1323,0.0470,-0.0032,-0.0185,-0.2285,0.0133,15.3750,10.0500,-40.2000,
0.304589,0.1178,0.0638,-0.0085,-0.0185,-0.2285,0.0133,15.3750,10.0500,-40.2000,
0.311904,0.1178,0.0638,-0.0085,-0.0185,-0.2285,0.0133,14.8500,9.9000,-40.2000,
0.324277,0.1178,0.0638,-0.0085,-0.0185,-0.2285,0.0133,14.8500,9.9000,-40.2000,
0.325167,0.1461,0.0580,0.0113,-0.0185,-0.2285,0.0133,14.8500,9.9000,-40.2000,
0.342081,0.1461,0.0580,0.0113,-0.0185,-0.2285,0.0133,14.8500,9.9000,-40.2000,
0.343217,0.1716,0.0241,0.0271,-0.0185,-0.2285,0.0133,14.8500,9.9000,-40.2000,
0.356607,0.1716,0.0241,0.0271,-0.0075,-0.2492,0.0015,14.8500,9.9000,-40.2000,
0.361624,0.1716,0.0241,0.0271,-0.0075,-0.2492,0.0015,14.8500,9.9000,-40.2000,
0.363094,0.1741,-0.0194,0.0463,-0.0075,-0.2492,0.0015,14.8500,9.9000,-40.2000,
0.381371,0.1741,-0.0194,0.0463,-0.0075,-0.2492,0.0015,14.8500,9.9000,-40.2000,
0.383293,0.2356,-0.0345,0.0349,-0.0075,-0.2492,0.0015,14.8500,9.9000,-40.2000,
0.384924,0.2356,-0.0345,0.0349,-0.0075,-0.2492,0.0015,14.7750,9.4500,-40.1250,
0.402131,0.2356,-0.0345,0.0349,-0.0075,-0.2492,0.0015,14.7750,9.4500,-40.1250,
0.403929,0.2687,0.0045,0.0114,-0.0075,-0.2492,0.0015,14.7750,9.4500,-40.1250,
0.425540,0.2687,0.0045,0.0114,-0.0075,-0.2492,0.0015,14.7750,9.4500,-40.1250,
0.428818,0.1243,0.0632,-0.0481,-0.0075,-0.2492,0.0015,14.7750,9.4500,-40.1250,
0.431797,0.1243,0.0632,-0.0481,-0.0093,-0.2404,0.0063,14.7750,9.4500,-40.1250,
0.443886,0.1243,0.0632,-0.0481,-0.0093,-0.2404,0.0063,14.7750,9.4500,-40.1250,
0.445907,0.1499,0.0759,-0.0572,-0.0093,-0.2404,0.0063,14.7750,9.4500,-40.1250,
0.454368,0.1499,0.0759,-0.0572,-0.0093,-0.2404,0.0063,13.8750,9.3000,-41.2500,
0.463081,0.1499,0.0759,-0.0572,-0.0093,-0.2404,0.0063,13.8750,9.3000,-41.2500,
0.465411,0.1486,0.1148,-0.0377,-0.0093,-0.2404,0.0063,13.8750,9.3000,-41.2500,
0.485625,0.1486,0.1148,-0.0377,-0.0093,-0.2404,0.0063,13.8750,9.3000,-41.2500,
0.488460,0.1556,0.0827,-0.0748,-0.0093,-0.2404,0.0063,13.8750,9.3000,-41.2500,
0.497311,0.1556,0.0827,-0.0748,-0.0176,-0.2309,0.0263,13.8750,9.3000,-41.2500,
0.503317,0.1556,0.0827,-0.0748,-0.0176,-0.2309,0.0263,13.8750,9.3000,-41.2500,
0.504888,0.1853,0.1078,-0.1029,-0.0176,-0.2309,0.0263,13.8750,9.3000,-41.2500,
0.522451,0.1853,0.1078,-0.1029,-0.0176,-0.2309,0.0263,13.8750,9.3000,-41.2500,
0.523595,0.2108,0.1359,-0.0486,-0.0176,-0.2309,0.0263,13.8750,9.3000,-41.2500,
0.524680,0.2108,0.1359,-0.0486,-0.0176,-0.2309,0.0263,12.6000,9.9750,-40.9500,
0.542000,0.2108,0.1359,-0.0486,-0.0176,-0.2309,0.0263,12.6000,9.9750,-40.9500,
0.542972,0.2505,0.1297,-0.0876,-0.0176,-0.2309,0.0263,12.6000,9.9750,-40.9500,
0.561085,0.2505,0.1297,-0.0876,-0.0176,-0.2309,0.0263,12.6000,9.9750,-40.9500,
0.561816,0.2983,0.1126,-0.2072,-0.0176,-0.2309,0.0263,12.6000,9.9750,-40.9500,
0.566313,0.2983,0.1126,-0.2072,-0.0585,-0.2225,0.0651,12.6000,9.9750,-40.9500,
0.581926,0.2983,0.1126,-0.2072,-0.0585,-0.2225,0.0651,12.6000,9.9750,-40.9500,
0.583177,0.3062,0.0633,-0.1728,-0.0585,-0.2225,0.0651,12.6000,9.9750,-40.9500,
0.592712,0.3062,0.0633,-0.1728,-0.0585,-0.2225,0.0651,12.3000,9.9750,-41.7000,
0.605686,0.3062,0.0633,-0.1728,-0.0585,-0.2225,0.0651,12.3000,9.9750,-41.7000,
0.607462,0.1894,-0.0531,-0.0716,-0.0585,-0.2225,0.0651,12.3000,9.9750,-41.7000,
0.622576,0.1894,-0.0531,-0.0716,-0.0585,-0.2225,0.0651,12.3000,9.9750,-41.7000,
0.624388,-0.0548,-0.0666,-0.0803,-0.0585,-0.2225,0.0651,12.3000,9.9750,-41.7000,
0.639312,-0.0548,-0.0666,-0.0803,-0.1139,-0.2750,0.0990,12.3000,9.9750,-41.7000,
0.641683,-0.0548,-0.0666,-0.0803,-0.1139,-0.2750,0.0990,12.3000,9.9750,-41.7000,
0.643600,-0.3954,-0.0409,-0.2267,-0.1139,-0.2750,0.0990,12.3000,9.9750,-41.7000,
0.660222,-0.3954,-0.0409,-0.2267,-0.1139,-0.2750,0.0990,12.3000,9.9750,-41.7000,
0.662332,-0.6612,0.0647,-0.2920,-0.1139,-0.2750,0.0990,12.3000,9.9750,-41.7000,
0.664138,-0.6612,0.0647,-0.2920,-0.1139,-0.2750,0.0990,11.2500,9.9000,-41.0250,
0.675593,-0.6612,0.0647,-0.2920,-0.1139,-0.2750,0.0990,11.2500,9.9000,-41.0250,
0.677742,-0.9108,0.1961,-0.3321,-0.1139,-0.2750,0.0990,11.2500,9.9000,-41.0250,
0.707881,-0.9108,0.1961,-0.3321,-0.1738,-0.3858,0.1429,11.2500,9.9000,-41.0250,
0.709727,-0.9108,0.1961,-0.3321,-0.1738,-0.3858,0.1429,11.2500,9.9000,-41.0250,
0.711098,-1.0342,0.3078,-0.3291,-0.1738,-0.3858,0.1429,11.2500,9.9000,-41.0250,
0.721567,-1.0342,0.3078,-0.3291,-0.1738,-0.3858,0.1429,11.2500,9.9000,-41.0250,
0.723201,-1.0287,0.2606,-0.2511,-0.1738,-0.3858,0.1429,11.2500,9.9000,-41.0250,
0.729045,-1.0287,0.2606,-0.2511,-0.1738,-0.3858,0.1429,10.6500,10.2750,-41.1750,
0.741309,-1.0287,0.2606,-0.2511,-0.1738,-0.3858,0.1429,10.6500,10.2750,-41.1750,
0.742684,-0.9077,0.1633,-0.1995,-0.1738,-0.3858,0.1429,10.6500,10.2750,-41.1750,
0.756853,-0.9077,0.1633,-0.1995,-0.1738,-0.3858,0.1429,10.6500,10.2750,-41.1750,
0.759454,-0.8372,0.1427,-0.1675,-0.1738,-0.3858,0.1429,10.6500,10.2750,-41.1750,
0.771924,-0.8372,0.1427,-0.1675,-0.2613,-0.4326,0.1193,10.6500,10.2750,-41.1750,
0.775170,-0.8372,0.1427,-0.1675,-0.2613,-0.4326,0.1193,10.6500,10.2750,-41.1750,
0.776869,-0.8790,0.1247,-0.0696,-0.2613,-0.4326,0.1193,10.6500,10.2750,-41.1750,
0.796137,-0.8790,0.1247,-0.0696,-0.2613,-0.4326,0.1193,10.6500,10.2750,-41.1750,
0.799007,-0.9251,0.0777,0.0395,-0.2613,-0.4326,0.1193,10.6500,10.2750,-41.1750,
0.801019,-0.9251,0.0777,0.0395,-0.2613,-0.4326,0.1193,9.6750,11.1000,-41.3250,
0.820258,-0.9251,0.0777,0.0395,-0.2613,-0.4326,0.1193,9.6750,11.1000,-41.3250,
0.822894,-0.9616,0.0659,0.1375,-0.2613,-0.4326,0.1193,9.6750,11.1000,-41.3250,
0.839898,-0.9616,0.0659,0.1375,-0.2613,-0.4326,0.1193,9.6750,11.1000,-41.3250,
0.842209,-0.9905,0.0980,0.1562,-0.2613,-0.4326,0.1193,9.6750,11.1000,-41.3250,
0.844556,-0.9905,0.0980,0.1562,-0.1831,-0.3890,0.0012,9.6750,11.1000,-41.3250,
0.859877,-0.9905,0.0980,0.1562,-0.1831,-0.3890,0.0012,9.6750,11.1000,-41.3250,
0.863463,-0.9768,0.3049,0.1186,-0.1831,-0.3890,0.0012,9.6750,11.1000,-41.3250,
0.869543,-0.9768,0.3049,0.1186,-0.1831,-0.3890,0.0012,8.5500,11.5500,-41.4000,
0.874809,-0.9768,0.3049,0.1186,-0.1831,-0.3890,0.0012,8.5500,11.5500,-41.4000,
0.876566,-0.9903,0.4567,0.0358,-0.1831,-0.3890,0.0012,8.5500,11.5500,-41.4000,
0.898738,-0.9903,0.4567,0.0358,-0.1831,-0.3890,0.0012,8.5500,11.5500,-41.4000,
0.901291,-1.0548,0.4950,-0.1419,-0.1831,-0.3890,0.0012,8.5500,11.5500,-41.4000,
0.914188,-1.0548,0.4950,-0.1419,-0.0599,-0.2840,-0.1110,8.5500,11.5500,-41.4000,
0.923160,-1.0548,0.4950,-0.1419,-0.0599,-0.2840,-0.1110,8.5500,11.5500,-41.4000,
0.925776,-1.0404,0.3177,-0.3392,-0.0599,-0.2840,-0.1110,8.5500,11.5500,-41.4000,
0.939310,-1.0404,0.3177,-0.3392,-0.0599,-0.2840,-0.1110,8.5500,11.5500,-41.4000,
0.941960,-0.8178,-0.2226,-0.4627,-0.0599,-0.2840,-0.1110,8.5500,11.5500,-41.4000,
0.944205,-0.8178,-0.2226,-0.4627,-0.0599,-0.2840,-0.1110,6.7500,11.6250,-42.2250,
0.957455,-0.8178,-0.2226,-0.4627,-0.0599,-0.2840,-0.1110,6.7500,11.6250,-42.2250,
0.960402,-0.5934,-0.4376,-0.2732,-0.0599,-0.2840,-0.1110,6.7500,11.6250,-42.2250,
0.974630,-0.5934,-0.4376,-0.2732,-0.0599,-0.2840,-0.1110,6.7500,11.6250,-42.2250,
0.977225,-0.4108,-0.4452,-0.1926,-0.0599,-0.2840,-0.1110,6.7500,11.6250,-42.2250,
0.981448,-0.4108,-0.4452,-0.1926,-0.0614,-0.1843,-0.1762,6.7500,11.6250,-42.2250,
0.997122,-0.4108,-0.4452,-0.1926,-0.0614,-0.1843,-0.1762,6.7500,11.6250,-42.2250,
0.999014,-0.2465,-0.2645,-0.1381,-0.0614,-0.1843,-0.1762,6.7500,11.6250,-42.2250,
1.009843,-0.2465,-0.2645,-0.1381,-0.0614,-0.1843,-0.1762,6.7500,11.2500,-41.3250,
1.016364,-0.2465,-0.2645,-0.1381,-0.0614,-0.1843,-0.1762,6.7500,11.2500,-41.3250,
1.017814,-0.1868,0.1029,-0.1240,-0.0614,-0.1843,-0.1762,6.7500,11.2500,-41.3250,
1.038569,-0.1868,0.1029,-0.1240,-0.0614,-0.1843,-0.1762,6.7500,11.2500,-41.3250,
1.041718,-0.3784,0.3564,0.0954,-0.0614,-0.1843,-0.1762,6.7500,11.2500,-41.3250,
1.056503,-0.3784,0.3564,0.0954,-0.1129,-0.1810,-0.3004,6.7500,11.2500,-41.3250,
1.059276,-0.3784,0.3564,0.0954,-0.1129,-0.1810,-0.3004,6.7500,11.2500,-41.3250,
1.060934,-0.4879,0.4757,0.2708,-0.1129,-0.1810,-0.3004,6.7500,11.2500,-41.3250,
1.075014,-0.4879,0.4757,0.2708,-0.1129,-0.1810,-0.3004,6.7500,11.2500,-41.3250,
1.077572,-0.5787,0.3606,0.3378,-0.1129,-0.1810,-0.3004,6.7500,11.2500,-41.3250,
1.089365,-0.5787,0.3606,0.3378,-0.1129,-0.1810,-0.3004,5.7750,11.8500,-41.5500,
1.098867,-0.5787,0.3606,0.3378,-0.1129,-0.1810,-0.3004,5.7750,11.8500,-41.5500,
