
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.075953,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.076430,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.100651,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-3.4500,27.9750,35.5500,
0.108997,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-3.4500,27.9750,35.5500,
0.110217,-0.0447,-0.0184,0.0418,0.0000,0.0000,0.0000,-3.4500,27.9750,35.5500,
0.133815,-0.0447,-0.0184,0.0418,0.0000,0.0000,0.0000,-3.4500,27.9750,35.5500,
0.137456,-0.0472,0.0004,0.0799,0.0000,0.0000,0.0000,-3.4500,27.9750,35.5500,
0.140170,-0.0472,0.0004,0.0799,0.0021,0.0376,-0.0064,-3.4500,27.9750,35.5500,
0.152208,-0.0472,0.0004,0.0799,0.0021,0.0376,-0.0064,-3.4500,27.9750,35.5500,
0.154984,-0.0699,0.0492,0.0303,0.0021,0.0376,-0.0064,-3.4500,27.9750,35.5500,
0.171713,-0.0699,0.0492,0.0303,0.0021,0.0376,-0.0064,-3.4500,27.9750,35.5500,
0.173747,-0.0918,0.0256,-0.0183,0.0021,0.0376,-0.0064,-3.4500,27.9750,35.5500,
0.175366,-0.0918,0.0256,-0.0183,0.0021,0.0376,-0.0064,-2.1750,28.0500,36.2250,
0.193047,-0.0918,0.0256,-0.0183,0.0021,0.0376,-0.0064,-2.1750,28.0500,36.2250,
0.195456,-0.0678,0.0620,-0.0351,0.0021,0.0376,-0.0064,-2.1750,28.0500,36.2250,
0.208170,-0.0678,0.0620,-0.0351,-0.0038,0.0457,-0.0151,-2.1750,28.0500,36.2250,
0.210675,-0.0678,0.0620,-0.0351,-0.0038,0.0457,-0.0151,-2.1750,28.0500,36.2250,
0.212363,-0.0514,0.0657,0.0398,-0.0038,0.0457,-0.0151,-2.1750,28.0500,36.2250,
0.230318,-0.0514,0.0657,0.0398,-0.0038,0.0457,-0.0151,-2.1750,28.0500,36.2250,
0.232457,-0.0408,0.0242,0.0301,-0.0038,0.0457,-0.0151,-2.1750,28.0500,36.2250,
0.241504,-0.0408,0.0242,0.0301,-0.0038,0.0457,-0.0151,-2.2500,28.0500,36.6000,
0.249869,-0.0408,0.0242,0.0301,-0.0038,0.0457,-0.0151,-2.2500,28.0500,36.6000,
0.252163,-0.0674,0.0685,0.0496,-0.0038,0.0457,-0.0151,-2.2500,28.0500,36.6000,
0.269704,-0.0674,0.0685,0.0496,-0.0038,0.0457,-0.0151,-2.2500,28.0500,36.6000,
0.272698,-0.0840,0.0543,0.0275,-0.0038,0.0457,-0.0151,-2.2500,28.0500,36.6000,
0.278587,-0.0840,0.0543,0.0275,-0.0078,0.0310,-0.0154,-2.2500,28.0500,36.6000,
0.294823,-0.0840,0.0543,0.0275,-0.0078,0.0310,-0.0154,-2.2500,28.0500,36.6000,
0.296857,-0.0741,0.0253,0.0443,-0.0078,0.0310,-0.0154,-2.2500,28.0500,36.6000,
0.310034,-0.0741,0.0253,0.0443,-0.0078,0.0310,-0.0154,-2.2500,28.0500,36.6000,
0.312678,-0.0803,-0.0130,0.0599,-0.0078,0.0310,-0.0154,-2.2500,28.0500,36.6000,
0.314338,-0.0803,-0.0130,0.0599,-0.0078,0.0310,-0.0154,-2.8500,27.9750,37.2000,
0.329720,-0.0803,-0.0130,0.0599,-0.0078,0.0310,-0.0154,-2.8500,27.9750,37.2000,
0.331276,-0.0725,-0.0425,0.0593,-0.0078,0.0310,-0.0154,-2.8500,27.9750,37.2000,
0.342938,-0.0725,-0.0425,0.0593,0.0009,0.0406,-0.0183,-2.8500,27.9750,37.2000,
0.349018,-0.0725,-0.0425,0.0593,0.0009,0.0406,-0.0183,-2.8500,27.9750,37.2000,
0.350591,-0.0323,-0.0463,0.0144,0.0009,0.0406,-0.0183,-2.8500,27.9750,37.2000,
0.363659,-0.0323,-0.0463,0.0144,0.0009,0.0406,-0.0183,-2.8500,27.9750,37.2000,
0.365321,0.0333,0.0050,0.0123,0.0009,0.0406,-0.0183,-2.8500,27.9750,37.2000,
0.381009,0.0333,0.0050,0.0123,0.0009,0.0406,-0.0183,-2.7750,28.1250,36.5250,
0.388773,0.0333,0.0050,0.0123,0.0009,0.0406,-0.0183,-2.7750,28.1250,36.5250,
0.390126,0.0098,0.0566,0.0100,0.0009,0.0406,-0.0183,-2.7750,28.1250,36.5250,
0.408364,0.0098,0.0566,0.0100,0.0009,0.0406,-0.0183,-2.7750,28.1250,36.5250,
0.409778,-0.0789,0.0638,0.1095,0.0009,0.0406,-0.0183,-2.7750,28.1250,36.5250,
0.412621,-0.0789,0.0638,0.1095,-0.0014,0.0389,-0.0128,-2.7750,28.1250,36.5250,
0.432201,-0.0789,0.0638,0.1095,-0.0014,0.0389,-0.0128,-2.7750,28.1250,36.5250,
0.435002,-0.1333,-0.0153,0.1363,-0.0014,0.0389,-0.0128,-2.7750,28.1250,36.5250,
0.450758,-0.1333,-0.0153,0.1363,-0.0014,0.0389,-0.0128,-2.7750,28.1250,36.5250,
