
time,ax,ay,az,wx,wy,wz,
0.040247,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.042768,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.083331,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.084393,-0.0597,-0.0707,-0.0472,0.0000,0.0000,0.0000,
0.103450,-0.0597,-0.0707,-0.0472,0.0000,0.0000,0.0000,
0.104912,-0.1823,-0.0452,-0.1241,0.0000,0.0000,0.0000,
0.107795,-0.1823,-0.0452,-0.1241,0.0197,0.0057,-0.0641,
0.122803,-0.1823,-0.0452,-0.1241,0.0197,0.0057,-0.0641,
0.124202,-0.1823,0.0659,-0.1704,0.0197,0.0057,-0.0641,
0.146702,-0.1823,0.0659,-0.1704,0.0197,0.0057,-0.0641,
0.148509,-0.1407,0.2342,-0.1242,0.0197,0.0057,-0.0641,
0.166183,-0.1407,0.2342,-0.1242,0.0197,0.0057,-0.0641,
0.169014,-0.1528,0.1235,-0.0054,0.0197,0.0057,-0.0641,
0.181416,-0.1528,0.1235,-0.0054,-0.0005,0.0228,-0.0298,
0.186729,-0.1528,0.1235,-0.0054,-0.0005,0.0228,-0.0298,
0.188806,-0.0984,0.0946,-0.0288,-0.0005,0.0228,-0.0298,
0.203245,-0.0984,0.0946,-0.0288,-0.0005,0.0228,-0.0298,
0.206202,-0.2287,0.0829,-0.0509,-0.0005,0.0228,-0.0298,
0.223995,-0.2287,0.0829,-0.0509,-0.0005,0.0228,-0.0298,
0.226640,-0.2745,-0.0394,-0.0256,-0.0005,0.0228,-0.0298,
0.246193,-0.2745,-0.0394,-0.0256,-0.0005,0.0228,-0.0298,
0.249673,-0.1682,-0.0208,-0.1067,-0.0005,0.0228,-0.0298,
0.251600,-0.1682,-0.0208,-0.1067,0.0276,-0.0113,-0.0350,
0.264459,-0.1682,-0.0208,-0.1067,0.0276,-0.0113,-0.0350,
0.267067,-0.1556,0.0631,-0.1807,0.0276,-0.0113,-0.0350,
0.282801,-0.1556,0.0631,-0.1807,0.0276,-0.0113,-0.0350,
0.284396,-0.1908,0.0014,-0.1420,0.0276,-0.0113,-0.0350,
0.302515,-0.1908,0.0014,-0.1420,0.0276,-0.0113,-0.0350,
0.304339,-0.1675,-0.0856,-0.0474,0.0276,-0.0113,-0.0350,
0.317015,-0.1675,-0.0856,-0.0474,-0.0234,-0.0098,-0.0008,
0.323026,-0.1675,-0.0856,-0.0474,-0.0234,-0.0098,-0.0008,
0.324170,-0.1499,-0.0847,-0.0020,-0.0234,-0.0098,-0.0008,
0.342206,-0.1499,-0.0847,-0.0020,-0.0234,-0.0098,-0.0008,
0.343175,-0.1642,-0.0370,-0.0614,-0.0234,-0.0098,-0.0008,
0.361109,-0.1642,-0.0370,-0.0614,-0.0234,-0.0098,-0.0008,
0.361946,-0.1891,0.0245,-0.1806,-0.0234,-0.0098,-0.0008,
0.383107,-0.1891,0.0245,-0.1806,-0.0234,-0.0098,-0.0008,
0.383811,-0.1744,0.0467,-0.2469,-0.0234,-0.0098,-0.0008,
0.385820,-0.1744,0.0467,-0.2469,0.0137,-0.0205,0.0005,
0.400749,-0.1744,0.0467,-0.2469,0.0137,-0.0205,0.0005,
0.401795,-0.1435,0.0128,-0.1593,0.0137,-0.0205,0.0005,
0.420360,-0.1435,0.0128,-0.1593,0.0137,-0.0205,0.0005,
0.423768,-0.1196,-0.0644,-0.1106,0.0137,-0.0205,0.0005,
0.437348,-0.1196,-0.0644,-0.1106,0.0137,-0.0205,0.0005,
0.438404,-0.1295,-0.0504,-0.1603,0.0137,-0.0205,0.0005,
0.454804,-0.1295,-0.0504,-0.1603,-0.0128,0.0049,0.0118,
0.459567,-0.1295,-0.0504,-0.1603,-0.0128,0.0049,0.0118,
0.460135,-0.1323,-0.0205,-0.2530,-0.0128,0.0049,0.0118,
0.479044,-0.1323,-0.0205,-0.2530,-0.0128,0.0049,0.0118,
0.480041,-0.1505,-0.0227,-0.2505,-0.0128,0.0049,0.0118,
0.498695,-0.1505,-0.0227,-0.2505,-0.0128,0.0049,0.0118,
0.500103,-0.1783,-0.0171,-0.1931,-0.0128,0.0049,0.0118,
0.518105,-0.1783,-0.0171,-0.1931,-0.0128,0.0049,0.0118,
0.519120,-0.1482,-0.0421,-0.1453,-0.0128,0.0049,0.0118,
0.522585,-0.1482,-0.0421,-0.1453,-0.0333,0.0279,0.0118,
0.535921,-0.1482,-0.0421,-0.1453,-0.0333,0.0279,0.0118,
0.537399,-0.1444,-0.0512,-0.0882,-0.0333,0.0279,0.0118,
0.556864,-0.1444,-0.0512,-0.0882,-0.0333,0.0279,0.0118,
0.558300,-0.1372,-0.0561,-0.0881,-0.0333,0.0279,0.0118,
0.578025,-0.1372,-0.0561,-0.0881,-0.0333,0.0279,0.0118,
0.582117,-0.1266,-0.0564,-0.1250,-0.0333,0.0279,0.0118,
0.602357,-0.1266,-0.0564,-0.1250,-0.0208,0.0357,0.0119,
0.608577,-0.1266,-0.0564,-0.1250,-0.0208,0.0357,0.0119,
0.612206,-0.1451,-0.0388,-0.1573,-0.0208,0.0357,0.0119,
0.620253,-0.1451,-0.0388,-0.1573,-0.0208,0.0357,0.0119,
0.621845,-0.1493,-0.0373,-0.1480,-0.0208,0.0357,0.0119,
0.635315,-0.1493,-0.0373,-0.1480,-0.0208,0.0357,0.0119,
0.636826,-0.1456,-0.0528,-0.0995,-0.0208,0.0357,0.0119,
0.659411,-0.1456,-0.0528,-0.0995,-0.0208,0.0357,0.0119,
0.661800,-0.1686,-0.0584,-0.0717,-0.0208,0.0357,0.0119,
0.665916,-0.1686,-0.0584,-0.0717,-0.0111,0.0510,0.0136,
0.680539,-0.1686,-0.0584,-0.0717,-0.0111,0.0510,0.0136,
0.682624,-0.1849,-0.0539,-0.1008,-0.0111,0.0510,0.0136,
0.698804,-0.1849,-0.0539,-0.1008,-0.0111,0.0510,0.0136,
0.701143,-0.1809,-0.0264,-0.1426,-0.0111,0.0510,0.0136,
0.717993,-0.1809,-0.0264,-0.1426,-0.0111,0.0510,0.0136,
0.719902,-0.1769,-0.0122,-0.1535,-0.0111,0.0510,0.0136,
0.733432,-0.1769,-0.0122,-0.1535,-0.0116,0.0353,0.0127,
0.736454,-0.1769,-0.0122,-0.1535,-0.0116,0.0353,0.0127,
0.738434,-0.1609,0.0014,-0.1233,-0.0116,0.0353,0.0127,
0.757308,-0.1609,0.0014,-0.1233,-0.0116,0.0353,0.0127,
0.758855,-0.1654,-0.0172,-0.1057,-0.0116,0.0353,0.0127,
0.777307,-0.1654,-0.0172,-0.1057,-0.0116,0.0353,0.0127,
0.782092,-0.1522,-0.0262,-0.1376,-0.0116,0.0353,0.0127,
0.798035,-0.1522,-0.0262,-0.1376,-0.0116,0.0353,0.0127,
0.802262,-0.1552,-0.0418,-0.1039,-0.0116,0.0353,0.0127,
0.804479,-0.1552,-0.0418,-0.1039,-0.0034,0.0264,0.0173,
0.816232,-0.1552,-0.0418,-0.1039,-0.0034,0.0264,0.0173,
0.818707,-0.1498,-0.0692,-0.1213,-0.0034,0.0264,0.0173,
0.835466,-0.1498,-0.0692,-0.1213,-0.0034,0.0264,0.0173,
0.837837,-0.1222,-0.0612,-0.1515,-0.0034,0.0264,0.0173,
0.855177,-0.1222,-0.0612,-0.1515,-0.0034,0.0264,0.0173,
0.858805,-0.0936,-0.0372,-0.1412,-0.0034,0.0264,0.0173,
0.870023,-0.0936,-0.0372,-0.1412,-0.0015,0.0249,0.0200,
0.875897,-0.0936,-0.0372,-0.1412,-0.0015,0.0249,0.0200,
