time,ax,ay,az,wx,wy,wz,Bx,By,Bz
0.03585,0,0,0,0,0,0,0,0,0
0.05585,0.0217,0.03305,0.04985,0,0,0,-4.425,28.2,37.95
0.07585,0.0132,-0.0365,0.0264,0,0,0,-4.425,28.2,37.95
0.09585,-0.0092,0.1083,0.0019,-0.0308,0.0027,-0.0066,-4.425,28.2,37.95
0.11585,0.017,-0.0125,0.0033,-0.0308,0.0027,-0.0066,-4.425,28.2,37.95
0.13585,-0.0255,0.0896,0.0158,-0.0308,0.0027,-0.0066,-4.35,28.05,38.025
0.15585,-0.0223,0.0168,-0.0508,-0.0217,0.0162,-0.0229,-4.35,28.05,38.025
0.17585,0.002,0.0624,-0.06035,-0.0217,0.0162,-0.0229,-4.35,28.05,38.025
0.19585,0.032,0.0785,-0.0216,-0.0217,0.0162,-0.0229,-4.575,27.75,38.25
0.21585,0.0498,0.0909,0.0184,-0.0217,0.0162,-0.0229,-4.575,27.75,38.25
0.23585,0.0157,0.0279,-0.0291,-0.0284,0.0244,-0.0278,-4.575,27.75,38.25
0.25585,-0.0107,-0.0007,-0.0006,-0.0284,0.0244,-0.0278,-4.575,27.75,38.25
0.27585,0.1,-0.0258,0.2887,-0.0284,0.0244,-0.0278,-4.125,28.05,38.325
0.29585,-0.0481,0.0358,-0.1509,-0.0159,0.0577,-0.033,-4.125,28.05,38.325
0.31585,-0.1561,0.08155,0.0621,-0.0159,0.0577,-0.033,-4.125,28.05,38.325
0.33585,-0.0308,0.0284,-0.0032,-0.0159,0.0577,-0.033,-4.275,27.6,38.325
0.35585,0.0759,0.0856,-0.0101,-0.0159,0.0577,-0.033,-4.275,27.6,38.325
0.37585,0.0845,-0.0992,0.2481,0.002,0.0551,-0.0177,-4.275,27.6,38.325
0.39585,0.1671,-0.187,0.18315,0.002,0.0551,-0.0177,-4.275,27.6,38.325
0.41585,0.17175,-0.0721,0.01095,0.002,0.0551,-0.0177,-5.25,27.975,38.175
0.43585,0.0717,0.10265,-0.05075,0.0246,0.0622,-0.0229,-5.25,27.975,38.175
0.45585,0.0315,0.0473,0.0105,0.0246,0.0622,-0.0229,-5.25,27.975,38.175
0.47585,0.0419,0.0106,0.0106,0.0246,0.0622,-0.0229,-5.175,27.6,38.475
0.49585,0.0264,0.0179,0.0718,0.0246,0.0622,-0.0229,-5.175,27.6,38.475
0.51585,0.0447,-0.0539,0.0268,0.0367,0.0669,-0.0308,-5.175,27.6,38.475
0.53585,0.0845,-0.0094,-0.1103,0.0367,0.0669,-0.0308,-5.25,28.05,37.875
0.55585,0.0977,0.1183,-0.1717,0.0367,0.0669,-0.0308,-5.25,28.05,37.875
0.57585,0.0686,0.1275,-0.1216,0.0507,0.06,-0.031,-5.25,28.05,37.875
0.59585,0.02035,0.02385,-0.0116,0.0507,0.06,-0.031,-5.25,28.05,37.875
0.61585,0.02485,-0.0758,0.07965,0.0507,0.06,-0.031,-5.475,28.5,38.625
0.63585,0.0742,-0.0608,0.0532,0.0507,0.06,-0.031,-5.475,28.5,38.625
0.65585,0.0629,0.0831,-0.0242,0.0357,0.0421,-0.0229,-5.475,28.5,38.625
0.67585,0.0825,0.1681,-0.0753,0.0357,0.0421,-0.0229,-5.625,28.275,38.3625
0.69585,0.1024,0.0979,0.0197,0.0357,0.0421,-0.0229,-5.775,28.05,38.1
0.71585,0.0829,0.0701,0.1167,0.033,0.0121,-0.036,-5.775,28.05,38.1
0.73585,0.1025,0.0681,0.013,0.033,0.0121,-0.036,-5.775,28.05,38.1
0.75585,0.1238,0.0416,-0.1011,0.033,0.0121,-0.036,-6.225,28.5,37.275
0.77585,0.0704,0.026,-0.1185,0.033,0.0121,-0.036,-6.225,28.5,37.275
0.79585,0.2034,0.0018,0.1709,0.0313,-0.018,-0.0221,-6.225,28.5,37.275
0.81585,0.1216,0.0546,-0.0696,0.0313,-0.018,-0.0221,-6.3375,28.725,37.9125
0.83585,0.06305,0.14355,0.03005,0.0313,-0.018,-0.0221,-6.45,28.95,38.55
0.85585,0.2022,0.1241,-0.1148,0.0267,-0.0154,-0.0066,-6.45,28.95,38.55
0.87585,0.1125,0.1071,-0.0307,0.0267,-0.0154,-0.0066,-6.45,28.95,38.55
0.89585,0.055,0.023,0.0819,0.0267,-0.0154,-0.0066,-6.075,28.05,37.95
0.91585,0.1148,-0.0175,-0.0859,0.0181,-0.0365,-0.0023,-6.075,28.05,37.95
0.93585,0.1127,0.127,-0.174,0.0095,-0.0576,0.002,-6.075,28.05,37.95
0.95585,0.0849,0.1015,-0.1187,0.0095,-0.0576,0.002,-6.15,27.975,38.4
0.97585,0.1334,0.0332,0.0507,0.0095,-0.0576,0.002,-6.15,27.975,38.4
0.99585,0.1367,0.0065,0.0818,-0.0089,-0.0452,0.015,-6.15,27.975,38.4
1.01585,0.1778,0.05,-0.0589,-0.0089,-0.0452,0.015,-6.15,27.975,38.4
1.03585,0.1566,0.102,-0.1487,-0.0089,-0.0452,0.015,-5.55,28.35,37.125
1.05585,0.1591,0.1065,-0.0955,-0.0104,-0.05015,0.01405,-5.55,28.35,37.125
1.07585,0.1399,0.0724,-0.0596,-0.0119,-0.0551,0.0131,-5.55,28.35,37.125
1.09585,0.0839,0.0521,-0.0545,-0.0119,-0.0551,0.0131,-5.25,28.4625,37.6875
1.11585,0.1018,0.0452,-0.0799,-0.0119,-0.0551,0.0131,-4.95,28.575,38.25
1.13585,0.0699,0.0423,-0.0886,-0.0321,-0.0483,0.0392,-4.95,28.575,38.25
1.15585,0.073,0.0756,-0.0767,-0.0321,-0.0483,0.0392,-4.95,28.575,38.25
1.17585,0.0596,0.1397,0.014,-0.0321,-0.0483,0.0392,-5.775,28.95,37.425
1.19585,0.0938,0.1301,-0.0685,-0.03875,-0.0547,0.05795,-5.775,28.95,37.425
1.21585,0.1143,0.0745,-0.1031,-0.0454,-0.0611,0.0767,-5.775,28.95,37.425
1.23585,0.16905,0.02765,-0.05675,-0.0454,-0.0611,0.0767,-5.775,28.95,37.425
1.25585,0.229,0.0042,0.0444,-0.0454,-0.0611,0.0767,-4.875,28.275,37.5
1.27585,0.2477,-0.0337,0.0407,-0.0367,-0.0643,0.0942,-4.875,28.275,37.5
1.29585,0.1817,-0.0065,0.0191,-0.0367,-0.0643,0.0942,-4.875,28.275,37.5
1.31585,0.2781,0.0151,-0.0353,-0.0367,-0.0643,0.0942,-4.725,28.275,37.875
1.33585,0.1128,0.1825,-0.2511,-0.0211,-0.0545,0.09665,-4.725,28.275,37.875
1.35585,0.0978,0.1827,0.0515,-0.0055,-0.0447,0.0991,-4.725,28.275,37.875
1.37585,0.1885,0.1316,-0.1576,-0.0055,-0.0447,0.0991,-4.65,27.975,37.5
1.39585,0.1495,0.0729,-0.1012,-0.0055,-0.0447,0.0991,-4.65,27.975,37.5
1.41585,0.1783,-0.0317,-0.0085,-0.0127,-0.0906,0.1158,-4.65,27.975,37.5
1.43585,0.2993,-0.01615,-0.2601,-0.0127,-0.0906,0.1158,-4.65,27.975,37.5
1.45585,0.31365,0.08245,-0.34835,-0.0127,-0.0906,0.1158,-4.35,27.15,37.125
1.47585,0.2387,0.1818,-0.2106,-0.01595,-0.10415,0.1193,-4.35,27.15,37.125
1.49585,0.1709,0.1906,-0.1181,-0.0192,-0.1177,0.1228,-4.35,27.15,37.125
1.51585,0.1733,0.1258,-0.2071,-0.0192,-0.1177,0.1228,-4.35,27.2625,37.8
1.53585,0.1991,0.1307,-0.2388,-0.0192,-0.1177,0.1228,-4.35,27.375,38.475
1.55585,0.1506,0.1095,-0.327,-0.0466,-0.1962,0.1478,-4.35,27.375,38.475
1.57585,0.2327,0.0964,-0.2831,-0.0466,-0.1962,0.1478,-4.35,27.375,38.475
1.59585,0.3562,0.0922,-0.1529,-0.0466,-0.1962,0.1478,-3.825,27.375,37.725
1.61585,0.5352,0.153,-0.1901,-0.065,-0.24655,0.16035,-3.825,27.375,37.725
1.63585,0.6469,0.2793,-0.2411,-0.0834,-0.2969,0.1729,-3.825,27.375,37.725
1.65585,0.5578,0.3882,-0.1721,-0.0834,-0.2969,0.1729,-3.15,27.3375,37.725
1.67585,0.48885,0.3686,-0.1032,-0.0834,-0.2969,0.1729,-2.475,27.3,37.725
1.69585,0.5954,0.2436,-0.0538,-0.1058,-0.361,0.192,-2.475,27.3,37.725
1.71585,0.7348,0.29555,-0.01925,-0.1058,-0.361,0.192,-2.475,27.3,37.725
1.73585,0.8525,0.4713,-0.2755,-0.1058,-0.361,0.192,-1.65,26.7,38.025
1.75585,0.8231,0.5957,-0.3027,-0.1148,-0.46,0.1753,-1.65,26.7,38.025
1.77585,0.7728,0.4886,-0.386,-0.1148,-0.46,0.1753,-1.65,26.7,38.025
1.79585,0.8578,0.3307,-0.4074,-0.1148,-0.46,0.1753,-1.65,26.7,38.025
1.81585,0.8685,0.2743,-0.1024,-0.1148,-0.46,0.1753,-0.75,26.1,38.1
1.83585,0.9901,0.3843,-0.0809,-0.1775,-0.5461,0.1692,-0.75,26.1,38.1
1.85585,1.3398,0.6573,-0.6241,-0.1775,-0.5461,0.1692,-0.75,26.1,38.1
