
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.030246,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.055764,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-3.3000,7.2000,36.3000,
0.073825,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-3.3000,7.2000,36.3000,
0.075475,0.0096,-0.0030,0.0295,0.0000,0.0000,0.0000,-3.3000,7.2000,36.3000,
0.101036,0.0096,-0.0030,0.0295,0.0000,0.0000,0.0000,-3.3000,7.2000,36.3000,
0.102636,0.0325,-0.0147,-0.0610,0.0000,0.0000,0.0000,-3.3000,7.2000,36.3000,
0.104045,0.0325,-0.0147,-0.0610,-0.0139,-0.0029,-0.0012,-3.3000,7.2000,36.3000,
0.118818,0.0325,-0.0147,-0.0610,-0.0139,-0.0029,-0.0012,-3.3000,7.2000,36.3000,
0.121512,0.0215,0.0992,-0.0632,-0.0139,-0.0029,-0.0012,-3.3000,7.2000,36.3000,
0.125950,0.0215,0.0992,-0.0632,-0.0139,-0.0029,-0.0012,-3.5250,7.9500,36.4500,
0.136820,0.0215,0.0992,-0.0632,-0.0139,-0.0029,-0.0012,-3.5250,7.9500,36.4500,
0.138827,0.0079,0.1334,0.0032,-0.0139,-0.0029,-0.0012,-3.5250,7.9500,36.4500,
0.155753,0.0079,0.1334,0.0032,-0.0139,-0.0029,-0.0012,-3.5250,7.9500,36.4500,
0.157995,0.0397,0.0983,-0.0296,-0.0139,-0.0029,-0.0012,-3.5250,7.9500,36.4500,
0.169752,0.0397,0.0983,-0.0296,-0.0313,0.0038,0.0049,-3.5250,7.9500,36.4500,
0.174764,0.0397,0.0983,-0.0296,-0.0313,0.0038,0.0049,-3.5250,7.9500,36.4500,
0.176473,0.0291,0.0434,-0.0236,-0.0313,0.0038,0.0049,-3.5250,7.9500,36.4500,
0.194561,0.0291,0.0434,-0.0236,-0.0313,0.0038,0.0049,-3.5250,7.9500,36.4500,
0.196377,0.0113,-0.0072,0.1024,-0.0313,0.0038,0.0049,-3.5250,7.9500,36.4500,
0.197955,0.0113,-0.0072,0.1024,-0.0313,0.0038,0.0049,-3.8250,8.7000,36.7500,
0.214595,0.0113,-0.0072,0.1024,-0.0313,0.0038,0.0049,-3.8250,8.7000,36.7500,
0.217158,0.0330,0.0334,-0.0272,-0.0313,0.0038,0.0049,-3.8250,8.7000,36.7500,
0.237812,0.0330,0.0334,-0.0272,-0.0313,0.0038,0.0049,-3.8250,8.7000,36.7500,
0.239972,-0.0031,0.0709,-0.1088,-0.0313,0.0038,0.0049,-3.8250,8.7000,36.7500,
0.241886,-0.0031,0.0709,-0.1088,-0.0144,0.0060,0.0049,-3.8250,8.7000,36.7500,
0.252830,-0.0031,0.0709,-0.1088,-0.0144,0.0060,0.0049,-3.8250,8.7000,36.7500,
0.255034,0.0735,0.0940,0.1000,-0.0144,0.0060,0.0049,-3.8250,8.7000,36.7500,
0.268527,0.0735,0.0940,0.1000,-0.0144,0.0060,0.0049,-4.8000,7.8750,36.3750,
0.272484,0.0735,0.0940,0.1000,-0.0144,0.0060,0.0049,-4.8000,7.8750,36.3750,
0.273833,0.0052,0.0801,-0.0115,-0.0144,0.0060,0.0049,-4.8000,7.8750,36.3750,
0.292785,0.0052,0.0801,-0.0115,-0.0144,0.0060,0.0049,-4.8000,7.8750,36.3750,
0.293993,-0.0112,0.0529,0.0049,-0.0144,0.0060,0.0049,-4.8000,7.8750,36.3750,
0.306588,-0.0112,0.0529,0.0049,-0.0185,-0.0053,0.0011,-4.8000,7.8750,36.3750,
0.312915,-0.0112,0.0529,0.0049,-0.0185,-0.0053,0.0011,-4.8000,7.8750,36.3750,
0.314233,0.0372,0.0296,0.0066,-0.0185,-0.0053,0.0011,-4.8000,7.8750,36.3750,
0.332528,0.0372,0.0296,0.0066,-0.0185,-0.0053,0.0011,-4.8000,7.8750,36.3750,
0.334021,0.1037,0.0088,0.0447,-0.0185,-0.0053,0.0011,-4.8000,7.8750,36.3750,
0.336221,0.1037,0.0088,0.0447,-0.0185,-0.0053,0.0011,-4.3500,8.1000,36.1500,
0.356071,0.1037,0.0088,0.0447,-0.0185,-0.0053,0.0011,-4.3500,8.1000,36.1500,
0.357337,0.0832,0.0241,-0.0223,-0.0185,-0.0053,0.0011,-4.3500,8.1000,36.1500,
0.376033,0.0832,0.0241,-0.0223,-0.0185,-0.0053,0.0011,-4.3500,8.1000,36.1500,
0.377722,0.0072,0.0606,-0.0344,-0.0185,-0.0053,0.0011,-4.3500,8.1000,36.1500,
0.380691,0.0072,0.0606,-0.0344,-0.0286,0.0061,-0.0012,-4.3500,8.1000,36.1500,
0.396056,0.0072,0.0606,-0.0344,-0.0286,0.0061,-0.0012,-4.3500,8.1000,36.1500,
0.399280,-0.0281,0.0459,0.0421,-0.0286,0.0061,-0.0012,-4.3500,8.1000,36.1500,
0.407844,-0.0281,0.0459,0.0421,-0.0286,0.0061,-0.0012,-4.0500,8.5500,36.3750,
0.416296,-0.0281,0.0459,0.0421,-0.0286,0.0061,-0.0012,-4.0500,8.5500,36.3750,
0.418363,-0.0173,0.0019,0.0383,-0.0286,0.0061,-0.0012,-4.0500,8.5500,36.3750,
0.433776,-0.0173,0.0019,0.0383,-0.0286,0.0061,-0.0012,-4.0500,8.5500,36.3750,
0.436118,0.0060,-0.0167,0.0269,-0.0286,0.0061,-0.0012,-4.0500,8.5500,36.3750,
0.454093,0.0060,-0.0167,0.0269,-0.0110,-0.0017,0.0046,-4.0500,8.5500,36.3750,
0.455991,0.0060,-0.0167,0.0269,-0.0110,-0.0017,0.0046,-4.0500,8.5500,36.3750,
0.457399,0.0232,-0.0171,0.1374,-0.0110,-0.0017,0.0046,-4.0500,8.5500,36.3750,
0.472949,0.0232,-0.0171,0.1374,-0.0110,-0.0017,0.0046,-4.0500,8.5500,36.3750,
0.474833,0.1040,0.0227,0.0244,-0.0110,-0.0017,0.0046,-4.0500,8.5500,36.3750,
0.476055,0.1040,0.0227,0.0244,-0.0110,-0.0017,0.0046,-3.9000,8.1750,36.6000,
