
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.049419,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.066995,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.070288,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.0500,4.3500,-39.7500,
0.088368,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.0500,4.3500,-39.7500,
0.090074,0.0431,0.1239,0.1154,0.0000,0.0000,0.0000,16.0500,4.3500,-39.7500,
0.107681,0.0431,0.1239,0.1154,0.0000,0.0000,0.0000,16.0500,4.3500,-39.7500,
0.109251,0.1229,0.1262,0.1026,0.0000,0.0000,0.0000,16.0500,4.3500,-39.7500,
0.113888,0.1229,0.1262,0.1026,0.0037,-0.0221,-0.0041,16.0500,4.3500,-39.7500,
0.130350,0.1229,0.1262,0.1026,0.0037,-0.0221,-0.0041,16.0500,4.3500,-39.7500,
0.133263,0.0488,0.1182,0.1523,0.0037,-0.0221,-0.0041,16.0500,4.3500,-39.7500,
0.137741,0.0488,0.1182,0.1523,0.0037,-0.0221,-0.0041,15.2250,4.6500,-40.2000,
0.148829,0.0488,0.1182,0.1523,0.0037,-0.0221,-0.0041,15.2250,4.6500,-40.2000,
0.150889,0.0188,0.0125,0.1729,0.0037,-0.0221,-0.0041,15.2250,4.6500,-40.2000,
0.165257,0.0188,0.0125,0.1729,0.0037,-0.0221,-0.0041,15.2250,4.6500,-40.2000,
0.167618,-0.0937,-0.0200,0.0709,0.0037,-0.0221,-0.0041,15.2250,4.6500,-40.2000,
0.182449,-0.0937,-0.0200,0.0709,0.0086,-0.0194,-0.0131,15.2250,4.6500,-40.2000,
0.186284,-0.0937,-0.0200,0.0709,0.0086,-0.0194,-0.0131,15.2250,4.6500,-40.2000,
0.188224,-0.2423,0.0138,0.1431,0.0086,-0.0194,-0.0131,15.2250,4.6500,-40.2000,
0.204313,-0.2423,0.0138,0.1431,0.0086,-0.0194,-0.0131,15.2250,4.6500,-40.2000,
0.206730,-0.0673,-0.0446,0.1185,0.0086,-0.0194,-0.0131,15.2250,4.6500,-40.2000,
0.208530,-0.0673,-0.0446,0.1185,0.0086,-0.0194,-0.0131,14.4750,4.8000,-40.0500,
0.223607,-0.0673,-0.0446,0.1185,0.0086,-0.0194,-0.0131,14.4750,4.8000,-40.0500,
0.226538,-0.0722,0.0709,0.0338,0.0086,-0.0194,-0.0131,14.4750,4.8000,-40.0500,
0.243678,-0.0722,0.0709,0.0338,0.0086,-0.0194,-0.0131,14.4750,4.8000,-40.0500,
0.246302,-0.0674,0.1916,0.1275,0.0086,-0.0194,-0.0131,14.4750,4.8000,-40.0500,
0.247933,-0.0674,0.1916,0.1275,0.0113,-0.0185,0.0099,14.4750,4.8000,-40.0500,
0.265896,-0.0674,0.1916,0.1275,0.0113,-0.0185,0.0099,14.4750,4.8000,-40.0500,
0.267822,-0.1062,0.2176,0.1597,0.0113,-0.0185,0.0099,14.4750,4.8000,-40.0500,
0.279244,-0.1062,0.2176,0.1597,0.0113,-0.0185,0.0099,14.5500,5.0250,-40.2000,
0.281641,-0.1062,0.2176,0.1597,0.0113,-0.0185,0.0099,14.5500,5.0250,-40.2000,
0.283134,-0.1758,0.1926,0.1808,0.0113,-0.0185,0.0099,14.5500,5.0250,-40.2000,
0.302284,-0.1758,0.1926,0.1808,0.0113,-0.0185,0.0099,14.5500,5.0250,-40.2000,
0.304968,-0.2683,0.1426,0.2019,0.0113,-0.0185,0.0099,14.5500,5.0250,-40.2000,
0.316988,-0.2683,0.1426,0.2019,0.0281,-0.0101,0.0339,14.5500,5.0250,-40.2000,
0.322585,-0.2683,0.1426,0.2019,0.0281,-0.0101,0.0339,14.5500,5.0250,-40.2000,
0.324042,-0.3590,0.0764,0.2479,0.0281,-0.0101,0.0339,14.5500,5.0250,-40.2000,
0.338445,-0.3590,0.0764,0.2479,0.0281,-0.0101,0.0339,14.5500,5.0250,-40.2000,
0.340125,-0.4690,0.0315,0.2990,0.0281,-0.0101,0.0339,14.5500,5.0250,-40.2000,
0.348388,-0.4690,0.0315,0.2990,0.0281,-0.0101,0.0339,15.1500,4.5000,-40.5750,
0.364660,-0.4690,0.0315,0.2990,0.0281,-0.0101,0.0339,15.1500,4.5000,-40.5750,
0.366299,-0.4694,-0.0225,0.4927,0.0281,-0.0101,0.0339,15.1500,4.5000,-40.5750,
0.382681,-0.4694,-0.0225,0.4927,0.0281,-0.0101,0.0339,15.1500,4.5000,-40.5750,
0.384460,-0.4212,-0.0646,0.6482,0.0281,-0.0101,0.0339,15.1500,4.5000,-40.5750,
0.386282,-0.4212,-0.0646,0.6482,0.1122,0.0550,0.0712,15.1500,4.5000,-40.5750,
0.400367,-0.4212,-0.0646,0.6482,0.1122,0.0550,0.0712,15.1500,4.5000,-40.5750,
0.403062,-0.3427,-0.0732,0.6998,0.1122,0.0550,0.0712,15.1500,4.5000,-40.5750,
0.418240,-0.3427,-0.0732,0.6998,0.1122,0.0550,0.0712,15.1500,4.5000,-40.5750,
0.420690,-0.3453,-0.0109,0.4472,0.1122,0.0550,0.0712,15.1500,4.5000,-40.5750,
0.422593,-0.3453,-0.0109,0.4472,0.1122,0.0550,0.0712,15.6750,3.8250,-40.5750,
0.445692,-0.3453,-0.0109,0.4472,0.1122,0.0550,0.0712,15.6750,3.8250,-40.5750,
0.450080,-0.2980,0.1613,0.0055,0.1122,0.0550,0.0712,15.6750,3.8250,-40.5750,
0.458351,-0.2980,0.1613,0.0055,0.2439,0.0429,0.0406,15.6750,3.8250,-40.5750,
0.467128,-0.2980,0.1613,0.0055,0.2439,0.0429,0.0406,15.6750,3.8250,-40.5750,
0.469137,-0.4208,0.1828,0.0501,0.2439,0.0429,0.0406,15.6750,3.8250,-40.5750,
0.483144,-0.4208,0.1828,0.0501,0.2439,0.0429,0.0406,15.6750,3.8250,-40.5750,
0.485810,-0.4945,0.0873,0.2516,0.2439,0.0429,0.0406,15.6750,3.8250,-40.5750,
0.487749,-0.4945,0.0873,0.2516,0.2439,0.0429,0.0406,15.7500,3.4500,-40.3500,
0.502395,-0.4945,0.0873,0.2516,0.2439,0.0429,0.0406,15.7500,3.4500,-40.3500,
0.505261,-0.4288,-0.0451,0.3794,0.2439,0.0429,0.0406,15.7500,3.4500,-40.3500,
0.522175,-0.4288,-0.0451,0.3794,0.2439,0.0429,0.0406,15.7500,3.4500,-40.3500,
0.524936,-0.3158,-0.0674,0.1920,0.2439,0.0429,0.0406,15.7500,3.4500,-40.3500,
0.527008,-0.3158,-0.0674,0.1920,0.2085,-0.0553,0.0053,15.7500,3.4500,-40.3500,
0.537531,-0.3158,-0.0674,0.1920,0.2085,-0.0553,0.0053,15.7500,3.4500,-40.3500,
0.539612,-0.1331,-0.0197,-0.0981,0.2085,-0.0553,0.0053,15.7500,3.4500,-40.3500,
0.557604,-0.1331,-0.0197,-0.0981,0.2085,-0.0553,0.0053,15.7500,3.4500,-40.3500,
0.559813,-0.0369,0.0933,-0.2084,0.2085,-0.0553,0.0053,15.7500,3.4500,-40.3500,
0.561981,-0.0369,0.0933,-0.2084,0.2085,-0.0553,0.0053,15.3750,2.6250,-40.2750,
0.580482,-0.0369,0.0933,-0.2084,0.2085,-0.0553,0.0053,15.3750,2.6250,-40.2750,
0.583020,-0.0059,0.2204,-0.2826,0.2085,-0.0553,0.0053,15.3750,2.6250,-40.2750,
0.596979,-0.0059,0.2204,-0.2826,0.1351,-0.0832,-0.0412,15.3750,2.6250,-40.2750,
0.602179,-0.0059,0.2204,-0.2826,0.1351,-0.0832,-0.0412,15.3750,2.6250,-40.2750,
0.603778,0.0767,0.2783,-0.2900,0.1351,-0.0832,-0.0412,15.3750,2.6250,-40.2750,
0.621955,0.0767,0.2783,-0.2900,0.1351,-0.0832,-0.0412,15.3750,2.6250,-40.2750,
0.623529,0.0988,0.2529,-0.1840,0.1351,-0.0832,-0.0412,15.3750,2.6250,-40.2750,
0.625065,0.0988,0.2529,-0.1840,0.1351,-0.0832,-0.0412,15.4500,2.1750,-40.0500,
0.638234,0.0988,0.2529,-0.1840,0.1351,-0.0832,-0.0412,15.4500,2.1750,-40.0500,
0.639928,0.1348,0.1990,-0.0867,0.1351,-0.0832,-0.0412,15.4500,2.1750,-40.0500,
0.659516,0.1348,0.1990,-0.0867,0.1351,-0.0832,-0.0412,15.4500,2.1750,-40.0500,
0.661279,0.1390,0.1870,-0.0876,0.1351,-0.0832,-0.0412,15.4500,2.1750,-40.0500,
0.665248,0.1390,0.1870,-0.0876,0.0466,-0.0002,-0.0997,15.4500,2.1750,-40.0500,
0.684250,0.1390,0.1870,-0.0876,0.0466,-0.0002,-0.0997,15.4500,2.1750,-40.0500,
0.686044,0.2035,0.1676,-0.1667,0.0466,-0.0002,-0.0997,15.4500,2.1750,-40.0500,
0.693974,0.2035,0.1676,-0.1667,0.0466,-0.0002,-0.0997,15.0750,2.6250,-40.5750,
0.704792,0.2035,0.1676,-0.1667,0.0466,-0.0002,-0.0997,15.0750,2.6250,-40.5750,
0.706424,0.0560,0.2421,-0.2607,0.0466,-0.0002,-0.0997,15.0750,2.6250,-40.5750,
0.722712,0.0560,0.2421,-0.2607,0.0466,-0.0002,-0.0997,15.0750,2.6250,-40.5750,
0.725407,-0.2529,0.2119,-0.0506,0.0466,-0.0002,-0.0997,15.0750,2.6250,-40.5750,
0.737383,-0.2529,0.2119,-0.0506,0.0159,0.0550,-0.1860,15.0750,2.6250,-40.5750,
0.739949,-0.2529,0.2119,-0.0506,0.0159,0.0550,-0.1860,15.0750,2.6250,-40.5750,
0.741645,-0.1773,0.0874,-0.0640,0.0159,0.0550,-0.1860,15.0750,2.6250,-40.5750,
0.764711,-0.1773,0.0874,-0.0640,0.0159,0.0550,-0.1860,15.0750,2.6250,-40.5750,
0.767991,-0.1092,0.1073,-0.1811,0.0159,0.0550,-0.1860,15.0750,2.6250,-40.5750,
0.770217,-0.1092,0.1073,-0.1811,0.0159,0.0550,-0.1860,15.3000,2.0250,-40.3500,
0.782153,-0.1092,0.1073,-0.1811,0.0159,0.0550,-0.1860,15.3000,2.0250,-40.3500,
0.784316,-0.0565,0.0873,0.0551,0.0159,0.0550,-0.1860,15.3000,2.0250,-40.3500,
0.801156,-0.0565,0.0873,0.0551,0.0159,0.0550,-0.1860,15.3000,2.0250,-40.3500,
0.805675,-0.1300,0.0048,0.2509,0.0159,0.0550,-0.1860,15.3000,2.0250,-40.3500,
0.807660,-0.1300,0.0048,0.2509,0.0053,0.1061,-0.2217,15.3000,2.0250,-40.3500,
0.820556,-0.1300,0.0048,0.2509,0.0053,0.1061,-0.2217,15.3000,2.0250,-40.3500,
