
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.048344,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.072666,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.073981,0.0254,0.0553,-0.0623,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.075268,0.0254,0.0553,-0.0623,0.0000,0.0000,0.0000,16.6500,8.3250,-38.5500,
0.092521,0.0254,0.0553,-0.0623,0.0000,0.0000,0.0000,16.6500,8.3250,-38.5500,
0.093941,-0.0074,0.0253,-0.0522,0.0000,0.0000,0.0000,16.6500,8.3250,-38.5500,
0.111983,-0.0074,0.0253,-0.0522,0.0000,0.0000,0.0000,16.6500,8.3250,-38.5500,
0.115199,-0.0418,0.0278,-0.0040,0.0000,0.0000,0.0000,16.6500,8.3250,-38.5500,
0.118659,-0.0418,0.0278,-0.0040,0.0192,0.0053,-0.0159,16.6500,8.3250,-38.5500,
0.131523,-0.0418,0.0278,-0.0040,0.0192,0.0053,-0.0159,16.6500,8.3250,-38.5500,
0.133591,0.0115,0.0624,0.0288,0.0192,0.0053,-0.0159,16.6500,8.3250,-38.5500,
0.142987,0.0115,0.0624,0.0288,0.0192,0.0053,-0.0159,17.1000,9.2250,-37.9500,
0.150445,0.0115,0.0624,0.0288,0.0192,0.0053,-0.0159,17.1000,9.2250,-37.9500,
0.152182,-0.0178,0.0498,-0.0945,0.0192,0.0053,-0.0159,17.1000,9.2250,-37.9500,
0.170133,-0.0178,0.0498,-0.0945,0.0192,0.0053,-0.0159,17.1000,9.2250,-37.9500,
0.172293,-0.0706,0.0380,-0.0385,0.0192,0.0053,-0.0159,17.1000,9.2250,-37.9500,
0.185289,-0.0706,0.0380,-0.0385,0.0183,-0.0055,-0.0116,17.1000,9.2250,-37.9500,
0.193686,-0.0706,0.0380,-0.0385,0.0183,-0.0055,-0.0116,17.1000,9.2250,-37.9500,
0.194999,-0.0087,0.0075,0.0030,0.0183,-0.0055,-0.0116,17.1000,9.2250,-37.9500,
0.211610,-0.0087,0.0075,0.0030,0.0183,-0.0055,-0.0116,17.1000,9.2250,-37.9500,
0.213058,0.0088,0.0303,-0.0087,0.0183,-0.0055,-0.0116,17.1000,9.2250,-37.9500,
0.214606,0.0088,0.0303,-0.0087,0.0183,-0.0055,-0.0116,16.6500,9.7500,-36.9000,
0.230027,0.0088,0.0303,-0.0087,0.0183,-0.0055,-0.0116,16.6500,9.7500,-36.9000,
0.231662,-0.0057,-0.0113,0.0663,0.0183,-0.0055,-0.0116,16.6500,9.7500,-36.9000,
0.248658,-0.0057,-0.0113,0.0663,0.0183,-0.0055,-0.0116,16.6500,9.7500,-36.9000,
0.250167,-0.0494,-0.0018,0.0981,0.0183,-0.0055,-0.0116,16.6500,9.7500,-36.9000,
0.253095,-0.0494,-0.0018,0.0981,0.0205,0.0011,-0.0240,16.6500,9.7500,-36.9000,
0.269075,-0.0494,-0.0018,0.0981,0.0205,0.0011,-0.0240,16.6500,9.7500,-36.9000,
0.270795,-0.0720,-0.0070,0.0031,0.0205,0.0011,-0.0240,16.6500,9.7500,-36.9000,
0.283984,-0.0720,-0.0070,0.0031,0.0205,0.0011,-0.0240,16.9500,9.3750,-36.7500,
0.285790,-0.0720,-0.0070,0.0031,0.0205,0.0011,-0.0240,16.9500,9.3750,-36.7500,
0.287114,-0.0699,-0.0208,-0.0673,0.0205,0.0011,-0.0240,16.9500,9.3750,-36.7500,
0.308767,-0.0699,-0.0208,-0.0673,0.0205,0.0011,-0.0240,16.9500,9.3750,-36.7500,
0.312364,-0.0646,0.0705,-0.0053,0.0205,0.0011,-0.0240,16.9500,9.3750,-36.7500,
0.325514,-0.0646,0.0705,-0.0053,0.0174,-0.0148,-0.0296,16.9500,9.3750,-36.7500,
0.328091,-0.0646,0.0705,-0.0053,0.0174,-0.0148,-0.0296,16.9500,9.3750,-36.7500,
0.329393,-0.0582,0.1613,-0.0084,0.0174,-0.0148,-0.0296,16.9500,9.3750,-36.7500,
0.341619,-0.0582,0.1613,-0.0084,0.0174,-0.0148,-0.0296,16.9500,9.3750,-36.7500,
0.343535,-0.0773,0.0716,0.0301,0.0174,-0.0148,-0.0296,16.9500,9.3750,-36.7500,
0.357010,-0.0773,0.0716,0.0301,0.0174,-0.0148,-0.0296,16.8000,9.3000,-37.3500,
0.365352,-0.0773,0.0716,0.0301,0.0174,-0.0148,-0.0296,16.8000,9.3000,-37.3500,
0.366863,-0.0800,-0.0078,0.0711,0.0174,-0.0148,-0.0296,16.8000,9.3000,-37.3500,
0.386044,-0.0800,-0.0078,0.0711,0.0174,-0.0148,-0.0296,16.8000,9.3000,-37.3500,
0.387617,-0.0718,0.0248,0.0585,0.0174,-0.0148,-0.0296,16.8000,9.3000,-37.3500,
0.393481,-0.0718,0.0248,0.0585,0.0142,-0.0092,0.0050,16.8000,9.3000,-37.3500,
0.406094,-0.0718,0.0248,0.0585,0.0142,-0.0092,0.0050,16.8000,9.3000,-37.3500,
0.407653,-0.1101,0.0136,-0.0111,0.0142,-0.0092,0.0050,16.8000,9.3000,-37.3500,
0.429742,-0.1101,0.0136,-0.0111,0.0142,-0.0092,0.0050,16.6500,9.2250,-37.6500,
0.434550,-0.1101,0.0136,-0.0111,0.0142,-0.0092,0.0050,16.6500,9.2250,-37.6500,
0.438539,-0.1144,0.0692,-0.0462,0.0142,-0.0092,0.0050,16.6500,9.2250,-37.6500,
0.441738,-0.1144,0.0692,-0.0462,0.0142,-0.0092,0.0050,16.6500,9.2250,-37.6500,
0.444289,0.0404,0.0714,-0.0189,0.0142,-0.0092,0.0050,16.6500,9.2250,-37.6500,
0.463473,0.0404,0.0714,-0.0189,0.0031,-0.0263,0.0005,16.6500,9.2250,-37.6500,
0.468111,0.0404,0.0714,-0.0189,0.0031,-0.0263,0.0005,16.6500,9.2250,-37.6500,
0.469433,-0.0453,0.0657,0.0767,0.0031,-0.0263,0.0005,16.6500,9.2250,-37.6500,
0.488669,-0.0453,0.0657,0.0767,0.0031,-0.0263,0.0005,16.6500,9.2250,-37.6500,
0.490979,-0.1782,0.0302,0.1684,0.0031,-0.0263,0.0005,16.6500,9.2250,-37.6500,
0.493080,-0.1782,0.0302,0.1684,0.0031,-0.0263,0.0005,16.9500,9.3000,-37.3500,
0.508879,-0.1782,0.0302,0.1684,0.0031,-0.0263,0.0005,16.9500,9.3000,-37.3500,
0.511325,-0.0037,0.0810,-0.1320,0.0031,-0.0263,0.0005,16.9500,9.3000,-37.3500,
0.527736,-0.0037,0.0810,-0.1320,0.0031,-0.0263,0.0005,16.9500,9.3000,-37.3500,
0.529133,0.0025,0.1302,-0.0736,0.0031,-0.0263,0.0005,16.9500,9.3000,-37.3500,
0.531420,0.0025,0.1302,-0.0736,-0.0040,-0.0249,0.0020,16.9500,9.3000,-37.3500,
0.542311,0.0025,0.1302,-0.0736,-0.0040,-0.0249,0.0020,16.9500,9.3000,-37.3500,
0.543879,-0.0844,0.0545,0.1034,-0.0040,-0.0249,0.0020,16.9500,9.3000,-37.3500,
0.563827,-0.0844,0.0545,0.1034,-0.0040,-0.0249,0.0020,16.9500,9.3000,-37.3500,
0.565268,-0.0450,-0.0351,0.1139,-0.0040,-0.0249,0.0020,16.9500,9.3000,-37.3500,
0.566866,-0.0450,-0.0351,0.1139,-0.0040,-0.0249,0.0020,16.3500,9.0000,-37.5750,
0.588884,-0.0450,-0.0351,0.1139,-0.0040,-0.0249,0.0020,16.3500,9.0000,-37.5750,
0.593284,-0.0079,-0.0179,0.0441,-0.0040,-0.0249,0.0020,16.3500,9.0000,-37.5750,
0.600204,-0.0079,-0.0179,0.0441,-0.0208,-0.0325,-0.0072,16.3500,9.0000,-37.5750,
0.605552,-0.0079,-0.0179,0.0441,-0.0208,-0.0325,-0.0072,16.3500,9.0000,-37.5750,
0.607497,-0.0339,0.0573,-0.0566,-0.0208,-0.0325,-0.0072,16.3500,9.0000,-37.5750,
