time,ax,ay,az,wx,wy,wz,Bx,By,Bz
0.03376,0,0,0,0,0,0,0,0,0
0.05376,-0.0213,0.1136,-0.038,0,0,0,-2.325,22.275,38.775
0.07376,-0.0086,0.0832,-0.0151,0,0,0,-2.325,22.275,38.775
0.09376,-0.0029,0.0678,0.015,-0.0356,0.0426,-0.0241,-2.325,22.275,38.775
0.11376,0.0103,0.0477,0.0057,-0.0356,0.0426,-0.0241,-2.325,22.275,38.775
0.13376,0.0101,0.0185,0.0373,-0.0356,0.0426,-0.0241,-2.85,21.975,39.15
0.15376,-0.0515,-0.0088,0.0953,-0.0394,0.0527,-0.0089,-2.85,21.975,39.15
0.17376,-0.0791,0.0396,0.0491,-0.0394,0.0527,-0.0089,-2.85,21.975,39.15
0.19376,-0.0518,0.0305,-0.0738,-0.0394,0.0527,-0.0089,-4.575,20.85,39.75
0.21376,-0.0177,0.0385,-0.0302,-0.0394,0.0527,-0.0089,-4.575,20.85,39.75
0.23376,0.0047,0.0296,0.0149,-0.0171,0.0423,-0.0038,-4.575,20.85,39.75
0.25376,-0.0841,-0.0053,0.1374,-0.0171,0.0423,-0.0038,-4.575,20.85,39.75
0.27376,0.02525,-0.02865,-0.0647,-0.0171,0.0423,-0.0038,-4.125,20.775,39.75
0.29376,0.0871,0.0646,-0.2965,-0.0269,0.0571,0.0031,-4.125,20.775,39.75
0.31376,-0.2743,0.0756,0.2968,-0.0269,0.0571,0.0031,-4.125,20.775,39.75
0.33376,-0.0529,0.2718,-0.6161,-0.0269,0.0571,0.0031,-4.575,20.85,39.075
0.35376,-0.0261,-0.046,0.6081,-0.0636,0.0272,0.0023,-4.575,20.85,39.075
0.37376,0.0339,-0.1268,0.4052,-0.1003,-0.0027,0.0015,-4.575,20.85,39.075
0.39376,0.0043,0.0774,-0.1585,-0.1003,-0.0027,0.0015,-4.575,20.85,39.075
0.41376,0.0054,0.0523,0.0665,-0.1003,-0.0027,0.0015,-4.65,20.175,39.45
0.43376,-0.0392,0.0642,0.02,-0.0009,-0.0099,0.009,-4.65,20.175,39.45
0.45376,-0.0671,0.0657,-0.0055,-0.0009,-0.0099,0.009,-4.65,20.175,39.45
0.47376,-0.0432,0.0059,0.065,-0.0009,-0.0099,0.009,-4.35,19.875,39.45
0.49376,-0.0534,-0.0131,0.2118,-0.0009,-0.0099,0.009,-4.35,19.875,39.45
0.51376,-0.0654,0.0553,-0.0785,0.0043,0.0055,0.007,-4.35,19.875,39.45
0.53376,-0.043,0.00655,0.038,0.0043,0.0055,0.007,-4.35,19.875,39.45
0.55376,0.00755,-0.0289,0.09325,0.0043,0.0055,0.007,-4.725,20.25,39.975
0.57376,-0.0215,0.0267,0.1045,0.0072,-0.007,0.009,-4.725,20.25,39.975
0.59376,-0.0447,0.0374,0.057,0.0072,-0.007,0.009,-4.725,20.25,39.975
0.61376,-0.0518,0.0037,0.0414,0.0072,-0.007,0.009,-4.05,20.55,39.675
0.63376,-0.05055,0.0514,0.0377,0.0072,-0.007,0.009,-4.05,20.55,39.675
0.65376,-0.0255,0.0176,-0.0384,0.0116,0.0111,0.0171,-4.05,20.55,39.675
0.67376,0.0392,-0.0374,0.0203,0.0116,0.0111,0.0171,-4.05,20.55,39.675
0.69376,-0.0084,0.0428,0.115,0.0116,0.0111,0.0171,-3.825,20.85,39.75
0.71376,-0.06255,0.0394,0.05415,0.0133,0.0029,0.0237,-3.825,20.85,39.75
0.73376,-0.095,0.0297,-0.0055,0.0133,0.0029,0.0237,-3.825,20.85,39.75
0.75376,-0.0741,0.0587,-0.01,0.0133,0.0029,0.0237,-3.75,20.85,39.675
0.77376,0.0459,0.0923,0.00915,0.0133,0.0029,0.0237,-3.75,20.85,39.675
0.79376,0.1331,0.099,0.002,0.016,-0.0339,0.0353,-3.75,20.85,39.675
0.81376,0.0201,0.0866,0.0677,0.016,-0.0339,0.0353,-4.125,20.85,39.675
0.83376,0.1158,0.0581,-0.0321,0.016,-0.0339,0.0353,-4.125,20.85,39.675
0.85376,0.2006,0.0711,-0.2511,-0.007,-0.0368,0.0287,-4.125,20.85,39.675
0.87376,0.0439,0.0849,0.1971,-0.007,-0.0368,0.0287,-4.125,20.85,39.675
0.89376,0.2741,0.1009,-0.0753,-0.007,-0.0368,0.0287,-3.075,21.375,39.525
0.91376,0.238,0.0596,0.1052,-0.007,-0.0368,0.0287,-3.075,21.375,39.525
0.93376,0.1465,0.05235,0.09095,0.0076,-0.0467,0.0176,-3.075,21.375,39.525
0.95376,0.1017,-0.0146,-0.00235,0.0076,-0.0467,0.0176,-3.075,21.375,39.525
0.97376,0.1333,0.082,-0.0302,0.0076,-0.0467,0.0176,-4.05,20.55,39.75
0.99376,0.06535,0.09075,-0.05205,0.011,-0.0177,-0.0047,-4.05,20.55,39.75
1.01376,-0.03385,0.10865,0.01055,0.011,-0.0177,-0.0047,-4.05,20.55,39.75
1.03376,-0.1092,0.0415,-0.1177,0.011,-0.0177,-0.0047,-3.525,20.55,39.825
1.05376,-0.0153,-0.0267,0.0749,0.0106,-0.00185,-0.00425,-3.525,20.55,39.825
1.07376,0.0077,0.0177,-0.0284,0.0102,0.014,-0.0038,-3.525,20.55,39.825
1.09376,-0.0201,0.0199,0.0301,0.0102,0.014,-0.0038,-3.4875,20.5125,39.7875
1.11376,-0.0908,0.0367,-0.0096,0.0102,0.014,-0.0038,-3.45,20.475,39.75
1.13376,-0.1366,0.1088,-0.0238,0.0108,-0.0032,0.0082,-3.45,20.475,39.75
1.15376,-0.1049,0.0497,-0.038,0.0108,-0.0032,0.0082,-3.45,20.475,39.75
1.17376,-0.1661,-0.039,0.0038,0.0108,-0.0032,0.0082,-3.45,20.85,40.125
1.19376,-0.2304,-0.0416,0.0493,0.0108,-0.0032,0.0082,-3.45,20.85,40.125
1.21376,-0.2369,0.003,0.0388,-0.0037,-0.0134,0.0301,-3.45,20.85,40.125
1.23376,-0.1064,0.0381,-0.0595,-0.0037,-0.0134,0.0301,-4.125,20.625,39.825
1.25376,-0.0032,-0.0031,-0.0569,-0.0037,-0.0134,0.0301,-4.125,20.625,39.825
1.27376,0.0361,0.0412,-0.0309,0.006,-0.0247,0.0484,-4.125,20.625,39.825
1.29376,0.1087,0.0494,-0.0798,0.006,-0.0247,0.0484,-4.125,20.625,39.825
1.31376,0.05365,0.01015,-0.1118,0.006,-0.0247,0.0484,-3.675,20.925,39.45
1.33376,-0.0375,0.0234,-0.0327,0.006,-0.0247,0.0484,-3.675,20.925,39.45
1.35376,-0.0981,0.0336,0.013,-0.0122,0.0095,0.0217,-3.675,20.925,39.45
1.37376,-0.1721,0.0258,-0.0439,-0.0122,0.0095,0.0217,-3.825,20.475,39.75
1.39376,-0.0267,0.00695,-0.13,-0.0122,0.0095,0.0217,-3.825,20.475,39.75
1.41376,-0.0871,-0.0211,-0.1351,-0.0301,0.0423,0.0119,-3.825,20.475,39.75
1.43376,-0.13345,-0.00145,0.16455,-0.0301,0.0423,0.0119,-3.825,20.475,39.75
1.45376,0.0554,0.0884,-0.1885,-0.0301,0.0423,0.0119,-3.75,21.15,39.825
1.47376,0.107,0.09115,-0.0522,-0.0115,0.0105,0.0212,-3.75,21.15,39.825
1.49376,0.0524,0.0412,0.0155,-0.0115,0.0105,0.0212,-3.75,21.15,39.825
1.51376,0.0311,0.0282,-0.058,-0.0115,0.0105,0.0212,-3.975,20.625,39.15
1.53376,0.0457,0.0381,-0.0985,-0.0115,0.0105,0.0212,-3.975,20.625,39.15
1.55376,0.0301,-0.0456,-0.0652,-0.0272,0.005,0.0189,-3.975,20.625,39.15
1.57376,-0.0089,-0.0493,0.0263,-0.0272,0.005,0.0189,-3.975,20.625,39.15
1.59376,-0.0845,0.0091,0.0193,-0.0272,0.005,0.0189,-3.825,20.925,39.45
1.61376,-0.0425,0.0296,0.0303,0.0002,-0.0012,0.0373,-3.825,20.925,39.45
1.63376,-0.0337,0.0226,-0.0427,0.0002,-0.0012,0.0373,-3.825,20.925,39.45
1.65376,-0.0606,-0.0138,0.0521,0.0002,-0.0012,0.0373,-4.125,20.775,39.75
1.67376,-0.09015,0.02845,0.0487,0.0002,-0.0012,0.0373,-4.125,20.775,39.75
1.69376,-0.0004,0.0563,0.0386,0.0354,-0.0351,0.0663,-4.125,20.775,39.75
1.71376,0.0726,0.03465,-0.06335,0.0354,-0.0351,0.0663,-4.125,20.775,39.75
1.73376,0.0121,-0.0258,-0.1285,0.0354,-0.0351,0.0663,-3.375,20.25,39.45
1.75376,-0.0346,-0.0449,-0.0338,0.0214,-0.0263,0.0867,-3.375,20.25,39.45
1.77376,-0.0173,-0.0449,-0.0669,0.0214,-0.0263,0.0867,-3.375,20.25,39.45
1.79376,0.0249,0.01,-0.0548,0.0214,-0.0263,0.0867,-3.45,20.85,39.45
1.81376,-0.0023,0.0168,-0.0312,0.0214,-0.0263,0.0867,-3.45,20.85,39.45
1.83376,-0.07375,0.06905,-0.0289,-0.0014,0.0125,0.087,-3.45,20.85,39.45
1.85376,-0.0726,0.0808,-0.0886,-0.0014,0.0125,0.087,-3.45,20.85,39.45
1.87376,0.0149,0.0897,-0.0952,-0.0014,0.0125,0.087,-3.15,20.25,39.75
1.89376,-0.0035,-0.0367,-0.1292,-0.0107,0.053,0.0687,-3.15,20.25,39.75
1.91376,-0.0562,-0.0554,0.0367,-0.0107,0.053,0.0687,-3.15,20.25,39.75
1.93376,-0.0148,0.0345,0.0298,-0.0107,0.053,0.0687,-3.45,20.925,39.45
1.95376,0.004,0.2679,-0.2725,-0.02075,0.07735,0.0604,-3.45,20.925,39.45
