
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.056521,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-5.1750,16.4250,41.7000,
0.073936,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-5.1750,16.4250,41.7000,
0.075678,0.0347,0.0024,0.0206,0.0000,0.0000,0.0000,-5.1750,16.4250,41.7000,
0.095769,0.0347,0.0024,0.0206,0.0000,0.0000,0.0000,-5.1750,16.4250,41.7000,
0.097403,-0.0052,0.0226,-0.0104,0.0000,0.0000,0.0000,-5.1750,16.4250,41.7000,
0.100736,-0.0052,0.0226,-0.0104,0.0383,-0.0223,0.0078,-5.1750,16.4250,41.7000,
0.115185,-0.0052,0.0226,-0.0104,0.0383,-0.0223,0.0078,-5.1750,16.4250,41.7000,
0.116813,0.0462,0.0250,-0.0346,0.0383,-0.0223,0.0078,-5.1750,16.4250,41.7000,
0.124562,0.0462,0.0250,-0.0346,0.0383,-0.0223,0.0078,-5.4750,15.3750,43.0500,
0.134400,0.0462,0.0250,-0.0346,0.0383,-0.0223,0.0078,-5.4750,15.3750,43.0500,
0.135774,0.0665,0.0554,-0.2311,0.0383,-0.0223,0.0078,-5.4750,15.3750,43.0500,
0.154411,0.0665,0.0554,-0.2311,0.0383,-0.0223,0.0078,-5.4750,15.3750,43.0500,
0.158657,-0.0481,0.1035,-0.0971,0.0383,-0.0223,0.0078,-5.4750,15.3750,43.0500,
0.176190,-0.0481,0.1035,-0.0971,0.0299,-0.0302,0.0061,-5.4750,15.3750,43.0500,
0.178903,-0.0481,0.1035,-0.0971,0.0299,-0.0302,0.0061,-5.4750,15.3750,43.0500,
0.180386,0.0631,0.1870,0.1349,0.0299,-0.0302,0.0061,-5.4750,15.3750,43.0500,
0.191544,0.0631,0.1870,0.1349,0.0299,-0.0302,0.0061,-5.4750,15.3750,43.0500,
0.193011,0.1584,0.1244,-0.2802,0.0299,-0.0302,0.0061,-5.4750,15.3750,43.0500,
0.194587,0.1584,0.1244,-0.2802,0.0299,-0.0302,0.0061,-6.4500,15.1500,43.3500,
0.211307,0.1584,0.1244,-0.2802,0.0299,-0.0302,0.0061,-6.4500,15.1500,43.3500,
0.213089,-0.0072,0.0588,0.1728,0.0299,-0.0302,0.0061,-6.4500,15.1500,43.3500,
0.230585,-0.0072,0.0588,0.1728,0.0299,-0.0302,0.0061,-6.4500,15.1500,43.3500,
0.232457,0.1029,-0.0683,0.1583,0.0299,-0.0302,0.0061,-6.4500,15.1500,43.3500,
0.240843,0.1029,-0.0683,0.1583,0.0119,-0.0057,-0.0409,-6.4500,15.1500,43.3500,
0.251349,0.1029,-0.0683,0.1583,0.0119,-0.0057,-0.0409,-6.4500,15.1500,43.3500,
0.252321,0.0281,-0.0447,-0.0584,0.0119,-0.0057,-0.0409,-6.4500,15.1500,43.3500,
0.262095,0.0281,-0.0447,-0.0584,0.0119,-0.0057,-0.0409,-6.0000,14.9250,42.7500,
0.271470,0.0281,-0.0447,-0.0584,0.0119,-0.0057,-0.0409,-6.0000,14.9250,42.7500,
0.273100,0.0192,0.0212,-0.0226,0.0119,-0.0057,-0.0409,-6.0000,14.9250,42.7500,
0.290598,0.0192,0.0212,-0.0226,0.0119,-0.0057,-0.0409,-6.0000,14.9250,42.7500,
0.292071,-0.2381,-0.2998,0.0905,0.0119,-0.0057,-0.0409,-6.0000,14.9250,42.7500,
0.306796,-0.2381,-0.2998,0.0905,0.0588,-0.0301,-0.0125,-6.0000,14.9250,42.7500,
0.310677,-0.2381,-0.2998,0.0905,0.0588,-0.0301,-0.0125,-6.0000,14.9250,42.7500,
0.312144,0.2954,0.3150,-0.1509,0.0588,-0.0301,-0.0125,-6.0000,14.9250,42.7500,
0.335066,0.2954,0.3150,-0.1509,0.0588,-0.0301,-0.0125,-6.0000,14.9250,42.7500,
0.336701,-0.0189,0.3068,-0.0897,0.0588,-0.0301,-0.0125,-6.0000,14.9250,42.7500,
0.342902,-0.0189,0.3068,-0.0897,0.0588,-0.0301,-0.0125,-5.2500,15.6750,42.4500,
0.354560,-0.0189,0.3068,-0.0897,0.0588,-0.0301,-0.0125,-5.2500,15.6750,42.4500,
0.356267,0.1049,-0.0164,-0.0938,0.0588,-0.0301,-0.0125,-5.2500,15.6750,42.4500,
0.378217,0.1049,-0.0164,-0.0938,0.0588,-0.0301,-0.0125,-5.2500,15.6750,42.4500,
0.380040,0.0716,0.1137,-0.0528,0.0588,-0.0301,-0.0125,-5.2500,15.6750,42.4500,
0.381450,0.0716,0.1137,-0.0528,0.0093,-0.0082,-0.0101,-5.2500,15.6750,42.4500,
0.392728,0.0716,0.1137,-0.0528,0.0093,-0.0082,-0.0101,-5.2500,15.6750,42.4500,
0.394495,0.0276,0.0162,-0.0644,0.0093,-0.0082,-0.0101,-5.2500,15.6750,42.4500,
0.404779,0.0276,0.0162,-0.0644,0.0093,-0.0082,-0.0101,-5.5500,15.1500,42.6750,
0.413574,0.0276,0.0162,-0.0644,0.0093,-0.0082,-0.0101,-5.5500,15.1500,42.6750,
0.415278,0.0221,0.0472,0.0910,0.0093,-0.0082,-0.0101,-5.5500,15.1500,42.6750,
0.432709,0.0221,0.0472,0.0910,0.0093,-0.0082,-0.0101,-5.5500,15.1500,42.6750,
0.434444,-0.0233,0.0566,-0.0011,0.0093,-0.0082,-0.0101,-5.5500,15.1500,42.6750,
0.447154,-0.0233,0.0566,-0.0011,-0.0128,0.0050,-0.0156,-5.5500,15.1500,42.6750,
0.456789,-0.0233,0.0566,-0.0011,-0.0128,0.0050,-0.0156,-5.5500,15.1500,42.6750,
0.459562,0.0180,0.1116,0.0243,-0.0128,0.0050,-0.0156,-5.5500,15.1500,42.6750,
0.475089,0.0180,0.1116,0.0243,-0.0128,0.0050,-0.0156,-5.5500,15.1500,42.6750,
0.477365,0.0405,0.0954,-0.0097,-0.0128,0.0050,-0.0156,-5.5500,15.1500,42.6750,
0.479633,0.0405,0.0954,-0.0097,-0.0128,0.0050,-0.0156,-5.6250,15.8250,42.1500,
0.491625,0.0405,0.0954,-0.0097,-0.0128,0.0050,-0.0156,-5.6250,15.8250,42.1500,
0.493617,0.0496,0.0846,0.0223,-0.0128,0.0050,-0.0156,-5.6250,15.8250,42.1500,
0.509931,0.0496,0.0846,0.0223,-0.0128,0.0050,-0.0156,-5.6250,15.8250,42.1500,
0.511971,0.0226,0.0539,0.1055,-0.0128,0.0050,-0.0156,-5.6250,15.8250,42.1500,
0.514449,0.0226,0.0539,0.1055,-0.0098,-0.0000,-0.0099,-5.6250,15.8250,42.1500,
0.529298,0.0226,0.0539,0.1055,-0.0098,-0.0000,-0.0099,-5.6250,15.8250,42.1500,
0.531435,0.0300,0.0098,0.1752,-0.0098,-0.0000,-0.0099,-5.6250,15.8250,42.1500,
0.541649,0.0300,0.0098,0.1752,-0.0098,-0.0000,-0.0099,-6.0750,15.3750,42.3750,
0.548752,0.0300,0.0098,0.1752,-0.0098,-0.0000,-0.0099,-6.0750,15.3750,42.3750,
0.550407,0.0286,0.0021,0.1585,-0.0098,-0.0000,-0.0099,-6.0750,15.3750,42.3750,
0.569505,0.0286,0.0021,0.1585,-0.0098,-0.0000,-0.0099,-6.0750,15.3750,42.3750,
0.572372,0.0328,0.0903,0.0731,-0.0098,-0.0000,-0.0099,-6.0750,15.3750,42.3750,
0.583010,0.0328,0.0903,0.0731,0.0023,0.0053,-0.0052,-6.0750,15.3750,42.3750,
0.588302,0.0328,0.0903,0.0731,0.0023,0.0053,-0.0052,-6.0750,15.3750,42.3750,
0.589909,0.0151,0.1597,-0.0070,0.0023,0.0053,-0.0052,-6.0750,15.3750,42.3750,
0.608693,0.0151,0.1597,-0.0070,0.0023,0.0053,-0.0052,-6.0750,15.3750,42.3750,
0.610513,0.0179,0.1633,-0.1011,0.0023,0.0053,-0.0052,-6.0750,15.3750,42.3750,
0.611917,0.0179,0.1633,-0.1011,0.0023,0.0053,-0.0052,-6.3000,15.3750,42.6750,
0.633422,0.0179,0.1633,-0.1011,0.0023,0.0053,-0.0052,-6.3000,15.3750,42.6750,
0.635143,0.0154,0.1173,-0.0954,0.0023,0.0053,-0.0052,-6.3000,15.3750,42.6750,
0.653932,0.0154,0.1173,-0.0954,0.0023,0.0053,-0.0052,-6.3000,15.3750,42.6750,
