
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.055731,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.072669,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.073994,0.5342,0.3899,-0.4520,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.075240,0.5342,0.3899,-0.4520,0.0000,0.0000,0.0000,4.2000,13.9500,-42.1500,
0.092195,0.5342,0.3899,-0.4520,0.0000,0.0000,0.0000,4.2000,13.9500,-42.1500,
0.093457,0.4106,0.3278,-0.3977,0.0000,0.0000,0.0000,4.2000,13.9500,-42.1500,
0.110616,0.4106,0.3278,-0.3977,0.0000,0.0000,0.0000,4.2000,13.9500,-42.1500,
0.112416,0.2470,0.2925,-0.3785,0.0000,0.0000,0.0000,4.2000,13.9500,-42.1500,
0.114568,0.2470,0.2925,-0.3785,-0.2107,-0.1640,-0.1284,4.2000,13.9500,-42.1500,
0.130154,0.2470,0.2925,-0.3785,-0.2107,-0.1640,-0.1284,4.2000,13.9500,-42.1500,
0.131703,0.2206,0.3102,-0.4228,-0.2107,-0.1640,-0.1284,4.2000,13.9500,-42.1500,
0.146190,0.2206,0.3102,-0.4228,-0.2107,-0.1640,-0.1284,2.8500,13.8000,-41.8500,
0.147883,0.2206,0.3102,-0.4228,-0.2107,-0.1640,-0.1284,2.8500,13.8000,-41.8500,
0.149007,0.1660,0.3356,-0.4450,-0.2107,-0.1640,-0.1284,2.8500,13.8000,-41.8500,
0.173918,0.1660,0.3356,-0.4450,-0.2107,-0.1640,-0.1284,2.8500,13.8000,-41.8500,
0.176939,0.0605,0.3898,-0.4782,-0.2107,-0.1640,-0.1284,2.8500,13.8000,-41.8500,
0.183160,0.0605,0.3898,-0.4782,-0.2598,-0.1061,-0.1448,2.8500,13.8000,-41.8500,
0.189623,0.0605,0.3898,-0.4782,-0.2598,-0.1061,-0.1448,2.8500,13.8000,-41.8500,
0.191800,0.0622,0.3463,-0.3498,-0.2598,-0.1061,-0.1448,2.8500,13.8000,-41.8500,
0.208723,0.0622,0.3463,-0.3498,-0.2598,-0.1061,-0.1448,2.8500,13.8000,-41.8500,
0.211828,0.0530,0.3247,-0.2733,-0.2598,-0.1061,-0.1448,2.8500,13.8000,-41.8500,
0.214945,0.0530,0.3247,-0.2733,-0.2598,-0.1061,-0.1448,2.2500,14.5500,-41.1750,
0.227849,0.0530,0.3247,-0.2733,-0.2598,-0.1061,-0.1448,2.2500,14.5500,-41.1750,
0.230434,0.1160,0.3012,-0.2662,-0.2598,-0.1061,-0.1448,2.2500,14.5500,-41.1750,
0.243052,0.1160,0.3012,-0.2662,-0.2598,-0.1061,-0.1448,2.2500,14.5500,-41.1750,
