
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.064919,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.066662,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.6250,12.0000,-35.4000,
0.083945,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.6250,12.0000,-35.4000,
0.085761,-0.0001,-0.0015,0.0000,0.0000,0.0000,0.0000,11.6250,12.0000,-35.4000,
0.105054,-0.0001,-0.0015,0.0000,0.0000,0.0000,0.0000,11.6250,12.0000,-35.4000,
0.107047,-0.0009,0.0413,-0.0015,0.0000,0.0000,0.0000,11.6250,12.0000,-35.4000,
0.108946,-0.0009,0.0413,-0.0015,0.0221,-0.0134,-0.0325,11.6250,12.0000,-35.4000,
0.123838,-0.0009,0.0413,-0.0015,0.0221,-0.0134,-0.0325,11.6250,12.0000,-35.4000,
0.127596,-0.0368,0.0870,-0.0186,0.0221,-0.0134,-0.0325,11.6250,12.0000,-35.4000,
0.136310,-0.0368,0.0870,-0.0186,0.0221,-0.0134,-0.0325,12.0000,12.0000,-34.6500,
0.143463,-0.0368,0.0870,-0.0186,0.0221,-0.0134,-0.0325,12.0000,12.0000,-34.6500,
0.146648,-0.0172,0.1051,-0.0542,0.0221,-0.0134,-0.0325,12.0000,12.0000,-34.6500,
0.162607,-0.0172,0.1051,-0.0542,0.0221,-0.0134,-0.0325,12.0000,12.0000,-34.6500,
0.164918,-0.0180,0.0927,-0.0222,0.0221,-0.0134,-0.0325,12.0000,12.0000,-34.6500,
0.176819,-0.0180,0.0927,-0.0222,0.0130,-0.0296,-0.0260,12.0000,12.0000,-34.6500,
0.183708,-0.0180,0.0927,-0.0222,0.0130,-0.0296,-0.0260,12.0000,12.0000,-34.6500,
0.185802,-0.0102,0.0738,-0.0250,0.0130,-0.0296,-0.0260,12.0000,12.0000,-34.6500,
0.200143,-0.0102,0.0738,-0.0250,0.0130,-0.0296,-0.0260,12.0000,12.0000,-34.6500,
0.202631,-0.0332,0.0782,-0.0097,0.0130,-0.0296,-0.0260,12.0000,12.0000,-34.6500,
0.204408,-0.0332,0.0782,-0.0097,0.0130,-0.0296,-0.0260,11.9250,11.4750,-34.4250,
0.221410,-0.0332,0.0782,-0.0097,0.0130,-0.0296,-0.0260,11.9250,11.4750,-34.4250,
0.224036,-0.0260,0.0257,0.0117,0.0130,-0.0296,-0.0260,11.9250,11.4750,-34.4250,
0.241039,-0.0260,0.0257,0.0117,0.0130,-0.0296,-0.0260,11.9250,11.4750,-34.4250,
0.243628,0.0002,0.0090,-0.0146,0.0130,-0.0296,-0.0260,11.9250,11.4750,-34.4250,
0.245539,0.0002,0.0090,-0.0146,0.0090,-0.0176,-0.0111,11.9250,11.4750,-34.4250,
0.261994,0.0002,0.0090,-0.0146,0.0090,-0.0176,-0.0111,11.9250,11.4750,-34.4250,
0.263523,-0.0093,0.0478,-0.0140,0.0090,-0.0176,-0.0111,11.9250,11.4750,-34.4250,
0.275444,-0.0093,0.0478,-0.0140,0.0090,-0.0176,-0.0111,12.2250,11.2500,-34.2000,
0.281200,-0.0093,0.0478,-0.0140,0.0090,-0.0176,-0.0111,12.2250,11.2500,-34.2000,
0.282884,0.0558,0.0442,-0.1022,0.0090,-0.0176,-0.0111,12.2250,11.2500,-34.2000,
0.300809,0.0558,0.0442,-0.1022,0.0090,-0.0176,-0.0111,12.2250,11.2500,-34.2000,
0.302610,0.0582,0.0844,-0.0809,0.0090,-0.0176,-0.0111,12.2250,11.2500,-34.2000,
0.320427,0.0582,0.0844,-0.0809,0.0089,-0.0137,0.0003,12.2250,11.2500,-34.2000,
0.324579,0.0582,0.0844,-0.0809,0.0089,-0.0137,0.0003,12.2250,11.2500,-34.2000,
0.326186,-0.0777,0.1024,0.1402,0.0089,-0.0137,0.0003,12.2250,11.2500,-34.2000,
0.344739,-0.0777,0.1024,0.1402,0.0089,-0.0137,0.0003,12.2250,11.2500,-34.2000,
0.346521,0.0206,0.0934,-0.1333,0.0089,-0.0137,0.0003,12.2250,11.2500,-34.2000,
0.348080,0.0206,0.0934,-0.1333,0.0089,-0.0137,0.0003,11.9250,11.1750,-34.9500,
0.362950,0.0206,0.0934,-0.1333,0.0089,-0.0137,0.0003,11.9250,11.1750,-34.9500,
0.365500,0.0531,0.1145,-0.0967,0.0089,-0.0137,0.0003,11.9250,11.1750,-34.9500,
0.383999,0.0531,0.1145,-0.0967,0.0089,-0.0137,0.0003,11.9250,11.1750,-34.9500,
0.386405,0.0640,0.0334,0.0869,0.0089,-0.0137,0.0003,11.9250,11.1750,-34.9500,
0.387891,0.0640,0.0334,0.0869,0.0046,-0.0078,-0.0154,11.9250,11.1750,-34.9500,
0.402584,0.0640,0.0334,0.0869,0.0046,-0.0078,-0.0154,11.9250,11.1750,-34.9500,
0.404504,0.0277,-0.0471,0.0623,0.0046,-0.0078,-0.0154,11.9250,11.1750,-34.9500,
0.420999,0.0277,-0.0471,0.0623,0.0046,-0.0078,-0.0154,12.0000,11.2500,-34.3500,
0.423198,0.0277,-0.0471,0.0623,0.0046,-0.0078,-0.0154,12.0000,11.2500,-34.3500,
0.424408,-0.1289,-0.0613,0.0372,0.0046,-0.0078,-0.0154,12.0000,11.2500,-34.3500,
0.441680,-0.1289,-0.0613,0.0372,0.0046,-0.0078,-0.0154,12.0000,11.2500,-34.3500,
0.444458,-0.0754,-0.0308,0.0072,0.0046,-0.0078,-0.0154,12.0000,11.2500,-34.3500,
0.455897,-0.0754,-0.0308,0.0072,0.0144,0.0032,-0.0290,12.0000,11.2500,-34.3500,
0.460515,-0.0754,-0.0308,0.0072,0.0144,0.0032,-0.0290,12.0000,11.2500,-34.3500,
0.462532,-0.0258,0.0155,-0.0850,0.0144,0.0032,-0.0290,12.0000,11.2500,-34.3500,
0.480133,-0.0258,0.0155,-0.0850,0.0144,0.0032,-0.0290,12.0000,11.2500,-34.3500,
0.482111,0.0049,0.0370,-0.0224,0.0144,0.0032,-0.0290,12.0000,11.2500,-34.3500,
0.488987,0.0049,0.0370,-0.0224,0.0144,0.0032,-0.0290,10.8750,11.4750,-35.1000,
