time,ax,ay,az,wx,wy,wz,Bx,By,Bz,time_diff,acc_mag,acc_mag_filtered,label
0.03376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022912559526881452,non_fall
0.05376,-0.0213,0.1136,-0.038,0.0,0.0,0.0,-2.325,22.275,38.775,0.020000000000000004,0.12166614155137821,0.03880218553674382,non_fall
0.07376,-0.0086,0.0832,-0.0151,0.0,0.0,0.0,-2.325,22.275,38.775,0.020000000000000004,0.0849953528141392,0.0685897528635896,non_fall
0.09376,-0.0029,0.0678,0.015,-0.0356,0.0426,-0.0241,-2.325,22.275,38.775,0.01999999999999999,0.0695,0.08672682765076081,non_fall
0.11376,0.0103,0.0477,0.0057,-0.0356,0.0426,-0.0241,-2.325,22.275,38.775,0.020000000000000004,0.04913115101440226,0.0909341249688013,non_fall
0.13376,0.0101,0.0185,0.0373,-0.0356,0.0426,-0.0241,-2.85,21.975,39.15,0.01999999999999999,0.04284331919914702,0.08221267590971688,non_fall
0.15376,-0.0515,-0.0088,0.0953,-0.0394,0.0527,-0.0089,-2.85,21.975,39.15,0.020000000000000018,0.10868201323126103,0.06507459845190948,non_fall
0.17376,-0.0791,0.0396,0.0491,-0.0394,0.0527,-0.0089,-2.85,21.975,39.15,0.01999999999999999,0.10117203170837284,0.04739638661749632,non_fall
0.19376,-0.0518,0.0305,-0.0738,-0.0394,0.0527,-0.0089,-4.575,20.85,39.75,0.01999999999999999,0.09518366456488214,0.03951981045978003,non_fall
0.21376,-0.0177,0.0385,-0.0302,-0.0394,0.0527,-0.0089,-4.575,20.85,39.75,0.020000000000000018,0.05203441169072636,0.052106823294650086,non_fall
0.23376,0.0047,0.0296,0.0149,-0.0171,0.0423,-0.0038,-4.575,20.85,39.75,0.01999999999999999,0.0334702853289302,0.09275135951243443,non_fall
0.25376,-0.0841,-0.0053,0.1374,-0.0171,0.0423,-0.0038,-4.575,20.85,39.75,0.01999999999999999,0.16118207096324327,0.1622535152020341,non_fall
0.27376,0.02525,-0.02865,-0.0647,-0.0171,0.0423,-0.0038,-4.125,20.775,39.75,0.020000000000000018,0.07512972114948917,0.2521847760871972,non_fall
0.29376,0.0871,0.0646,-0.2965,-0.0269,0.0571,0.0031,-4.125,20.775,39.75,0.020000000000000018,0.3157084414455844,0.34538900823559787,non_fall
0.31376,-0.2743,0.0756,0.2968,-0.0269,0.0571,0.0031,-4.125,20.775,39.75,0.019999999999999962,0.4111521494532164,0.4201621507732648,non_fall
0.33376,-0.0529,0.2718,-0.6161,-0.0269,0.0571,0.0031,-4.575,20.85,39.075,0.020000000000000018,0.6754649213689783,0.4572054368998314,non_fall
0.35376,-0.0261,-0.046,0.6081,-0.0636,0.0272,0.0023,-4.575,20.85,39.075,0.020000000000000018,0.610395625803462,0.44672978874507313,non_fall
0.37376,0.0339,-0.1268,0.4052,-0.1003,-0.0027,0.0015,-4.575,20.85,39.075,0.019999999999999962,0.42592779904580075,0.3924116614511725,non_fall
0.39376,0.0043,0.0774,-0.1585,-0.1003,-0.0027,0.0015,-4.575,20.85,39.075,0.020000000000000018,0.1764412083386418,0.31007542881862954,non_fall
0.41376,0.0054,0.0523,0.0665,-0.1003,-0.0027,0.0015,-4.65,20.175,39.45,0.020000000000000018,0.08477440651517415,0.22159321752461153,non_fall
0.43376,-0.0392,0.0642,0.02,-0.0009,-0.0099,0.009,-4.65,20.175,39.45,0.019999999999999962,0.07783495358770376,0.14693320117479747,non_fall
0.45376,-0.0671,0.0657,-0.0055,-0.0009,-0.0099,0.009,-4.65,20.175,39.45,0.020000000000000018,0.09406992080362353,0.09797722551291312,non_fall
0.47376,-0.0432,0.0059,0.065,-0.0009,-0.0099,0.009,-4.35,19.875,39.45,0.020000000000000018,0.07826908712895533,0.07641189494854851,non_fall
0.49376,-0.0534,-0.0131,0.2118,-0.0009,-0.0099,0.009,-4.35,19.875,39.45,0.019999999999999962,0.21882049721175573,0.07574861538029534,non_fall
0.51376,-0.0654,0.0553,-0.0785,0.0043,0.0055,0.007,-4.35,19.875,39.45,0.020000000000000018,0.11617874160103474,0.08572089526740788,non_fall
0.53376,-0.043,0.00655,0.038,0.0043,0.0055,0.007,-4.35,19.875,39.45,0.020000000000000018,0.05775727226938613,0.09673395461696992,non_fall
0.55376,0.00755,-0.0289,0.09325,0.0043,0.0055,0.007,-4.725,20.25,39.975,0.020000000000000018,0.09791718439579439,0.10268841650442118,non_fall
0.57376,-0.0215,0.0267,0.1045,0.0072,-0.007,0.009,-4.725,20.25,39.975,0.020000000000000018,0.10997904345828799,0.10170922244513227,non_fall
0.59376,-0.0447,0.0374,0.057,0.0072,-0.007,0.009,-4.725,20.25,39.975,0.019999999999999907,0.0815220828978259,0.09526721061410698,non_fall
0.61376,-0.0518,0.0037,0.0414,0.0072,-0.007,0.009,-4.05,20.55,39.675,0.020000000000000018,0.06641453154242677,0.08652616982721903,non_fall
0.63376,-0.05055,0.0514,0.0377,0.0072,-0.007,0.009,-4.05,20.55,39.675,0.020000000000000018,0.08135448666176931,0.07867523789746836,non_fall
0.65376,-0.0255,0.0176,-0.0384,0.0116,0.0111,0.0171,-4.05,20.55,39.675,0.020000000000000018,0.0493413619593136,0.07379542156166685,non_fall
0.67376,0.0392,-0.0374,0.0203,0.0116,0.0111,0.0171,-4.05,20.55,39.675,0.020000000000000018,0.05785749735341134,0.07254337229257359,non_fall
0.69376,-0.0084,0.0428,0.115,0.0116,0.0111,0.0171,-3.825,20.85,39.75,0.020000000000000018,0.1229934957629874,0.07461479579277572,non_fall
0.71376,-0.06255,0.0394,0.05415,0.0133,0.0029,0.0237,-3.825,20.85,39.75,0.019999999999999907,0.09163560989047871,0.07962705816485038,non_fall
0.73376,-0.095,0.0297,-0.0055,0.0133,0.0029,0.0237,-3.825,20.85,39.75,0.020000000000000018,0.09968620767187406,0.08786683645127581,non_fall
0.75376,-0.0741,0.0587,-0.01,0.0133,0.0029,0.0237,-3.75,20.85,39.675,0.020000000000000018,0.09506050704682781,0.10042651188522728,non_fall
0.77376,0.0459,0.0923,0.00915,0.0133,0.0029,0.0237,-3.75,20.85,39.675,0.020000000000000018,0.10348827228241855,0.11859808069465261,non_fall
0.79376,0.1331,0.099,0.002,0.016,-0.0339,0.0353,-3.75,20.85,39.675,0.020000000000000018,0.1658933693671932,0.14280356443679165,non_fall
0.81376,0.0201,0.0866,0.0677,0.016,-0.0339,0.0353,-4.125,20.85,39.675,0.020000000000000018,0.11174461955727442,0.17159900363656658,non_fall
0.83376,0.1158,0.0581,-0.0321,0.016,-0.0339,0.0353,-4.125,20.85,39.675,0.019999999999999907,0.13347531607005095,0.20131946539991072,non_fall
0.85376,0.2006,0.0711,-0.2511,-0.007,-0.0368,0.0287,-4.125,20.85,39.675,0.020000000000000018,0.329160720621401,0.22672418619206672,non_fall
0.87376,0.0439,0.0849,0.1971,-0.007,-0.0368,0.0287,-4.125,20.85,39.675,0.020000000000000018,0.21905166057348208,0.24254564223772312,non_fall
0.89376,0.2741,0.1009,-0.0753,-0.007,-0.0368,0.0287,-3.075,21.375,39.525,0.020000000000000018,0.30163174567674406,0.24530741815918067,non_fall
0.91376,0.238,0.0596,0.1052,-0.007,-0.0368,0.0287,-3.075,21.375,39.525,0.020000000000000018,0.2669516810211166,0.23452921276230074,non_fall
0.93376,0.1465,0.05235,0.09095,0.0076,-0.0467,0.0176,-3.075,21.375,39.525,0.020000000000000018,0.18020731117243827,0.21272466176038235,non_fall
