time,ax,ay,az,wx,wy,wz,Bx,By,Bz,Unnamed: 10,time_diff,acc_mag,acc_mag_filtered,label
0.030246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0015096483437229832,non_fall
0.055764,0.0,0.0,0.0,0.0,0.0,0.0,-3.3,7.2,36.3,,0.025518000000000002,0.0,0.01468390732285095,non_fall
0.073825,0.0,0.0,0.0,0.0,0.0,0.0,-3.3,7.2,36.3,,0.018061,0.0,0.027523268659731596,non_fall
0.075475,0.0096,-0.003,0.0295,0.0,0.0,0.0,-3.3,7.2,36.3,,0.0016499999999999987,0.03116745097052372,0.03982742305319153,non_fall
0.101036,0.0096,-0.003,0.0295,0.0,0.0,0.0,-3.3,7.2,36.3,,0.025561,0.03116745097052372,0.05141123298942189,non_fall
0.102636,0.0325,-0.0147,-0.061,0.0,0.0,0.0,-3.3,7.2,36.3,,0.0016000000000000042,0.07066356911450199,0.062110784608500794,non_fall
0.104045,0.0325,-0.0147,-0.061,-0.0139,-0.0029,-0.0012,-3.3,7.2,36.3,,0.0014089999999999936,0.07066356911450199,0.07178937928607002,non_fall
0.118818,0.0325,-0.0147,-0.061,-0.0139,-0.0029,-0.0012,-3.3,7.2,36.3,,0.014772999999999994,0.07066356911450199,0.08034309557322539,non_fall
0.121512,0.0215,0.0992,-0.0632,-0.0139,-0.0029,-0.0012,-3.3,7.2,36.3,,0.002694000000000002,0.11957060675600839,0.08770543207324151,non_fall
0.12595,0.0215,0.0992,-0.0632,-0.0139,-0.0029,-0.0012,-3.525,7.95,36.45,,0.004438000000000011,0.11957060675600839,0.09385048829059367,non_fall
0.13682,0.0215,0.0992,-0.0632,-0.0139,-0.0029,-0.0012,-3.525,7.95,36.45,,0.01086999999999999,0.11957060675600839,0.09879415622452907,non_fall
0.138827,0.0079,0.1334,0.0032,-0.0139,-0.0029,-0.0012,-3.525,7.95,36.45,,0.0020070000000000088,0.13367202399904027,0.10259289747567997,non_fall
0.155753,0.0079,0.1334,0.0032,-0.0139,-0.0029,-0.0012,-3.525,7.95,36.45,,0.016925999999999997,0.13367202399904027,0.1053398818071086,non_fall
0.157995,0.0397,0.0983,-0.0296,-0.0139,-0.0029,-0.0012,-3.525,7.95,36.45,,0.002241999999999994,0.11006879666826562,0.10715854327450147,non_fall
0.169752,0.0397,0.0983,-0.0296,-0.0313,0.0038,0.0049,-3.525,7.95,36.45,,0.01175699999999999,0.11006879666826562,0.10819392490901149,non_fall
0.174764,0.0397,0.0983,-0.0296,-0.0313,0.0038,0.0049,-3.525,7.95,36.45,,0.0050120000000000164,0.11006879666826562,0.10860248382553599,non_fall
0.176473,0.0291,0.0434,-0.0236,-0.0313,0.0038,0.0049,-3.525,7.95,36.45,,0.0017089999999999883,0.057335242216284395,0.10854126571633792,non_fall
0.194561,0.0291,0.0434,-0.0236,-0.0313,0.0038,0.0049,-3.525,7.95,36.45,,0.01808800000000002,0.057335242216284395,0.10815748520254848,non_fall
