time,ax,ay,az,wx,wy,wz,Bx,By,Bz,Unnamed: 10,time_diff,acc_mag,acc_mag_filtered,label
0.084546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,-0.002500994845370765,non_fall
0.08499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.00044399999999999995,0.0,0.004701230538146956,non_fall
0.112695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.027705000000000007,0.0,0.011787476134173473,non_fall
0.114274,0.0033,0.0634,-0.006,0.0,0.0,0.0,0.0,0.0,0.0,,0.001578999999999997,0.06376872274085471,0.018635289939544136,non_fall
0.115542,0.0033,0.0634,-0.006,0.0,0.0,0.0,3.825,7.35,-41.625,,0.0012680000000000052,0.06376872274085471,0.025146776243726552,non_fall
0.135918,0.0033,0.0634,-0.006,0.0,0.0,0.0,3.825,7.35,-41.625,,0.020376000000000005,0.06376872274085471,0.03125364084938665,non_fall
0.13861,0.0274,0.0248,0.0291,0.0,0.0,0.0,3.825,7.35,-41.625,,0.002692,0.04703838857784139,0.03691964959413333,non_fall
0.146974,0.0274,0.0248,0.0291,-0.0353,-0.0108,-0.0139,3.825,7.35,-41.625,,0.008363999999999983,0.04703838857784139,0.04214024705254616,non_fall
0.155991,0.0274,0.0248,0.0291,-0.0353,-0.0108,-0.0139,3.825,7.35,-41.625,,0.009016999999999997,0.04703838857784139,0.046939429790267787,non_fall
0.157617,0.0351,-0.0052,0.0326,-0.0353,-0.0108,-0.0139,3.825,7.35,-41.625,,0.0016260000000000163,0.04818516369174229,0.051364281119590245,non_fall
0.178599,0.0351,-0.0052,0.0326,-0.0353,-0.0108,-0.0139,3.825,7.35,-41.625,,0.020982,0.04818516369174229,0.05547778273265058,non_fall
0.181395,0.0157,-0.0034,0.0539,-0.0353,-0.0108,-0.0139,3.825,7.35,-41.625,,0.002795999999999993,0.05624286621430313,0.059350619184252516,non_fall
0.182975,0.0157,-0.0034,0.0539,-0.0353,-0.0108,-0.0139,3.675,7.5,-42.15,,0.001579999999999998,0.05624286621430313,0.06305271347547915,non_fall
