time,ax,ay,az,wx,wy,wz,Unnamed: 7,time_diff,acc_mag,acc_mag_filtered,label
0.040247,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,-0.0037161151590312377,non_fall
0.042768,0.0,0.0,0.0,0.0,0.0,0.0,,0.0025210000000000024,0.0,0.03208379032936697,non_fall
0.083331,0.0,0.0,0.0,0.0,0.0,0.0,,0.040563,0.0,0.06699720848930986,non_fall
0.084393,-0.0597,-0.0707,-0.0472,0.0,0.0,0.0,,0.0010619999999999935,0.10387694643182384,0.10017544973277966,non_fall
0.10345,-0.0597,-0.0707,-0.0472,0.0,0.0,0.0,,0.019057000000000004,0.10387694643182384,0.1308661443211555,non_fall
0.104912,-0.1823,-0.0452,-0.1241,0.0,0.0,0.0,,0.001462000000000005,0.22511583684849895,0.15844527621569485,non_fall
0.107795,-0.1823,-0.0452,-0.1241,0.0197,0.0057,-0.0641,,0.0028829999999999967,0.22511583684849895,0.18244359685365596,non_fall
0.122803,-0.1823,-0.0452,-0.1241,0.0197,0.0057,-0.0641,,0.015007999999999994,0.22511583684849895,0.2025650827103377,non_fall
0.124202,-0.1823,0.0659,-0.1704,0.0197,0.0057,-0.0641,,0.0013990000000000113,0.25809351018574644,0.2186952692690283,non_fall
0.146702,-0.1823,0.0659,-0.1704,0.0197,0.0057,-0.0641,,0.022499999999999992,0.25809351018574644,0.23089805805864017,non_fall
0.148509,-0.1407,0.2342,-0.1242,0.0197,0.0057,-0.0641,,0.001807000000000003,0.30011959282925865,0.23940067511033059,non_fall
0.166183,-0.1407,0.2342,-0.1242,0.0197,0.0057,-0.0641,,0.017673999999999995,0.30011959282925865,0.24456761154821655,non_fall
0.169014,-0.1528,0.1235,-0.0054,0.0197,0.0057,-0.0641,,0.002831,0.19654325223726202,0.2468655555459045,non_fall
0.181416,-0.1528,0.1235,-0.0054,-0.0005,0.0228,-0.0298,,0.012401999999999996,0.19654325223726202,0.24682254292351496,non_fall
0.186729,-0.1528,0.1235,-0.0054,-0.0005,0.0228,-0.0298,,0.005313000000000012,0.19654325223726202,0.24498560745132236,non_fall
0.188806,-0.0984,0.0946,-0.0288,-0.0005,0.0228,-0.0298,,0.0020769999999999955,0.13950326161061613,0.24188167534316027,non_fall
0.203245,-0.0984,0.0946,-0.0288,-0.0005,0.0228,-0.0298,,0.014439000000000007,0.13950326161061613,0.23798600118679408,non_fall
0.206202,-0.2287,0.0829,-0.0509,-0.0005,0.0228,-0.0298,,0.0029569999999999874,0.24852949523145135,0.23370110219922396,non_fall
0.223995,-0.2287,0.0829,-0.0509,-0.0005,0.0228,-0.0298,,0.017793000000000003,0.24852949523145135,0.229347196340483,non_fall
0.22664,-0.2745,-0.0394,-0.0256,-0.0005,0.0228,-0.0298,,0.0026450000000000085,0.27849231587244916,0.22516306422662352,non_fall
0.246193,-0.2745,-0.0394,-0.0256,-0.0005,0.0228,-0.0298,,0.019552999999999987,0.27849231587244916,0.22131466670601585,non_fall
0.249673,-0.1682,-0.0208,-0.1067,-0.0005,0.0228,-0.0298,,0.003480000000000011,0.20027174039289716,0.21790824749194732,non_fall
0.2516,-0.1682,-0.0208,-0.1067,0.0276,-0.0113,-0.035,,0.0019269999999999843,0.20027174039289716,0.21500502626489673,non_fall
0.264459,-0.1682,-0.0208,-0.1067,0.0276,-0.0113,-0.035,,0.01285900000000001,0.20027174039289716,0.21263545965715264,non_fall
0.267067,-0.1556,0.0631,-0.1807,0.0276,-0.0113,-0.035,,0.002607999999999999,0.24666872521663544,0.21081181514404754,non_fall
