
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.009195,0.0000,0.0000,0.0000,0.0229,-0.1204,0.0075,0.0000,0.0000,0.0000,
0.027923,0.0000,0.0000,0.0000,0.0229,-0.1204,0.0075,-28.5000,-34.5000,-2.1000,
0.028712,0.0000,0.0000,0.0000,0.0229,-0.1204,0.0075,-28.5000,-34.5000,-2.1000,
0.044172,0.0000,0.0000,0.0000,0.0229,-0.1204,0.0075,-28.5000,-34.5000,-2.1000,
0.047831,0.0000,0.0000,0.0000,0.0229,-0.1204,0.0075,-28.5000,-34.5000,-2.1000,
0.068288,0.0000,0.0000,0.0000,-0.0197,0.0064,0.0032,-28.5000,-34.5000,-2.1000,
0.089216,0.0000,0.0000,0.0000,-0.0197,0.0064,0.0032,-28.9200,-34.8600,-2.1000,
0.089808,0.0000,0.0000,0.0000,-0.0149,-0.0080,-0.0101,-28.9200,-34.8600,-2.1000,
0.105486,0.0000,0.0000,0.0000,-0.0149,-0.0080,-0.0101,-28.9200,-34.8600,-2.1000,
0.106233,-0.0013,0.0006,0.2205,-0.0149,-0.0080,-0.0101,-28.9200,-34.8600,-2.1000,
0.109491,-0.0013,0.0006,0.2205,0.0064,0.0272,-0.0101,-28.9200,-34.8600,-2.1000,
0.129489,-0.0013,0.0006,0.2205,0.0107,0.0186,-0.0016,-28.9200,-34.8600,-2.1000,
0.151003,-0.0013,0.0006,0.2205,0.0107,0.0186,-0.0016,-29.1600,-35.1000,-2.1600,
0.151654,-0.0013,0.0006,0.2205,0.0016,-0.0288,0.0128,-29.1600,-35.1000,-2.1600,
0.167392,-0.0013,0.0006,0.2205,0.0016,-0.0288,0.0128,-29.1600,-35.1000,-2.1600,
0.168017,0.0138,0.0050,0.1486,0.0016,-0.0288,0.0128,-29.1600,-35.1000,-2.1600,
0.170742,0.0138,0.0050,0.1486,-0.0059,-0.0213,0.0170,-29.1600,-35.1000,-2.1600,
0.190874,0.0138,0.0050,0.1486,-0.0059,0.0170,0.0085,-29.1600,-35.1000,-2.1600,
0.212127,0.0138,0.0050,0.1486,-0.0059,0.0170,0.0085,-29.2800,-35.2800,-2.0400,
0.212856,0.0138,0.0050,0.1486,0.0027,0.0154,-0.0011,-29.2800,-35.2800,-2.0400,
