
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.018208,0.0000,0.0000,0.0000,0.2557,-0.2115,-0.0314,0.0000,0.0000,0.0000,
0.038251,0.0000,0.0000,0.0000,0.2557,-0.2115,-0.0314,0.0000,0.0000,0.0000,
0.059519,0.0000,0.0000,0.0000,0.2557,-0.2115,-0.0314,-36.7200,3.9600,-12.3600,
0.060158,0.0000,0.0000,0.0000,0.2557,-0.2115,-0.0314,-36.7200,3.9600,-12.3600,
0.075147,0.0000,0.0000,0.0000,0.2557,-0.2115,-0.0314,-36.7200,3.9600,-12.3600,
0.079254,0.0000,0.0000,0.0000,-0.2519,-0.5902,0.0352,-36.7200,3.9600,-12.3600,
0.099741,0.0000,0.0000,0.0000,-0.1582,-0.7979,0.0224,-36.7200,3.9600,-12.3600,
0.120901,0.0000,0.0000,0.0000,-0.1582,-0.7979,0.0224,-33.0600,-16.3200,-7.2600,
0.121476,0.0000,0.0000,0.0000,0.0383,-0.2706,-0.0064,-33.0600,-16.3200,-7.2600,
0.136763,0.0000,0.0000,0.0000,0.0383,-0.2706,-0.0064,-33.0600,-16.3200,-7.2600,
0.137308,-0.0044,0.0144,-0.4100,0.0383,-0.2706,-0.0064,-33.0600,-16.3200,-7.2600,
0.140940,-0.0044,0.0144,-0.4100,0.1087,0.1822,-0.0229,-33.0600,-16.3200,-7.2600,
0.161191,-0.0044,0.0144,-0.4100,0.0554,0.3356,-0.0005,-33.0600,-16.3200,-7.2600,
0.182634,-0.0044,0.0144,-0.4100,0.0554,0.3356,-0.0005,-31.5000,-25.6800,-4.3800,
0.183469,-0.0044,0.0144,-0.4100,-0.0261,0.2269,0.0250,-31.5000,-25.6800,-4.3800,
0.198747,-0.0044,0.0144,-0.4100,-0.0261,0.2269,0.0250,-31.5000,-25.6800,-4.3800,
0.199387,-0.1249,0.2306,0.6850,-0.0261,0.2269,0.0250,-31.5000,-25.6800,-4.3800,
0.202580,-0.1249,0.2306,0.6850,-0.0352,-0.0107,0.0101,-31.5000,-25.6800,-4.3800,
0.223239,-0.1249,0.2306,0.6850,-0.0154,-0.2077,-0.0107,-31.5000,-25.6800,-4.3800,
0.244616,-0.1249,0.2306,0.6850,-0.0154,-0.2077,-0.0107,-29.5200,-35.0400,-1.6800,
0.245209,-0.1249,0.2306,0.6850,0.0048,-0.2376,-0.0149,-29.5200,-35.0400,-1.6800,
0.260082,-0.1249,0.2306,0.6850,0.0048,-0.2376,-0.0149,-29.5200,-35.0400,-1.6800,
0.260722,0.1112,-0.0003,-0.1455,0.0048,-0.2376,-0.0149,-29.5200,-35.0400,-1.6800,
0.264647,0.1112,-0.0003,-0.1455,0.0000,-0.0357,-0.0021,-29.5200,-35.0400,-1.6800,
0.284886,0.1112,-0.0003,-0.1455,-0.0091,0.2072,0.0005,-29.5200,-35.0400,-1.6800,
0.306330,0.1112,-0.0003,-0.1455,-0.0091,0.2072,0.0005,-28.9200,-34.5000,-1.6200,
0.307039,0.1112,-0.0003,-0.1455,0.0133,0.2253,-0.0027,-28.9200,-34.5000,-1.6200,
0.321902,0.1112,-0.0003,-0.1455,0.0133,0.2253,-0.0027,-28.9200,-34.5000,-1.6200,
0.322545,-0.1467,0.0212,0.4433,0.0133,0.2253,-0.0027,-28.9200,-34.5000,-1.6200,
0.325714,-0.1467,0.0212,0.4433,0.0272,-0.0213,-0.0053,-28.9200,-34.5000,-1.6200,
0.346073,-0.1467,0.0212,0.4433,-0.0069,-0.1939,0.0011,-28.9200,-34.5000,-1.6200,
0.367419,-0.1467,0.0212,0.4433,-0.0069,-0.1939,0.0011,-29.2200,-34.8000,-1.2600,
0.368042,-0.1467,0.0212,0.4433,-0.0298,-0.1268,0.0075,-29.2200,-34.8000,-1.2600,
0.383299,-0.1467,0.0212,0.4433,-0.0298,-0.1268,0.0075,-29.2200,-34.8000,-1.2600,
0.383856,0.1243,0.0397,0.0863,-0.0298,-0.1268,0.0075,-29.2200,-34.8000,-1.2600,
0.387457,0.1243,0.0397,0.0863,-0.0059,0.0623,0.0053,-29.2200,-34.8000,-1.2600,
0.407919,0.1243,0.0397,0.0863,0.0250,0.1326,-0.0043,-29.2200,-34.8000,-1.2600,
0.429167,0.1243,0.0397,0.0863,0.0250,0.1326,-0.0043,-29.3400,-34.8600,-1.5000,
0.429735,0.1243,0.0397,0.0863,0.0186,0.0447,-0.0080,-29.3400,-34.8600,-1.5000,
0.445211,0.1243,0.0397,0.0863,0.0186,0.0447,-0.0080,-29.3400,-34.8600,-1.5000,
0.445774,-0.1115,-0.0468,0.1344,0.0186,0.0447,-0.0080,-29.3400,-34.8600,-1.5000,
0.448890,-0.1115,-0.0468,0.1344,-0.0080,-0.0570,-0.0011,-29.3400,-34.8600,-1.5000,
0.469174,-0.1115,-0.0468,0.1344,-0.0293,-0.0623,0.0107,-29.3400,-34.8600,-1.5000,
0.490592,-0.1115,-0.0468,0.1344,-0.0293,-0.0623,0.0107,-29.1600,-34.6200,-1.4400,
0.491214,-0.1115,-0.0468,0.1344,-0.0149,-0.0154,0.0123,-29.1600,-34.6200,-1.4400,
0.506346,-0.1115,-0.0468,0.1344,-0.0149,-0.0154,0.0123,-29.1600,-34.6200,-1.4400,
0.507032,0.0532,0.0586,0.2491,-0.0149,-0.0154,0.0123,-29.1600,-34.6200,-1.4400,
0.510414,0.0532,0.0586,0.2491,0.0154,0.0229,0.0064,-29.1600,-34.6200,-1.4400,
0.532034,0.0532,0.0586,0.2491,0.0186,0.0346,-0.0075,-29.1600,-34.6200,-1.4400,
0.553317,0.0532,0.0586,0.2491,0.0186,0.0346,-0.0075,-29.5800,-34.9200,-1.9200,
0.554369,0.0532,0.0586,0.2491,-0.0021,0.0197,-0.0123,-29.5800,-34.9200,-1.9200,
0.567975,0.0532,0.0586,0.2491,-0.0021,0.0197,-0.0123,-29.5800,-34.9200,-1.9200,
0.568817,0.0110,-0.0030,0.1343,-0.0021,0.0197,-0.0123,-29.5800,-34.9200,-1.9200,
0.571718,0.0110,-0.0030,0.1343,-0.0107,-0.0037,-0.0096,-29.5800,-34.9200,-1.9200,
0.592761,0.0110,-0.0030,0.1343,-0.0043,-0.0298,-0.0021,-29.5800,-34.9200,-1.9200,
0.613776,0.0110,-0.0030,0.1343,-0.0043,-0.0298,-0.0021,-29.8200,-34.8000,-1.8000,
0.614713,0.0110,-0.0030,0.1343,0.0037,-0.0330,0.0000,-29.8200,-34.8000,-1.8000,
0.629887,0.0110,-0.0030,0.1343,0.0037,-0.0330,0.0000,-29.8200,-34.8000,-1.8000,
0.631055,-0.0167,-0.0222,0.1677,0.0037,-0.0330,0.0000,-29.8200,-34.8000,-1.8000,
0.633866,-0.0167,-0.0222,0.1677,0.0096,0.0027,0.0000,-29.8200,-34.8000,-1.8000,
0.654202,-0.0167,-0.0222,0.1677,0.0059,0.0415,0.0016,-29.8200,-34.8000,-1.8000,
0.675196,-0.0167,-0.0222,0.1677,0.0059,0.0415,0.0016,-29.4600,-34.7400,-1.5600,
0.676074,-0.0167,-0.0222,0.1677,0.0016,0.0298,0.0037,-29.4600,-34.7400,-1.5600,
0.691368,-0.0167,-0.0222,0.1677,0.0016,0.0298,0.0037,-29.4600,-34.7400,-1.5600,
0.692307,0.0266,-0.0111,0.1654,0.0016,0.0298,0.0037,-29.4600,-34.7400,-1.5600,
0.695492,0.0266,-0.0111,0.1654,-0.0011,-0.0080,0.0069,-29.4600,-34.7400,-1.5600,
0.715790,0.0266,-0.0111,0.1654,-0.0032,-0.0320,0.0027,-29.4600,-34.7400,-1.5600,
0.737375,0.0266,-0.0111,0.1654,-0.0032,-0.0320,0.0027,-29.8200,-34.8600,-1.9800,
0.738401,0.0266,-0.0111,0.1654,0.0037,-0.0202,-0.0021,-29.8200,-34.8600,-1.9800,
0.753101,0.0266,-0.0111,0.1654,0.0037,-0.0202,-0.0021,-29.8200,-34.8600,-1.9800,
0.754211,-0.0238,0.0081,0.1653,0.0037,-0.0202,-0.0021,-29.8200,-34.8600,-1.9800,
