
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.019467,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.019864,0.0000,0.0000,0.0000,0.4123,-0.0352,-0.1976,0.0000,0.0000,0.0000,
0.036178,0.0000,0.0000,0.0000,0.4123,-0.0352,-0.1976,0.0000,0.0000,0.0000,
0.056619,0.0000,0.0000,0.0000,0.4123,-0.0352,-0.1976,0.0000,0.0000,0.0000,
0.065250,0.0000,0.0000,0.0000,0.4123,-0.0352,-0.1976,-9.7800,31.1400,-20.8200,
0.077993,0.0000,0.0000,0.0000,0.3100,-0.5981,-1.8536,-9.7800,31.1400,-20.8200,
0.081885,0.0000,0.0000,0.0000,0.3100,-0.5981,-1.8536,-9.7800,31.1400,-20.8200,
0.082477,1.9731,2.0096,-0.9568,0.3100,-0.5981,-1.8536,-9.7800,31.1400,-20.8200,
0.098423,1.9731,2.0096,-0.9568,0.6631,-0.1087,-2.0149,-9.7800,31.1400,-20.8200,
0.118707,1.9731,2.0096,-0.9568,0.7963,0.6440,-1.9936,-9.7800,31.1400,-20.8200,
0.127759,1.9731,2.0096,-0.9568,0.7963,0.6440,-1.9936,-1.7400,13.8600,-30.8400,
0.139493,1.9731,2.0096,-0.9568,0.1294,0.3851,-1.8173,-1.7400,13.8600,-30.8400,
0.143325,1.9731,2.0096,-0.9568,0.1294,0.3851,-1.8173,-1.7400,13.8600,-30.8400,
0.143936,2.6156,2.3728,-1.4179,0.1294,0.3851,-1.8173,-1.7400,13.8600,-30.8400,
0.159209,2.6156,2.3728,-1.4179,-0.8304,-1.3172,-1.5867,-1.7400,13.8600,-30.8400,
0.179458,2.6156,2.3728,-1.4179,-1.4663,-2.2530,-1.0450,-1.7400,13.8600,-30.8400,
0.189461,2.6156,2.3728,-1.4179,-1.4663,-2.2530,-1.0450,2.3400,5.1000,-36.1200,
0.200622,2.6156,2.3728,-1.4179,-1.5990,-2.4480,-0.6317,2.3400,5.1000,-36.1200,
0.204748,2.6156,2.3728,-1.4179,-1.5990,-2.4480,-0.6317,2.3400,5.1000,-36.1200,
0.205366,-3.5415,-8.5790,0.3527,-1.5990,-2.4480,-0.6317,2.3400,5.1000,-36.1200,
