
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.027710,0.0000,0.0000,0.0000,0.0341,-0.2525,-0.0053,0.0000,0.0000,0.0000,
0.048028,0.0000,0.0000,0.0000,0.0341,-0.2525,-0.0053,-25.1400,27.3000,-21.0600,
0.048520,0.0000,0.0000,0.0000,0.0341,-0.2525,-0.0053,-25.1400,27.3000,-21.0600,
0.064181,0.0000,0.0000,0.0000,0.0341,-0.2525,-0.0053,-25.1400,27.3000,-21.0600,
0.068655,0.0000,0.0000,0.0000,0.0091,-0.0623,-0.0123,-25.1400,27.3000,-21.0600,
0.088515,0.0000,0.0000,0.0000,0.0389,-0.0554,0.0064,-25.1400,27.3000,-21.0600,
0.109908,0.0000,0.0000,0.0000,0.0389,-0.0554,0.0064,-25.9200,2.4600,-13.0800,
0.110669,0.0000,0.0000,0.0000,-0.0043,-0.0149,-0.0027,-25.9200,2.4600,-13.0800,
0.126235,0.0000,0.0000,0.0000,-0.0043,-0.0149,-0.0027,-25.9200,2.4600,-13.0800,
0.127060,0.0004,0.0080,0.0624,-0.0043,-0.0149,-0.0027,-25.9200,2.4600,-13.0800,
0.129861,0.0004,0.0080,0.0624,-0.0208,0.0362,0.0027,-25.9200,2.4600,-13.0800,
0.150779,0.0004,0.0080,0.0624,-0.0053,0.0197,0.0048,-25.9200,2.4600,-13.0800,
0.171564,0.0004,0.0080,0.0624,-0.0053,0.0197,0.0048,-26.0400,-10.3200,-8.2800,
0.172359,0.0004,0.0080,0.0624,-0.0085,-0.0511,0.0075,-26.0400,-10.3200,-8.2800,
0.187838,0.0004,0.0080,0.0624,-0.0085,-0.0511,0.0075,-26.0400,-10.3200,-8.2800,
0.188456,-0.0152,0.0047,0.1865,-0.0085,-0.0511,0.0075,-26.0400,-10.3200,-8.2800,
0.191508,-0.0152,0.0047,0.1865,-0.0048,-0.0250,0.0021,-26.0400,-10.3200,-8.2800,
0.212171,-0.0152,0.0047,0.1865,0.0117,0.0325,-0.0021,-26.0400,-10.3200,-8.2800,
0.233713,-0.0152,0.0047,0.1865,0.0117,0.0325,-0.0021,-26.1000,-22.7400,-5.3400,
0.234467,-0.0152,0.0047,0.1865,0.0112,0.0197,-0.0069,-26.1000,-22.7400,-5.3400,
0.249429,-0.0152,0.0047,0.1865,0.0112,0.0197,-0.0069,-26.1000,-22.7400,-5.3400,
0.250106,-0.0045,0.0640,0.1404,0.0112,0.0197,-0.0069,-26.1000,-22.7400,-5.3400,
0.253324,-0.0045,0.0640,0.1404,0.0005,-0.0144,-0.0069,-26.1000,-22.7400,-5.3400,
0.274738,-0.0045,0.0640,0.1404,-0.0005,-0.0080,-0.0043,-26.1000,-22.7400,-5.3400,
0.294496,-0.0045,0.0640,0.1404,-0.0005,-0.0080,-0.0043,-26.0400,-22.6800,-5.6400,
0.295290,-0.0045,0.0640,0.1404,-0.0021,0.0059,-0.0027,-26.0400,-22.6800,-5.6400,
0.310859,-0.0045,0.0640,0.1404,-0.0021,0.0059,-0.0027,-26.0400,-22.6800,-5.6400,
0.311590,-0.0248,0.0187,0.1451,-0.0021,0.0059,-0.0027,-26.0400,-22.6800,-5.6400,
0.314626,-0.0248,0.0187,0.1451,-0.0059,-0.0075,0.0016,-26.0400,-22.6800,-5.6400,
0.335484,-0.0248,0.0187,0.1451,-0.0005,-0.0075,0.0037,-26.0400,-22.6800,-5.6400,
0.356802,-0.0248,0.0187,0.1451,-0.0005,-0.0075,0.0037,-26.2200,-23.2200,-5.7000,
0.357431,-0.0248,0.0187,0.1451,0.0085,0.0064,0.0027,-26.2200,-23.2200,-5.7000,
0.372703,-0.0248,0.0187,0.1451,0.0085,0.0064,0.0027,-26.2200,-23.2200,-5.7000,
0.373361,0.0020,-0.0757,0.1446,0.0085,0.0064,0.0027,-26.2200,-23.2200,-5.7000,
0.376115,0.0020,-0.0757,0.1446,0.0032,0.0064,0.0037,-26.2200,-23.2200,-5.7000,
0.396826,0.0020,-0.0757,0.1446,-0.0101,0.0181,-0.0005,-26.2200,-23.2200,-5.7000,
0.418016,0.0020,-0.0757,0.1446,-0.0101,0.0181,-0.0005,-26.8800,-23.2200,-5.7000,
0.418655,0.0020,-0.0757,0.1446,-0.0075,0.0096,-0.0048,-26.8800,-23.2200,-5.7000,
0.434246,0.0020,-0.0757,0.1446,-0.0075,0.0096,-0.0048,-26.8800,-23.2200,-5.7000,
0.434998,-0.0385,0.0777,0.1514,-0.0075,0.0096,-0.0048,-26.8800,-23.2200,-5.7000,
0.438067,-0.0385,0.0777,0.1514,-0.0048,-0.0069,-0.0059,-26.8800,-23.2200,-5.7000,
0.458482,-0.0385,0.0777,0.1514,-0.0021,0.0059,-0.0021,-26.8800,-23.2200,-5.7000,
0.479826,-0.0385,0.0777,0.1514,0.0037,0.0176,0.0032,-26.8800,-23.2200,-5.7000,
0.480417,-0.0385,0.0777,0.1514,0.0037,0.0176,0.0032,-27.2400,-23.2800,-5.2800,
0.495796,-0.0385,0.0777,0.1514,0.0037,0.0176,0.0032,-27.2400,-23.2800,-5.2800,
0.496539,0.0198,0.0810,0.1564,0.0037,0.0176,0.0032,-27.2400,-23.2800,-5.2800,
0.501524,0.0198,0.0810,0.1564,0.0027,0.0091,0.0005,-27.2400,-23.2800,-5.2800,
0.520542,0.0198,0.0810,0.1564,-0.0032,-0.0107,0.0005,-27.2400,-23.2800,-5.2800,
0.541249,0.0198,0.0810,0.1564,-0.0032,-0.0107,0.0005,-27.0000,-23.2200,-5.1600,
0.542115,0.0198,0.0810,0.1564,-0.0043,-0.0144,0.0032,-27.0000,-23.2200,-5.1600,
0.557585,0.0198,0.0810,0.1564,-0.0043,-0.0144,0.0032,-27.0000,-23.2200,-5.1600,
0.558209,0.0306,-0.0257,0.1778,-0.0043,-0.0144,0.0032,-27.0000,-23.2200,-5.1600,
0.562002,0.0306,-0.0257,0.1778,-0.0032,-0.0064,0.0021,-27.0000,-23.2200,-5.1600,
0.581602,0.0306,-0.0257,0.1778,0.0059,0.0080,-0.0011,-27.0000,-23.2200,-5.1600,
0.602908,0.0306,-0.0257,0.1778,0.0059,0.0080,-0.0011,-26.9400,-22.8600,-5.1600,
0.603372,0.0306,-0.0257,0.1778,0.0064,0.0096,-0.0021,-26.9400,-22.8600,-5.1600,
0.619082,0.0306,-0.0257,0.1778,0.0064,0.0096,-0.0021,-26.9400,-22.8600,-5.1600,
0.620318,-0.0436,0.0205,0.1589,0.0064,0.0096,-0.0021,-26.9400,-22.8600,-5.1600,
0.622427,-0.0436,0.0205,0.1589,0.0075,-0.0037,-0.0032,-26.9400,-22.8600,-5.1600,
0.643824,-0.0436,0.0205,0.1589,0.0021,-0.0085,0.0005,-26.9400,-22.8600,-5.1600,
0.664850,-0.0436,0.0205,0.1589,0.0021,-0.0085,0.0005,-26.4000,-22.4400,-5.4000,
0.665894,-0.0436,0.0205,0.1589,-0.0016,0.0011,0.0005,-26.4000,-22.4400,-5.4000,
0.680976,-0.0436,0.0205,0.1589,-0.0016,0.0011,0.0005,-26.4000,-22.4400,-5.4000,
0.681662,-0.0259,0.0237,0.1639,-0.0016,0.0011,0.0005,-26.4000,-22.4400,-5.4000,
0.684434,-0.0259,0.0237,0.1639,-0.0005,0.0011,0.0005,-26.4000,-22.4400,-5.4000,
0.705362,-0.0259,0.0237,0.1639,-0.0016,-0.0096,0.0000,-26.4000,-22.4400,-5.4000,
0.727119,-0.0259,0.0237,0.1639,-0.0016,-0.0096,0.0000,-26.2200,-22.5000,-5.2200,
0.727782,-0.0259,0.0237,0.1639,0.0011,-0.0117,-0.0011,-26.2200,-22.5000,-5.2200,
0.742032,-0.0259,0.0237,0.1639,0.0011,-0.0117,-0.0011,-26.2200,-22.5000,-5.2200,
0.742666,0.0014,0.0310,0.1591,0.0011,-0.0117,-0.0011,-26.2200,-22.5000,-5.2200,
0.745704,0.0014,0.0310,0.1591,0.0037,-0.0005,-0.0011,-26.2200,-22.5000,-5.2200,
0.766715,0.0014,0.0310,0.1591,0.0027,0.0059,-0.0021,-26.2200,-22.5000,-5.2200,
0.787875,0.0014,0.0310,0.1591,0.0027,0.0059,-0.0021,-26.0400,-22.4400,-5.5800,
0.788854,0.0014,0.0310,0.1591,0.0011,0.0016,-0.0021,-26.0400,-22.4400,-5.5800,
0.804018,0.0014,0.0310,0.1591,0.0011,0.0016,-0.0021,-26.0400,-22.4400,-5.5800,
0.804895,0.0007,-0.0223,0.1711,0.0011,0.0016,-0.0021,-26.0400,-22.4400,-5.5800,
0.809347,0.0007,-0.0223,0.1711,0.0000,-0.0032,-0.0021,-26.0400,-22.4400,-5.5800,
0.827574,0.0007,-0.0223,0.1711,0.0005,-0.0059,0.0005,-26.0400,-22.4400,-5.5800,
0.850647,0.0007,-0.0223,0.1711,0.0005,-0.0059,0.0005,-26.1600,-22.8000,-5.2800,
0.852291,0.0007,-0.0223,0.1711,0.0005,-0.0021,0.0005,-26.1600,-22.8000,-5.2800,
0.865990,0.0007,-0.0223,0.1711,0.0005,-0.0021,0.0005,-26.1600,-22.8000,-5.2800,
0.867046,0.0128,0.0397,0.1640,0.0005,-0.0021,0.0005,-26.1600,-22.8000,-5.2800,
0.870158,0.0128,0.0397,0.1640,0.0048,0.0059,0.0021,-26.1600,-22.8000,-5.2800,
0.890426,0.0128,0.0397,0.1640,0.0059,0.0059,0.0005,-26.1600,-22.8000,-5.2800,
0.911167,0.0128,0.0397,0.1640,0.0059,0.0059,0.0005,-26.2200,-23.0400,-5.1600,
0.912289,0.0128,0.0397,0.1640,0.0027,0.0027,0.0016,-26.2200,-23.0400,-5.1600,
0.927078,0.0128,0.0397,0.1640,0.0027,0.0027,0.0016,-26.2200,-23.0400,-5.1600,
0.928219,0.0036,0.0179,0.1452,0.0027,0.0027,0.0016,-26.2200,-23.0400,-5.1600,
0.930776,0.0036,0.0179,0.1452,0.0016,-0.0021,-0.0005,-26.2200,-23.0400,-5.1600,
0.951284,0.0036,0.0179,0.1452,0.0011,-0.0016,-0.0027,-26.2200,-23.0400,-5.1600,
0.973385,0.0036,0.0179,0.1452,0.0011,-0.0016,-0.0027,-25.9200,-22.9800,-5.1600,
0.974542,0.0036,0.0179,0.1452,0.0005,-0.0005,-0.0048,-25.9200,-22.9800,-5.1600,
0.988717,0.0036,0.0179,0.1452,0.0005,-0.0005,-0.0048,-25.9200,-22.9800,-5.1600,
0.989710,-0.0487,-0.0013,0.1715,0.0005,-0.0005,-0.0048,-25.9200,-22.9800,-5.1600,
0.992474,-0.0487,-0.0013,0.1715,0.0016,-0.0027,-0.0027,-25.9200,-22.9800,-5.1600,
1.012782,-0.0487,-0.0013,0.1715,0.0016,-0.0032,0.0011,-25.9200,-22.9800,-5.1600,
1.034006,-0.0487,-0.0013,0.1715,0.0016,-0.0032,0.0011,-26.2200,-23.0400,-4.7400,
