
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.020169,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.023754,0.0000,0.0000,0.0000,-0.3206,-0.5406,0.0474,0.0000,0.0000,0.0000,
0.040644,0.0000,0.0000,0.0000,-0.3206,-0.5406,0.0474,0.0000,0.0000,0.0000,
0.041304,-0.0306,0.0099,0.3443,-0.3206,-0.5406,0.0474,0.0000,0.0000,0.0000,
0.045625,-0.0306,0.0099,0.3443,-0.3206,-0.5406,0.0474,-22.0200,-4.1400,-34.4400,
0.046231,-0.0306,0.0099,0.3443,-0.3206,-0.5406,0.0474,-22.0200,-4.1400,-34.4400,
0.061111,-0.0306,0.0099,0.3443,-0.3206,-0.5406,0.0474,-22.0200,-4.1400,-34.4400,
0.061796,-0.2711,0.1957,-0.2506,-0.3206,-0.5406,0.0474,-22.0200,-4.1400,-34.4400,
0.065700,-0.2711,0.1957,-0.2506,-0.3206,-0.5406,0.0474,-22.0200,-4.1400,-34.4400,
0.081680,-0.2711,0.1957,-0.2506,-0.3206,-0.5406,0.0474,-22.0200,-4.1400,-34.4400,
0.082289,-0.1396,0.1428,-0.3631,-0.3206,-0.5406,0.0474,-22.0200,-4.1400,-34.4400,
0.085078,-0.1396,0.1428,-0.3631,-0.1838,-0.2983,0.0027,-22.0200,-4.1400,-34.4400,
0.101957,-0.1396,0.1428,-0.3631,-0.1838,-0.2983,0.0027,-22.0200,-4.1400,-34.4400,
0.102726,-0.0174,0.0032,0.1468,-0.1838,-0.2983,0.0027,-22.0200,-4.1400,-34.4400,
0.107330,-0.0174,0.0032,0.1468,-0.1838,-0.2983,0.0027,-24.9000,-17.5800,-22.1400,
0.108168,-0.0174,0.0032,0.1468,-0.1965,-0.3206,0.0181,-24.9000,-17.5800,-22.1400,
0.123424,-0.0174,0.0032,0.1468,-0.1965,-0.3206,0.0181,-24.9000,-17.5800,-22.1400,
0.124127,0.1463,-0.1491,0.4860,-0.1965,-0.3206,0.0181,-24.9000,-17.5800,-22.1400,
0.126524,0.1463,-0.1491,0.4860,-0.0272,-0.0224,-0.0048,-24.9000,-17.5800,-22.1400,
0.143443,0.1463,-0.1491,0.4860,-0.0272,-0.0224,-0.0048,-24.9000,-17.5800,-22.1400,
0.144133,0.0301,-0.1122,0.4383,-0.0272,-0.0224,-0.0048,-24.9000,-17.5800,-22.1400,
0.146887,0.0301,-0.1122,0.4383,0.1092,0.2088,-0.0197,-24.9000,-17.5800,-22.1400,
0.163757,0.0301,-0.1122,0.4383,0.1092,0.2088,-0.0197,-24.9000,-17.5800,-22.1400,
0.164470,-0.0921,0.0160,0.2256,0.1092,0.2088,-0.0197,-24.9000,-17.5800,-22.1400,
0.168304,-0.0921,0.0160,0.2256,0.1092,0.2088,-0.0197,-26.4000,-24.9600,-16.1400,
0.169317,-0.0921,0.0160,0.2256,0.0980,0.1406,-0.0085,-26.4000,-24.9600,-16.1400,
0.184684,-0.0921,0.0160,0.2256,0.0980,0.1406,-0.0085,-26.4000,-24.9600,-16.1400,
0.185278,-0.0907,0.1002,-0.0376,0.0980,0.1406,-0.0085,-26.4000,-24.9600,-16.1400,
0.187549,-0.0907,0.1002,-0.0376,-0.0176,-0.0565,0.0075,-26.4000,-24.9600,-16.1400,
0.204959,-0.0907,0.1002,-0.0376,-0.0176,-0.0565,0.0075,-26.4000,-24.9600,-16.1400,
0.205745,0.0128,0.0524,0.0439,-0.0176,-0.0565,0.0075,-26.4000,-24.9600,-16.1400,
0.209284,0.0128,0.0524,0.0439,-0.0692,-0.1172,0.0085,-26.4000,-24.9600,-16.1400,
0.225579,0.0128,0.0524,0.0439,-0.0692,-0.1172,0.0085,-26.4000,-24.9600,-16.1400,
0.226265,0.0300,-0.0010,0.1702,-0.0692,-0.1172,0.0085,-26.4000,-24.9600,-16.1400,
0.229733,0.0300,-0.0010,0.1702,-0.0692,-0.1172,0.0085,-27.9600,-32.4000,-10.0800,
0.230352,0.0300,-0.0010,0.1702,-0.0325,-0.0368,0.0021,-27.9600,-32.4000,-10.0800,
0.245960,0.0300,-0.0010,0.1702,-0.0325,-0.0368,0.0021,-27.9600,-32.4000,-10.0800,
0.246626,0.0418,-0.0209,0.2075,-0.0325,-0.0368,0.0021,-27.9600,-32.4000,-10.0800,
0.253233,0.0418,-0.0209,0.2075,0.0304,0.0735,-0.0128,-27.9600,-32.4000,-10.0800,
0.266278,0.0418,-0.0209,0.2075,0.0304,0.0735,-0.0128,-27.9600,-32.4000,-10.0800,
0.266928,-0.0473,0.0217,0.1912,0.0304,0.0735,-0.0128,-27.9600,-32.4000,-10.0800,
0.270449,-0.0473,0.0217,0.1912,0.0256,0.0623,-0.0107,-27.9600,-32.4000,-10.0800,
0.286938,-0.0473,0.0217,0.1912,0.0256,0.0623,-0.0107,-27.9600,-32.4000,-10.0800,
